"Date","ADANIENT.NS.Open","ADANIENT.NS.High","ADANIENT.NS.Low","ADANIENT.NS.Close","ADANIENT.NS.Volume","ADANIENT.NS.Adjusted"
2015-01-01,136.53799,138.549,135.188,137.832,2150600,134.8643
2015-01-02,138.198,139.80099,137.832,138.507,3577400,135.52477
2015-01-05,138.14101,142.487,138.02901,140.8,5124700,137.7684
2015-01-06,139.407,145.67999,136.2,139.731,10032900,136.72241
2015-01-07,140.645,142.769,135.582,138.493,5919400,135.51106
2015-01-08,140.448,144.58299,140.30701,143.95,4328000,140.85057
2015-01-09,145.145,146.48199,140.082,142.515,6584100,139.44647
2015-01-12,143.64101,146.946,143.45799,144.73801,6703500,141.62161
2015-01-13,145.694,145.933,139.224,139.717,4201900,136.70871
2015-01-14,140.22301,140.27901,136.707,138.21201,3317600,135.23612
2015-01-15,140.645,142.009,136.707,140.89799,4626500,137.86428
2015-01-16,140.22301,142.47301,138.507,140.729,4102000,137.69893
2015-01-19,141.207,144.02,140.687,142.41701,4330400,139.35059
2015-01-20,143.092,143.45799,141.39,142.47301,3591300,139.40538
2015-01-21,142.614,143.14799,140.57401,142.375,3496500,139.30948
2015-01-22,142.614,146.83299,142.47301,145.877,4432500,142.73608
2015-01-23,147.677,161.573,147.48,158.605,24785300,155.19003
2015-01-26,158.605,158.605,158.605,158.605,0,155.19003
2015-01-27,158.633,161.095,155.91901,157.888,6601300,154.48847
2015-01-28,155.834,163.246,154.991,156.735,7575900,153.36029
2015-01-29,156.96001,167.578,156.735,164.104,20610700,160.57063
2015-01-30,166.91701,181.713,158.675,176.453,35573900,172.65374
2015-02-02,183.12,186.383,179.772,184.188,22723300,180.2222
2015-02-03,184.32899,184.371,178.366,180.47501,6504500,176.58915
2015-02-04,180.57401,186.88901,178.01401,182.36,11189200,178.43356
2015-02-05,183.401,183.541,174.231,175.201,8457600,171.4287
2015-02-06,175.806,181.12199,175.258,176.467,7134500,172.66743
2015-02-09,171.58701,178.478,170.17999,171.362,5441500,167.67236
2015-02-10,170.46201,179.85699,168.78799,178.605,8979700,174.7594
2015-02-11,180.02499,187.564,179.181,186.073,10442200,182.06661
2015-02-12,187.015,193.246,186.776,192.50101,10647800,188.35621
2015-02-13,193.358,194.005,187.845,188.998,6112300,184.92863
2015-02-16,189.645,192.71201,184.948,186.495,6279100,182.47952
2015-02-17,186.495,186.495,186.495,186.495,0,182.47952
2015-02-18,187.17,189.87,186.073,187.269,3706900,183.23686
2015-02-19,188.731,197.282,187.114,194.72301,9015600,190.53037
2015-02-20,196.621,199.069,191.27699,193.358,7494100,189.19476
2015-02-23,194.09,194.93401,189.617,191.235,3783900,187.11747
2015-02-24,191.14999,201.03799,191.14999,200.334,10319200,196.02055
2015-02-25,201.685,202.37399,195.215,195.74899,7385300,191.53427
2015-02-26,195.806,198.028,191.558,193.541,8432900,189.37381
2015-02-27,194.709,200.644,193.49899,200.095,6998100,195.7867
2015-03-02,197.465,201.403,194.09,199.688,4784900,195.38846
2015-03-03,200.7,204.638,198.89999,203.035,5944000,198.6634
2015-03-04,204.765,204.96201,196.903,198.112,5262000,193.84639
2015-03-05,198.38,198.858,194.09,196.748,6843100,192.51176
2015-03-06,196.748,196.748,196.748,196.748,0,192.51176
2015-03-09,195.468,195.468,186.608,187.269,4345700,183.23686
2015-03-10,187.339,191.136,179.955,182.40199,5441100,178.47464
2015-03-11,182.64101,186.073,179.37801,182.47301,6302400,178.54413
2015-03-12,183.963,185.567,182.726,184.442,3664000,180.47073
2015-03-13,185.58099,187.058,176.64999,178.366,4987400,174.52555
