"Date","ADANIPORTS.NS.Open","ADANIPORTS.NS.High","ADANIPORTS.NS.Low","ADANIPORTS.NS.Close","ADANIPORTS.NS.Volume","ADANIPORTS.NS.Adjusted"
2015-01-01,319,322.5,316.25,319.55,1456200,317.1
2015-01-02,319.35,325.8,318.05,319.35,2894000,316.91
2015-01-05,320.45,327.5,319.35,323.8,2099700,321.32
2015-01-06,321.65,331.45,315.6,321.85,3672100,319.39
2015-01-07,321.95,328.7,317.4,321.1,2981500,318.64
2015-01-08,326,337.3,323.55,334.55,2932600,331.99
2015-01-09,339.9,343.1,327.35,331.15,3543400,328.62
2015-01-12,332.15,335.75,325.55,328.45,2990400,325.94
2015-01-13,330.2,331.3,320.75,323,2688700,320.53
2015-01-14,324,333.9,322.65,331.25,2272600,328.71
2015-01-15,334,337.3,326.25,330.6,2140600,328.07
2015-01-16,329.8,334.6,326,330.85,1970600,328.32
2015-01-19,332.05,334.8,326.6,328.35,1362300,325.84
2015-01-20,329,332.65,326.85,330.5,1091600,327.97
2015-01-21,330.35,333.5,326.2,329.35,1514600,326.83
2015-01-22,329.05,331.65,327,329.4,1376100,326.88
2015-01-23,332,352.75,330.1,346.9,7519700,344.24
2015-01-26,346.9,346.9,346.9,346.9,0,344.24
2015-01-27,348,349.45,340.9,345.15,2928200,342.51
2015-01-28,343.4,350,333.9,339.25,3391800,336.65
2015-01-29,340.65,348.4,337.65,344.15,4034900,341.52
2015-01-30,346.4,352,323.5,341.05,4373100,338.44
2015-02-02,339.5,343.9,333,335.9,1735100,333.33
2015-02-03,336.3,336.95,326.05,327.8,1537100,325.29
2015-02-04,329.45,333,319.25,321.25,2792300,318.79
2015-02-05,322,322.7,308.45,312.2,2167800,309.81
2015-02-06,311.1,313.95,298.6,300.2,3265500,297.9
2015-02-09,296.7,307.9,292.5,300.15,3103400,297.85
2015-02-10,298.1,319.7,298.1,317.85,3921200,315.42
2015-02-11,319.9,328.9,319,326.1,2148500,323.6
2015-02-12,327.7,338,326.8,336.6,3539100,334.02
2015-02-13,337.7,344.35,331.55,335.35,2180300,332.78
2015-02-16,335.1,341.7,329.65,331.25,2205900,328.71
2015-02-17,331.25,331.25,331.25,331.25,0,328.71
2015-02-18,332.3,335.8,330,333.8,1227100,331.25
2015-02-19,335.15,341,323.7,333.85,2643100,331.29
2015-02-20,335.05,338.05,326.4,329,1302900,326.48
2015-02-23,331,332.4,321.2,323.4,1737200,320.92
2015-02-24,323.75,336.9,319.25,334.05,2330400,331.49
2015-02-25,336,337.45,326.85,328.2,1467100,325.69
2015-02-26,328.1,332.5,322.5,327.3,1775800,324.79
2015-02-27,329.4,349.65,327.8,346.25,3025600,343.6
2015-03-02,334.5,335.6,325.6,330.35,2592100,327.82
2015-03-03,332.5,339.05,332,336.55,2016300,333.97
2015-03-04,339.9,343.3,330.1,332,1846500,329.46
2015-03-05,332.8,335.4,327.2,333.05,1770200,330.5
2015-03-06,333.05,333.05,333.05,333.05,0,330.5
2015-03-09,331.55,335.9,323.5,325,1825700,322.51
2015-03-10,325.05,327.9,314.7,317.55,1215200,315.12
2015-03-11,318.9,318.9,302.2,307.8,4828100,305.44
2015-03-12,306.55,312,304,310.25,3431200,307.88
2015-03-13,312.9,316.3,305,306.25,4356100,303.91
2015-03-16,306.7,314.75,303.05,313.3,1629100,310.9
2015-03-17,315.3,320.85,310.3,319.55,5158900,317.1
2015-03-18,320.05,320.95,312.9,316.65,3069100,314.23
2015-03-19,316.15,322.65,310.5,312.9,1470000,310.51
2015-03-20,312.9,316.7,306.5,308.15,2049100,305.79
2015-03-23,308.3,311.25,302.55,303.85,1387300,301.52
2015-03-24,304,309,299,307.1,2447600,304.75
2015-03-25,310.15,315.5,309.2,314.75,2456800,312.34
2015-03-26,313.55,315.6,303,304.2,3406300,301.87
2015-03-27,307.8,307.8,295.4,305,3371300,302.67
2015-03-30,306,310,303,308.55,3039100,306.19
2015-03-31,311,315.45,305.05,308.2,2590700,305.84
2015-04-01,308.45,312.05,306.1,310.95,1026200,308.57
2015-04-02,310.95,310.95,310.95,310.95,0,308.57
2015-04-03,310.95,310.95,310.95,310.95,0,308.57
2015-04-06,313.75,323.85,311.45,321.25,2039000,318.79
2015-04-07,323,325.6,316.65,323.9,1913000,321.42
2015-04-08,324.3,325,318,319.15,1317100,316.71
2015-04-09,319.7,320.55,312,316.7,1503900,314.28
2015-04-10,316.9,323.85,313.5,319.8,2127400,317.35
2015-04-13,320.5,331.65,319.55,330.8,2405100,328.27
2015-04-14,330.8,330.8,330.8,330.8,0,328.27
2015-04-15,330.5,333.6,324.25,325.75,1576900,323.26
2015-04-16,328,332.4,321.8,327.5,1676700,324.99
2015-04-17,327.6,332,321,322.75,1471100,320.28
2015-04-20,324.5,324.95,308.3,313.5,2002100,311.1
2015-04-21,313.95,320.65,310.25,314.45,1679100,312.04
2015-04-22,316.4,318.25,304.75,313.7,2317500,311.3
2015-04-23,315,319.85,313.2,318.6,1069100,316.16
2015-04-24,319,319,312.95,316.3,1316300,313.88
2015-04-27,316.75,323.45,304.55,305.95,2330500,303.61
2015-04-28,307,310.8,298.5,306.1,2539400,303.76
2015-04-29,308,315.4,305.75,312.85,1566700,310.46
2015-04-30,313.05,319.9,308.7,317.55,2916500,315.12
2015-05-01,317.55,317.55,317.55,317.55,0,315.12
2015-05-04,325.55,353,321.05,347.2,6375600,344.54
2015-05-05,349.6,351.7,337.95,342.7,4219200,340.08
2015-05-06,340.35,344.25,329.05,331.2,2247700,328.67
2015-05-07,332.3,332.3,315.4,322.8,1709600,320.33
2015-05-08,326.2,340.75,326.2,335.1,2097900,332.54
2015-05-11,337.6,345,337.05,344.05,2266200,341.42
2015-05-12,343.4,343.4,333.15,334.9,1550700,332.34
2015-05-13,336.45,344,334.55,340.45,3022800,337.84
2015-05-14,338.4,340,330.75,333.95,3075800,331.39
2015-05-15,335.85,338.65,327.05,329,1663100,326.48
2015-05-18,330.8,340.55,329.5,339.35,1370300,336.75
2015-05-19,338.3,344.9,335.35,339.85,1685400,337.25
2015-05-20,340.8,344.45,338.55,343.05,1660400,340.42
2015-05-21,344,351,343.55,348.4,2609400,345.73
2015-05-22,347.55,354.8,346.8,348.95,2369700,347.38
2015-05-25,347.65,350.3,340.35,342.9,1420500,341.35
2015-05-26,343.05,350.25,343,345.25,1576300,343.69
