"Date","AJANTPHARM.NS.Open","AJANTPHARM.NS.High","AJANTPHARM.NS.Low","AJANTPHARM.NS.Close","AJANTPHARM.NS.Volume","AJANTPHARM.NS.Adjusted"
2015-01-01,2327.14996,2376.00006,2327.14996,2358.09998,69000,927.62993
2015-01-02,2345,2371.99997,2291.99997,2308.84995,106200,908.25594
2015-01-05,2323.00003,2368.00003,2311.99997,2339.04999,75700,920.13604
2015-01-06,2336.99997,2370,2290,2324.45007,120400,914.39272
2015-01-07,2313.99994,2345,2300.09995,2311.75003,54500,909.39677
2015-01-08,2365.95001,2365.95001,2262.5,2318.95004,50000,912.22912
2015-01-09,2320.09995,2345,2310,2319.49997,56300,912.44545
2015-01-12,2346.99997,2435,2295,2396.30005,102400,942.65708
2015-01-13,2435,2515,2428.04993,2472.59995,141800,972.67195
2015-01-14,2520.50003,2625,2506.45004,2592.25006,183200,1019.73994
2015-01-15,2650,2674.70001,2528.00003,2543.45001,94700,1000.54297
2015-01-16,2570,2570,2460.09995,2471.69998,69900,972.31792
2015-01-19,2476.00006,2530,2476.00006,2518.04993,50800,990.55108
2015-01-20,2530,2530,2465,2475.80002,45900,973.9308
2015-01-21,2493.00003,2518.99994,2450,2468.15002,60400,970.92144
2015-01-22,2489.90005,2489.90005,2440,2454.40002,46200,965.51246
2015-01-23,2456.99997,2465,2350,2399.85001,95600,944.05356
2015-01-26,2399.85001,2399.85001,2399.85001,2399.85001,0,944.05356
2015-01-27,2399.94995,2466.00006,2380,2393.89999,94100,941.71295
2015-01-28,2414.79996,2748.99994,2404.04999,2684.70001,1449600,1056.10793
2015-01-29,2707.99988,2720,2550.09995,2570.59998,257800,1011.22323
2015-01-30,2588.75,2596.30005,2540,2554.75006,95500,1004.98818
2015-02-02,2566.00006,2598.80005,2496.99997,2539.55002,176600,999.00879
2015-02-03,2548.00003,2583.90015,2478.09998,2491.95007,152200,980.28391
2015-02-04,2513.99994,2536.79993,2450,2461.25,63700,968.20711
2015-02-05,2489.94995,2498.00003,2420,2436.30005,51500,958.39229
2015-02-06,2436.00006,2564.94995,2436.00006,2498.24997,220300,982.76216
2015-02-09,2475,2523.99994,2455,2503.69995,77000,984.90608
2015-02-10,2515,2530.80002,2468.50006,2508.15002,89300,986.65665
2015-02-11,2505,2548.99994,2490,2504.14993,92400,985.08309
2015-02-12,2528.69995,2528.69995,2495,2516.79993,88800,990.05935
2015-02-13,2525,2718.99994,2495,2697.04987,331700,1060.96611
2015-02-16,2714.80011,2818.99994,2637.69989,2782.74994,289400,1094.67883
2015-02-17,2782.74994,2782.74994,2782.74994,2782.74994,0,1094.67883
