"Date","ALBK.NS.Open","ALBK.NS.High","ALBK.NS.Low","ALBK.NS.Close","ALBK.NS.Volume","ALBK.NS.Adjusted"
2015-01-01,132.9,136,132.5,134.35,2497900,131.96
2015-01-02,134.7,135.8,131.55,132,3053700,129.65
2015-01-05,132.85,133.5,129.25,129.85,2379700,127.54
2015-01-06,129,129,124,124.5,2847600,122.28
2015-01-07,124.5,126.75,121.5,123.6,2766600,121.4
2015-01-08,126,128.4,125.25,127.25,2445600,124.98
2015-01-09,128.95,129.75,125.3,126.8,2423700,124.54
2015-01-12,126.9,131.1,125.65,130,2619900,127.68
2015-01-13,131.1,131.1,126.3,127.4,2847200,125.13
2015-01-14,127.4,128.55,124.3,124.9,1957000,122.67
2015-01-15,129.5,132,129.3,130.15,4382600,127.83
2015-01-16,130.45,130.75,127.2,128,1637700,125.72
2015-01-19,129,130,127.75,128.85,1897300,126.55
2015-01-20,129.5,131.9,128.85,130.45,2663800,128.12
2015-01-21,131,132.5,130,130.95,2926500,128.62
2015-01-22,131.2,131.95,127.7,128.1,1508900,125.82
2015-01-23,129.9,130.5,125.45,126.45,1989900,124.2
2015-01-26,126.45,126.45,126.45,126.45,0,124.2
2015-01-27,127,127.3,123.75,126.45,1994100,124.2
2015-01-28,126,128.55,125.1,127.25,1898800,124.98
2015-01-29,126.7,127.6,120.75,122.4,4139300,120.22
2015-01-30,123.3,123.9,115.5,116,4483900,113.93
2015-02-02,115.75,116.95,114.1,115.25,3677600,113.2
2015-02-03,116.3,117.5,110.3,111.15,3985000,109.17
2015-02-04,112,112.5,108.2,110.45,3963600,108.48
2015-02-05,111,112.8,105.85,107.25,11328700,105.34
2015-02-06,106.85,110.85,106.35,109.45,3574400,107.5
2015-02-09,107.25,109.6,105.15,105.75,2062200,103.87
2015-02-10,105,110.3,103.3,106.15,3821000,104.26
2015-02-11,106.7,109.8,106.1,108.6,2467400,106.66
2015-02-12,109.4,109.95,107,108.55,1927500,106.62
2015-02-13,109.2,112.75,109,111.6,3082000,109.61
2015-02-16,112.55,113.9,110.55,111.35,2027900,109.37
2015-02-17,111.35,111.35,111.35,111.35,0,109.37
2015-02-18,111.95,112.2,110.45,111,1445500,109.02
2015-02-19,111.25,112,107.1,109.4,2258500,107.45
2015-02-20,109.8,113.25,108.2,111.6,2550400,109.61
2015-02-23,112,112.45,108.5,109.1,1446100,107.16
2015-02-24,109.5,109.6,105.55,106.35,3739900,104.45
2015-02-25,107.2,107.8,106.05,106.4,1615300,104.5
2015-02-26,106.5,106.95,103.25,103.65,2750900,101.8
2015-02-27,104.5,109.7,104.35,109.4,2466000,107.45
2015-03-02,110.4,111.5,108.05,108.65,2480900,106.71
2015-03-03,109.15,111.2,107.5,110.55,2689600,108.58
2015-03-04,114.95,115.6,105.8,106.7,3288300,104.8
2015-03-05,107.15,107.8,105.2,106.4,1776200,104.5
2015-03-06,106.4,106.4,106.4,106.4,0,104.5
2015-03-09,105.6,105.95,102.7,103.2,1772800,101.36
2015-03-10,103.05,106.3,102.6,105.2,2775400,103.32
2015-03-11,105.5,106.45,103.5,105.85,1992900,103.96
