"Date","AMARAJABAT.NS.Open","AMARAJABAT.NS.High","AMARAJABAT.NS.Low","AMARAJABAT.NS.Close","AMARAJABAT.NS.Volume","AMARAJABAT.NS.Adjusted"
2015-01-01,813.5,823.04999,812.34998,815.20001,66500,808.39298
2015-01-02,814.20001,824.84998,804.04999,806.84998,165800,800.11267
2015-01-05,808.95001,821.29999,801,811.5,145100,804.72387
2015-01-06,809,831.59998,780,790.70001,461400,784.09756
2015-01-07,786.04999,821.65002,786,814.5,280600,807.69882
2015-01-08,820.29999,829.90002,817,825,217400,818.11114
2015-01-09,831.04999,834.90002,810.09998,815.75,183900,808.93838
2015-01-12,820,821.20001,806,816.29999,142200,809.48377
2015-01-13,813,825.65002,812.20001,821.95001,240900,815.08662
2015-01-14,822.5,854.79999,817.79999,841.09998,348100,834.07668
2015-01-15,859.95001,860,842.09998,847.79999,268200,840.72074
2015-01-16,850,859.90002,842.95001,848.15002,241900,841.06786
2015-01-19,841.09998,852.95001,826.29999,828.5,142700,821.58191
2015-01-20,834.40002,842.15002,828.5,832.04999,159400,825.10226
2015-01-21,834.34998,834.34998,812.04999,820.84998,164600,813.99577
2015-01-22,820.29999,835,813.90002,823.04999,121800,816.17741
2015-01-23,826,868.40002,816,849.40002,367600,842.30742
2015-01-26,849.40002,849.40002,849.40002,849.40002,0,842.30742
2015-01-27,854.90002,895.90002,850.70001,892.65002,577000,885.19628
2015-01-28,845,948,839.95001,919.59998,909000,911.92119
2015-01-29,928.59998,940,890,895,297600,887.52663
2015-01-30,898.65002,900,854,860.45001,234400,853.26514
2015-02-02,864,900,864,893.25,150300,885.79124
2015-02-03,899.90002,921.95001,889.90002,917.5,466000,909.83875
2015-02-04,917,939,897.95001,922.15002,202700,914.44995
2015-02-05,922,931.40002,902,910.70001,93300,903.09555
2015-02-06,914,918.95001,880.15002,886.79999,134000,879.39509
2015-02-09,882.95001,882.95001,860,864.54999,86400,857.33088
2015-02-10,864.54999,865,829,837.84998,245000,830.85382
2015-02-11,840.25,852,835,839.70001,191900,832.6884
2015-02-12,842,864.04999,830,855.65002,198600,848.50523
2015-02-13,860,895.90002,858,886.5,328100,879.09761
2015-02-16,894.95001,899.79999,874.40002,881.25,163400,873.89144
2015-02-17,881.25,881.25,881.25,881.25,0,873.89144
2015-02-18,881.25,885.45001,861.20001,880.40002,375100,873.04857
