"Date","AMBUJACEM.NS.Open","AMBUJACEM.NS.High","AMBUJACEM.NS.Low","AMBUJACEM.NS.Close","AMBUJACEM.NS.Volume","AMBUJACEM.NS.Adjusted"
2015-01-01,229,229.45,227.5,227.75,208300,219.6626
2015-01-02,228,231.7,228,230.95,582500,222.749
2015-01-05,230.95,233.3,229.55,230.65,967200,222.4597
2015-01-06,230,230,220.75,222.15,1479100,214.2615
2015-01-07,222,222.95,218.1,220.1,1172300,212.2843
2015-01-08,221.95,227.5,221.2,226.4,1084100,218.3606
2015-01-09,226.7,228.4,222.05,223.8,1225300,215.8529
2015-01-12,223.9,228.6,223.05,228,1035100,219.9038
2015-01-13,228,232.75,226.2,230.1,2105500,221.9292
2015-01-14,231.25,233.85,230.05,232.85,3179500,224.5815
2015-01-15,235.15,243.5,233.9,240.45,3732800,231.9117
2015-01-16,239.5,242.1,237.05,239.35,1204900,230.8507
2015-01-19,239.3,247.5,238.5,246.8,2395100,238.0362
2015-01-20,247,248.95,245.5,247.2,1960200,238.422
2015-01-21,248,248.4,243.35,246.65,1033500,237.8915
2015-01-22,247.1,249.95,245.1,249,2518000,240.1581
2015-01-23,250.1,253.4,245.3,252.5,2926600,243.5338
2015-01-26,252.5,252.5,252.5,252.5,0,243.5338
2015-01-27,250.5,251.5,245.2,250.2,2395300,241.3154
2015-01-28,248.25,252,247,249.05,2733600,240.2063
2015-01-29,248.1,257.05,247.35,255.95,2751200,246.8613
2015-01-30,255,256.3,241,248.75,2568700,239.9169
2015-02-02,250,250.8,243.55,249.25,845400,240.3992
2015-02-03,249.75,252.4,242.5,245.05,2247300,236.3483
2015-02-04,246.05,250.95,243,248.75,2304200,239.9169
2015-02-05,248,251.5,245.8,247.55,1218900,238.7595
2015-02-06,246.1,250.25,246,248.25,864000,239.4347
2015-02-09,247.15,251.3,244,246,807500,237.2646
2015-02-10,245,252.5,245,249.6,1479300,240.7368
2015-02-11,250,252,248.85,250.85,1570100,241.9424
2015-02-12,251.55,262,251.4,259.7,2027400,250.4781
2015-02-13,261.8,266,259,265.1,1674000,255.6864
2015-02-16,264.95,268,263.4,266.2,955000,256.7473
2015-02-17,266.2,266.2,266.2,266.2,0,256.7473
2015-02-18,265,271.5,265,270.1,2423400,260.5088
2015-02-19,273,273,262.1,265.05,2789400,255.6381
2015-02-20,265.25,266,261.15,263.1,830100,253.7574
2015-02-23,264.05,265,259.25,262.15,1068100,252.8411
2015-02-24,262.25,263.45,254,257.3,1165400,248.1633
2015-02-25,259.9,264.8,258.35,261.05,1385400,251.7801
2015-02-26,262,264,255.55,259.75,3015700,250.5263
2015-02-27,260.5,270.35,260.5,269.45,1907500,259.8819
2015-03-02,272,287,270.4,285.45,2832800,278.6227
2015-03-03,285.55,286,277.25,281,1657200,274.2791
2015-03-04,282.1,283.75,273,274.65,3325100,268.081
2015-03-05,275,276,269.05,273.35,1196800,266.8121
2015-03-06,273.35,273.35,273.35,273.35,0,266.8121
2015-03-09,274.6,275,261.55,263.75,1477600,257.4417
2015-03-10,264.8,266.05,258.5,259.5,1755300,253.2933
2015-03-11,260.85,263.8,256.15,259.85,1390300,253.635
2015-03-12,261,268.7,261,264.05,1700600,257.7345
2015-03-13,268,268.75,254,256,1480200,249.877
2015-03-16,257.9,259.65,255.15,256.65,976600,250.5115
2015-03-17,259.65,260.6,254.15,258.7,1014100,252.5125
2015-03-18,259.95,259.95,251,252.7,1030800,246.656
2015-03-19,256.8,256.8,250.2,251.7,1354300,245.6799
2015-03-20,254.2,258.5,243,255.2,1780800,249.0962
2015-03-23,256.05,259,252.2,256.15,1117400,250.0234
2015-03-24,254.9,258.5,251.85,253.35,662000,247.2904
2015-03-25,254.9,255.5,246.55,248.8,1470400,242.8492
2015-03-26,246.95,251.95,245.4,250.1,1416000,244.1182
2015-03-27,251.25,252.9,247.05,250.45,769700,244.4598
2015-03-30,252.85,257.9,249.85,257.1,789900,250.9507
2015-03-31,257.6,258.7,254,255.3,1383000,249.1938
2015-04-01,254.95,261.4,253.4,260.25,1346300,254.0254
2015-04-02,260.25,260.25,260.25,260.25,0,254.0254
2015-04-03,260.25,260.25,260.25,260.25,0,254.0254
2015-04-06,263.7,264.45,259.2,261.5,2100700,255.2455
2015-04-07,261.5,263.55,254.25,260.1,1385800,253.879
2015-04-08,260.3,266.35,256.6,257.65,1722600,251.4876
2015-04-09,260,260,253.55,256.15,1162900,250.0234
2015-04-10,256.2,259.3,255.35,258.3,771300,252.122
2015-04-13,259.8,260.2,254.5,257.6,1109300,251.4388
2015-04-14,257.6,257.6,257.6,257.6,0,251.4388
2015-04-15,260.4,262,257.6,259.95,2877800,253.7326
2015-04-16,260.9,260.9,250,252.5,3346800,246.4607
2015-04-17,250.4,250.95,245.75,246.85,1579600,240.9459
2015-04-20,246.25,253.25,243.8,248.05,1651600,242.1172
2015-04-21,247,247.95,239.25,240,1187300,234.2597
2015-04-22,240.7,243.6,236.15,242.05,2817500,236.2607
2015-04-23,243.85,246.9,236.1,237.6,1605600,231.9171
2015-04-24,238,238,231.7,233.35,1431800,227.7688
2015-04-27,234.45,234.45,228.7,230.15,1045600,224.6453
2015-04-28,229.9,231.95,224.05,230.55,3076900,225.0357
2015-04-29,230,241.5,228.2,238.3,4216700,232.6004
2015-04-30,235.55,240.8,231.5,232.4,2718600,226.8415
2015-05-01,232.4,232.4,232.4,232.4,0,226.8415
2015-05-04,234.3,243,232,241.3,1225000,235.5286
2015-05-05,241,241,235.8,239.2,1425900,233.4788
2015-05-06,239.2,239.4,224.55,226.8,1784800,221.3754
2015-05-07,225,232.45,222.3,231.4,1204500,225.8654
2015-05-08,232.75,239.95,231.65,233.2,1726600,227.6224
2015-05-11,233.95,239.4,230.55,238.5,966000,232.7956
2015-05-12,239.4,239.4,227.55,228.85,1408200,223.3764
2015-05-13,230.75,236.25,228,235.15,1485300,229.5257
2015-05-14,234.55,237.55,231.15,235.05,1388600,229.4281
2015-05-15,234.95,236.95,232.35,234.7,688500,229.0865
2015-05-18,235.45,242.9,233.6,240.7,1454300,234.943
2015-05-19,241.7,242.95,237.1,239,1281200,233.2836
2015-05-20,239.3,241.8,237.5,238.8,1327500,233.0884
2015-05-21,238.8,241.6,235.4,241.2,1900100,235.431
2015-05-22,241.2,244.65,240.1,241.6,1215600,235.8215
2015-05-25,241.5,241.7,231.2,232.3,1474300,226.7439
2015-05-26,233.25,233.9,226.1,226.8,2058000,221.3754
2015-05-27,225.7,230.45,225,227.6,1051800,222.1563
2015-05-28,228.15,232.1,225.8,229.95,1925300,224.4501
2015-05-29,230.45,239.8,229.75,237.6,3367800,231.9171
2015-06-01,237.6,241.05,237.55,239.9,896400,234.1621
2015-06-02,239.05,240.1,229.05,231.3,1281200,225.7678
2015-06-03,230.2,230.85,224.25,225.8,1280100,220.3994
2015-06-04,225.8,229.8,221.1,229,1682400,223.5228
2015-06-05,228.4,228.9,220.2,221.8,2306000,216.495
2015-06-08,221.2,225.35,220.2,223.05,1452700,217.7151
