"Date","ANDHRABANK.NS.Open","ANDHRABANK.NS.High","ANDHRABANK.NS.Low","ANDHRABANK.NS.Close","ANDHRABANK.NS.Volume","ANDHRABANK.NS.Adjusted"
2015-01-01,95,100.95,94,96.45,17072000,89.61
2015-01-02,97.25,98.05,95.65,96.25,4886200,89.43
2015-01-05,96.1,96.8,93.9,94.15,3937400,87.48
2015-01-06,93.6,93.6,88.65,89.35,4531700,83.02
2015-01-07,89.35,90.5,86.7,88.5,5134600,82.23
2015-01-08,89.65,91.75,89.5,91,3333500,84.55
2015-01-09,91.75,92.8,90.45,92.3,3581900,85.76
2015-01-12,91.5,94.6,91,94.35,3369600,87.66
2015-01-13,94.4,95,91,91.75,2960600,85.25
2015-01-14,91.3,93.1,90.2,91.25,3001000,84.78
2015-01-15,95.25,96.45,93.65,94.4,4234400,87.71
2015-01-16,94.9,94.9,91.75,92.7,2032700,86.13
2015-01-19,92.5,93.9,92.2,93.35,1626400,86.73
2015-01-20,93.5,94.9,92.5,93.35,1932700,86.73
2015-01-21,93.6,95.25,92.85,93.75,2503400,87.1
2015-01-22,93.95,94,91.55,91.95,1526300,85.43
2015-01-23,92.65,93.45,90.6,91.5,2799600,85.01
2015-01-26,91.5,91.5,91.5,91.5,0,85.01
2015-01-27,91.7,92.7,90.25,91.35,3425300,84.87
2015-01-28,91,92.85,90.4,91.8,2265700,85.29
2015-01-29,91.55,93,89.55,90.15,2881900,83.76
2015-01-30,91.35,93.95,85.1,91.1,19506700,84.64
2015-02-02,91.8,94.9,91.55,93.75,5312700,87.1
2015-02-03,94.75,94.9,91.05,91.9,4611500,85.39
2015-02-04,92.4,92.95,89.8,91,3259300,84.55
2015-02-05,91.2,91.35,85.85,86.6,3391600,80.46
2015-02-06,86.7,88.35,85.1,86.5,3930400,80.37
2015-02-09,86.4,87.1,83.65,84.4,2598100,78.42
2015-02-10,83.65,87.15,82.65,84.8,3206700,78.79
2015-02-11,85,87.3,84.25,86.6,2737700,80.46
2015-02-12,86.65,87.4,85.25,85.95,2252900,79.86
2015-02-13,86.05,88.8,85.75,88,3664400,81.76
2015-02-16,88.9,89.15,86.2,87.25,2201900,81.06
2015-02-17,87.25,87.25,87.25,87.25,0,81.06
2015-02-18,87.9,87.9,86.6,87,1551200,80.83
2015-02-19,87.5,87.6,85.2,86.25,1771300,80.14
2015-02-20,86.7,90.85,85.5,88.75,4067400,82.46
2015-02-23,89.1,89.45,86.25,86.55,1941000,80.41
2015-02-24,86.95,87.4,85.1,85.3,3475500,79.25
2015-02-25,86,86.3,84.6,84.8,1655200,78.79
2015-02-26,84.8,84.8,82.05,82.3,2898100,76.47
2015-02-27,83.05,85.6,82.7,85.25,2224500,79.21
2015-03-02,86.35,86.7,84.25,85.6,2058800,79.53
2015-03-03,85.9,87.5,84.3,87.1,2997900,80.93
2015-03-04,90,90.5,83.65,84.45,4136000,78.46
2015-03-05,84.7,85,83.25,84.3,2318100,78.32
2015-03-06,84.3,84.3,84.3,84.3,0,78.32
2015-03-09,83.8,84.2,81.85,82.25,2193800,76.42
2015-03-10,82.75,83.5,81,82.3,1857400,76.47
2015-03-11,82.3,83.4,81.8,82.3,1525400,76.47
2015-03-12,83,83.35,82.5,82.7,1018400,76.84
2015-03-13,83.3,83.5,80.3,80.65,1648100,74.93
2015-03-16,80.55,80.9,79.6,79.9,1596400,74.24
2015-03-17,80.3,80.7,78.1,79.45,1703700,73.82
2015-03-18,79.55,81.85,78.7,81.35,2065900,75.58
2015-03-19,81.55,82.1,78.5,78.95,2297900,73.35
2015-03-20,78.5,79.4,77.6,78.95,1881200,73.35
2015-03-23,78.55,79.5,78.1,78.9,1772000,73.31
2015-03-24,78.65,79.35,78.15,78.5,1566800,72.94
2015-03-25,78.95,79,78.1,78.5,1321400,72.94
2015-03-26,78.25,78.45,76.25,76.85,2521900,71.4
2015-03-27,78,79.5,75.75,79,2467300,73.4
2015-03-30,79.8,80.95,78.75,80.5,1301400,74.79
2015-03-31,80.9,81,78.85,79,1378800,73.4
2015-04-01,78.35,80.8,78.2,80.55,993000,74.84
2015-04-02,80.55,80.55,80.55,80.55,0,74.84
2015-04-03,80.55,80.55,80.55,80.55,0,74.84
2015-04-06,81.1,81.35,78.95,79.4,1406700,73.77
2015-04-07,79.5,80.35,78.65,79,1899800,73.4
2015-04-08,79.4,81.45,79.2,79.7,1581900,74.05
2015-04-09,80.3,82.25,79.15,81.9,2694300,76.09
2015-04-10,82.25,82.65,81.2,81.7,1371800,75.91
2015-04-13,81.85,84.45,81.6,83.45,1571500,77.53
2015-04-14,83.45,83.45,83.45,83.45,0,77.53
2015-04-15,83.5,87.65,83.25,85.35,2843700,79.3
2015-04-16,85.4,85.9,82.65,83.75,1701200,77.81
2015-04-17,83.8,85.4,82.8,83.1,2220900,77.21
2015-04-20,83.3,84.1,79.65,80.4,2072000,74.7
2015-04-21,80.35,81.7,79.65,79.95,2396000,74.28
