"Date","APOLLOHOSP.NS.Open","APOLLOHOSP.NS.High","APOLLOHOSP.NS.Low","APOLLOHOSP.NS.Close","APOLLOHOSP.NS.Volume","APOLLOHOSP.NS.Adjusted"
2015-01-01,1131,1137,1119,1125.9,76800,1116.212
2015-01-02,1125.05,1139,1123.55,1127.85,172900,1118.145
2015-01-05,1127.85,1144.5,1126.05,1131.6,137800,1121.863
2015-01-06,1129.55,1135.6,1090.75,1097.9,164500,1088.453
2015-01-07,1110,1114,1079.75,1106.5,208400,1096.979
2015-01-08,1110.05,1139,1103.7,1126.35,228500,1116.658
2015-01-09,1134.3,1136.8,1106.05,1124.65,148200,1114.973
2015-01-12,1126,1129.85,1112,1118.45,59600,1108.826
2015-01-13,1119,1157.2,1119,1150.1,327400,1140.204
2015-01-14,1154.4,1178.65,1152,1160.55,338800,1150.564
2015-01-15,1162.05,1168.55,1140,1147.9,117600,1138.023
2015-01-16,1155.75,1191.5,1151.8,1185.8,343900,1175.597
2015-01-19,1203,1209,1192.1,1200.25,417900,1189.923
2015-01-20,1201.1,1220,1195.45,1210.7,194900,1200.283
2015-01-21,1220,1237.95,1212.35,1224.9,257500,1214.36
2015-01-22,1224.9,1248.8,1224.9,1241.7,192700,1231.016
2015-01-23,1246,1307.8,1242.05,1294.1,241900,1282.965
2015-01-26,1294.1,1294.1,1294.1,1294.1,0,1282.965
2015-01-27,1285,1367.05,1276.55,1349.15,372100,1337.541
2015-01-28,1345,1439.9,1332,1421.5,473800,1409.269
2015-01-29,1411,1416.85,1353.2,1359.35,228600,1347.654
2015-01-30,1389.95,1390.1,1301.65,1313.55,294900,1302.248
2015-02-02,1350,1359.2,1310.1,1349.35,202500,1337.74
2015-02-03,1354,1356.5,1287.05,1296.75,161000,1285.592
2015-02-04,1300.9,1328.35,1298.45,1309.5,151300,1298.233
2015-02-05,1315,1332,1288.55,1294.65,127300,1283.51
2015-02-06,1299,1301.9,1257.55,1263.3,108700,1252.43
2015-02-09,1250,1259.85,1226.9,1232.4,86300,1221.796
2015-02-10,1226.25,1244.55,1211,1215.25,144500,1204.793
2015-02-11,1221,1289,1217.5,1277.5,259900,1266.508
2015-02-12,1289.7,1310,1272.7,1295.15,207200,1284.006
2015-02-13,1296,1302,1287.6,1297.4,101900,1286.237
2015-02-16,1305,1321.25,1276.8,1298.65,174300,1287.476
2015-02-17,1298.65,1298.65,1298.65,1298.65,0,1287.476
2015-02-18,1312,1312,1295,1306,311600,1294.763
2015-02-19,1310,1317.95,1292.25,1305.55,45900,1294.317
2015-02-20,1307,1348.9,1292.65,1335.9,188300,1324.405
2015-02-23,1349.95,1382.6,1349.45,1357.4,314100,1345.72
2015-02-24,1357.3,1383.25,1345,1352.9,175000,1341.259
2015-02-25,1360,1369.9,1308,1313.15,92200,1301.851
2015-02-26,1314,1328,1290.55,1299.85,220800,1288.666
2015-02-27,1303,1321.8,1290.1,1302.15,184400,1290.946
2015-03-02,1313,1362,1312,1348.1,214100,1336.5
2015-03-03,1349.55,1412.95,1349.5,1404.3,261900,1392.217
2015-03-04,1420,1428.85,1375.2,1417.9,314300,1405.7
2015-03-05,1425,1453.35,1387.15,1408.5,229100,1396.381
2015-03-06,1408.5,1408.5,1408.5,1408.5,0,1396.381
2015-03-09,1408.5,1408.5,1357,1363.15,156100,1351.421
2015-03-10,1370.25,1388.85,1342.25,1358.05,106000,1346.365
2015-03-11,1363,1382.5,1337.5,1347.1,130400,1335.509
2015-03-12,1350,1377,1324.6,1361.35,117800,1349.636
2015-03-13,1366,1404.9,1365.45,1382.4,173200,1370.505
2015-03-16,1383.9,1429.85,1362,1423.25,160800,1411.004
2015-03-17,1431,1464,1415,1451.05,283000,1438.565
2015-03-18,1463.8,1478.7,1435.3,1440.85,198100,1428.452
2015-03-19,1455.95,1463,1438.15,1447.2,141400,1434.748
2015-03-20,1438,1447.2,1406,1414.2,391000,1402.032
2015-03-23,1415.75,1429.1,1352.2,1357.2,225800,1345.522
2015-03-24,1354.1,1370,1334,1355.15,175300,1343.49
2015-03-25,1350.05,1442,1350.05,1425.75,338900,1413.482
2015-03-26,1421,1426.1,1378,1387.2,414100,1375.264
2015-03-27,1387.2,1394.55,1317.5,1353.95,172200,1342.3
2015-03-30,1370,1398.1,1333.05,1340.55,197200,1329.015
2015-03-31,1338,1379.85,1333,1369.2,188400,1357.419
2015-04-01,1351,1393.85,1351,1390,132800,1378.04
2015-04-02,1390,1390,1390,1390,0,1378.04
2015-04-03,1390,1390,1390,1390,0,1378.04
2015-04-06,1394.9,1429.8,1380,1411.15,231200,1399.008
2015-04-07,1415,1424.95,1390,1401.6,149300,1389.54
2015-04-08,1403,1422,1376,1381.95,305100,1370.059
2015-04-09,1382,1393,1356.5,1369.6,199900,1357.815
2015-04-10,1369.5,1403.5,1365,1395.7,180100,1383.691
2015-04-13,1400,1412.4,1384.2,1399.65,178700,1387.607
2015-04-14,1399.65,1399.65,1399.65,1399.65,0,1387.607
2015-04-15,1406.7,1409,1378.05,1387.55,110600,1375.611
2015-04-16,1392,1405,1356.6,1377.15,192400,1365.3
2015-04-17,1379.9,1379.9,1305,1318.3,282500,1306.957
2015-04-20,1316,1321.15,1266.65,1279.75,170700,1268.739
2015-04-21,1286.9,1291,1220.15,1223.45,259500,1212.923
2015-04-22,1223,1281.8,1215.1,1262.85,471000,1251.984
2015-04-23,1266,1307.5,1266,1297.6,518300,1286.435
2015-04-24,1305,1308.6,1275,1295.35,370600,1284.204
2015-04-27,1290,1294.8,1147.3,1177.3,450200,1167.17
2015-04-28,1175,1190.45,1148,1167.5,476800,1157.454
2015-04-29,1165,1181.85,1155.5,1165,372200,1154.976
2015-04-30,1165,1174.9,1130,1137.15,548800,1127.366
2015-05-01,1137.15,1137.15,1137.15,1137.15,0,1127.366
2015-05-04,1143,1210,1143,1201.6,224200,1191.261
2015-05-05,1207.9,1215,1183,1200.75,80700,1190.418
2015-05-06,1202,1227.6,1152,1174.05,175800,1163.948
2015-05-07,1180,1189.8,1146.45,1169.05,201400,1158.991
2015-05-08,1179,1193.85,1171.8,1185.95,80200,1175.746
2015-05-11,1186.1,1286.9,1185,1250.6,438600,1239.839
2015-05-12,1248.2,1249,1218.7,1238.95,129000,1228.29
2015-05-13,1243.7,1269.8,1214.65,1235.6,446200,1224.968
2015-05-14,1236.1,1254.95,1214.05,1247.55,383200,1236.816
2015-05-15,1248.05,1262,1227,1248.7,184800,1237.956
2015-05-18,1254.4,1276,1245.9,1272.35,158100,1261.402
2015-05-19,1278.4,1295,1252,1274.9,223400,1263.93
2015-05-20,1279.4,1317.05,1273.4,1306.55,195300,1295.308
2015-05-21,1320,1333,1289.25,1296.65,237500,1285.493
2015-05-22,1299.95,1318.05,1286.1,1309.15,117700,1297.886
2015-05-25,1302.1,1309.1,1270.8,1277,110200,1266.012
2015-05-26,1284.1,1284.4,1230,1240.05,223800,1229.38
2015-05-27,1230,1238.5,1221,1226.85,149400,1216.294
2015-05-28,1229.55,1251,1191.3,1222.25,438200,1211.733
2015-05-29,1220,1238.45,1204,1212.55,417200,1202.117
2015-06-01,1212.7,1233,1204,1225.35,181300,1214.807
2015-06-02,1224,1224,1201.3,1207,112400,1196.614
2015-06-03,1208.05,1221,1150,1212.8,277100,1202.365
2015-06-04,1211.75,1225,1189.8,1213.9,152900,1203.455
2015-06-05,1224.35,1224.35,1190,1195.75,90100,1185.461
2015-06-08,1202.1,1219.8,1195.75,1210.7,111300,1200.283
2015-06-09,1214,1214,1165.55,1171.95,251900,1161.866
2015-06-10,1164,1216,1164,1204.15,134500,1193.789
2015-06-11,1215,1230.3,1201.2,1219.25,297900,1208.759
2015-06-12,1214,1217.8,1171,1178.35,129200,1168.211
2015-06-15,1156,1250,1155,1185.75,111200,1175.547
2015-06-16,1173,1215,1173,1192.35,200600,1182.091
2015-06-17,1200.95,1206.8,1180.65,1187.85,174400,1177.629
2015-06-18,1190.05,1203.5,1182,1189.4,185900,1179.166
2015-06-19,1194.4,1259,1193.4,1253,453900,1242.219
2015-06-22,1256,1304.9,1241.95,1298.35,409300,1287.178
2015-06-23,1300,1306.5,1268,1275.75,265000,1264.773
2015-06-24,1278.5,1294.7,1267.1,1284.05,113500,1273.002
2015-06-25,1285,1309.9,1278.9,1301.1,295100,1289.905
2015-06-26,1298.35,1325,1293.3,1309.55,283400,1298.282
2015-06-29,1298,1303.2,1266.15,1283.25,163200,1272.208
2015-06-30,1283.25,1326,1279.9,1315.95,273100,1304.627
2015-07-01,1314.8,1357.9,1307,1330.7,402100,1319.25
2015-07-02,1332,1355.4,1316,1319.55,153600,1308.196
2015-07-03,1316,1335,1290.1,1301.1,143500,1289.905
2015-07-06,1290,1321,1282.4,1299.3,294800,1288.12
2015-07-07,1303,1323,1295.05,1303.35,135600,1292.135
2015-07-08,1286,1334,1280.6,1314.05,336700,1302.743
2015-07-09,1317,1348,1316,1323.8,310900,1312.41
2015-07-10,1323,1335.6,1310,1328.55,158800,1317.119
2015-07-13,1328,1347,1322,1338,175300,1326.487
2015-07-14,1345.45,1355.8,1335.95,1349.2,144400,1337.591
2015-07-15,1352,1378.75,1340,1363.6,211400,1351.867
2015-07-16,1364.9,1383.9,1361.45,1369.6,104900,1357.815
2015-07-17,1369,1381.7,1353.6,1359.35,107900,1347.654
2015-07-20,1369.4,1370,1343.6,1350.4,80000,1338.781
2015-07-21,1350,1364.6,1339.6,1344.7,100300,1333.13
2015-07-22,1340,1369.9,1325,1367.2,103100,1355.436
2015-07-23,1367,1398,1356,1379.75,818200,1367.878
2015-07-24,1392,1404.4,1370.2,1379.1,286200,1367.234
2015-07-27,1382.75,1384.7,1352.7,1359.6,239700,1347.901
2015-07-28,1367.2,1367.2,1314,1331.7,118600,1320.241
2015-07-29,1322,1343,1315,1324.5,197100,1313.103
2015-07-30,1334.6,1346.05,1320.05,1328.25,172300,1322.563
2015-07-31,1329,1368,1329,1359.85,210200,1354.027
2015-08-03,1386,1386,1355,1378.7,197900,1372.797
2015-08-04,1382,1388,1351.8,1368.55,162800,1362.69
2015-08-05,1380.65,1388.1,1364.05,1373.9,132300,1368.017
2015-08-06,1380.75,1442,1380.05,1431.25,457000,1425.122
2015-08-07,1432,1463.85,1431.05,1436.9,325800,1430.748
2015-08-10,1436,1456,1436,1445.6,200600,1439.41
2015-08-11,1455,1476.2,1397.7,1427.95,378400,1421.836
2015-08-12,1420,1420,1340.05,1363.1,226700,1357.264
2015-08-13,1370,1385,1329.65,1336.75,168700,1331.026
2015-08-14,1341,1375,1339.2,1352.45,168200,1346.659
2015-08-17,1368,1382.8,1333.4,1374.45,93800,1368.565
2015-08-18,1381,1386.95,1340,1352.85,123900,1347.057
