"Date","APOLLOTYRE.NS.Open","APOLLOTYRE.NS.High","APOLLOTYRE.NS.Low","APOLLOTYRE.NS.Close","APOLLOTYRE.NS.Volume","APOLLOTYRE.NS.Adjusted"
2015-01-01,222,225,222,223.6,836600,218.73
2015-01-02,222.25,226,222.1,223.65,1850700,218.78
2015-01-05,222.2,231.35,222.2,229.6,3668100,224.6
2015-01-06,230.3,230.7,220.7,221.65,3767300,216.82
2015-01-07,221.7,223.6,214.5,218.8,2441100,214.04
2015-01-08,222.3,227.25,220.65,226.65,1751400,221.71
2015-01-09,228.1,228.6,221.35,224.1,1659200,219.22
2015-01-12,223.95,226.8,220.1,225.4,2008400,220.49
2015-01-13,226.75,228.4,222.05,223.65,2742500,218.78
2015-01-14,223,225.75,217.75,219.1,1998700,214.33
2015-01-15,222.05,225.9,218.9,222.4,2777500,217.56
2015-01-16,222.3,227.8,221.15,226.3,2398200,221.37
2015-01-19,226.4,230.65,224.5,228.85,2284100,223.87
2015-01-20,229.8,237.7,229.4,235.25,3144000,230.13
2015-01-21,235.65,236.45,228.1,232.35,2929500,227.29
2015-01-22,233,234.25,228.4,231.05,1870100,226.02
2015-01-23,232,233.15,225.05,225.8,2269900,220.88
2015-01-26,225.8,225.8,225.8,225.8,0,220.88
2015-01-27,226.3,231.5,222.85,230.9,2313300,225.87
2015-01-28,227.2,233.75,224.15,226.85,2919000,221.91
2015-01-29,227.2,236.4,225,234.95,3050600,229.83
2015-01-30,236.75,246,234,242.55,6004500,237.27
2015-02-02,243.5,248.95,241.75,243.15,3574100,237.86
2015-02-03,245.7,249.8,236.2,238.55,6014200,233.36
2015-02-04,239,241.1,229.55,231.2,1996700,226.17
2015-02-05,231.05,233.4,225.8,226.85,1462000,221.91
2015-02-06,227,228.9,211,213.65,3519300,209
2015-02-09,204.1,204.75,177.55,187.1,19661600,183.03
2015-02-10,185.15,191.95,178.5,181.85,12258400,177.89
2015-02-11,183.5,183.9,176.5,179.65,8018800,175.74
2015-02-12,180.9,185.4,176.55,183.4,8673100,179.41
2015-02-13,185,185.7,181.55,182.7,3962200,178.72
2015-02-16,184.2,189.5,180.2,186.95,6955800,182.88
2015-02-17,186.95,186.95,186.95,186.95,0,182.88
2015-02-18,188,189.95,185.15,185.9,3068000,181.85
2015-02-19,187.4,187.4,177.85,182.2,4601700,178.23
2015-02-20,182,184.8,179.45,183.15,2885500,179.16
2015-02-23,184,184.5,173.8,175.1,4539200,171.29
2015-02-24,173.8,177.45,170.45,176.8,8951400,172.95
2015-02-25,178,178.75,172.55,173.4,4882200,169.62
2015-02-26,173.55,176.2,171.5,174.75,5597100,170.94
2015-02-27,175.95,180.45,173.85,179.9,3780100,175.98
2015-03-02,177,180,173.65,178.65,2906200,174.76
2015-03-03,178.8,183.4,176,179,3007700,175.1
2015-03-04,180.3,180.7,173,174.3,4296400,170.5
2015-03-05,174.65,176.8,173.85,175.1,2425500,171.29
2015-03-06,175.1,175.1,175.1,175.1,0,171.29
2015-03-09,174,176.6,172.1,174.15,1376400,170.36
2015-03-10,175.65,176,171.25,173.7,2324100,169.92
2015-03-11,173.05,175.9,171.85,173.55,1957300,169.77
2015-03-12,174.5,177.6,174.5,175.6,2180700,171.78
2015-03-13,174,175,167.6,169.95,4836000,166.25
2015-03-16,170,172.6,165,169.2,5349800,165.52
2015-03-17,170.9,171.35,166.1,168.85,2919900,165.17
2015-03-18,169.35,169.6,167,167.95,1934900,164.29
2015-03-19,168.6,170.35,165.4,166.3,2699400,162.68
2015-03-20,166.7,166.8,160.1,162.05,3307100,158.52
2015-03-23,162.1,163.45,158.8,162.3,1973900,158.77
2015-03-24,161.2,163.9,160.7,161.65,3007600,158.13
2015-03-25,162.95,162.95,161.15,161.45,1764900,157.93
2015-03-26,159,161,156.7,157.8,5774800,154.36
2015-03-27,158.1,160.75,155,159.95,2705000,156.47
2015-03-30,162.55,166.1,161.4,165.3,4165800,161.7
2015-03-31,166.25,173.15,163.2,168.25,10527700,164.59
2015-04-01,169.65,175.9,169,175.2,3515200,171.39
2015-04-02,175.2,175.2,175.2,175.2,0,171.39
2015-04-03,175.2,175.2,175.2,175.2,0,171.39
2015-04-06,176.7,179.5,174.3,177.35,2173500,173.49
2015-04-07,178.7,181.7,175.55,180.35,3234000,176.42
2015-04-08,181.2,184.6,180.4,182.15,5641900,178.18
2015-04-09,182.65,183.7,178.05,181.95,2611700,177.99
2015-04-10,182.45,182.45,179.45,180.45,3079100,176.52
2015-04-13,181.2,189.25,180.5,188,3897400,183.91
2015-04-14,188,188,188,188,0,183.91
2015-04-15,189.4,194,188.25,190.75,4694300,186.6
2015-04-16,191.55,193.95,187.7,191.85,3214200,187.67
2015-04-17,191.2,191.2,184,185.1,1841500,181.07
2015-04-20,185.55,186.85,181,183.35,2234000,179.36
