"Date","ARVIND.NS.Open","ARVIND.NS.High","ARVIND.NS.Low","ARVIND.NS.Close","ARVIND.NS.Volume","ARVIND.NS.Adjusted"
2015-01-01,282.9,283.65,280.25,281.5,686100,276.94
2015-01-02,282.7,289.2,280.55,281.8,1670100,277.24
2015-01-05,282.5,284.4,280.4,281.2,1081500,276.65
2015-01-06,279.9,279.9,260.1,262.45,2345400,258.2
2015-01-07,261.25,267,256.3,264.1,2041900,259.83
2015-01-08,268.3,270.95,265.6,269.65,1482400,265.29
2015-01-09,273.25,274.4,261.3,266.75,1759100,262.43
2015-01-12,267.45,271.45,264.65,268.85,1209900,264.5
2015-01-13,270,273.3,262.2,264.05,1697900,259.78
2015-01-14,263.15,271.5,263.15,270.7,2168700,266.32
2015-01-15,273.15,276.75,268,271.6,1445500,267.2
2015-01-16,270.5,276.15,266.7,273.1,1534800,268.68
2015-01-19,274.3,280,273.55,278.65,1511700,274.14
2015-01-20,279,282.3,276.5,279.05,1435000,274.53
2015-01-21,280.5,282.45,273.15,275.2,1331800,270.75
2015-01-22,276.7,278.85,269.15,272.95,1045400,268.53
2015-01-23,275.9,277,268.65,270.3,1490500,265.92
2015-01-26,270.3,270.3,270.3,270.3,0,265.92
2015-01-27,270,272.45,265.3,270.55,1201300,266.17
2015-01-28,270,274.2,267.35,271.9,1218800,267.5
2015-01-29,271,297.6,269.15,295,5600500,290.23
2015-01-30,297.05,300.25,287.3,290.75,3218300,286.04
2015-02-02,287,296.6,281.8,283.6,2189700,279.01
2015-02-03,285,302.5,280.25,300.15,3014700,295.29
2015-02-04,302.35,305.9,288,292,3404500,287.27
2015-02-05,291.5,304.4,283.7,287.55,4702400,282.9
2015-02-06,287.85,287.95,276.6,283.1,2346600,278.52
2015-02-09,281,287,275.1,280.95,1403600,276.4
2015-02-10,281,288.5,272.5,287,1736500,282.35
2015-02-11,289.65,299.9,288.25,297.05,2003800,292.24
2015-02-12,299.9,316,299.05,311.4,5523200,306.36
2015-02-13,313.3,317.9,311,313.25,2098600,308.18
2015-02-16,312.35,312.6,304.5,307.2,1392800,302.23
2015-02-17,307.2,307.2,307.2,307.2,0,302.23
2015-02-18,309,319.85,308.5,314.7,2383400,309.61
2015-02-19,315.9,318.4,306.9,308.85,2176700,303.85
2015-02-20,308.95,313.8,305.25,310.05,1586200,305.03
2015-02-23,311.3,312.7,297.45,300.85,1461200,295.98
2015-02-24,300.25,303.6,294.9,301.75,1181600,296.87
2015-02-25,302.5,305.3,295.8,297.2,1117600,292.39
2015-02-26,297.95,306.3,295.05,300.95,2201100,296.08
2015-02-27,302.3,308.85,302,306.75,1357700,301.78
2015-03-02,308,317.4,306.35,314.75,1679700,309.66
2015-03-03,315.95,327,313.85,320.45,2862500,315.26
2015-03-04,322.25,325,305,308.55,2023900,303.56
2015-03-05,308,313.5,306.45,310.9,1206900,305.87
2015-03-06,310.9,310.9,310.9,310.9,0,305.87
2015-03-09,308,310.5,301.25,303.05,781900,298.14
2015-03-10,302.65,307.4,296.3,300.3,907300,295.44
2015-03-11,300,303.9,293.65,294.5,1310100,289.73
2015-03-12,295.5,301.75,295.05,297.2,1507600,292.39
2015-03-13,299,306.55,284.45,286.5,2675100,281.86
2015-03-16,286.65,292.4,284.3,290.4,1215600,285.7
2015-03-17,292.1,298.2,289.5,296,1492800,291.21
2015-03-18,298.5,299.35,292.5,293.5,741300,288.75
2015-03-19,295.5,298.2,283,286.05,933100,281.42
2015-03-20,285.9,286.95,273,274,1707000,269.56
2015-03-23,275.95,276.05,264.2,266.7,1345900,262.38
2015-03-24,266.8,271.65,255.5,256.2,2606800,252.05
2015-03-25,256,263.8,252.9,261.95,2305900,257.71
2015-03-26,259.9,267,258,260.6,2126400,256.38
2015-03-27,262.7,266.8,252.1,263.4,1929300,259.14
2015-03-30,266.3,269.9,262.15,268.45,1364500,264.1
2015-03-31,269.65,269.85,260.6,261.7,1340100,257.46
2015-04-01,260.85,268.2,259,267.2,1169400,262.88
2015-04-02,267.2,267.2,267.2,267.2,0,262.88
2015-04-03,267.2,267.2,267.2,267.2,0,262.88
2015-04-06,266.1,272.25,265,269.8,1118300,265.43
2015-04-07,269.8,280.7,266.15,279,2017800,274.48
2015-04-08,280.3,287.9,276.7,280.2,2832300,275.66
2015-04-09,281.3,285.05,277,280.3,1217700,275.76
2015-04-10,280.65,286.9,278.35,283.25,1641100,278.67
2015-04-13,283.6,286.8,279.75,281.35,1817200,276.8
2015-04-14,281.35,281.35,281.35,281.35,0,276.8
2015-04-15,282.1,290,280.1,283.6,1788900,279.01
2015-04-16,283.2,285.45,275.5,280.75,1886300,276.21
2015-04-17,279.9,282.8,273,274.95,1168900,270.5
2015-04-20,274.75,275,259.6,262.65,2012000,258.4
2015-04-21,261.9,266.75,259.5,261.85,1861000,257.61
2015-04-22,261.85,267.4,254.5,265.9,1302100,261.6
2015-04-23,267,268.8,262.85,263.8,1175600,259.53
2015-04-24,264,265.95,255.65,257.15,1315700,252.99
2015-04-27,257,257.65,246.5,247.7,1137500,243.69
2015-04-28,245,254.8,243.5,252.8,1358900,248.71
2015-04-29,252.6,258.85,249.5,257.25,1381100,253.09
2015-04-30,256.2,259,251,254.1,1160500,249.99
2015-05-01,254.1,254.1,254.1,254.1,0,249.99
2015-05-04,255.45,273.65,255.15,272.3,2188300,267.89
2015-05-05,271.9,274,268.1,271.15,886000,266.76
2015-05-06,268.65,270.6,252.3,253.95,1414900,249.84
2015-05-07,253.5,257.2,234.55,238.65,2527500,234.79
2015-05-08,242.1,250.4,242.1,249.1,1260700,245.07
2015-05-11,251,258.4,251,256.65,1064500,252.5
2015-05-12,256.8,257,245.35,250.2,1211300,246.15
