"Date","ASHOKLEY.NS.Open","ASHOKLEY.NS.High","ASHOKLEY.NS.Low","ASHOKLEY.NS.Close","ASHOKLEY.NS.Volume","ASHOKLEY.NS.Adjusted"
2015-01-01,51.5,52.35,51.15,52,9569900,51.116
2015-01-02,52.5,53.55,52.25,53.4,18661400,52.492
2015-01-05,55,58.25,54.55,57.8,49786000,56.817
2015-01-06,57,57.45,55.75,56.55,37028200,55.588
2015-01-07,56.8,60.25,56.5,59.65,35710200,58.635
2015-01-08,61,61.75,60.5,61.25,36537600,60.208
2015-01-09,61.5,61.9,57.55,58.7,21977300,57.702
2015-01-12,58.7,60.65,58.05,60.3,16143900,59.274
2015-01-13,60.2,61,59.35,59.8,15337200,58.783
2015-01-14,60,60.3,58.7,58.95,14792500,57.947
2015-01-15,60.1,61.15,59.45,60.25,13804200,59.225
2015-01-16,60.3,62,59.7,60.35,23762100,59.324
2015-01-19,60.8,61.25,60.3,60.5,11663900,59.471
2015-01-20,60.6,61.5,60.3,61.1,10125800,60.061
2015-01-21,61.7,63.95,61.6,63.75,25784000,62.666
2015-01-22,63.95,64.2,62.75,63.1,12502400,62.027
2015-01-23,63.85,64.9,62.9,64.3,15263900,63.206
2015-01-26,64.3,64.3,64.3,64.3,0,63.206
2015-01-27,64.65,66.3,64.35,66.1,14105800,64.976
2015-01-28,66.1,68.4,66.1,68.15,25022500,66.991
2015-01-29,68.4,69.15,65.15,65.95,39226100,64.828
2015-01-30,65.75,67.4,65.25,65.7,21976300,64.583
2015-02-02,65.7,66.95,65.5,66.05,13879600,64.927
2015-02-03,66.65,66.95,64.35,64.9,12799800,63.796
2015-02-04,65.25,65.35,62.9,63.9,11232100,62.813
2015-02-05,63.7,64.9,61.85,62.45,12489500,61.388
2015-02-06,62.7,62.7,60,60.9,11857600,59.864
2015-02-09,60,60.15,56.85,57.35,13899900,56.375
2015-02-10,56.95,61.9,56,60.85,31635200,59.815
2015-02-11,61.6,64.8,61.5,64.3,20924200,63.206
2015-02-12,64.95,67.45,64.75,67.2,18759400,66.057
2015-02-13,67.45,68.1,66.2,67,15905700,65.86
2015-02-16,67.15,67.7,65.8,66.2,10564500,65.074
2015-02-17,66.2,66.2,66.2,66.2,0,65.074
2015-02-18,66.3,69.7,66.1,69.2,23944000,68.023
2015-02-19,69.85,71.15,68.35,70.1,23926700,68.908
2015-02-20,70.05,70.5,67.8,68.2,14361300,67.04
2015-02-23,68.5,69.35,67,67.6,12147700,66.45
2015-02-24,67.45,67.45,66.05,66.75,13094200,65.615
2015-02-25,67.4,68.1,66.75,67,9149500,65.86
2015-02-26,67.45,67.45,64.5,64.9,15361700,63.796
2015-02-27,65.35,67.2,64.9,66.9,12147200,65.762
2015-03-02,71.7,73.2,70.8,72.95,31830200,71.709
2015-03-03,73.7,74.5,72.15,73.95,19374100,72.692
2015-03-04,74.9,74.9,71.05,71.95,17883000,70.726
2015-03-05,72.25,74.05,71.3,73.8,15541700,72.545
2015-03-06,73.8,73.8,73.8,73.8,0,72.545
