"Date","ASIANPAINT.NS.Open","ASIANPAINT.NS.High","ASIANPAINT.NS.Low","ASIANPAINT.NS.Close","ASIANPAINT.NS.Volume","ASIANPAINT.NS.Adjusted"
2015-01-01,751.1,754.5,747,749.15,284900,737.1364
2015-01-02,751.25,781.45,751.25,775.05,2080800,762.621
2015-01-05,779.9,787.9,772.7,775,1326900,762.5718
2015-01-06,775,783,750.4,756.5,1510700,744.3685
2015-01-07,763.4,778.35,759.25,771.7,1427600,759.3248
2015-01-08,783.8,822.9,778.1,820.35,2769400,807.1946
2015-01-09,828.45,829,804.05,812.5,1708400,799.4705
2015-01-12,813.05,818.4,800.2,807.75,1320500,794.7967
2015-01-13,813,842.45,812.1,833.85,3835200,820.4781
2015-01-14,840,850,830.2,842.65,2320100,829.137
2015-01-15,849,850,833,839.35,1308000,825.8899
2015-01-16,844.9,859,840,843.45,1568600,829.9242
2015-01-19,846,848,829.55,831.9,1041500,818.5594
2015-01-20,835,847,835,839.2,1314100,825.7423
2015-01-21,845,855.9,839.2,851.3,1663300,837.6483
2015-01-22,856.5,881.65,852.85,867.15,1995100,853.2441
2015-01-23,870.8,879.95,860.1,862.1,1531400,848.2751
2015-01-26,862.1,862.1,862.1,862.1,0,848.2751
2015-01-27,868.9,892.8,865.5,890.5,1831200,876.2196
2015-01-28,893.05,921,891.05,910.25,2895700,895.6529
2015-01-29,913.8,922.5,867.2,881.3,5326200,867.1672
2015-01-30,888.5,888.5,854.1,857.75,3291000,843.9948
2015-02-02,850,851.1,803.5,808.1,4808500,795.141
2015-02-03,809.8,826.5,802,814.7,3048500,801.6352
2015-02-04,819.8,823.2,800.8,803.85,912300,790.9592
2015-02-05,812,826.4,808,810.85,1668100,797.8469
2015-02-06,810,815,788.8,797.65,1668200,784.8586
2015-02-09,790,822,783.4,803.65,1910600,790.7624
2015-02-10,801.9,829.9,799.85,822.2,2235600,809.0149
2015-02-11,830,845,828,840.75,1227800,827.2675
2015-02-12,847,849.9,819.35,823.75,1974100,810.5401
2015-02-13,824.35,834.95,815.05,826.75,1323400,813.492
2015-02-16,834,842.5,818,834.15,1584900,820.7733
2015-02-17,834.15,834.15,834.15,834.15,0,820.7733
2015-02-18,839.1,842,819.7,821.05,1448300,807.8834
2015-02-19,826,838,826,834.1,1216900,820.7241
2015-02-20,834.25,836.1,823.2,825.7,699100,812.4588
2015-02-23,829.5,833,806.1,809.6,1434200,796.617
2015-02-24,810,813.5,798,799.55,1141000,786.7281
2015-02-25,805.2,816,805,813.85,1537300,800.7988
2015-02-26,818.8,819.9,787.2,791.9,1600500,779.2009
2015-02-27,799.1,809.1,796.1,807.15,1272000,794.2063
2015-03-02,823.8,830.6,806,825.6,1383100,812.3604
2015-03-03,829.85,842,827.2,838.3,1617800,824.8567
2015-03-04,844.5,848.2,832.4,836.8,1600600,823.3808
2015-03-05,837,841.55,828,833.9,694100,820.5273
2015-03-06,833.9,833.9,833.9,833.9,0,820.5273
2015-03-09,832.5,832.5,808.85,812.65,626400,799.6181
2015-03-10,813,818,802,807.95,691200,794.9935
