"Date","AXISBANK.NS.Open","AXISBANK.NS.High","AXISBANK.NS.Low","AXISBANK.NS.Close","AXISBANK.NS.Volume","AXISBANK.NS.Adjusted"
2015-01-01,502.65,504,499.05,503.05,1351900,494.41
2015-01-02,503.2,516.9,501.7,514.3,3852800,505.47
2015-01-05,516.9,520.4,515.1,517.55,2561400,508.66
2015-01-06,513.55,513.55,496.75,499.05,5284500,490.48
2015-01-07,498.8,505.35,494.5,498.65,4245100,490.09
2015-01-08,506,507,494.65,501.95,5637800,493.33
2015-01-09,504.9,505.9,487,494.95,5078400,486.45
2015-01-12,495,503.8,492.15,501.55,2290100,492.94
2015-01-13,504,511.7,500.3,504.5,4069200,495.84
2015-01-14,504.5,505.75,494.2,499.6,2973200,491.02
2015-01-15,523.45,523.95,511.1,514.05,6670800,505.22
2015-01-16,516.6,521.5,512.6,514.8,6920700,505.96
2015-01-19,519.45,531.8,516.85,528.95,6113100,519.87
2015-01-20,532.55,554.7,531.1,551.4,6934500,541.93
2015-01-21,553,556.8,545.55,547.25,4459300,537.86
2015-01-22,549.7,567.15,547.8,564.75,5546800,555.05
2015-01-23,571,577.4,560.3,565.15,4975100,555.45
2015-01-26,565.15,565.15,565.15,565.15,0,555.45
2015-01-27,570.9,597.8,567,592.1,5376800,581.94
2015-01-28,590,599.8,583.45,590.6,6370000,580.46
2015-01-29,588.95,602,582.1,599.5,5424400,589.21
2015-01-30,602.75,604.05,583.7,588.1,4497100,578
2015-02-02,586,621,584.4,617.3,6307700,606.7
2015-02-03,623,625.6,584.5,586.6,9290000,576.53
2015-02-04,591,592,553.25,558.6,10773000,549.01
2015-02-05,562.4,578.5,558.6,565.9,6865700,556.18
2015-02-06,568,571.5,545.75,563.15,7706000,553.48
2015-02-09,555,569.6,550,553.6,4334500,544.1
2015-02-10,546.9,569.8,540.5,554.1,9809200,544.59
2015-02-11,559.35,572.65,555.5,569.25,6200900,559.48
2015-02-12,573,581.5,564,578.75,5849800,568.81
2015-02-13,582.15,588.75,576.5,581.1,4633400,571.12
2015-02-16,583,584,566.1,570.3,4284300,560.51
2015-02-17,570.3,570.3,570.3,570.3,0,560.51
2015-02-18,572,574,564,569.5,4695900,559.72
2015-02-19,574,575.6,553.25,565.25,5349200,555.55
2015-02-20,566.45,570.8,554,561.5,6025700,551.86
2015-02-23,563.5,567,546.05,549.05,6089200,539.62
2015-02-24,549.9,555.7,542,551.8,6155100,542.33
2015-02-25,554.2,558.6,550.1,553,4185100,543.51
2015-02-26,552.65,557.65,543.8,552.3,5579000,542.82
2015-02-27,555.6,570.35,550.35,567.15,5791500,557.41
2015-03-02,630,650,628.7,647.55,13205200,636.43
2015-03-03,649,649,628.55,631.4,6817600,620.56
2015-03-04,650.9,654.9,608.15,612.75,10097200,602.23
2015-03-05,613,622,603.5,616.8,6914100,606.21
2015-03-06,616.8,616.8,616.8,616.8,0,606.21
2015-03-09,610,610,589.15,591.6,6043300,581.44
2015-03-10,591.9,594.8,580,585.45,5791800,575.4
2015-03-11,585.25,592.7,580,583.85,5816300,573.83
2015-03-12,587.5,593.5,582.7,584.1,4512000,574.07
2015-03-13,589.5,590.95,564.1,570,6749100,560.21
2015-03-16,569.5,573.8,559.1,568.6,6445200,558.84
2015-03-17,574.9,585.8,567.05,580.1,5627500,570.14
2015-03-18,584.25,585.8,575.75,581.25,5847600,571.27
2015-03-19,588,595.55,558.5,563.55,7705200,553.88
2015-03-20,563,564,551.7,556.25,8160600,546.7
2015-03-23,559.9,562,552.65,555.2,4191400,545.67
2015-03-24,553.95,566,551.25,558.05,6309400,548.47
2015-03-25,559.85,567.15,553.9,562.2,5578500,552.55
2015-03-26,560,561.45,537.5,544.3,9233000,534.96
2015-03-27,548,551.25,526.1,546.4,10655500,537.02
2015-03-30,552.5,565.45,549.35,563.55,6631500,553.88
2015-03-31,567.9,573.5,557.25,560.2,5970800,550.58
2015-04-01,557.7,572,555.25,569.65,3753200,559.87
2015-04-02,569.65,569.65,569.65,569.65,0,559.87
2015-04-03,569.65,569.65,569.65,569.65,0,559.87
2015-04-06,571.95,571.95,562.1,569.05,4305200,559.28
2015-04-07,571,573,555,557.85,6754300,548.27
2015-04-08,561.8,564,551.1,555.9,5750700,546.36
2015-04-09,560,577,555.1,572.15,9653100,562.33
2015-04-10,573.4,574.8,565.4,568.05,4938600,558.3
2015-04-13,570,571.65,562,566,4596200,556.28
2015-04-14,566,566,566,566,0,556.28
2015-04-15,566.9,573.5,541.35,550.2,8869400,540.75
2015-04-16,552,556.4,543.05,550.8,7288700,541.34
2015-04-17,550,550.35,531.8,533.7,6618100,524.54
2015-04-20,534.1,538.25,507,518.25,7836600,509.35
2015-04-21,518.25,532.7,516.55,523.2,7204400,514.22
2015-04-22,526.95,545,520.3,540.1,6947500,530.83
2015-04-23,543.25,548.7,535.55,538.2,5464100,528.96
2015-04-24,538,538.25,519.9,527.25,6533200,518.2
2015-04-27,529.4,540.75,522.35,524.2,7839000,515.2
2015-04-28,523.9,539.45,519.1,535,6322600,525.82
2015-04-29,535.9,559.9,535.25,551.95,9301400,542.47
2015-04-30,563.3,582.4,559,567.8,15658600,558.05
2015-05-01,567.8,567.8,567.8,567.8,0,558.05
2015-05-04,571.4,576,562.8,568.35,4309900,558.59
2015-05-05,569,574.25,562.5,565.85,5385600,556.14
2015-05-06,564.05,565.9,541.2,543.3,7698900,533.97
2015-05-07,539.65,544.8,523.3,527.35,5848600,518.3
2015-05-08,535.75,548,533.5,540.8,10010900,531.52
2015-05-11,545.5,552,543.1,551.1,6700000,541.64
2015-05-12,553,553.9,529.9,532.35,4943400,523.21
2015-05-13,538,564.2,535.2,558.5,7971600,548.91
2015-05-14,557.4,558.8,547.5,555.85,4929200,546.31
2015-05-15,558.5,567.3,557,562.05,5825400,552.4
2015-05-18,563.3,569.85,558.65,567.5,3944700,557.76
2015-05-19,566,570.9,558.6,561.45,6047800,551.81
2015-05-20,562.75,566.85,556.5,558.25,4763200,548.67
2015-05-21,560,572,560,570.45,6157800,560.66
2015-05-22,571.3,576.65,563.75,568.65,4265300,558.89
2015-05-25,568.1,569.75,560.2,562.1,3426300,552.45
2015-05-26,563,566.8,558.2,564.25,2475400,554.56
2015-05-27,562,579.5,561.25,577.8,4120700,567.88
2015-05-28,578.95,585.8,570.4,574.65,8272400,564.78
2015-05-29,575.5,587.3,574.7,585.4,3421700,575.35
2015-06-01,586.9,588.9,577.1,578.45,3142400,568.52
2015-06-02,582,582.4,548.4,553.1,6978200,543.6
2015-06-03,553.25,554,538.55,550.9,5114100,541.44
2015-06-04,560,560,546,556.4,7432400,546.85
2015-06-05,556,557.25,546.05,548.4,7028700,538.99
2015-06-08,547,557.5,544,553.6,6286200,544.1
2015-06-09,552.05,564,550.45,558.7,5252600,549.11
2015-06-10,558.9,567.7,558.85,564.5,7919400,554.81
2015-06-11,567.9,570.2,545.05,546.75,7608300,537.36
2015-06-12,547,552.5,540.8,551.45,5518600,541.98
2015-06-15,553.9,555,545.35,550.05,5896200,540.61
2015-06-16,550,553.95,540.05,551.15,6283100,541.69
2015-06-17,553.1,557.4,547.6,549.25,4522300,539.82
2015-06-18,551.7,554.8,547.4,550.05,5579400,540.61
2015-06-19,554,555.4,548.25,551.55,6783500,542.08
2015-06-22,556.55,575.9,556.55,572.15,7325100,562.33
2015-06-23,575.6,579.5,566.3,571.3,6608400,561.49
2015-06-24,572,577.4,567.2,571.5,5427900,561.69
2015-06-25,568.1,577.9,567.05,570.05,5953100,560.26
