"Date","BAJFINANCE.NS.Open","BAJFINANCE.NS.High","BAJFINANCE.NS.Low","BAJFINANCE.NS.Close","BAJFINANCE.NS.Volume","BAJFINANCE.NS.Adjusted"
2015-01-01,696.78998,704,693,699.94,75600,325.83897
2015-01-02,698,704,683.23999,688.75,140400,320.62975
2015-01-05,693,704,682.20001,686.95001,144600,319.79181
2015-01-06,690,697,678.44,685.16998,137800,318.96317
2015-01-07,680.75,703.59003,680.75,699.12,109400,325.45723
2015-01-08,693.09998,703.76001,693.09998,697.92999,96800,324.90326
2015-01-09,696.20001,702.40997,688.20001,690.01001,173100,321.21631
2015-01-12,690.01001,702,679.70001,687.64001,117700,320.11302
2015-01-13,688.02002,701.95001,684.60999,696.59998,141900,324.2841
2015-01-14,699.96997,827.59998,695.53998,754.78998,4175900,351.37295
2015-01-15,767.59998,796.94,765,772.03998,1223200,359.40324
2015-01-16,771.59998,795.79999,760.45001,787.56,508600,366.62819
2015-01-19,788.37,796,776.88,780.34998,398900,363.27175
2015-01-20,787,788.03998,779,780.95001,186700,363.55108
2015-01-21,786.14001,786.79999,760.02002,763.47998,565700,355.41836
2015-01-22,768.90002,778,761.20001,768.13,121700,357.58306
2015-01-23,779.35999,779.35999,764.20001,774.03003,424100,360.32966
2015-01-26,774.03003,774.03003,774.03003,774.03003,0,360.32966
2015-01-27,776.90002,865,772.01001,833.90997,1159900,388.20522
2015-01-28,842.79999,898.47998,836.20001,864.52002,1394000,402.45494
2015-01-29,866.34003,868.98999,822.04999,825.67999,407100,384.37397
2015-01-30,837.79999,852.04999,802.02002,810.10999,589800,377.12575
2015-02-02,819.79999,845.98999,803.78998,832.02002,376500,387.3254
2015-02-03,839.90002,851,828,834.46002,210400,388.46128
2015-02-04,839.96997,842,810.85999,821.44,286700,382.40015
2015-02-05,829.69,844,811.02002,826.09998,384700,384.56948
2015-02-06,826.09998,827,794.20001,808.5,334300,376.37626
2015-02-09,808.5,810,793,801.40002,98000,373.07105
2015-02-10,806.20001,810,793.38,800.76001,172800,372.77311
2015-02-11,809.59998,828.40002,801.10999,822.46997,250300,382.87962
2015-02-12,824,832.44,812.81,825.25,190000,384.17379
2015-02-13,817.20001,841,817.20001,836.88,104200,389.58784
2015-02-16,879.77002,879.77002,836.88,861.25,337400,400.93266
2015-02-17,861.25,861.25,861.25,861.25,0,400.93266
2015-02-18,877.59998,877.59998,841.31,863.79999,292000,402.11974
2015-02-19,864.40997,865.77002,840.20001,861.89001,280200,401.23061
2015-02-20,858.01001,858.21002,826,838.23999,572100,390.22095
2015-02-23,832,850,827.46997,832.51001,113300,387.5535
2015-02-24,836.54999,838,820.01001,824.07001,170700,383.62448
2015-02-25,831.32001,838,812,816.29999,566900,380.00735
2015-02-26,819.40002,831.78003,814,819.37,190500,381.43651
2015-02-27,822.01001,831.97998,812.21002,821.41998,280800,382.39083
2015-03-02,878.09998,888.79999,852.66998,874.27002,416800,406.9938
2015-03-03,885,895.40002,859,865.97998,275300,403.13458
2015-03-04,866.02002,879.79999,852,862.59003,222100,401.55648
2015-03-05,857.35999,874.40002,854.95001,868.37,126600,404.24719
2015-03-06,868.37,868.37,868.37,868.37,0,404.24719
2015-03-09,877.20001,877.20001,830,842.97998,248600,392.42753
2015-03-10,850,859.79999,829.38,836.5,146200,389.41094
2015-03-11,840.40002,841.47998,818,826.53998,132000,384.77431
2015-03-12,828,845,822.21002,827.90002,124000,385.40744
2015-03-13,836,841.28998,815.98999,821.52002,254400,382.4374
2015-03-16,830.79999,830.79999,798.59998,801.02002,772600,372.89415
2015-03-17,806,824,802.41998,806.78003,311900,375.57558
2015-03-18,808.02002,822,800.22998,809.60999,402000,376.89299
2015-03-19,811.20001,821.22998,805,807.09998,196400,375.72452
2015-03-20,815,829.79999,780.22998,804.09998,352100,374.32795
2015-03-23,808.59998,808.59998,792.22998,798.59998,454500,371.76756
2015-03-24,800,808,786.40997,793.60999,220900,369.4446
2015-03-25,790.25,794,784.20001,789.64001,222500,367.59649
2015-03-26,790,806,787.59998,791.31,200500,368.3739
2015-03-27,796,799.98999,788.40002,792.33002,148800,368.84875
2015-03-30,799.79999,814,792.33002,799.92999,243400,372.38672
2015-03-31,806.20001,839.79999,797.97998,821.69,377000,382.51653
2015-04-01,831.59998,831.59998,812.44,828.01001,129200,385.45865
2015-04-02,828.01001,828.01001,828.01001,828.01001,0,385.45865
2015-04-03,828.01001,828.01001,828.01001,828.01001,0,385.45865
2015-04-06,831.59998,854.79999,831,848.16998,127400,394.8436
2015-04-07,855,873,842.06,868.23999,184400,404.18667
2015-04-08,868.22998,906,857.12,897.84003,188200,417.9662
2015-04-09,908.40002,939.79999,880.02002,900.92999,535100,419.40466
2015-04-10,906,919.59998,895.76001,904.41998,324500,421.02933
2015-04-13,904.41998,904.41998,884,890.75,300800,414.66563
2015-04-14,890.75,890.75,890.75,890.75,0,414.66563
2015-04-15,891,897.95001,875.40002,891.20001,383200,414.87512
2015-04-16,894.45001,921,875,916.98999,104400,426.88097
2015-04-17,915.98999,921.01001,888.26001,905.89001,187200,421.71367
2015-04-20,894.57001,918.79999,887.73999,911.65002,190900,424.39509
2015-04-21,901,910,827.85999,874.67999,1257300,407.18465
2015-04-22,862.01001,879.79999,838.40002,855.97998,172500,398.47934
2015-04-23,848.20001,867.72998,848.20001,854.92999,772200,397.99055
2015-04-24,842.44,852,824,827.97998,289600,385.44467
2015-04-27,842.79999,842.79999,795,799.03998,417000,371.9724
2015-04-28,782.70001,839.78998,782.70001,801.56,208400,373.14553
2015-04-29,815.40002,815.40002,791.01001,797.90002,634900,371.44172
2015-04-30,796.82001,840,790.20001,808.85999,490300,376.54385
2015-05-01,808.85999,808.85999,808.85999,808.85999,0,376.54385
2015-05-04,810.97998,850,783.91998,838.53003,325800,390.35597
2015-05-05,852,879,850,858.03003,320200,399.43369
2015-05-06,864.97998,874.04999,823.89001,857.08002,162100,398.99144
2015-05-07,871.79999,871.79999,818.02002,836.10999,121700,389.22938
2015-05-08,829.03998,870,829.03998,868.89001,202200,404.48927
2015-05-11,866.38,890,860.10999,869.41998,150100,404.73599
2015-05-12,872.96997,878,854.01001,868.29999,116800,404.2146
2015-05-13,871.19,881.98999,862.20001,865.41998,175500,402.87389
2015-05-14,874.90002,884,867.15997,876.94,277100,408.23674
2015-05-15,878.90997,899.79999,878.40997,896.78003,178000,417.47275
2015-05-18,900,909.79999,888.01001,892.10999,152900,415.29873
2015-05-19,899.78998,908.38,887.51001,896.31,140700,417.25394
2015-05-20,904.96002,907,878.52002,899.75,827600,418.85534
2015-05-21,903.97998,920,894.59998,915.40002,484200,426.14081
2015-05-22,917.59998,919.56,898,901.40002,164500,419.62347
2015-05-25,900,909.95001,888.31,900.66998,205000,419.28362
2015-05-26,905.88,917,890.02002,896.65997,372000,417.41686
2015-05-27,893.26001,902.59998,861.14001,882.32001,427300,410.74126
2015-05-28,882.32001,899.98999,871,884.84003,199300,411.91439
2015-05-29,899.79999,917.79999,823.14001,843.31,2363100,392.58116
2015-06-01,856,882.40002,849.5,875.97998,403800,407.78982
2015-06-02,888.20001,888.20001,849.5,856.94,267200,398.92626
2015-06-03,844,873.14001,834,864.96997,259300,402.6644
2015-06-04,865.85999,876,841.65002,870.45001,172100,405.21549
2015-06-05,874,899,860,890.13,329400,414.377
2015-06-08,901.96002,901.96002,881.02002,894.53998,242500,416.42995
2015-06-09,882.29999,923.79999,880.02002,916.46997,561100,426.63889
2015-06-10,910.79999,919,901,910.64001,227900,423.92491
2015-06-11,920,954.40002,905.28003,933.06,859400,434.36195
2015-06-12,933,942.82001,901.79999,935.28998,389000,435.40006
2015-06-15,936.25,946.56,930.79999,943.06,267800,439.01719
2015-06-16,943,944,927.03003,940.03003,223300,437.60667
2015-06-17,940.5,958,939.35999,955.23999,981500,444.68727
2015-06-18,955.23999,983.59998,955.23999,980.58002,810300,456.48367
2015-06-19,980.79999,1048.16003,980.79999,1031.60999,786300,480.23935
2015-06-22,1040,1089.80005,1028.41003,1077.26001,1295600,501.49054
2015-06-23,1083.59998,1083.59998,1049.01001,1063.81995,540000,495.23386
2015-06-24,1065,1073.98999,1045,1050.73999,1069200,489.14483
2015-06-25,1051.59998,1080,1032,1076.97998,744500,501.36018
