"Date","BANKBARODA.NS.Open","BANKBARODA.NS.High","BANKBARODA.NS.Low","BANKBARODA.NS.Close","BANKBARODA.NS.Volume","BANKBARODA.NS.Adjusted"
2015-01-01,216.02,217.76,214.55,216.61,1756600,42.35
2015-01-02,217.18,220.38,216.92,219.25,4821300,42.87
2015-01-05,219.04,221.7,218.39,219.19,3086900,42.86
2015-01-06,217.8,218,211,211.9,3522200,41.43
2015-01-07,212,214.6,208.99,213.34,3479100,41.71
2015-01-08,215.98,216.79,214,215.52,3362400,42.14
2015-01-09,216.88,217.4,210.4,212.09,3476300,41.47
2015-01-12,212,218.25,211,216,3543600,42.23
2015-01-13,217,220.16,215,216.32,3755500,42.3
2015-01-14,216.02,217.4,213.6,215.01,2665000,42.04
2015-01-15,224.4,224.4,218.37,219.64,6556500,42.94
2015-01-16,219.2,219.59,215.71,216.17,2839600,42.27
2015-01-19,217,219.3,216.42,216.97,2577400,42.42
2015-01-20,217.44,219.78,216.8,217.36,4154600,42.5
2015-01-21,217.7,227.74,217.7,225.58,13617800,44.11
2015-01-22,228.4,228.4,221.1,223.85,4837600,218.84
2015-01-23,227.45,228.9,219.7,223.1,4098800,218.11
2015-01-26,223.1,223.1,223.1,223.1,0,218.11
2015-01-27,224.9,224.9,219.5,222.95,2373600,217.96
2015-01-28,222.9,227.85,220.4,223.55,2889300,218.55
2015-01-29,222.85,224.95,216.15,217.15,4185000,212.29
2015-01-30,220.7,220.7,185.6,193.15,26571500,188.83
2015-02-02,192,192.05,183.75,187.85,9608600,183.65
2015-02-03,190,191.9,184.4,185.05,7684400,180.91
2015-02-04,186.8,188,182.05,184.9,4629700,180.76
2015-02-05,185.8,185.8,175.3,177.55,6190100,173.58
2015-02-06,175.55,177.7,169.35,175.95,9804000,172.01
2015-02-09,175,178.25,172.5,173.45,5120500,169.57
2015-02-10,171.2,181.2,171,176.4,6840700,172.45
2015-02-11,177.9,182.85,177.2,180.95,4844200,176.9
2015-02-12,182.35,182.35,178.05,180.8,3925200,176.75
2015-02-13,182.7,185.3,180.2,182.95,6503700,178.86
2015-02-16,182.95,184.6,180,182.75,3812200,178.66
2015-02-17,182.75,182.75,182.75,182.75,0,178.66
2015-02-18,183,184.1,180,183.2,2911500,179.1
2015-02-19,183.95,184.4,175.5,178.55,3680900,174.55
2015-02-20,179,186.9,176.5,183.3,5045500,179.2
2015-02-23,183.65,186.05,180.5,182.35,2602900,178.27
2015-02-24,181.95,181.95,175.55,176.75,5597400,172.79
2015-02-25,178.3,179.9,176.25,177.15,2460500,173.19
2015-02-26,177.65,178.1,170.05,171.35,6028000,167.52
2015-02-27,174.65,182,173.25,181,7519300,176.95
2015-03-02,186.75,187.15,179.3,182.4,6392200,178.32
2015-03-03,183.1,189,181.65,187.2,4600600,183.01
2015-03-04,198,198.7,179.1,180.4,10089000,176.36
2015-03-05,181,184.95,178.7,184.05,4903700,179.93
2015-03-06,184.05,184.05,184.05,184.05,0,179.93
2015-03-09,181.9,182.9,178.2,180.05,3673900,176.02
2015-03-10,180.05,182.8,176,179.85,4343800,175.83
2015-03-11,180.5,181.05,175.55,176.9,5397600,172.94
2015-03-12,178.5,181.75,177.7,179.85,3287800,175.83
2015-03-13,182,182,176.75,179,3943200,174.99
2015-03-16,179.5,184,177.1,182.65,2505800,178.56
2015-03-17,183.5,184,178.6,182.4,8351200,178.32
2015-03-18,182.5,185.25,181.15,182.25,5675500,178.17
2015-03-19,184.45,184.5,174.7,176.5,3985800,172.55
2015-03-20,175.9,175.9,171.45,172.65,4641600,168.79
2015-03-23,173.7,173.85,169,169.65,3823800,165.85
2015-03-24,168.8,169.7,165.15,167.9,4820800,164.14
2015-03-25,168,168.8,163.8,165.85,3645800,162.14
2015-03-26,164.3,167.4,159.9,161,5071600,157.4
2015-03-27,163,163.1,155.4,160.95,5769900,157.35
2015-03-30,162.65,164.7,157.65,163.85,3858700,160.18
2015-03-31,164.8,167.9,162.2,163.5,3106400,159.84
2015-04-01,162.75,170.4,162.05,168.9,2949800,165.12
2015-04-02,168.9,168.9,168.9,168.9,0,165.12
2015-04-03,168.9,168.9,168.9,168.9,0,165.12
2015-04-06,170,171,166.25,168.5,3290000,164.73
2015-04-07,169.5,172.1,167.05,170.05,4180700,166.24
2015-04-08,170.9,172,167.1,168.85,3861200,165.07
2015-04-09,170,173.7,166.9,171.75,6614100,167.91
2015-04-10,171.8,175.25,170.9,174.2,3006000,170.3
2015-04-13,175,177.9,174.1,175.55,3611400,171.62
2015-04-14,175.55,175.55,175.55,175.55,0,171.62
2015-04-15,175,180.95,174.6,178.5,5417100,174.51
2015-04-16,177.65,178.45,172.65,177.15,3639100,173.19
2015-04-17,176.65,178.5,173.3,177.6,4959200,173.63
2015-04-20,177.5,182.9,177.1,179.5,4825800,175.48
2015-04-21,177.05,180.9,174.55,180.15,3869200,176.12
2015-04-22,180.7,181.5,177.1,179.85,4312000,175.83
2015-04-23,181,181.85,177.25,179.45,2881400,175.43
2015-04-24,179.05,179.8,172.65,174.15,3767300,170.25
2015-04-27,173.3,173.9,168.3,170.85,3785200,167.03
2015-04-28,170,174.7,168.55,173.45,3662500,169.57
2015-04-29,173.2,174.8,170.8,171.85,2612600,168
2015-04-30,171,171.45,167.4,169,7842200,165.22
2015-05-01,169,169,169,169,0,165.22
2015-05-04,170,171.8,169,170.7,3008300,166.88
2015-05-05,170.6,172.65,169.1,170,2534100,166.2
2015-05-06,169.4,169.8,160.6,162.15,5258300,158.52
2015-05-07,161.4,161.5,151.15,153.45,4557100,150.02
2015-05-08,155.05,156.2,142.7,145.1,10251400,141.85
2015-05-11,146.1,171,143.8,169.7,41425100,165.9
2015-05-12,166.7,166.7,157,158.4,14873800,154.86
