"Date","BANKINDIA.NS.Open","BANKINDIA.NS.High","BANKINDIA.NS.Low","BANKINDIA.NS.Close","BANKINDIA.NS.Volume","BANKINDIA.NS.Adjusted"
2015-01-01,301.5,306,301,304.35,1916900,296.1
2015-01-02,304.35,311.95,304,307.75,5802400,299.41
2015-01-05,309.9,309.9,304.8,307,2744100,298.68
2015-01-06,303.5,305.5,290.2,291.6,3124600,283.7
2015-01-07,290,293.5,284.15,288.1,3067800,280.29
2015-01-08,292,297,291.2,296.1,2243500,288.07
2015-01-09,297.55,298.8,290.4,293.45,2604100,285.5
2015-01-12,293.45,300.6,289.8,298.9,3605800,290.8
2015-01-13,301.15,301.5,291.8,294.5,2533700,286.52
2015-01-14,293.2,296.5,288.1,290.8,1646400,282.92
2015-01-15,303.35,304.8,298.05,300.85,3286100,292.69
2015-01-16,300.6,302.9,297.15,300.4,2439100,292.26
2015-01-19,303.5,304.5,297.6,299,2136900,290.89
2015-01-20,299.3,303.8,296,297.05,3067600,289
2015-01-21,299,306,298,302,5614400,293.81
2015-01-22,303.4,304.4,296.75,298.7,2341500,290.6
2015-01-23,301.95,304,292.25,294.3,3224100,286.32
2015-01-26,294.3,294.3,294.3,294.3,0,286.32
2015-01-27,295.3,296,286,291.55,3126900,283.65
2015-01-28,291.2,294.5,288.05,291.35,2091300,283.45
2015-01-29,290.6,292.8,280,280.8,3162200,273.19
2015-01-30,282.45,285.3,261.55,266.25,5203000,259.03
2015-02-02,267.25,276.05,265.6,273.8,2668500,266.38
2015-02-03,275.45,276.9,259.5,261.15,4795500,254.07
2015-02-04,262.95,264.2,256,257.05,5006800,250.08
2015-02-05,257.1,260.8,247.55,249.45,2722400,242.69
2015-02-06,249.9,251.85,242.95,247.2,3320800,240.5
2015-02-09,246.2,248.5,231.1,232.7,4691500,226.39
2015-02-10,232,243.35,228.2,236.45,4802200,230.04
2015-02-11,238.15,243.7,236.4,241.3,2741600,234.76
2015-02-12,243,244.8,225.1,227.4,12209500,221.24
2015-02-13,226.5,236.6,225.85,235.5,5100400,229.12
2015-02-16,237,239.95,230,235.15,4689800,228.78
2015-02-17,235.15,235.15,235.15,235.15,0,228.78
2015-02-18,236,236.75,232.35,234.05,2347100,227.71
2015-02-19,234.3,236.25,228.6,234,2634100,227.66
2015-02-20,235,243.3,232,238.65,3471300,232.18
2015-02-23,240.5,241.25,233.25,234.75,2281700,228.39
2015-02-24,234.8,235.1,229.5,231.95,2772600,225.66
2015-02-25,233.9,234.5,228.25,229.05,2393500,222.84
2015-02-26,229,229.6,221.2,221.75,3702500,215.74
2015-02-27,224.05,237,223.5,235.6,3617000,229.21
2015-03-02,237.5,241,232.05,235.9,2559500,229.51
2015-03-03,236.8,241,232.9,239.9,2425600,233.4
2015-03-04,248.8,250,228,231.35,5621400,225.08
2015-03-05,232,233.8,225.25,229.25,3549900,223.04
2015-03-06,229.25,229.25,229.25,229.25,0,223.04
2015-03-09,227,227.5,221.7,222.5,2569600,216.47
2015-03-10,223.95,224.8,217.45,219.45,2999600,213.5
2015-03-11,220,221.7,215,217.9,3859900,211.99
2015-03-12,219.7,223,219.05,220.05,1887100,214.08
2015-03-13,222.4,223.65,215.5,216,2584600,210.14
2015-03-16,217.15,218.75,214.1,216.35,2028800,210.49
2015-03-17,218,219.7,215.1,218,2138800,212.09
2015-03-18,219,222.35,217.55,220.55,2025900,214.57
2015-03-19,224.5,224.55,215,215.85,1687200,210
2015-03-20,215.2,217.95,210.5,212.6,3012500,206.84
2015-03-23,213.5,214.55,208.4,209.1,2210000,203.43
2015-03-24,207,209.75,203.7,204.6,2917400,199.05
2015-03-25,204.5,205.6,202,202.8,2074700,197.3
2015-03-26,201.8,203.9,196.25,197.35,2921200,192
2015-03-27,198.1,200.45,191.5,198.55,4105200,193.17
2015-03-30,201,201,195,199.9,2289200,194.48
2015-03-31,200.9,202,194.85,195.85,2826400,190.54
2015-04-01,194.6,209.8,194.05,205.75,3396400,200.17
2015-04-02,205.75,205.75,205.75,205.75,0,200.17
2015-04-03,205.75,205.75,205.75,205.75,0,200.17
2015-04-06,206.9,209.35,202.1,206,2655700,200.42
2015-04-07,206.95,209,203.8,207,2767200,201.39
2015-04-08,207.9,209.4,205.2,205.9,1816900,200.32
2015-04-09,207,214.35,202.7,212.7,3897700,206.93
2015-04-10,213.15,219.7,213,218.95,3859800,213.01
2015-04-13,217.25,222.75,217.25,221,2529200,215.01
2015-04-14,221,221,221,221,0,215.01
2015-04-15,221.95,233.2,221.25,226.9,3629800,220.75
2015-04-16,227.4,228.6,221.4,225.05,3545100,218.95
2015-04-17,225,231.8,223,228.35,3555700,222.16
2015-04-20,228.6,230.9,217,220.75,2699900,214.77
2015-04-21,220.05,225.8,219.1,223.05,2327900,217
2015-04-22,224,225.6,216.6,221.9,2404100,215.88
2015-04-23,223.3,224.6,217.5,218.4,1841100,212.48
2015-04-24,219,219.25,209.1,210.1,2758300,204.4
2015-04-27,210.7,213.7,204.4,210.7,2514900,204.99
2015-04-28,210.1,216.7,209.65,215.7,1882000,209.85
2015-04-29,216.6,217.3,212.1,213.5,1563000,207.71
2015-04-30,213.4,218,210.75,216.6,2755600,210.73
2015-05-01,216.6,216.6,216.6,216.6,0,210.73
2015-05-04,217.25,224.9,216.55,223.9,2006900,217.83
2015-05-05,224,225.8,221.35,223.05,1082700,217
2015-05-06,222,223.95,207.65,208.35,2041200,202.7
2015-05-07,208.35,209.5,198.45,200.65,2276100,195.21
2015-05-08,203,205.05,190.5,195.85,3153100,190.54
2015-05-11,199,210.75,193.4,206.25,4893300,200.66
2015-05-12,206.4,206.8,196.65,197.9,2901600,192.54
2015-05-13,199.1,207,199.1,203.5,3698600,197.98
2015-05-14,203.35,212,200.35,211,3220700,205.28
2015-05-15,212.55,214,206.55,209,2714300,203.33
2015-05-18,209.7,210.3,204.1,206.9,2099500,201.29
2015-05-19,207.15,210.3,205.15,206.75,2458100,201.15
2015-05-20,207.4,209.3,204.9,205.75,1551700,200.17
2015-05-21,206.5,207.15,203.55,206.5,1463700,200.9
2015-05-22,207.5,210,200.7,202.15,3e+06,196.67
2015-05-25,202.3,204.5,200,203.25,1723500,197.74
2015-05-26,203.7,204,201,202.15,2167200,196.67
2015-05-27,200.7,208,200,203.85,2819500,198.32
2015-05-28,204.8,205,188,191.85,15678200,186.65
2015-05-29,189,198,189,197.2,4663400,191.85
2015-06-01,197.5,199,195.3,196.5,1804400,191.17
2015-06-02,197,197.2,188.5,189.2,4190600,184.07
2015-06-03,189.25,191.8,186,189.75,3491100,184.61
2015-06-04,190.65,190.9,180.55,183,3807100,178.04
2015-06-05,180.5,183.5,179.2,180.85,2354900,175.95
2015-06-08,180.8,181.8,173.2,174.05,2579800,169.33
2015-06-09,173.6,176.4,173,175.6,1632200,170.84
2015-06-10,175,179,174.6,176.65,1550200,171.86
2015-06-11,178.1,178.5,171.9,173.15,2707900,168.46
2015-06-12,172.3,174.65,171,173.35,2341500,168.65
2015-06-15,174.4,176.5,170,171.1,2128900,166.46
2015-06-16,172.4,175.55,171.55,174.3,1827500,169.58
2015-06-17,176,176.6,173.1,173.8,1216900,169.09
2015-06-18,175,177.8,174,175.65,1956200,170.89
2015-06-19,176.5,178.4,174.85,177.6,1804400,172.79
2015-06-22,178.3,185.55,177.6,183.25,2393400,178.28
2015-06-23,184,187.5,182.25,184.3,1988100,179.3
2015-06-24,185.05,185.35,178.5,179.2,2304900,174.34
2015-06-25,179,185.7,176.35,183.35,3819100,178.38
2015-06-26,182.75,182.75,176,177.1,2537200,172.3
2015-06-29,172.2,175,169,172.05,2431900,167.39
2015-06-30,169,172.9,168.1,171.4,2356800,166.75
2015-07-01,171.3,181.25,170.7,179.55,3185400,174.68
2015-07-02,180.25,180.7,177.15,178.35,1556900,173.52
2015-07-03,178,181.9,176.3,180.75,2455800,175.85
2015-07-06,176.1,186,175.75,184.7,2360600,179.69
2015-07-07,184.7,186.4,182.2,184.8,1784200,179.79
2015-07-08,181.9,183.2,177.75,180.15,2324200,175.27
2015-07-09,181,186.9,181,184.45,3491100,179.45
2015-07-10,182,183,179,180.5,2787300,180.5
2015-07-13,181.5,184.3,179.9,183.05,1811500,183.05
2015-07-14,183.9,184.5,180.6,181.6,1450600,181.6
2015-07-15,182,183.8,178.1,178.75,1431300,178.75
2015-07-16,179.3,182.4,179,180.2,1296800,180.2
2015-07-17,181.7,182.2,178.2,179.2,1178800,179.2
2015-07-20,180.2,180.2,172.95,173.4,2012700,173.4
2015-07-21,174.25,176,170.1,170.5,2054300,170.5
2015-07-22,170,172.75,168.1,172.1,1116200,172.1
2015-07-23,172.9,173.8,170.3,172.95,1287200,172.95
2015-07-24,172.8,174.5,170.6,171.3,1036400,171.3
2015-07-27,170,170.3,163.1,163.75,1804500,163.75
2015-07-28,164,165.3,153.2,154.45,9024300,154.45
2015-07-29,154,155.5,147.6,149.75,4112600,149.75
2015-07-30,151,159.95,150,157.25,5759300,157.25
2015-07-31,158,166.1,156.35,163,5133000,163
2015-08-03,163.95,171.85,163.6,167.05,4762700,167.05
2015-08-04,168.75,174,165.3,173.1,5822700,173.1
2015-08-05,175,178,168.55,169.95,4543600,169.95
2015-08-06,170,176.3,167,174.2,3530100,174.2
2015-08-07,173.5,175,170.3,171.3,1973200,171.3
2015-08-10,171.85,173.8,167.5,168.9,2609400,168.9
2015-08-11,169.9,170.4,162.95,163.65,2303800,163.65
2015-08-12,162,163.75,156.55,157.95,2760400,157.95
2015-08-13,160,162.65,155.7,157.5,1961800,157.5
2015-08-14,158.5,171.25,157.2,170.2,3374100,170.2
2015-08-17,172.4,188.25,171.8,185.75,8654000,185.75
2015-08-18,185.45,187.3,177.6,178.75,5515700,178.75
2015-08-19,178.75,180.1,175.1,177.1,3375000,177.1
2015-08-20,175,179.1,168.35,169.65,3186700,169.65
2015-08-21,162.7,167.5,160.95,166.5,4432300,166.5
2015-08-24,158,158.85,133.2,140.35,6477100,140.35
2015-08-25,143.6,145.4,131.4,140.9,7510400,140.9
2015-08-26,140,143.3,136.15,138.9,3330600,138.9
2015-08-27,143,143.9,140,142.75,3377300,142.75
2015-08-28,146,148.1,138.15,141.55,4489600,141.55
2015-08-31,142,147.5,140.55,142.15,3325800,142.15
2015-09-01,139.5,141,132.25,134.5,4241700,134.5
2015-09-02,136,136.8,130.2,130.9,4335200,130.9
2015-09-03,132.4,135.75,131.7,133.45,2863200,133.45
2015-09-04,132.75,132.75,126,128.7,3791100,128.7
2015-09-07,129.1,131.5,126.4,127.25,2620400,127.25
2015-09-08,128.6,137.2,127.7,133.5,4054800,133.5
2015-09-09,136,137.45,132.5,135.3,3240600,135.3
2015-09-10,132.7,133.8,129.8,131.8,3204400,131.8
2015-09-11,133.7,135.45,130.65,132.1,3141400,132.1
2015-09-14,132.8,136.4,131.65,136,2397100,136
2015-09-15,136,141.4,135.75,136.6,5202700,136.6
2015-09-16,139.2,140.35,137.8,138.65,2509700,138.65
2015-09-17,138.65,138.65,138.65,138.65,0,138.65
2015-09-18,141,145,139.1,140.3,4515800,140.3
2015-09-21,138.6,144,137.95,143.55,3278000,143.55
2015-09-22,144.75,145.7,135.6,136.75,3207900,136.75
2015-09-23,134.1,137.45,133.95,135.7,4722600,135.7
2015-09-24,135.7,137.2,133.6,135.15,2879200,135.15
2015-09-25,135.15,135.15,135.15,135.15,0,135.15
2015-09-28,136.7,139.1,135.1,135.75,2031900,135.75
2015-09-29,134,140.95,131.5,137.8,5239300,137.8
2015-09-30,139.95,141.15,133.75,135.6,3170800,135.6
2015-10-01,138,138,133.35,134.35,2233900,134.35
2015-10-02,134.35,134.35,134.35,134.35,0,134.35
2015-10-05,135.7,139.8,135.55,139.2,2366600,139.2
2015-10-06,141,143.45,136.35,141.85,3272700,141.85
2015-10-07,142.2,146.4,140.65,145.85,3387700,145.85
2015-10-08,145.25,149,143.2,145.5,3198700,145.5
2015-10-09,147.5,149,142.5,144.65,2618000,144.65
2015-10-12,144.65,146.5,142.2,143.95,2335500,143.95
2015-10-13,143.95,145.4,140.2,142.25,2083900,142.25
2015-10-14,142.4,143.4,140.65,141.45,1719400,141.45
2015-10-15,142.35,144.2,141.6,142.55,1522700,142.55
2015-10-16,142.05,144,140.4,143.5,2482400,143.5
2015-10-19,143.45,143.7,141.05,141.8,1273000,141.8
2015-10-20,142.05,144.75,141.35,142.5,1669300,142.5
2015-10-21,142.6,143.35,137.1,138.5,2432800,138.5
2015-10-22,138.5,138.5,138.5,138.5,0,138.5
2015-10-23,141,141,137.75,138.45,1629100,138.45
2015-10-26,139.25,139.55,136.4,137.1,1478500,137.1
2015-10-27,136.3,138.2,136.2,137.3,1286300,137.3
2015-10-28,137,137,133.35,134.45,2043700,134.45
2015-10-29,135.65,136,133,133.7,2081400,133.7
2015-10-30,135,135.75,130.45,131.3,2210200,131.3
2015-11-02,131.45,133.8,128.5,132.7,3053000,132.7
2015-11-03,133.8,134.8,132.4,133.2,1923100,133.2
2015-11-04,134.3,135.4,132.6,133.45,2293500,133.45
2015-11-05,133.1,134.05,132,132.5,1439500,132.5
2015-11-06,132.5,136.35,130.55,134.5,2448000,134.5
2015-11-09,132,135.55,130.7,133.55,3577600,133.55
2015-11-10,127.6,138.85,127.5,131.9,11692200,131.9
2015-11-11,131.9,131.9,131.9,131.9,0,131.9
2015-11-12,131.9,131.9,131.9,131.9,0,131.9
2015-11-13,131.95,131.95,129.3,130.25,2507500,130.25
2015-11-16,129.85,133.8,129.55,133.05,1973300,133.05
2015-11-17,134,134.6,131.4,131.8,1629100,131.8
2015-11-18,131.55,132.8,128.1,128.6,1911200,128.6
2015-11-19,129.4,130.2,128.3,128.9,1413200,128.9
2015-11-20,128.95,130.85,127.2,129.6,1862400,129.6
2015-11-23,130.5,131,128.15,128.35,1580500,128.35
2015-11-24,128,129.1,124.1,124.6,4154300,124.6
2015-11-25,124.6,124.6,124.6,124.6,0,124.6
2015-11-26,124.6,127.1,123.45,126.4,3647800,126.4
2015-11-27,126.4,130.95,126,130.3,3811900,130.3
2015-11-30,130.4,132,130.1,130.75,1729300,130.75
2015-12-01,132,132.2,129.9,130.6,1602300,130.6
2015-12-02,130.55,131.1,126.9,127.4,2339700,127.4
2015-12-03,126.75,127.65,124.8,125.3,2105200,125.3
2015-12-04,124,125,123.1,123.35,1949900,123.35
2015-12-07,124.6,124.95,121.4,121.75,2082900,121.75
2015-12-08,121,122.5,117.5,118.1,3145400,118.1
2015-12-09,118,119.2,116.6,116.9,2418500,116.9
2015-12-10,117.6,118,115.1,116.85,2512600,116.85
2015-12-11,116.9,118.75,113.25,115.25,3514800,115.25
2015-12-14,113.75,117.25,113.3,115.75,2163300,115.75
2015-12-15,116,116.7,114.7,115.8,1615600,115.8
2015-12-16,116.65,117.9,115.65,115.95,1833200,115.95
2015-12-17,117,117.95,116.1,117.3,1910900,117.3
2015-12-18,117,120.4,116.6,117.55,3301100,117.55
2015-12-21,117.95,118.8,117.6,117.95,1388900,117.95
2015-12-22,119,119.85,116,116.4,2793600,116.4
2015-12-23,117.1,117.95,116.85,117.65,1318900,117.65
2015-12-24,117.9,118.2,116.55,117.5,1034900,117.5
2015-12-25,117.5,117.5,117.5,117.5,0,117.5
2015-12-28,118,118.8,117.2,117.85,1150000,117.85
2015-12-29,118.05,118.25,116.3,116.7,1528700,116.7
2015-12-30,116.9,117.7,115,115.35,1893100,115.35
2015-12-31,115.4,115.75,114.2,114.95,1647200,114.95
2016-01-01,114.9,117.75,114.6,117.35,1729700,117.35
2016-01-04,116.6,117.35,113.8,114.7,1961500,114.7
2016-01-05,115.2,115.35,112.8,113.9,1589400,113.9
2016-01-06,114.1,117.3,113,114.25,2785400,114.25
2016-01-07,113.05,113.1,108.65,109.05,3050200,109.05
2016-01-08,109.9,110.85,109.1,109.9,1808700,109.9
2016-01-11,109,109.85,107.05,107.5,2375700,107.5
2016-01-12,107.6,108.5,103.25,104.4,2849900,104.4
2016-01-13,105.6,105.6,99.1,100.2,4661800,100.2
2016-01-14,97.7,99,95.5,98,3494600,98
2016-01-15,98.9,99.05,92.65,94.55,3578200,94.55
2016-01-18,95,96,90.35,92.4,4523400,92.4
2016-01-19,93,94.75,92.15,93.75,2771100,93.75
2016-01-20,91.7,92.2,90,91.25,3067000,91.25
2016-01-21,92.8,96.5,91.5,95.35,5044800,95.35
2016-01-22,96.8,101.65,96.45,100.75,5184000,100.75
2016-01-25,101.6,102.9,98.9,99.6,2320100,99.6
2016-01-26,99.6,99.6,99.6,99.6,0,99.6
2016-01-27,100.45,102.45,97.6,99.7,4469600,99.7
2016-01-28,99.3,100.7,98.4,98.95,2942400,98.95
2016-01-29,98.3,100.95,95.6,100.3,3753300,100.3
2016-02-01,101.45,101.5,97.1,97.75,2644100,97.75
2016-02-02,98,100.35,96.15,96.45,3624100,96.45
2016-02-03,94.5,95.3,92,93,2815200,93
2016-02-04,93.7,95.7,91.8,93.1,2322000,93.1
2016-02-05,93.55,98.45,93.4,97.75,2581600,97.75
2016-02-08,97.9,105.4,97.1,102.1,6294000,102.1
2016-02-09,100,102.2,95.5,95.75,5171100,95.75
2016-02-10,94,95.05,89.2,90.4,5612100,90.4
2016-02-11,90,90.1,83.2,85.2,10724500,85.2
2016-02-12,83.25,87.9,80.1,84.6,6641500,84.6
2016-02-15,87,92.55,86.7,89.4,5002000,89.4
2016-02-16,91.7,91.7,84.75,85.5,4192800,85.5
2016-02-17,81.7,87.65,80.4,86.05,7620800,86.05
