"Date","BATAINDIA.NS.Open","BATAINDIA.NS.High","BATAINDIA.NS.Low","BATAINDIA.NS.Close","BATAINDIA.NS.Volume","BATAINDIA.NS.Adjusted"
2015-01-01,1305.5,1313.4,1290,1297.85,94400,637.944
2015-01-02,1300,1335,1300,1320.3,397800,648.979
2015-01-05,1329,1352.5,1319.45,1324.3,425900,650.945
2015-01-06,1316,1322.7,1265.3,1275.5,277200,626.958
2015-01-07,1280,1299,1260.5,1280.9,339300,629.613
2015-01-08,1298.25,1327.95,1288.05,1323.05,373900,650.331
2015-01-09,1333.9,1370.55,1310.1,1356.9,573100,666.97
2015-01-12,1366.1,1385,1366.1,1374.25,708300,675.498
2015-01-13,1380,1405.05,1359.8,1394.4,387400,685.402
2015-01-14,1396.5,1431,1373,1413.55,328800,694.815
2015-01-15,1425.1,1429.8,1401,1420.75,468500,698.354
2015-01-16,1415.95,1447,1406.2,1436.25,429900,705.973
2015-01-19,1450,1457.95,1428.75,1447.55,512200,711.528
2015-01-20,1451,1454.85,1425,1433.8,328100,704.769
2015-01-21,1438.8,1492.9,1423.3,1480.55,404200,727.748
2015-01-22,1482,1496,1462,1468.3,383000,721.727
2015-01-23,1477,1479.9,1445.1,1450.45,291800,712.953
2015-01-26,1450.45,1450.45,1450.45,1450.45,0,712.953
2015-01-27,1450.6,1462,1430.1,1440.1,313000,707.866
2015-01-28,1440,1472,1431.9,1442.45,389400,709.021
2015-01-29,1440,1472.1,1436.65,1460.95,304400,718.114
2015-01-30,1465,1470,1415.25,1423.05,179000,699.485
2015-02-02,1423,1423,1380.1,1388.15,279000,682.33
2015-02-03,1393,1403.3,1365,1374.45,249900,675.596
2015-02-04,1379,1397.9,1346.45,1362.2,180700,669.575
2015-02-05,1362,1389.7,1345.4,1360.7,263000,668.837
2015-02-06,1369.85,1371,1338.4,1361.9,349000,669.427
2015-02-09,1362,1364.15,1318,1330.4,218000,653.944
2015-02-10,1320.25,1343,1297.15,1323.25,252400,650.429
2015-02-11,1329.9,1330,1280.1,1290.85,404100,634.503
2015-02-12,1253,1293.5,1238,1251.4,1386600,615.112
2015-02-13,1261,1272,1250.15,1256.6,451500,617.668
2015-02-16,1263.8,1303.5,1260,1286.35,519400,632.291
2015-02-17,1286.35,1286.35,1286.35,1286.35,0,632.291
2015-02-18,1294,1314.65,1276.1,1285.15,426800,631.702
2015-02-19,1299.5,1300,1270.25,1280.1,258500,629.219
2015-02-20,1310,1316.7,1295,1300.1,427000,639.05
2015-02-23,1305,1310,1265.5,1273.15,288200,625.803
2015-02-24,1275,1277,1241.9,1245.9,424800,612.409
2015-02-25,1247,1265.9,1240,1242.95,336200,610.959
2015-02-26,1247,1247,1200.25,1205.35,642200,592.477
2015-02-27,1209,1239,1196,1225.15,680400,602.209
2015-03-02,1296.75,1296.75,1258.1,1275.6,447300,627.007
2015-03-03,1279.95,1285,1259,1262,437400,620.322
2015-03-04,1268,1275,1226.65,1233.15,267000,606.142
2015-03-05,1237,1245.4,1225,1234.9,351700,607.002
2015-03-06,1234.9,1234.9,1234.9,1234.9,0,607.002
2015-03-09,1231.05,1258,1225,1229.75,280200,604.47
2015-03-10,1231.4,1244.4,1215,1224.65,199800,601.964
2015-03-11,1227.1,1235.9,1207.45,1222.35,197600,600.833
2015-03-12,1221,1233.85,1213.1,1223.65,148700,601.472
2015-03-13,1225,1225.5,1149.45,1157.45,775100,568.932
2015-03-16,1168,1181.5,1152.1,1175.55,298100,577.829
2015-03-17,1182.1,1198.9,1165.3,1182.4,630800,581.196
2015-03-18,1189,1204,1181.9,1189.5,450300,584.686
2015-03-19,1196,1197,1162.45,1166.95,309800,573.602
2015-03-20,1168,1185.75,1143.25,1168.6,410100,574.413
2015-03-23,1173,1178.3,1148,1159.2,262800,569.792
2015-03-24,1159,1179.3,1146.9,1163.6,408500,571.955
2015-03-25,1169.95,1171.85,1147.9,1154.15,331100,567.31
2015-03-26,1155,1155,1110,1119.85,722000,550.45
2015-03-27,1120.3,1130,1068,1079.5,1166100,530.617
2015-03-30,1092.55,1095,1062.4,1076.95,937600,529.363
2015-03-31,1091.75,1114.55,1085.95,1090.85,816400,536.196
2015-04-01,1095,1104.9,1085,1094.7,274300,538.088
2015-04-02,1094.7,1094.7,1094.7,1094.7,0,538.088
2015-04-03,1094.7,1094.7,1094.7,1094.7,0,538.088
2015-04-06,1094,1137.9,1094,1132.3,532400,556.57
