"Date","BEL.NS.Open","BEL.NS.High","BEL.NS.Low","BEL.NS.Close","BEL.NS.Volume","BEL.NS.Adjusted"
2015-01-01,29499.9902,30330,26130,29393.4906,501500,942.5513
2015-01-02,29260.4993,29679.9902,28850.0098,29246.4899,330100,937.8375
2015-01-05,29122.5,29280,28610.0098,28694.0094,215600,920.1213
2015-01-06,28689.9902,29139.9902,27926.4899,28314.5105,429500,907.952
2015-01-07,28410,32799.0015,28410,32130,3240300,1030.3021
2015-01-08,32079.8987,32649.8987,31211.0999,31445.1013,1606600,1008.3397
2015-01-09,31650,33189.8987,31509.8987,32022.0007,1263900,1026.8389
2015-01-12,32189.0991,32690.1013,31685.1013,32150.4016,910200,1030.9563
2015-01-13,32319.8987,34279.5007,32259.8987,33329.3994,2045900,1068.7628
2015-01-14,33249.8987,33549.8987,32660.1013,32890.4993,621100,1054.6888
2015-01-15,33120,33380.1013,32559.8987,32705.4016,334800,1048.7533
2015-01-16,32970,33690,32745,32939.3994,647500,1056.2568
2015-01-19,33064.5007,33330,32400,32510.1013,361700,1042.4907
2015-01-20,32739.8987,32817.0007,31410,31633.4985,537900,1014.3809
2015-01-21,31761.5991,32437.5,31329.8987,31514.3994,567800,1010.5618
2015-01-22,31680,32499.8987,31499.0991,32084.3994,1181500,1028.8398
2015-01-23,32390.1013,32799.8987,31809.5984,32166.8994,852400,1031.4853
2015-01-26,32166.8994,32166.8994,32166.8994,32166.8994,0,1031.4853
2015-01-27,34220.1013,35739.8987,33609.8987,34044.8987,1758200,1091.7065
2015-01-28,34141.5015,34449.8987,33780.9009,34082.3987,586700,1098.7181
2015-01-29,33999.8987,33999.8987,33140.1013,33466.5015,343400,1078.8634
2015-01-30,33553.4985,33774.0015,33039.8987,33379.5007,256800,1076.0587
2015-02-02,33500.1013,34980,33099.8987,34230.6006,623700,1103.4957
2015-02-03,34467.0007,36276.8994,33459.8987,36006.8994,1334700,1160.7585
2015-02-04,36399.8987,36726.8994,35351.0999,35534.0991,669800,1145.5168
2015-02-05,35510.1013,35529.8987,34800,34919.0991,218000,1125.6909
2015-02-06,35000.1013,35533.4985,33939.8987,34089.5984,244000,1098.9502
2015-02-09,34089.5984,34125,32949.8987,33050.1013,250700,1065.4398
2015-02-10,32900.1013,34080,32643.5999,33389.3994,322200,1076.3778
2015-02-11,34050,35199.0015,34050,34982.9993,969500,1127.7509
2015-02-12,35180.1013,37089.8987,34620.6006,36873.5999,1347800,1188.6984
2015-02-13,37150.4993,37299.8987,36024.0015,36205.4993,609200,1167.1608
2015-02-16,36450,37444.5007,36050.1013,36604.5007,487200,1180.0234
2015-02-17,36604.5007,36604.5007,36604.5007,36604.5007,0,1180.0234
2015-02-18,36899.0991,41448.9001,36810,39934.5007,3320800,1287.373
2015-02-19,39789.8987,40250.1013,38060.1013,38370.9009,1121700,1236.967
2015-02-20,38499.8987,39390,38132.0984,38263.4985,744200,1233.5047
2015-02-23,38537.0984,38979.8987,37051.5015,37247.0984,632600,1200.7389
2015-02-24,37680,38154.8987,36663.9001,36992.9993,945100,1192.5475
2015-02-25,37379.3994,37850.1013,36900,37064.0991,658400,1194.8395
2015-02-26,37230,37790.1013,36200.1013,36467.9993,1037300,1175.623
2015-02-27,37400.1013,40850.1013,37370.1013,37681.5015,4903700,1214.7428
2015-03-02,37590,37599.8987,36255,36420,756500,1174.0756
2015-03-03,36620.1013,36861.8994,36050.1013,36401.4001,578300,1173.476
2015-03-04,36630,37470,36360.9009,36618.9001,790800,1180.4876
2015-03-05,36789.5984,36950.1013,35520,35823.5999,738600,1154.8494
2015-03-06,35823.5999,35823.5999,35823.5999,35823.5999,0,1154.8494
2015-03-09,35790,35798.1006,34290,34445.1013,539700,1110.4106
2015-03-10,34599.8987,34809.8987,32799.8987,33159.5984,974600,1068.9697
2015-03-11,33300,34550.1013,32949.8987,33548.1006,1164400,1081.4939
2015-03-12,33860.1013,34380,33701.0999,33851.0999,621000,1091.2617
2015-03-13,34140,34350,33116.0999,33292.5,681800,1073.2541
2015-03-16,33399.8987,33477.9016,32452.5,32639.0991,356400,1052.1903
2015-03-17,32880,33770.1013,32750.1013,33661.5015,823400,1085.1496
2015-03-18,33694.5007,33909.8987,32790,32944.5007,376700,1062.0356
2015-03-19,33196.5015,33420,32366.0999,32445.6006,490900,1045.9525
2015-03-20,32600.1013,32613.9001,31500.9009,31912.5,461500,1028.7669
2015-03-23,32139.8987,32502.6013,31650.6006,31876.5015,631300,1027.6064
2015-03-24,32100,32660.1013,31884.0015,32507.3987,699200,1047.9447
2015-03-25,32600.1013,32600.1013,31719.8987,31905.6006,337700,1028.5444
2015-03-26,31893.9001,32109.8987,31250.1013,31612.5,339600,1019.0957
2015-03-27,31899.8987,31999.5007,30819.8987,31014.8987,527800,999.8308
2015-03-30,31700.1013,32736.8994,31700.1013,32479.5007,1334100,1047.0453
2015-03-31,32690.1013,33769.5007,32311.5015,33504.8987,1095100,1080.1012
2015-04-01,33549.8987,35949.8987,33500.1013,34941.8994,1748200,1126.4259
2015-04-02,34941.8994,34941.8994,34941.8994,34941.8994,0,1126.4259
2015-04-03,34941.8994,34941.8994,34941.8994,34941.8994,0,1126.4259
2015-04-06,35090.1013,36090,35090.1013,35939.3994,709200,1158.5825
2015-04-07,36150,36239.0991,34910.4016,35860.4993,496900,1156.0389
2015-04-08,35999.0991,37248.5999,35675.4016,36824.3994,654700,1187.1123
2015-04-09,37140,37550.1013,36410.1013,36944.0991,412600,1190.9711
2015-04-10,36989.0991,36989.0991,36000,36342.0007,309400,1171.5612
2015-04-13,36489.0015,36620.1013,34299.8987,34437.0007,684600,1110.1495
2015-04-14,34437.0007,34437.0007,34437.0007,34437.0007,0,1110.1495
2015-04-15,34580.1013,34680,32805,33249.0015,955200,1071.8518
2015-04-16,33488.1006,33954.5984,32810.1013,32990.9985,603500,1063.5345
2015-04-17,33099.5984,33299.0991,32000.9985,32094.0015,397300,1034.6179
2015-04-20,32180.1013,32835,30999.8987,31202.9993,569000,1005.8946
2015-04-21,31500,31761.8994,30999.8987,31280.9985,334900,1008.4091
2015-04-22,31509.8987,31994.0991,31299.8987,31781.4001,373200,1024.5406
2015-04-23,32166.8994,32600.1013,31850.1013,31957.5,459100,1030.2175
2015-04-24,32049.8987,32172.9016,31022.3987,31155,371100,1004.3472
