"Date","BEML.NS.Open","BEML.NS.High","BEML.NS.Low","BEML.NS.Close","BEML.NS.Volume","BEML.NS.Adjusted"
2015-01-01,795.9,812.75,784.2,789.7,618700,786.09
2015-01-02,793.2,803,780,785.55,301500,781.96
2015-01-05,787,794.9,768.1,774.55,279200,771.01
2015-01-06,769.9,794.5,747,758.35,789100,754.88
2015-01-07,759,802.8,759,792.35,1540900,788.73
2015-01-08,802,809.7,781.55,790,630800,786.39
2015-01-09,797.3,819.7,782,793.45,1065600,789.82
2015-01-12,795,883,784.95,873,3110700,869.01
2015-01-13,880,899,858.1,871.65,1749000,867.67
2015-01-14,872.95,905,863.3,887.7,1593500,883.64
2015-01-15,897,904.75,880,887.85,471300,883.79
2015-01-16,888.7,938.7,880.15,919.35,1937300,915.15
2015-01-19,926,946.5,917.35,926.4,886300,922.17
2015-01-20,932.3,934.9,901.25,910.2,491100,906.04
2015-01-21,914,930,896.4,915.65,668700,911.46
2015-01-22,923.3,931.7,906,913.45,422300,909.27
2015-01-23,922,927,907.75,912.25,475000,908.08
2015-01-26,912.25,912.25,912.25,912.25,0,908.08
2015-01-27,922,951.55,920.25,924.35,859700,920.12
2015-01-28,920,929.9,898.6,913,309500,908.83
2015-01-29,913,922,898,908.55,249600,904.4
2015-01-30,915,920.9,890,905.05,254300,900.91
2015-02-02,906.9,932.65,895.3,925.65,440900,921.42
2015-02-03,927.4,954.25,920.1,937.25,707700,932.97
2015-02-04,940.8,941,911,913.8,245400,909.62
2015-02-05,914.1,928.8,906.1,912.35,280100,908.18
2015-02-06,914.5,920,894,902.35,187500,898.23
2015-02-09,896.5,896.5,852,855.4,225600,851.49
2015-02-10,849.9,890,840,866.35,268200,862.39
2015-02-11,872.9,971.6,869.95,959.4,1466100,955.01
2015-02-12,970.9,982.8,911,933.1,1336600,928.83
2015-02-13,937.4,948.95,897.4,922.85,672600,918.63
2015-02-16,925,969.2,916,955.9,940800,951.53
2015-02-17,955.9,955.9,955.9,955.9,0,951.53
2015-02-18,955,1012.8,950,990.85,2147300,986.32
2015-02-19,996,1024,953.8,989.35,1132000,984.83
2015-02-20,991.5,994.4,971.2,980.05,369100,975.57
2015-02-23,984.5,1007.8,972,989.6,669600,985.08
2015-02-24,994.95,1011.5,971.1,986.45,822700,981.94
2015-02-25,990.3,998.8,975,981.7,279400,977.21
2015-02-26,986.75,1010,951.5,962.95,1572300,958.55
2015-02-27,968,996.55,965,979.85,624500,975.37
2015-03-02,983.8,998,965.15,977.15,420800,972.68
2015-03-03,979.9,985.7,965.3,980.35,243500,975.87
2015-03-04,983.5,1050,973.5,1037,1939900,1032.26
2015-03-05,1039.8,1059.9,1025,1040.35,572600,1035.59
2015-03-06,1040.35,1040.35,1040.35,1040.35,0,1035.59
2015-03-09,1028.3,1035,996.2,1006.3,248400,1001.7
2015-03-10,1004.3,1044.7,1004.3,1019.4,413300,1014.74
2015-03-11,1014,1038.05,1010,1013.35,247800,1008.72
2015-03-12,1016,1034.4,1010.95,1015.8,158500,1011.16
2015-03-13,1018,1025.25,1008,1022.6,703600,1017.93
2015-03-16,1026.65,1029.3,990,1021.4,279500,1016.73
2015-03-17,1031,1117.8,1015,1100.8,1891000,1095.77
2015-03-18,1113.9,1134,1091.5,1107.55,763900,1102.49
2015-03-19,1116,1124,1081,1094.5,378200,1089.5
2015-03-20,1078,1085,1052.6,1056.15,185500,1051.32
2015-03-23,1053,1058,1014.3,1041.4,123800,1036.64
2015-03-24,1038,1070,1038,1058.2,170000,1053.36
2015-03-25,1067.2,1069.6,1020,1025.25,183900,1020.56
2015-03-26,1017.5,1060,990,1020.3,225500,1015.64
2015-03-27,1058,1063.6,983.6,1009,219100,1004.39
2015-03-30,1026,1083.85,1026,1066.6,403300,1061.72
2015-03-31,1068.9,1109.95,1040,1097,461300,1091.99
2015-04-01,1100,1163.8,1086,1139.2,631200,1133.99
2015-04-02,1139.2,1139.2,1139.2,1139.2,0,1133.99
2015-04-03,1139.2,1139.2,1139.2,1139.2,0,1133.99
2015-04-06,1138.8,1169,1112,1161.35,369900,1156.04
2015-04-07,1163,1172.15,1140.1,1163.3,233500,1157.98
2015-04-08,1167,1179.5,1153,1159.05,185300,1153.75
2015-04-09,1165.7,1200,1160,1168.8,385200,1163.46
2015-04-10,1165.05,1178,1146.05,1158.45,118400,1153.15
2015-04-13,1161.9,1170,1131.9,1135.95,137500,1130.76
2015-04-14,1135.95,1135.95,1135.95,1135.95,0,1130.76
2015-04-15,1139,1143,1092,1098.05,167900,1093.03
2015-04-16,1103,1103.5,1045,1065.1,281200,1060.23
2015-04-17,1061.2,1120,1054.9,1091.6,284900,1086.61
2015-04-20,1096.1,1097.25,1055.1,1067.2,158300,1062.32
2015-04-21,1068,1097,1049.45,1062.65,176800,1057.79
2015-04-22,1064.8,1082.35,998,1022,256500,1017.33
2015-04-23,1035.7,1039.45,1004.25,1025.25,124900,1020.56
2015-04-24,1031,1038.7,991.55,994.45,113800,989.9
2015-04-27,998.45,998.45,890,929.7,292800,925.45
2015-04-28,923,944,887,931.2,193600,926.94
2015-04-29,932.8,974.9,916,966.3,193500,961.88
2015-04-30,958.8,997,934.1,980.5,220700,976.02
2015-05-01,980.5,980.5,980.5,980.5,0,976.02
2015-05-04,985,1013.5,985,1001.2,120800,996.62
2015-05-05,1003,1052,993,1026.5,342400,1021.81
2015-05-06,1020,1034.7,940.2,949.1,247800,944.76
2015-05-07,927,939.95,806.25,869.2,1364000,865.23
2015-05-08,907.4,919.85,860.1,881.65,475200,877.62
2015-05-11,889.65,920,885.6,907.2,257400,903.05
2015-05-12,907,907,866.5,878.9,176400,874.88
2015-05-13,880.8,923,877.95,914.25,277000,910.07
2015-05-14,913.9,948.7,894.95,920.9,350200,916.69
2015-05-15,927.9,947,920.1,924.55,178300,920.32
2015-05-18,932.7,964,926,940,292200,935.7
2015-05-19,947.7,959,931.1,943.3,138000,938.99
2015-05-20,952.7,952.7,936,946,87800,941.68
2015-05-21,946,952,923.75,934.65,89800,930.38
2015-05-22,939.9,959,937,945.4,133800,941.08
2015-05-25,941,951.25,935.1,939.9,78800,935.6
2015-05-26,942,954,925,947.8,104600,943.47
2015-05-27,942,971.5,932,944.9,185800,940.58
2015-05-28,941.15,988.8,940.8,977.25,199400,972.78
2015-05-29,984,1077.5,962.15,1037.15,559700,1032.41
2015-06-01,1122,1152,1052.1,1059.05,1264400,1054.21
2015-06-02,1060,1068,1016,1038.3,292200,1033.55
2015-06-03,1042.2,1073,984.85,1061.35,397600,1056.5
2015-06-04,1068,1152,1035.1,1135.95,901800,1130.76
2015-06-05,1147,1217.95,1136.5,1186.1,1123900,1180.68
2015-06-08,1189,1206,1145.1,1183.95,419700,1178.54
2015-06-09,1179.7,1245,1162,1215.95,676900,1210.39
2015-06-10,1222.75,1254.3,1202.1,1219.25,613100,1213.68
2015-06-11,1248,1263.8,1213.25,1227.7,611200,1222.09
2015-06-12,1228,1247.75,1182.05,1241.95,363800,1236.27
2015-06-15,1240,1252.5,1219,1223,179200,1217.41
2015-06-16,1227.9,1245.8,1201,1238.15,313000,1232.49
2015-06-17,1241.9,1274,1224.05,1255.25,493000,1249.51
2015-06-18,1260,1267.95,1238.5,1251.05,217600,1245.33
2015-06-19,1258,1263.35,1236.55,1245.65,167100,1239.96
2015-06-22,1245.65,1274,1240.1,1259.8,261600,1254.04
2015-06-23,1264.4,1288.4,1248.9,1263.55,336200,1257.77
2015-06-24,1268,1276.6,1232.05,1240.4,134200,1234.73
2015-06-25,1238,1249,1190,1208.1,262200,1202.58
