"Date","BHARATFIN.NS.Open","BHARATFIN.NS.High","BHARATFIN.NS.Low","BHARATFIN.NS.Close","BHARATFIN.NS.Volume","BHARATFIN.NS.Adjusted"
2015-01-01,414.25,418.6,412.2,413.35,1289800,413.35
2015-01-02,413.55,420.9,413.2,415.1,1321000,415.1
2015-01-05,416.3,427,414.15,424.85,2071300,424.85
2015-01-06,423,423,407,410.45,2476100,410.45
2015-01-07,409.85,417.8,408,415.6,1437400,415.6
2015-01-08,423,436.45,417.65,433.3,2557500,433.3
2015-01-09,437.55,442.35,428.8,435.85,2571700,435.85
2015-01-12,431.65,442.7,429.55,441,1388400,441
2015-01-13,442.7,467.25,439.75,460,3260700,460
2015-01-14,462.25,464.4,451.5,454.65,3686300,454.65
2015-01-15,461.05,470.7,456,466.35,1843600,466.35
2015-01-16,464.6,474.3,456,469.5,1625900,469.5
2015-01-19,468.1,475.8,467.7,470.15,878100,470.15
2015-01-20,471,472.5,456,460.25,2351500,460.25
2015-01-21,461.4,464.9,442.2,450.1,3205800,450.1
2015-01-22,455.2,456.85,441,442.2,2967600,442.2
2015-01-23,445.6,449,434.85,440.7,3393100,440.7
2015-01-26,440.7,440.7,440.7,440.7,0,440.7
2015-01-27,441,455,438,452.25,2699500,452.25
2015-01-28,454.45,457,432.75,437.1,2567500,437.1
2015-01-29,437,439.2,424,426.85,2993400,426.85
2015-01-30,433.5,452,433.15,436,5058200,436
2015-02-02,437.8,444.75,435,440,1059900,440
2015-02-03,442.35,443.3,425.35,430.15,1856400,430.15
2015-02-04,429.8,430.6,412.5,414.8,1676300,414.8
2015-02-05,413,428.7,407.25,415.7,2164100,415.7
2015-02-06,418,424,410.9,418.9,1342100,418.9
2015-02-09,412.1,419.5,402,404.35,1018100,404.35
2015-02-10,402,422,400,414.45,1788000,414.45
2015-02-11,418.1,426.9,417.45,422.8,1133200,422.8
2015-02-12,425,436,425,433,1478300,433
2015-02-13,435,440.55,430.1,438.55,1559600,438.55
2015-02-16,439.9,440,426.6,429.4,1185500,429.4
2015-02-17,429.4,429.4,429.4,429.4,0,429.4
2015-02-18,430,435.6,425,430.6,1077900,430.6
2015-02-19,431.25,434.5,418.4,425.35,815800,425.35
2015-02-20,425,431.8,419.35,422.1,718900,422.1
2015-02-23,423.5,425.8,407.1,409.1,752300,409.1
2015-02-24,410,416.8,408.5,413.2,1178400,413.2
2015-02-25,414.9,419.7,414.35,417.3,1048000,417.3
2015-02-26,419.4,419.4,406.2,408.95,818500,408.95
2015-02-27,410.6,418.15,410,416.15,741500,416.15
2015-03-02,440.95,458.25,432,455.5,3198000,455.5
2015-03-03,457.95,466.4,450.15,457,3711700,457
2015-03-04,461,465.95,445,448.25,1959200,448.25
2015-03-05,450.4,461,448.1,458.95,1607100,458.95
2015-03-06,458.95,458.95,458.95,458.95,0,458.95
2015-03-09,455,455.7,436.8,438.7,808600,438.7
2015-03-10,438.45,452.9,434.05,450.1,1302600,450.1
2015-03-11,452.05,452.9,440,441.7,675200,441.7
2015-03-12,443,447.85,440.2,446,611000,446
2015-03-13,447.4,449.9,426.7,428.75,696900,428.75
2015-03-16,429.9,441.4,426,439.75,841900,439.75
2015-03-17,442.45,449.8,435.7,443.8,1299900,443.8
2015-03-18,447,453.9,444.4,447.5,1055800,447.5
2015-03-19,449.7,459.7,441.8,444.35,1587600,444.35
2015-03-20,442.15,444.7,433.1,435.5,710300,435.5
2015-03-23,437,437.95,422,422.85,516900,422.85
2015-03-24,421.1,429.9,419.65,424.25,503500,424.25
2015-03-25,426.7,427.85,421.35,423,370300,423
2015-03-26,423,428,420,422.35,1631300,422.35
2015-03-27,421,445.5,414.7,442.85,1241800,442.85
2015-03-30,447.9,458,443.2,455.7,965300,455.7
2015-03-31,455,464.2,451,457.95,1275800,457.95
2015-04-01,454.85,469.65,454.25,467.9,937600,467.9
2015-04-02,467.9,467.9,467.9,467.9,0,467.9
2015-04-03,467.9,467.9,467.9,467.9,0,467.9
2015-04-06,469.9,477.55,462.7,473.1,877300,473.1
2015-04-07,475,518.7,467,513.75,5649400,513.75
2015-04-08,519,524.95,503,506.6,3532800,506.6
2015-04-09,507.65,512,495,504.7,1374000,504.7
2015-04-10,504,517.2,500.6,509.85,1562000,509.85
2015-04-13,511.7,519.1,505.3,507.6,874800,507.6
2015-04-14,507.6,507.6,507.6,507.6,0,507.6
2015-04-15,507.5,513.3,497,500.85,924300,500.85
2015-04-16,501,503.7,487.1,494.25,1010400,494.25
2015-04-17,494.6,502,484.65,490.05,1182600,490.05
2015-04-20,490.8,490.8,468.2,474.75,907500,474.75
2015-04-21,473.1,480.5,462.65,469.3,1110000,469.3
2015-04-22,469.95,473.8,435.6,460.05,1862800,460.05
2015-04-23,461.7,467.2,448.3,453.3,968000,453.3
2015-04-24,452.55,455.6,435.55,439.05,1434000,439.05
2015-04-27,440,444.8,420.3,431.65,1571900,431.65
2015-04-28,431,461.3,430.5,457,1654000,457
2015-04-29,457.5,473.05,455.05,465,1532800,465
2015-04-30,463.2,473.15,446.5,470.05,1685800,470.05
2015-05-01,470.05,470.05,470.05,470.05,0,470.05
2015-05-04,472.3,476.7,448,463.8,2699500,463.8
2015-05-05,481,497.15,473.6,481.55,5260700,481.55
2015-05-06,479,480.55,439.25,442.15,2885600,442.15
2015-05-07,442,442.25,421,434.2,3213500,434.2
2015-05-08,449.95,454,435.3,447.5,1698500,447.5
2015-05-11,449.8,469.8,446.15,465.15,1531200,465.15
2015-05-12,461.2,462.5,440,444.3,1761800,444.3
