"Date","BHARATFORG.NS.Open","BHARATFORG.NS.High","BHARATFORG.NS.Low","BHARATFORG.NS.Close","BHARATFORG.NS.Volume","BHARATFORG.NS.Adjusted"
2015-01-01,938,947.95001,934.29999,937.95001,123500,918.08839
2015-01-02,942.75,959,937.65002,943.20001,542700,923.22722
2015-01-05,947.25,956,940.70001,946.29999,386500,926.26155
2015-01-06,940,940,875.54999,892.70001,693700,873.79659
2015-01-07,903.70001,909.40002,875.54999,900.40002,956100,881.33355
2015-01-08,906.29999,935,906.29999,930.79999,466000,911.08977
2015-01-09,935.59998,942.5,918.15002,929.04999,377300,909.37683
2015-01-12,930,1005,930,1001.29999,1880400,980.0969
2015-01-13,1008,1010,981.34998,985.09998,951100,964.23993
2015-01-14,989,1000,973.09998,983.20001,608500,962.3802
2015-01-15,999,999,972.5,983.95001,324600,963.11432
2015-01-16,988.5,1029.84998,977.20001,1018.70001,1454400,997.12847
2015-01-19,1026.30005,1038,1015,1019.25,489700,997.66681
2015-01-20,1024.90002,1029,999.25,1008.29999,549700,986.94867
2015-01-21,1011,1026.90002,995.79999,1008.84998,409000,987.48701
2015-01-22,1015,1037,1008,1019.09998,753800,997.51996
2015-01-23,1029.90002,1034,999,1005.15002,606300,983.86541
2015-01-26,1005.15002,1005.15002,1005.15002,1005.15002,0,983.86541
2015-01-27,1011.90002,1027,1011,1016.29999,484100,994.77926
2015-01-28,1016,1038.5,1003.54999,1014.95001,773600,993.45787
2015-01-29,1019.29999,1049.90002,1005.90002,1042.34998,1227100,1020.27763
2015-01-30,1045.80005,1052,1023,1034.44995,608700,1012.54489
2015-02-02,1036.44995,1072,1033.09998,1065.94995,1600300,1043.37786
2015-02-03,1080,1103.94995,1077.09998,1092.44995,1543500,1069.31671
2015-02-04,1094,1113,1078,1083.75,1015100,1060.80098
2015-02-05,1087,1108.55005,1077.59998,1088.05005,843000,1065.00998
2015-02-06,1089.25,1095.25,1050.34998,1057.69995,510800,1035.30256
2015-02-09,1051,1092.84998,1016.09998,1073.94995,631100,1051.20846
2015-02-10,1069.65002,1110,1060.44995,1092.40002,835700,1072.26313
2015-02-11,1104,1149.5,1097,1141,1307700,1123.05143
2015-02-12,1147,1192.15002,1146,1182.15002,927800,1163.55414
2015-02-13,1183,1209.40002,1175,1188.15002,1043200,1169.45976
2015-02-16,1190,1194.75,1148,1175.25,759700,1156.76266
