"Date","BHARTIARTL.NS.Open","BHARTIARTL.NS.High","BHARTIARTL.NS.Low","BHARTIARTL.NS.Close","BHARTIARTL.NS.Volume","BHARTIARTL.NS.Adjusted"
2015-01-01,354.4,364.9,351.65,362.9,2217200,359.463
2015-01-02,363.8,367,362,365.05,2519800,361.592
2015-01-05,366.25,366.25,355.6,356.95,1446700,353.569
2015-01-06,356.1,356.1,348.4,354.15,3530100,350.796
2015-01-07,351.95,358,350.5,355,4415500,351.638
2015-01-08,356.55,362.95,353.15,361.15,6395800,357.729
2015-01-09,362.5,364.9,353.95,355.8,3453400,352.43
2015-01-12,355.7,355.7,347.1,348.95,2052100,345.645
2015-01-13,349.9,352.3,344.3,346.3,1445700,343.02
2015-01-14,346.95,348.2,344.65,345.8,3077900,342.525
2015-01-15,346.1,352.6,343.3,349.35,4475600,346.041
2015-01-16,347,352,339.1,342.85,8813500,339.603
2015-01-19,343.9,352.3,341.9,350.45,3050800,347.131
2015-01-20,350.45,357,348.05,354.9,2605500,351.538
2015-01-21,355,370,354.5,369,4553800,365.505
2015-01-22,373.35,373.95,361.15,370,2255700,366.495
2015-01-23,372.95,387.75,372,384.1,5650300,380.462
2015-01-26,384.1,384.1,384.1,384.1,0,380.462
2015-01-27,382.7,395,381.6,394.2,4748300,390.466
2015-01-28,393.7,395.7,371.6,373.6,4047100,370.061
2015-01-29,374.8,380.5,363.05,375.8,6797400,372.24
2015-01-30,380.8,380.8,366.15,373.7,4875000,370.16
2015-02-02,370,373.35,356.5,359.3,3746700,355.897
2015-02-03,360.15,374,360.1,371.55,3823400,368.031
2015-02-04,375,377.3,365,368.95,4988400,365.455
2015-02-05,370,371.9,360.05,364.7,7443700,361.246
2015-02-06,364.9,370,359,368.25,2991200,364.762
2015-02-09,365,365.7,353.25,356.1,2731000,352.727
2015-02-10,355.3,361.8,353,356.15,6171100,352.777
2015-02-11,356.95,360.65,348,356.1,3144800,352.727
2015-02-12,359,359.85,349.3,352.7,3931200,349.359
2015-02-13,353.8,356.5,349.3,355,3044200,351.638
2015-02-16,353,365.45,352,361.35,2123200,357.927
2015-02-17,361.35,361.35,361.35,361.35,0,357.927
2015-02-18,363.05,363.55,350.5,352,3072100,348.666
2015-02-19,354.95,358.4,350.2,356.7,2755300,353.321
2015-02-20,355,358.8,348.25,349.35,3670000,346.041
2015-02-23,348,350.9,345.2,347.3,2172700,344.01
2015-02-24,346.1,349.85,340.1,342.05,6661100,338.81
2015-02-25,346.9,350.5,344.65,348.6,2598000,345.298
2015-02-26,350,352.6,346.25,349.35,4120400,346.041
2015-02-27,349,358.1,347.35,355.2,3344600,351.836
2015-03-02,356.3,363,345.5,349.05,4163600,345.744
2015-03-03,350,350.6,343.7,349.25,2067000,345.942
2015-03-04,352,358.4,349.3,351.25,3329700,347.923
2015-03-05,351.4,351.9,344.05,347.9,3496100,344.605
2015-03-06,347.9,347.9,347.9,347.9,0,344.605
2015-03-09,346.75,346.75,339.1,343.45,3446200,340.197
2015-03-10,342.05,382.3,340.75,367.95,11622800,364.465
2015-03-11,370,394,362.25,389.55,12904800,385.86
2015-03-12,389.45,399.9,387.05,397.8,16593600,394.032
2015-03-13,398.95,402.7,389.4,400.25,11404400,396.459
2015-03-16,399.9,399.9,386.2,388.4,14064900,384.721
2015-03-17,392.2,392.4,379,386.55,11859200,382.889
2015-03-18,385.9,390.3,381.5,382.25,4305500,378.629
2015-03-19,383,384.95,379.75,381.95,4178300,378.332
2015-03-20,381,387.8,377.6,380.25,6540000,376.648
2015-03-23,384,389.9,378,383.25,3196600,379.62
2015-03-24,381.8,396.5,381.6,393.85,7301900,390.12
2015-03-25,387,397.45,386.95,395,10251400,391.259
2015-03-26,390,403.5,390,399.65,11406800,395.865
2015-03-27,401,404.5,371.1,376.5,8433300,372.934
2015-03-30,380,392.9,377.6,389.4,4656400,385.712
2015-03-31,389.05,395.7,385,393.3,6047300,389.575
2015-04-01,393.3,404.85,393.05,402.3,5494800,398.489
2015-04-02,402.3,402.3,402.3,402.3,0,398.489
2015-04-03,402.3,402.3,402.3,402.3,0,398.489
2015-04-06,402.3,409.1,398.45,400.8,4348700,397.004
2015-04-07,402,410,396.2,404.75,4228500,400.916
2015-04-08,407,422.85,407,419.15,5761500,415.18
2015-04-09,419.2,420.5,405.25,407.2,4665100,403.343
2015-04-10,407,413.9,401.5,411.95,4599400,408.048
2015-04-13,409.1,427,408,425.7,3882500,421.668
2015-04-14,425.7,425.7,425.7,425.7,0,421.668
2015-04-15,425,425,409.15,415.15,3500200,411.218
2015-04-16,416.15,422.95,414.45,418,3091000,414.041
2015-04-17,419.95,424.7,403.9,405.95,5556500,402.105
2015-04-20,403.8,407.6,398.75,402.3,3282800,398.489
2015-04-21,397.65,409.95,394,398.3,3889600,394.527
2015-04-22,397,401.3,391.2,399.4,4199400,395.617
2015-04-23,401.8,402.9,397,399.85,5744900,396.063
2015-04-24,400,403.2,394.95,399.15,7402500,395.369
2015-04-27,398.95,403.7,384.15,391,15164300,387.297
2015-04-28,389,409.5,383.4,400.75,5188500,396.954
2015-04-29,394,402.5,383.9,387.35,11248400,383.681
2015-04-30,387.45,388,371.8,381.1,8223400,377.49
2015-05-01,381.1,381.1,381.1,381.1,0,377.49
2015-05-04,373.6,394.1,373.6,392.9,4528800,389.179
2015-05-05,392,392,382.5,387.05,2442900,383.384
2015-05-06,393.3,405,386,390.2,13587700,386.504
2015-05-07,389.9,400.5,385.35,393.65,7914800,389.921
2015-05-08,397,400,394.1,397.95,5742500,394.181
2015-05-11,397,402.75,394.7,396.2,4325600,392.447
2015-05-12,396.5,399.35,388.95,391.55,6246200,387.841
2015-05-13,396,400,380.7,382.55,5804500,378.927
2015-05-14,382,392.2,380.9,386,4943200,382.344
2015-05-15,388,395,387,392,3895700,388.287
2015-05-18,394,399.8,392,397.45,4385900,393.685
2015-05-19,398.9,405,395.1,398,5446000,394.23
2015-05-20,397.25,403.85,396.85,400.55,5088200,396.756
2015-05-21,401,402.7,393.5,396.45,2549700,392.695
2015-05-22,395.5,398.7,390.65,394.9,3235100,391.16
2015-05-25,394.9,409,392.3,399.9,5388600,396.112
2015-05-26,402,406.95,398.2,400.55,6289200,396.756
2015-05-27,400.15,413.1,400.15,408.75,5060900,404.878
2015-05-28,412,412.75,399.95,403,7227100,399.183
2015-05-29,402.75,435,402.3,425.6,67772600,421.569
2015-06-01,415.95,420.95,410.2,416.6,4260400,412.654
2015-06-02,420.35,424.5,412.75,418.1,4289100,414.14
2015-06-03,418.15,423,409.2,420.7,3654500,416.715
2015-06-04,420.5,424.4,414,416.4,3272300,412.456
2015-06-05,417,422.35,413.8,415.6,4981500,411.664
2015-06-08,417.35,417.9,408.05,410.55,2846900,406.661
2015-06-09,412,412,402.85,407.95,2715700,404.086
2015-06-10,409.8,418.55,408.1,415.05,3421200,411.119
2015-06-11,417.1,417.7,409.1,410.55,3095200,406.661
2015-06-12,411.1,421.35,407.55,414.8,2279400,410.871
2015-06-15,417.8,418.4,411.6,413.65,2347600,409.732
2015-06-16,413.05,415.3,409.15,414.3,3862100,410.376
2015-06-17,415.6,424.5,414.75,422.3,4384300,418.3
2015-06-18,418.1,433.45,413.9,426.45,6193800,422.411
2015-06-19,426.5,437.3,426.5,434,3377300,429.889
2015-06-22,434.9,436,423.5,424.5,3727300,420.479
2015-06-23,428.95,434.2,428.3,430.3,5237700,426.224
2015-06-24,429,431.4,423.35,424.95,2581400,420.925
2015-06-25,425.5,429.5,422.5,426.7,3941800,422.658
2015-06-26,426.4,428.45,417.25,417.95,2364500,413.991
2015-06-29,413.05,416,406,413.9,2879100,409.98
2015-06-30,417.55,422,414,420.05,4699400,416.071
2015-07-01,423.7,428.45,420.3,424.45,2831800,420.43
2015-07-02,428,438.15,425.5,433.15,4484400,429.047
2015-07-03,433.95,437.8,432.5,435.1,3583100,430.979
2015-07-06,430.5,438.2,429.75,433.1,2008900,428.998
2015-07-07,433,436.1,430.65,431.85,1181600,427.76
2015-07-08,428.9,433,423.2,430.3,2783200,426.224
2015-07-09,432.35,442.9,430.3,433.9,5622200,429.79
2015-07-10,436,436,417.65,419.3,5160500,415.328
2015-07-13,422,426.9,419.55,423.7,2497500,419.687
2015-07-14,423.7,425.5,421,422.3,1381100,418.3
2015-07-15,422,426.8,420.55,422.95,2151500,418.944
2015-07-16,425.4,426.4,419.4,424.65,2115900,420.628
2015-07-17,425,430,422.15,425.85,3097000,421.816
2015-07-20,425.1,432.5,425.1,429.45,2043000,425.382
2015-07-21,440,452.45,433.9,445.25,6000200,441.033
2015-07-22,442.5,448.75,437.85,439.4,2816700,435.238
2015-07-23,441,441.15,430.8,432.9,2361200,428.8
2015-07-24,433.45,438.9,430.15,433.9,1943500,429.79
2015-07-27,432,433.8,416.5,417.95,2312400,413.991
2015-07-28,419,425,409.1,410,3186300,406.117
2015-07-29,411,419.95,404.1,417.65,3456100,413.694
2015-07-30,417.65,425.95,412.6,416.95,3286600,413.001
2015-07-31,418.75,426.15,414,418.8,2904600,414.833
2015-08-03,420,423,417.45,418.9,1394000,414.932
2015-08-04,422.8,426,409.2,413.25,4611600,409.336
2015-08-05,426,427.7,415.75,417.55,5522500,413.595
2015-08-06,419.95,422,414,415,3624100,411.069
2015-08-07,416,417,410.1,411.6,3736200,407.701
2015-08-10,412.7,415.45,408.5,410.2,2683000,406.315
2015-08-11,411,412,402.75,404.85,2893300,401.015
2015-08-12,404,405.7,391.3,398.7,3745400,394.924
2015-08-13,405,414.75,377.15,384.8,7094100,383.289
2015-08-14,390,396.8,383.3,395.1,3255700,393.549
2015-08-17,396,398.65,386.25,390.2,1480700,388.668
2015-08-18,394.1,395.7,384.25,385.55,1763000,384.037
2015-08-19,386,386.4,372.9,382.55,3975200,381.048
2015-08-20,390,392,373.4,380,3997000,378.508
2015-08-21,373.9,373.9,358.5,369.55,5941100,368.099
2015-08-24,357.25,366.65,337.95,348.3,6690100,346.933
2015-08-25,350.55,367.5,332.5,348.35,7956200,346.983
2015-08-26,350,350.9,336.5,339.2,6868100,337.868
2015-08-27,347.5,351.1,342.4,347.3,7701400,345.937
2015-08-28,356.9,364.85,351.5,362.5,6139600,361.077
2015-08-31,365,366,350,354.3,7544300,352.909
2015-09-01,351,354.6,343.15,345.4,4019100,344.044
2015-09-02,348,349.8,339.75,343.25,6335800,341.903
2015-09-03,343.25,347.95,343.25,346.75,3312800,345.389
2015-09-04,345,352.65,342.25,350,4781500,348.626
2015-09-07,349.9,349.9,343.1,347.1,2612100,345.737
2015-09-08,349,349.45,339.2,347.75,2784200,346.385
2015-09-09,350,365.7,348,354.5,5744800,353.108
2015-09-10,352.5,352.5,346,350.45,3025600,349.074
2015-09-11,351.8,353.95,346.3,348.7,3023200,347.331
2015-09-14,349.9,355,346.15,354.15,2533400,352.76
2015-09-15,354,354,349,351,2128100,349.622
2015-09-16,351.5,362.1,351.5,359.5,2680500,358.089
2015-09-17,359.5,359.5,359.5,359.5,0,358.089
2015-09-18,360.05,362.95,353.2,356.9,6113500,355.499
2015-09-21,354,359,351.4,352.3,2516900,350.917
2015-09-22,355,355,340.3,343.8,4108300,342.45
2015-09-23,340,343,336.25,337.9,3684100,336.574
2015-09-24,337.9,338.6,332.05,332.95,8983200,331.643
2015-09-25,332.95,332.95,332.95,332.95,0,331.643
2015-09-28,332.1,335.4,323.4,327.6,4772400,326.314
2015-09-29,325,326.8,315.6,322.65,6422600,321.383
2015-09-30,330,338.75,325,337.85,6535700,336.524
2015-10-01,339.4,340.45,335.6,339.45,4590800,338.118
2015-10-02,339.45,339.45,339.45,339.45,0,338.118
2015-10-05,341.9,347.45,339.25,346.25,5380300,344.891
2015-10-06,349,350.6,345.6,348.85,4155500,347.481
2015-10-07,348.85,348.95,340.35,342.65,3276600,341.305
2015-10-08,343.5,345.7,336.95,341.55,4299200,340.209
2015-10-09,344,348.9,343.25,347.6,5000200,346.236
2015-10-12,348,352.1,347.6,349.5,2200300,348.128
2015-10-13,351.1,351.7,342.85,345.45,2334300,344.094
2015-10-14,347.45,350.15,341.9,346.3,3121900,344.941
2015-10-15,348,353.4,344,351.25,4969700,349.871
2015-10-16,347.2,352.45,341,349.65,4144100,348.277
2015-10-19,353,365.65,346,363.7,3906100,362.272
2015-10-20,362.85,367,359.5,361.85,2332500,360.43
2015-10-21,364.05,373.8,363.9,371.5,3996800,370.042
2015-10-22,371.5,371.5,371.5,371.5,0,370.042
2015-10-23,374,374.7,356.5,359.1,4012600,357.69
2015-10-26,365,365.25,346.85,352.2,6627300,350.817
2015-10-27,351.45,354.7,348.1,352.65,2573200,351.266
2015-10-28,352.3,359.75,351,358.3,3430900,356.893
2015-10-29,356.5,358.95,349,355.4,4110500,354.005
2015-10-30,353,360.9,344.55,349.05,3594600,347.68
2015-11-02,347.5,351.7,343.65,350.15,2574900,348.775
2015-11-03,351.05,353.8,345.9,347.65,1505900,346.285
2015-11-04,349,350.3,343.2,346.4,2174200,345.04
2015-11-05,343.35,346,334.1,336.55,3125100,335.229
2015-11-06,333,342.15,317.1,339.2,3040000,337.868
2015-11-09,334.05,338.6,320.75,335.25,3272200,333.934
2015-11-10,332.65,335.7,327.55,331.65,2182700,330.348
2015-11-11,331.65,331.65,331.65,331.65,0,330.348
2015-11-12,331.65,331.65,331.65,331.65,0,330.348
2015-11-13,325.05,336,325.05,333.9,2505800,332.589
2015-11-16,335.7,339.3,330.5,335.75,2431300,334.432
2015-11-17,336.5,337.65,331,334.5,1958400,333.187
2015-11-18,336,342.15,332.45,333.95,2241400,332.639
2015-11-19,335.15,341,332.2,339.55,1787200,338.217
2015-11-20,338.55,344.35,334,341.35,2087000,340.01
2015-11-23,341.6,346.2,336.95,339,1934400,337.669
2015-11-24,339.5,345.7,335.15,341.55,2597600,340.209
2015-11-25,341.55,341.55,341.55,341.55,0,340.209
2015-11-26,342,345.65,340.05,342.15,7324200,340.807
