"Date","BHEL.NS.Open","BHEL.NS.High","BHEL.NS.Low","BHEL.NS.Close","BHEL.NS.Volume","BHEL.NS.Adjusted"
2015-01-01,265.6,269.95,263.55,268.55,3129300,264.415
2015-01-02,269.4,276.95,269,275.3,4117800,271.061
2015-01-05,276,278.4,270.1,273.4,3041900,269.191
2015-01-06,270.9,271,259.5,260.95,3784300,256.932
2015-01-07,259.65,260.95,250,253.85,4520700,249.942
2015-01-08,258,261.2,256.15,257.55,3053000,253.585
2015-01-09,258.25,261.15,251,254.75,2533700,250.828
2015-01-12,254.6,259,253.1,257.65,1809000,253.683
2015-01-13,260.2,266,255.25,257.5,3854700,253.535
2015-01-14,257.9,270.8,257.9,268.75,4527500,264.612
2015-01-15,272,275.9,265,268.95,5112100,264.809
2015-01-16,267.5,274.85,264.65,273.85,3952700,269.634
2015-01-19,274.2,282.4,273.05,281.05,3484200,276.723
2015-01-20,283.55,284,278.3,281.25,4601500,276.92
2015-01-21,282,283.5,277.1,282.55,3732900,278.2
2015-01-22,283.45,287.35,280.85,284.45,4009400,280.07
2015-01-23,286.05,288.4,277.3,279.1,5027300,274.803
2015-01-26,279.1,279.1,279.1,279.1,0,274.803
2015-01-27,285.15,286.5,279.5,281.9,4206300,277.56
2015-01-28,281,282.45,273.15,279.25,4969600,274.951
2015-01-29,278.5,289.9,276,287.9,4936800,283.467
2015-01-30,289,297.8,285.5,291.75,5754600,287.258
2015-02-02,291.4,296.5,290.15,293.85,2902500,289.326
2015-02-03,295.95,298.95,291.2,297.1,3223500,292.526
2015-02-04,299,300,284,285,3373600,280.612
2015-02-05,286.9,289.8,274.1,276.85,3471000,272.587
2015-02-06,276.95,279.25,263.25,264.15,4486600,260.083
2015-02-09,261.5,266,257.1,258.55,2236100,254.569
2015-02-10,255.5,267,255.5,261.5,2618300,257.474
2015-02-11,263,265.05,253.6,255.45,2863200,251.517
2015-02-12,254,269.4,250.75,267.7,6341500,263.578
2015-02-13,251,263.85,251,259.35,9230600,255.357
2015-02-16,259.35,261.45,255,259.55,3271700,256.087
2015-02-17,259.55,259.55,259.55,259.55,0,256.087
2015-02-18,259,263.45,257.1,260.2,2269300,256.728
2015-02-19,260.55,264.3,256.6,261.8,2903400,258.307
2015-02-20,262.8,276.3,262.5,275.25,6567500,271.578
2015-02-23,277,277,270.75,272.55,3494700,268.914
2015-02-24,273,279.35,271.05,277.75,4636800,274.044
2015-02-25,279.5,281.75,271.75,274.2,3188300,270.542
2015-02-26,272.7,276.95,262.25,264.45,9494800,260.922
2015-02-27,267,272.15,265.55,270.9,3713600,267.286
2015-03-02,263.45,275.3,263.45,273.75,5908900,270.098
2015-03-03,273.75,275.8,268.15,274.75,3807500,271.084
2015-03-04,276.3,278.7,268.5,270.9,3579300,267.286
2015-03-05,273,273.7,266.05,270.35,2098800,266.743
2015-03-06,270.35,270.35,270.35,270.35,0,266.743
2015-03-09,267,267.95,256.95,258.6,2624600,255.15
2015-03-10,260,262.9,255.2,259.1,2259200,255.643
2015-03-11,259.9,262.9,255.6,257.9,2891000,254.459
2015-03-12,259.95,264.95,259,264.05,1995800,260.527
2015-03-13,265.4,266.35,253.5,254.75,2417000,251.351
2015-03-16,256.15,260.4,251.6,259.1,3183800,255.643
2015-03-17,260.4,265.8,258.25,264.8,2101700,261.267
2015-03-18,265.7,266.15,256.75,257.7,2793300,254.262
2015-03-19,260.85,261.8,251.9,255.6,1855100,252.19
2015-03-20,253,255.4,245,245.75,3452700,242.471
2015-03-23,246.3,246.6,235.5,236.8,3644400,233.641
2015-03-24,235,242.5,233,240,3088000,236.798
2015-03-25,240.9,241.2,235.15,236.65,2465300,233.493
2015-03-26,235,244.5,234.15,235.85,4938100,232.703
2015-03-27,237,238.55,228,232.8,2986700,229.694
