"Date","BIOCON.NS.Open","BIOCON.NS.High","BIOCON.NS.Low","BIOCON.NS.Close","BIOCON.NS.Volume","BIOCON.NS.Adjusted"
2015-01-01,424.25,427,420.55,425.05,249300,416.234
2015-01-02,424.8,432.8,424.8,428.75,660300,419.857
2015-01-05,428,433,428,429.35,288300,420.445
2015-01-06,425.1,426.9,412.85,414.8,431300,406.196
2015-01-07,414.25,417.65,402.3,404.35,704700,395.963
2015-01-08,407.5,413.25,406.15,410.7,524200,402.181
2015-01-09,412.95,420.25,411.1,415.95,635000,407.322
2015-01-12,417,422.4,412,420.3,454800,411.582
2015-01-13,428.05,430.7,424.05,426.9,864800,418.045
2015-01-14,426.35,429.9,422.1,423.65,550500,414.863
2015-01-15,426,434,421.05,430.15,464400,421.228
2015-01-16,429,432.5,425,430,488500,421.081
2015-01-19,431,436.4,429.1,431.7,579100,422.746
2015-01-20,432.3,435,425.3,428.9,430800,420.004
2015-01-21,430,433.15,421.5,426.2,381900,417.36
2015-01-22,428.4,434,419.7,425.35,1128200,416.527
2015-01-23,422.5,423,410.8,413.1,1590400,404.532
2015-01-26,413.1,413.1,413.1,413.1,0,404.532
2015-01-27,408.85,412,404.75,409.5,1231500,401.006
2015-01-28,408.05,411.95,407.8,410.15,695800,401.643
2015-01-29,409.05,415,408.45,409.85,598900,401.349
2015-01-30,412,418.85,410.2,414.75,521600,406.147
2015-02-02,414,428.05,414,422.15,728600,413.394
2015-02-03,424.95,430,420.15,425.75,703200,416.919
2015-02-04,426.95,432,425,427.3,699800,418.437
2015-02-05,429.8,431,415.15,420.3,732400,411.582
2015-02-06,419.15,420.7,410,412,511800,403.454
2015-02-09,410.8,415.25,406.65,412,334500,403.454
2015-02-10,412,419.25,410,412.3,333600,403.748
2015-02-11,413.1,426.8,413.1,424.45,411000,415.646
2015-02-12,426.25,427.4,418,420.5,390400,411.778
2015-02-13,423,452.5,420.45,450.4,1740700,441.058
2015-02-16,450.6,452,437.15,439,614000,429.894
2015-02-17,439,439,439,439,0,429.894
2015-02-18,439.95,451.75,439.3,445.95,584700,436.7
2015-02-19,446.5,448.25,436.3,441.05,341400,431.902
2015-02-20,443,453.8,439.05,444.55,586500,435.329
2015-02-23,445.1,450.7,436,438.6,394700,429.503
2015-02-24,438.8,441.5,424.9,427,562900,418.143
2015-02-25,427.8,434.6,423.3,425.2,431200,416.381
2015-02-26,426.25,426.65,418.25,421.6,313700,412.855
2015-02-27,425.3,429.5,420.1,422.4,535400,413.639
2015-03-02,427.6,441.5,426.05,439.5,646800,430.384
2015-03-03,442.5,444.5,432.6,435.05,652100,426.026
2015-03-04,437.7,444,423.15,427.75,637100,418.878
2015-03-05,428.95,436.5,425.7,434.95,334000,425.928
2015-03-06,434.95,434.95,434.95,434.95,0,425.928
2015-03-09,431,441.25,429.05,431.05,388200,422.109
2015-03-10,430.05,439.55,430.05,432.5,362500,423.529
2015-03-11,432.5,437.7,426,427.65,321400,418.78
2015-03-12,429,438.8,426.5,436.65,548000,427.593
2015-03-13,436,438.4,423.25,426.95,461700,418.094
2015-03-16,428,431.05,423.15,428,305000,419.123
2015-03-17,430.4,440.8,429.35,435.9,571500,426.859
2015-03-18,438,451.4,433.05,449.4,1041300,440.079
2015-03-19,455,461.4,438.75,443.35,1136500,434.154
2015-03-20,443.35,453,431.05,434.65,688700,425.635
2015-03-23,433.15,441.55,431.6,435.15,478400,426.124
2015-03-24,434.5,438.95,431.25,434.3,357600,425.292
2015-03-25,434.55,439,431.4,433.05,393200,424.068
2015-03-26,432.35,438,429.25,431.45,650200,422.501
2015-03-27,434.4,440.85,417.9,425.05,505200,416.234
2015-03-30,428.05,437.4,425.5,436.3,362900,427.25
2015-03-31,438.4,475,434.25,469.3,1987000,459.566
2015-04-01,472.5,478.85,462.7,466.05,1942900,456.383
2015-04-02,466.05,466.05,466.05,466.05,0,456.383
2015-04-03,466.05,466.05,466.05,466.05,0,456.383
2015-04-06,468.4,483.4,465.85,476.85,1437400,466.959
2015-04-07,479,485.5,471,478.25,809200,468.33
2015-04-08,479.35,490.4,472.2,485.45,1113300,475.381
2015-04-09,482.9,484,465.1,469.1,859300,464.151
2015-04-10,481,482.5,463.25,467.1,1842100,462.172
2015-04-13,469.6,491.8,468.15,488.7,2337700,483.544
2015-04-14,488.7,488.7,488.7,488.7,0,483.544
2015-04-15,490.65,495.7,474.45,477.9,1367600,472.858
2015-04-16,478,482.4,463,471.4,917600,466.426
2015-04-17,472,476.25,463.25,465.8,644300,460.885
2015-04-20,467,469.9,445.4,449.65,1160200,444.906
2015-04-21,450,454.35,441,442.9,1013700,438.227
2015-04-22,444,464.95,434.1,455.95,1309300,451.139
2015-04-23,468.8,470,450,451.65,2014000,446.885
2015-04-24,453.8,455,441.9,445.05,660100,440.354
2015-04-27,448.2,449.15,432.8,435,601600,430.41
2015-04-28,435.3,444,430,441.8,635800,437.139
2015-04-29,443,449.6,438.05,444,706800,439.315
2015-04-30,452.9,459.4,448.65,452.65,1486900,447.874
2015-05-01,452.65,452.65,452.65,452.65,0,447.874
2015-05-04,456.4,458.85,443,453.9,738500,449.111
2015-05-05,455,456.9,445.5,446.6,608500,441.888
2015-05-06,445.6,445.8,422,425.5,788600,421.011
2015-05-07,425.4,430.4,418.85,423.85,948900,419.378
2015-05-08,430,435.5,425.3,434,747000,429.421
2015-05-11,436,443,434,440.2,422200,435.556
2015-05-12,440.2,440.5,430,431.8,398600,427.244
2015-05-13,433.95,438.5,429,434.1,384200,429.52
2015-05-14,434.15,441.4,430.15,439.2,381600,434.566
2015-05-15,439.95,443.2,435.5,441.35,264400,436.693
2015-05-18,442,451,440.3,449.85,603800,445.104
2015-05-19,450.8,455.6,446,447.9,547700,443.174
2015-05-20,449.95,455,447.2,448.75,438800,444.015
2015-05-21,449.9,449.9,442.15,446.3,205000,441.591
2015-05-22,447.8,452,444,447.05,255600,442.333
2015-05-25,447.1,451,443.9,448.75,225400,444.015
2015-05-26,449.9,449.9,444.15,448.1,293100,443.372
2015-05-27,446,451.95,444.3,449.8,311500,445.054
2015-05-28,450,451.5,441,442.3,609400,437.633
2015-05-29,445.1,452.6,442.1,451.35,495600,446.588
2015-06-01,451.8,462,451,455.35,511600,450.546
2015-06-02,456.6,464.95,450,454.25,754200,449.457
