"Date","BOSCHLTD.NS.Open","BOSCHLTD.NS.High","BOSCHLTD.NS.Low","BOSCHLTD.NS.Close","BOSCHLTD.NS.Volume","BOSCHLTD.NS.Adjusted"
2015-01-01,19307.1,19583.8,19307.1,19454.1,10400,19249.33
2015-01-02,19415,19737.9,19415,19539.8,12600,19334.13
2015-01-05,19480,19862.9,19480,19736.1,14800,19528.36
2015-01-06,19538.7,19650,19090,19188.7,21600,18986.73
2015-01-07,19222,19279,18900,19156.7,13900,18955.06
2015-01-08,19215.1,19650,19215.1,19618.9,16700,19412.4
2015-01-09,19660.1,19725,19361.2,19450.3,11200,19245.57
2015-01-12,19730,20387,19435,20326.2,32400,20112.25
2015-01-13,20400,20784,20211,20403.6,37400,20188.84
2015-01-14,20302,21001,20301.5,20985.9,36800,20765.01
2015-01-15,21300,21467.2,20940,21334.8,45400,21110.24
2015-01-16,21350,21684,21150.4,21441.6,17200,21215.91
2015-01-19,21305,21679.5,21305,21504.9,8800,21278.55
2015-01-20,21555,21625.1,21450.1,21530.7,12100,21304.07
2015-01-21,21700,21880,21200,21638.7,36600,21410.94
2015-01-22,21743,21850,21530.4,21677.4,18100,21449.23
2015-01-23,21894,21998.7,21593,21834.2,19400,21604.38
2015-01-26,21834.2,21834.2,21834.2,21834.2,0,21604.38
2015-01-27,21802,23474.5,21646.1,23054.9,62300,22812.23
2015-01-28,23055,23527.5,23000.2,23292.8,25600,23047.63
2015-01-29,23370,23988,23224.8,23437.2,26400,23190.51
2015-01-30,23680,23989,23450,23824.3,24900,23573.53
2015-02-02,23824.3,25139.4,23801.9,24974.6,41800,24711.73
2015-02-03,25090,25899.8,24400.2,24530.3,47300,24272.1
2015-02-04,24742,24800,23400,23554.4,31800,23306.48
2015-02-05,23600,23960.1,23304.2,23629.4,25700,23380.69
2015-02-06,23700,23780,22760.1,23039.9,26500,22797.39
2015-02-09,22930.9,23250,22280.1,22358.7,26700,22123.36
2015-02-10,22359,23307.2,22000,23014.8,47400,22772.56
2015-02-11,23140,23953.8,23050,23708.1,48400,23458.56
2015-02-12,24524,25865.1,24524,25361.3,187800,25094.36
2015-02-13,25699,26599.2,24580.1,24946.4,160300,24683.82
2015-02-16,24926,25875,24720.2,25604.1,52400,25334.6
2015-02-17,25604.1,25604.1,25604.1,25604.1,0,25334.6
2015-02-18,26000,27150,24650,27117.7,100800,26832.27
2015-02-19,27199,27398.9,25945.2,26201.8,111100,25926.01
2015-02-20,26274.5,26800,25500,26559.2,51700,26279.65
2015-02-23,26800,26800,25951.1,26118.2,53200,25843.29
2015-02-24,26218,26650,25921,26514.1,66400,26235.02
2015-02-25,26597,26597,26131,26285.6,49600,26008.93
2015-02-26,26295,26295,25771,26032.9,101000,25758.89
