"Date","BPCL.NS.Open","BPCL.NS.High","BPCL.NS.Low","BPCL.NS.Close","BPCL.NS.Volume","BPCL.NS.Adjusted"
2015-01-01,648.9,657.5,642.2,654.2,964300,282.0306
2015-01-02,650.9,655.9,642.45,644.4,2047400,277.8057
2015-01-05,645,649.45,641.3,645.65,2188700,278.3446
2015-01-06,652.4,655.3,630,639.15,4373600,275.5424
2015-01-07,637,649.35,637,644.95,2618700,278.0428
2015-01-08,649,681.9,649,677.6,5613300,292.1185
2015-01-09,684,688,672.5,679.35,3359700,292.8729
2015-01-12,685,685,672.3,676.4,1289100,291.6012
2015-01-13,680.4,691,663.5,669.55,1990800,288.6481
2015-01-14,675.95,675.95,648.9,651.7,2370700,280.9528
2015-01-15,655.1,668.2,649.35,662.95,3936000,285.8028
2015-01-16,663.25,672.9,655.6,659.3,2382400,284.2292
2015-01-19,659.25,661.05,642.7,645.2,2205700,278.1506
2015-01-20,646.25,654,643.25,647.65,1551000,279.2068
2015-01-21,648,657.35,643.6,654.15,1844800,282.009
2015-01-22,655,660,644.95,657.05,1645400,283.2592
2015-01-23,663.4,682.35,657.55,674.75,2902000,290.8898
2015-01-26,674.75,674.75,674.75,674.75,0,290.8898
2015-01-27,678.9,694.85,660.8,692.05,3868400,298.348
2015-01-28,688.85,709.6,685,706.25,3812900,304.4697
2015-01-29,711.25,737.75,707.55,733.85,6467400,316.3683
2015-01-30,737.5,763.25,731,748.85,4918200,322.8349
2015-02-02,746,767.3,735.35,748.65,3384500,322.7487
2015-02-03,749,756.4,724.35,727.4,3262200,313.5876
2015-02-04,725,736,716.25,721,3653400,310.8285
2015-02-05,724.7,772.8,723,750,6217900,323.3307
2015-02-06,736,749,726.8,730.95,3101300,315.1181
2015-02-09,721,726,706.55,711.8,2735700,306.8623
2015-02-10,705,715.6,689,698.3,4894500,301.0424
2015-02-11,702.4,716.3,694.45,712.9,1609000,307.3366
2015-02-12,717.55,722,701.05,705.85,1425500,304.2973
2015-02-13,705.8,733.7,693,724.9,7335000,312.5099
2015-02-16,731.9,757.25,721,725.85,3995700,312.9194
2015-02-17,725.85,725.85,725.85,725.85,0,312.9194
2015-02-18,727.5,735,721,729.65,1375800,314.5576
2015-02-19,734,747.5,731.8,742.2,2581400,319.968
2015-02-20,741.5,745.8,738,741.8,1465100,319.7956
2015-02-23,745,754,734.55,739.65,1476800,318.8687
2015-02-24,743,759.85,741.9,757.3,2461500,326.4777
2015-02-25,758,772.05,747,751.85,3198000,324.1282
2015-02-26,751.85,758.7,741.65,745.8,2870600,321.52
2015-02-27,749,749.85,730.3,744.25,1713800,320.8518
2015-03-02,759.9,786,758.1,779.5,6186100,336.0483
2015-03-03,779.5,786.5,768.2,780.8,3147400,336.6088
2015-03-04,783.5,789.8,763.75,770.5,3592400,332.1684
2015-03-05,770,780.9,768,776.35,2581800,334.6903
2015-03-06,776.35,776.35,776.35,776.35,0,334.6903
2015-03-09,775.05,780.8,754.4,764,3563900,329.3662
2015-03-10,768.8,777.6,761.65,764.2,2932600,329.4524
2015-03-11,764.2,771.8,747.15,750.85,1199400,323.6971
2015-03-12,752.35,758.55,747.95,749.5,1323900,323.1151
2015-03-13,753.9,754.9,727.05,731.4,1740600,315.3121
