"Date","BRITANNIA.NS.Open","BRITANNIA.NS.High","BRITANNIA.NS.Low","BRITANNIA.NS.Close","BRITANNIA.NS.Volume","BRITANNIA.NS.Adjusted"
2015-01-01,1838.55,1863,1823.25,1831.5,48400,1808.6647
2015-01-02,1842,1885,1838,1878.55,154400,1855.1281
2015-01-05,1889,1926.95,1872.3,1879.85,172200,1856.4118
2015-01-06,1885,1910,1850,1881.9,114100,1858.4363
2015-01-07,1891.95,2008.9,1891.95,1995.75,473700,1970.8668
2015-01-08,2010.1,2017,1962.4,1969.2,226400,1944.6478
2015-01-09,1976,1979.8,1927.05,1945.3,241500,1921.0459
2015-01-12,1954,1975,1922,1932,138300,1907.9116
2015-01-13,1948,1970,1925.5,1933.4,231800,1909.2942
2015-01-14,1951,1975,1933,1946.05,329100,1921.7865
2015-01-15,2000,2000,1921,1934.15,190900,1910.0348
2015-01-16,1945,1959.85,1917,1928.7,197900,1904.6527
2015-01-19,1940,1942,1896.5,1908.65,140400,1884.8528
2015-01-20,1912,1941.9,1910,1920.75,129200,1896.8019
2015-01-21,1912,1935,1896,1915.05,135200,1891.173
2015-01-22,1910.5,1924.9,1896.25,1901.15,143800,1877.4463
2015-01-23,1920,1927,1906,1914.65,230000,1890.778
2015-01-26,1914.65,1914.65,1914.65,1914.65,0,1890.778
2015-01-27,1930,1940,1905,1914.35,113700,1890.4817
2015-01-28,1920,1920.4,1905,1913.75,227700,1889.8892
2015-01-29,1924.9,1924.9,1900.1,1908.35,88600,1884.5565
2015-01-30,1915,1915,1875.1,1889,100300,1865.4478
2015-02-02,1889,1911.2,1889,1900.1,162000,1876.4093
2015-02-03,1917,1938,1910.65,1924.25,240000,1900.2583
2015-02-04,1955,1963.7,1881.2,1894.1,340100,1870.4841
2015-02-05,1904.45,1906.5,1846.25,1853.5,153200,1830.3904
2015-02-06,1870,1887.2,1857.1,1879.15,251000,1855.7206
2015-02-09,1873,1915.9,1864,1882.15,343000,1858.6832
2015-02-10,1904,1939,1901.95,1933.25,179800,1909.146
2015-02-11,1937,1937,1906,1929.7,195000,1905.6403
2015-02-12,1937.6,1975,1925,1967.5,534100,1942.969
2015-02-13,1976,2040,1900,2022.9,322400,1997.6783
2015-02-16,2034,2045,2000,2034.2,281700,2008.8373
2015-02-17,2034.2,2034.2,2034.2,2034.2,0,2008.8373
2015-02-18,2044.95,2085,2008.2,2055.8,147700,2030.1681
2015-02-19,2075,2099.95,2050,2081.1001,132500,2055.1527
2015-02-20,2082,2117,2045,2097.55,166400,2071.3976
2015-02-23,2100,2100,2045,2060.3999,187100,2034.7106
2015-02-24,2062,2088,2051,2073,89000,2047.1536
2015-02-25,2080,2082.95,2045,2069.3999,177600,2043.5984
2015-02-26,2071,2098.3501,2033.95,2055.6499,172700,2030.0199
2015-02-27,2055.7,2107,2048.6499,2083.45,259700,2057.4733
2015-03-02,2098,2162.95,2056.25,2122.3999,390900,2095.9376
2015-03-03,2122,2189,2120,2168.6499,373900,2141.611
2015-03-04,2176,2195,2144.05,2152.5,227500,2125.6624
2015-03-05,2156,2246,2155,2210.75,405200,2183.1861
2015-03-06,2210.75,2210.75,2210.75,2210.75,0,2183.1861
2015-03-09,2205,2211,2155.75,2199.3501,179400,2171.9284
2015-03-10,2210,2212.2,2116.5,2156.05,156700,2129.1682
2015-03-11,2163,2201,2140,2155,99200,2128.1312
2015-03-12,2162,2215,2159.1001,2196.6499,252400,2169.2619
2015-03-13,2204,2216.6499,2142.2,2156.95,109200,2130.0569
2015-03-16,2164,2169.8,2125.05,2150.5,72900,2123.6874
2015-03-17,2170,2218.8,2155,2190.95,210900,2163.633
2015-03-18,2200,2250,2185,2196.6499,247200,2169.2619
2015-03-19,2209.8999,2239.7,2150,2207.1499,162900,2179.6309
2015-03-20,2239,2239,2080.3501,2133.45,557700,2106.8499
2015-03-23,2139,2139,2081,2102.7,50500,2076.4833
2015-03-24,2105,2158.25,2105,2148.75,103600,2121.9592
2015-03-25,2105.8,2170,2105.8,2161.3501,125900,2134.4022
2015-03-26,2166.6499,2210,2145,2193.8,155900,2166.4475
2015-03-27,2208,2208,2080,2154,175000,2127.1437
2015-03-30,2173,2175.05,2110,2162.1499,154200,2135.192
2015-03-31,2174,2174,2150,2158.55,94400,2131.637
2015-04-01,2155.5,2215.3,2141.3501,2177.55,245900,2150.4001
2015-04-02,2177.55,2177.55,2177.55,2177.55,0,2150.4001
2015-04-03,2177.55,2177.55,2177.55,2177.55,0,2150.4001
2015-04-06,2160.1001,2220,2160.1001,2216.7,158500,2189.0619
2015-04-07,2219.8,2299,2179.75,2259.1001,158600,2230.9334
2015-04-08,2275,2299.5,2252.3999,2258.75,138600,2230.5877
2015-04-09,2274,2299.05,2221.8,2277.8999,164800,2249.4988
2015-04-10,2278,2290.5,2260,2277.8999,153200,2249.4988
2015-04-13,2277.8999,2320,2269.55,2310.2,277300,2281.3961
2015-04-14,2310.2,2310.2,2310.2,2310.2,0,2281.3961
2015-04-15,2322.8,2377.8,2316,2344.55,207400,2315.318
2015-04-16,2374,2375,2290.25,2329.1499,161800,2300.1098
2015-04-17,2328,2328,2295,2298.95,113800,2270.2864
2015-04-20,2330,2330,2150,2170,262400,2142.9442
