"Date","CADILAHC.NS.Open","CADILAHC.NS.High","CADILAHC.NS.Low","CADILAHC.NS.Close","CADILAHC.NS.Volume","CADILAHC.NS.Adjusted"
2015-01-01,1615.24994,1616.00006,1599.94995,1611.99997,519600,306.95676
2015-01-02,1615.89996,1639.90005,1615.89996,1627.64999,508400,309.93683
2015-01-05,1647.94998,1710,1646.95007,1699.40002,1169000,323.59946
2015-01-06,1695,1695,1648.00003,1660.20004,514900,316.13501
2015-01-07,1661.00006,1670.14999,1626.25,1648.89999,174400,313.98325
2015-01-08,1658.99994,1670.89996,1640,1647.14996,224300,313.65001
2015-01-09,1670,1719.90005,1670,1686.69998,723900,321.18112
2015-01-12,1686.69998,1696.49994,1646.10001,1652.44995,344100,314.65924
2015-01-13,1646.99997,1660,1636.19995,1646.75003,2159800,313.57386
2015-01-14,1651.99997,1658.99994,1595.89996,1611.54999,711700,306.87107
2015-01-15,1620.80002,1651.04996,1601.00006,1617.70004,2210100,308.04217
2015-01-16,1619.10004,1653.99994,1618.99994,1635.20004,429400,311.37451
2015-01-19,1636.00006,1655,1601.00006,1635,3749900,311.33642
2015-01-20,1637.25006,1670,1637.25006,1658.54996,734800,315.8208
2015-01-21,1651.00006,1675.24994,1641.00006,1649.64996,286800,314.12606
2015-01-22,1643.99994,1665,1636.25,1643.35007,820300,312.92644
2015-01-23,1665,1693.35007,1645,1647.40005,537000,313.69764
2015-01-26,1647.40005,1647.40005,1647.40005,1647.40005,0,313.69764
2015-01-27,1653.00003,1674.79996,1648.24997,1651.39999,359600,314.4593
2015-01-28,1656.95007,1676.49994,1655.14999,1659.94995,789800,316.08739
2015-01-29,1683.24997,1685,1641.00006,1660.35004,1500500,316.16357
2015-01-30,1670,1680,1631.10001,1638.35007,298400,311.97434
2015-02-02,1640,1655,1604.85001,1610.80002,1409300,306.72826
2015-02-03,1616.00006,1625.95001,1528.09998,1541.75003,1970100,293.57978
2015-02-04,1545,1560,1520,1523.65005,1104500,290.13318
2015-02-05,1520,1528.30002,1425,1460.44998,2145900,278.09864
