"Date","CAIRN.NS.Open","CAIRN.NS.High","CAIRN.NS.Low","CAIRN.NS.Close","CAIRN.NS.Volume","CAIRN.NS.Adjusted"
2015-01-01,238.15,239.95,237,238.95,698500,198.6
2015-01-02,238.4,242.6,238.4,241.4,882400,200.64
2015-01-05,240,245.35,238.9,243.95,1750000,202.76
2015-01-06,238.1,239.75,234.8,235.75,2866200,195.94
2015-01-07,234.15,235.25,228.55,230.15,2807000,191.29
2015-01-08,234,242.4,234,241.55,3780900,200.76
2015-01-09,244.3,245.5,240.1,243,1651700,201.97
2015-01-12,241,241,232.6,235.55,2387100,195.78
2015-01-13,232.5,235.3,231.75,234.05,1843900,194.53
2015-01-14,232.6,234.85,230.4,232.7,1513500,193.41
2015-01-15,236.6,239.6,233.25,237,2912900,196.98
2015-01-16,236,236.9,230,231.85,2062600,192.7
2015-01-19,235,235.6,232.8,234.15,1107700,194.61
2015-01-20,235.05,239.85,234.15,239.55,1860300,199.1
2015-01-21,240,240.8,235.4,238.4,1860300,198.14
2015-01-22,236,240.5,234.1,238.5,2849400,198.23
2015-01-23,238.8,250,235.25,248.35,4350500,206.41
2015-01-26,248.35,248.35,248.35,248.35,0,206.41
2015-01-27,247.9,249.05,238.1,239.1,3812800,198.73
2015-01-28,238,238,233.1,235.7,2951800,195.9
2015-01-29,234.5,238.25,231.3,234.7,4317800,195.07
2015-01-30,235.65,236.5,231,232.85,2745000,193.53
2015-02-02,237,237.85,233.5,235.7,2323400,195.9
2015-02-03,240.05,246.9,240.05,245.35,3125400,203.92
2015-02-04,249.45,257.9,247.35,253.85,7198600,210.99
2015-02-05,250,250,245.55,247,2319000,205.29
2015-02-06,249,256.3,249,254.1,3670000,211.19
2015-02-09,257.1,260.8,254,255.45,4610400,212.32
2015-02-10,251.3,258,251.3,254.05,2288300,211.15
2015-02-11,250.9,252.9,247.75,251.8,1653000,209.28
2015-02-12,250.1,256.6,247.2,255,1292100,211.94
2015-02-13,259,261.7,256.55,258.2,3533200,214.6
2015-02-16,262,262.5,254.8,255.35,1530700,212.23
2015-02-17,255.35,255.35,255.35,255.35,0,212.23
2015-02-18,258,260.45,256.4,258.5,2793500,214.85
2015-02-19,257.8,257.85,251.5,254.45,1751700,211.48
2015-02-20,254.45,254.9,252.4,253.1,1705900,210.36
2015-02-23,250.1,251.7,248.35,249.45,1483600,207.33
2015-02-24,247.2,249.1,239.8,240.6,2221100,199.97
2015-02-25,241.05,247.55,241.05,244.55,1551800,203.26
2015-02-26,247.8,249.5,244,248.25,1962400,206.33
2015-02-27,246.75,252.9,244.85,250.5,1668400,208.2
2015-03-02,255.3,257,253.6,254.5,1841800,211.53
2015-03-03,254,254,250,253.05,1554800,210.32
2015-03-04,259,260,243.2,244.15,4376900,202.92
2015-03-05,245,245,235.5,239.2,3593800,198.81
2015-03-06,239.2,239.2,239.2,239.2,0,198.81
2015-03-09,237.1,237.45,234,234.85,1900300,195.19
2015-03-10,234.3,237.7,229.85,231.05,1840500,192.04
2015-03-11,228,229.7,222.35,223.65,3285400,185.89
2015-03-12,228.1,235,225,233.85,2470700,194.36
2015-03-13,234.05,240,224.5,225.65,2724000,187.55
2015-03-16,222.65,222.65,215,218,4193800,181.19
2015-03-17,219.1,227.95,218,225.65,2270200,187.55
2015-03-18,227,227,221.6,223.15,1362200,185.47
2015-03-19,227,228.95,221.15,222.2,2056200,184.68
2015-03-20,222.95,226.3,220.9,225.4,1508700,187.34
2015-03-23,226.05,226.8,216.4,218.6,2277700,181.69
2015-03-24,217.05,221.35,217.05,219.05,1975900,182.06
2015-03-25,219.05,223.9,219.05,223,1172500,185.35
2015-03-26,223.75,225.9,220.55,222.95,2824000,185.3
2015-03-27,224.3,225.3,214.2,215.45,1248700,179.07
2015-03-30,216,217,209,211.65,1720700,175.91
2015-03-31,212.25,215,210.8,213.85,1634300,177.74
2015-04-01,213.85,215.6,211.5,213.35,841400,177.32
2015-04-02,213.35,213.35,213.35,213.35,0,177.32
2015-04-03,213.35,213.35,213.35,213.35,0,177.32
2015-04-06,215,222.25,212.8,221.2,2036700,183.85
2015-04-07,226.1,226.1,217.1,220.35,1829400,183.14
2015-04-08,221,224.35,217.15,221.75,2064700,184.31
2015-04-09,222.7,226.45,219.4,223.15,2436300,185.47
2015-04-10,223,224.9,221.8,223.05,1083100,185.39
2015-04-13,225,229,221.1,227.65,1727800,189.21
2015-04-14,227.65,227.65,227.65,227.65,0,189.21
2015-04-15,228.1,233.35,225.95,227.65,2663700,189.21
2015-04-16,231,238.3,230.55,236.6,3230500,196.65
2015-04-17,238.7,239.8,230,230.4,2194100,191.5
2015-04-20,231.1,233,225.2,226.6,1172400,188.34
2015-04-21,227.5,232.05,221.15,222.6,2132300,185.01
2015-04-22,223,223.95,216.85,218.6,1241100,181.69
2015-04-23,215.9,219.15,212,213.6,2753500,177.53
2015-04-24,202,220.9,202,218.65,6533900,181.73
2015-04-27,217,220,207.1,208.45,2471200,173.25
2015-04-28,207.95,214.5,207.2,213.65,1377000,177.57
2015-04-29,213.9,214,207.55,211.15,1840000,175.5
2015-04-30,213.2,215,207.55,213.45,3695500,177.41
2015-05-01,213.45,213.45,213.45,213.45,0,177.41
2015-05-04,214.4,219.95,214.4,219.3,1851700,182.27
2015-05-05,219.5,219.9,212.6,214.25,1613300,178.07
2015-05-06,215,218,209.05,209.95,3367800,174.5
2015-05-07,210,212,203.75,204.8,1985200,170.22
2015-05-08,206.5,208.5,204.7,206.2,1362900,171.38
2015-05-11,207.4,210.45,207.35,209.95,1001700,174.5
2015-05-12,210,210.25,197.2,198.05,2917100,164.61
2015-05-13,200,203.6,198.6,202.3,1917600,168.14
2015-05-14,202.5,203.3,199.35,202.35,1205500,168.18
2015-05-15,202,204.65,199.5,200.05,1484000,166.27
2015-05-18,201.9,206.8,201,203.5,3437500,169.14
2015-05-19,201.55,203.6,200.2,201.05,1362300,167.1
2015-05-20,202,202.45,196.65,197.2,1888200,163.9
2015-05-21,198,198.55,195,197.3,1499400,163.98
2015-05-22,199.9,199.9,196.5,196.8,1123400,163.57
2015-05-25,197.05,198.3,194.4,194.7,1379000,161.82
2015-05-26,195.4,195.7,191.4,192.35,2353100,159.87
2015-05-27,192,194.35,190.15,190.9,5128800,158.67
2015-05-28,191.85,192.9,190.25,190.95,5131100,158.71
2015-05-29,192.1,194,190.6,192.6,2950000,160.08
2015-06-01,194.9,195.7,192.1,194.8,1053600,161.91
2015-06-02,195.85,197.9,193,194.1,2367300,161.32
2015-06-03,195.8,195.8,185,186.25,2689200,154.8
2015-06-04,188,189,183.3,185.8,1382200,154.43
2015-06-05,185.8,188.95,183.5,187.1,1371900,155.51
2015-06-08,187,188,180.15,180.85,2066600,150.31
2015-06-09,175,175,170.55,173,3969700,143.79
2015-06-10,173,191.4,172.3,184.7,7516200,153.51
2015-06-11,184.9,185,179.1,180.8,3746300,150.27
2015-06-12,180,183.05,179.35,180.75,2173000,150.23
2015-06-15,185.4,190,175.75,187.7,8134000,156.01
2015-06-16,187,187.4,180.6,181.9,5601700,151.18
2015-06-17,183.9,183.9,178.6,179.2,3534100,148.94
2015-06-18,179.6,179.7,177.4,178.7,5496400,148.53
2015-06-19,180.1,181.7,178,179.75,3429400,149.4
2015-06-22,181,183.1,179.3,181.6,2129300,150.94
2015-06-23,182.85,184.45,180.8,182.7,1754800,151.85
2015-06-24,184.2,184.4,181.2,181.95,1786800,151.23
2015-06-25,182.5,189.25,181.55,187.9,4792800,156.17
2015-06-26,187.9,188.5,181,182.15,1656100,151.39
2015-06-29,179.8,182.7,177.15,181.8,2158800,151.1
2015-06-30,182.6,183.5,179,181.55,2649300,150.89
2015-07-01,181.6,185.5,180.85,184.3,1190200,153.18
2015-07-02,184.2,187.5,182.2,186.2,2370400,154.76
2015-07-03,186.5,187.5,182.85,183.2,1494100,152.27
2015-07-06,181.2,183.4,178.1,182.3,1678000,151.52
2015-07-07,180.8,182,179.2,179.6,1763700,152.62
2015-07-08,174.95,175.9,167,168,4144400,146.02
2015-07-09,168.95,169.65,164.2,165.15,1551300,143.54
2015-07-10,165.85,169.5,165.5,168.8,2392700,146.71
2015-07-13,173.75,174,168.55,172.2,2990100,149.67
2015-07-14,172.45,172.95,169.55,170.35,799500,148.06
2015-07-15,171.7,171.75,167.3,167.9,1226000,145.93
2015-07-16,168.55,169.7,166.75,169,1101600,146.89
2015-07-17,169.7,171.95,168.05,170.75,1020700,148.41
2015-07-20,169.1,171.2,166.6,167.5,1147100,145.58
2015-07-21,167,167,162,162.55,1956000,141.28
2015-07-22,160.3,175.6,156.6,166.95,4599800,145.1
2015-07-23,169.05,188,169.05,177.7,10190100,154.45
2015-07-24,178.6,180.05,174.15,174.8,2499400,151.93
2015-07-27,173.9,173.9,167.55,168.7,1880400,146.63
2015-07-28,168.5,169.55,164.55,165.55,1211200,143.89
2015-07-29,167.5,168.9,163.6,167.15,1399900,145.28
2015-07-30,169.15,171.3,167.8,168.95,1532400,146.84
2015-07-31,169.5,174.9,169.4,172.95,1951400,150.32
2015-08-03,172,175.6,169.8,171.5,1996800,149.06
2015-08-04,170.9,170.9,164.4,166.25,2056200,144.5
2015-08-05,168,170.4,166.55,167.2,1237600,145.32
2015-08-06,170.2,170.3,165,165.45,1785100,143.8
2015-08-07,167.1,168.7,165.3,166.8,2062700,144.97
2015-08-10,167.1,168.3,162.35,163.95,866100,142.5
2015-08-11,164.4,165.1,161.75,162.4,852600,141.15
2015-08-12,161.1,161.1,154.1,154.95,1161300,134.67
2015-08-13,156,158,153,154.2,2002000,134.02
2015-08-14,155.4,157.4,147.6,155.7,1525900,135.33
2015-08-17,154.35,157.2,153,154.25,961700,134.07
2015-08-18,154.45,156.75,148.65,150.15,1776300,130.5
2015-08-19,150.3,155,149.15,151.6,2204600,131.76
2015-08-20,149.55,150.85,141.1,142,3782500,123.42
2015-08-21,140,142.5,137.1,141.7,1650600,123.16
