"Date","CANBK.NS.Open","CANBK.NS.High","CANBK.NS.Low","CANBK.NS.Close","CANBK.NS.Volume","CANBK.NS.Adjusted"
2015-01-01,436.722,440.126,435.263,436.965,845500,421.6098
2015-01-02,440.321,443.044,435.068,436.382,1596400,421.0473
2015-01-05,436.917,440.759,433.318,438.084,1484800,422.6895
2015-01-06,432.929,434.582,424.272,425.974,1915500,411.005
2015-01-07,423.105,427.774,418.728,425.245,1505200,410.3016
2015-01-08,429.913,441.05,426.655,439.591,1623900,424.1435
2015-01-09,443.968,443.968,425.05,428.698,1943300,413.6333
2015-01-12,426.801,435.36,422.716,432.783,1335100,417.5747
2015-01-13,433.561,435.847,428.26,432.54,1586300,417.3403
2015-01-14,433.804,434.339,423.688,426.606,973100,411.6148
2015-01-15,452.674,455.348,439.591,445.233,2327700,429.5873
2015-01-16,445.33,447.324,438.862,442.461,1236600,426.9127
2015-01-19,445.038,453.743,441.439,451.75,2247000,435.8752
2015-01-20,452.284,459.579,450.436,457.342,1670100,441.2707
2015-01-21,458.218,462.351,452.917,457.05,2217500,440.989
2015-01-22,459.385,459.871,448.151,452.771,1663400,436.8604
2015-01-23,458.801,460.066,448.443,456.175,1360700,440.1447
2015-01-26,456.175,456.175,456.175,456.175,0,440.1447
2015-01-27,460.552,460.552,447.421,456.71,1791500,440.6609
2015-01-28,452.284,465.561,451.312,463.081,2059800,446.8081
2015-01-29,462.595,463.665,452.382,457.877,1698300,441.787
2015-01-30,458.607,462.011,429.622,431.032,2364600,415.8853
2015-02-02,430.789,443.92,426.46,442.315,1481900,426.7718
2015-02-03,443.774,448.88,424.321,427.385,2024200,412.3665
2015-02-04,427.968,446.838,408.758,440.71,8896400,425.2232
2015-02-05,443.531,443.531,414.594,417.804,3115300,403.1221
2015-02-06,417.707,418.825,401.706,403.409,3727700,389.233
2015-02-09,399.664,406.57,388.332,390.472,2041600,376.7506
2015-02-10,386.047,402.095,381.524,387.263,3302900,373.6544
2015-02-11,387.895,396.843,387.7,392.758,1812500,378.9563
2015-02-12,393.925,396.746,385.269,388.965,1909400,375.2965
2015-02-13,391.591,406.862,389.208,405.159,3549100,390.9215
2015-02-16,407.445,410.314,397.378,399.226,1910600,385.197
2015-02-17,399.226,399.226,399.226,399.226,0,385.197
2015-02-18,400.15,402.63,395.481,398.497,1287300,384.4936
2015-02-19,399.323,402.193,387.117,394.801,1948900,380.9275
2015-02-20,396.649,406.278,391.202,400.539,2344700,386.4638
2015-02-23,402.874,403.652,390.035,391.737,1637300,377.9711
2015-02-24,392.953,398.302,385.171,394.217,2096100,380.364
2015-02-25,395.19,398.691,389.062,390.521,1662400,376.7979
2015-02-26,391.348,391.591,381.475,382.788,2492800,369.3366
2015-02-27,386.679,399.761,385.852,396.892,1965500,382.945
2015-03-02,407.931,414.01,401.998,408.466,2110800,394.1123
2015-03-03,408.612,421.062,405.597,417.22,2036900,402.5587
2015-03-04,436.722,439.737,403.749,407.153,3591500,392.8454
2015-03-05,407.202,414.691,403.895,413.038,1839500,398.5236
2015-03-06,413.038,413.038,413.038,413.038,0,398.5236
2015-03-09,410.46,410.46,395.092,398.059,1358700,384.071
2015-03-10,398.497,404.624,393.342,394.946,1585900,381.0674
2015-03-11,392.953,400.296,392.32,396.065,1312000,382.1471
2015-03-12,399.567,402.436,395.871,397.038,1336200,383.0859
2015-03-13,401.706,402.679,385.512,387.214,1504600,373.6071
2015-03-16,389.062,391.688,383.177,387.263,1368600,373.6544
2015-03-17,391.007,391.931,382.545,387.652,1508600,374.0297
2015-03-18,389.548,395.822,386.776,389.889,1793500,376.1881
2015-03-19,393.925,394.898,378.363,380.405,1523900,367.0373
2015-03-20,378.363,378.8,369.171,370.776,1891400,357.7467
2015-03-23,374.18,375.347,366.788,371.457,1372300,358.4038
2015-03-24,370.484,373.256,364.356,365.183,1441100,352.3503
2015-03-25,365.913,367.858,360.077,361.779,1059700,349.0659
2015-03-26,360.271,363.724,352.15,353.463,1682600,341.0421
2015-03-27,355.262,358.764,337.025,353.22,2551500,340.8076
2015-03-30,356.867,364.454,350.253,362.849,1837300,350.0983
2015-03-31,365.232,366.642,355.992,357.742,1509200,345.1707
2015-04-01,356.478,373.305,355.165,370.581,1555100,357.5586
2015-04-02,370.581,370.581,370.581,370.581,0,357.5586
2015-04-03,370.581,370.581,370.581,370.581,0,357.5586
2015-04-06,373.499,377.293,365.329,374.521,1918200,361.3601
2015-04-07,377.293,377.39,366.496,373.013,1961000,359.9051
2015-04-08,374.278,376.563,367.858,369.317,1400200,356.339
2015-04-09,373.743,380.211,367.712,379.141,1996700,365.8178
2015-04-10,379.822,386.484,377.39,382.01,1900700,368.586
2015-04-13,384.879,390.18,381.767,388.77,1566900,375.1084
2015-04-14,388.77,388.77,388.77,388.77,0,375.1084
2015-04-15,390.521,400.199,387.846,393.731,3051400,379.8951
2015-04-16,393.877,394.411,383.421,388.576,1944700,374.9212
2015-04-17,389.062,395.627,385.22,391.785,1602200,378.0175
2015-04-20,390.521,397.767,375.445,378.946,2067800,365.6296
2015-04-21,380.113,384.004,376.417,380.843,1493300,367.4599
2015-04-22,382.594,384.782,370.29,378.411,1497600,365.1134
2015-04-23,380.113,383.81,375.104,377.39,1237500,364.1283
2015-04-24,377.293,378.265,361.439,365.864,2032100,353.0073
2015-04-27,368.198,376.904,362.897,371.749,1870800,358.6855
2015-04-28,370.581,380.211,368.101,374.083,1693500,360.9375
2015-04-29,373.499,378.849,371.554,373.499,1048600,360.374
2015-04-30,372.916,377.73,366.691,368.004,1941100,355.0721
2015-05-01,368.004,368.004,368.004,368.004,0,355.0721
2015-05-04,370.581,378.314,367.226,377.341,1035200,364.081
2015-05-05,377.341,380.551,373.499,374.715,1112300,361.5473
