"Date","CAPF.NS.Open","CAPF.NS.High","CAPF.NS.Low","CAPF.NS.Close","CAPF.NS.Volume","CAPF.NS.Adjusted"
2015-01-01,368.8,375,366.15,372.35,320200,368.66
2015-01-02,375.5,384.4,370.5,379.2,534400,375.44
2015-01-05,380.5,387,374.25,382.8,234900,379.01
2015-01-06,379,379,356.35,359.9,182100,356.34
2015-01-07,360.5,369,355.8,359.3,165100,355.74
2015-01-08,368.75,373,363.25,371.45,193700,367.77
2015-01-09,373.9,376.05,366.45,369.75,76700,366.09
2015-01-12,368.1,370.5,362.5,364.5,70800,360.89
2015-01-13,365.5,371.7,360.85,363.25,113900,359.65
2015-01-14,364.4,403.5,361.5,393.65,790700,389.75
2015-01-15,402.4,404.9,390.15,392.4,434500,388.51
2015-01-16,393,419.2,386.3,414.85,728100,410.74
2015-01-19,417.4,425,411.5,417.15,357500,413.02
2015-01-20,417.7,430.7,414.3,418.25,337500,414.11
2015-01-21,418.8,420.55,407.1,414.1,156500,410
2015-01-22,415.15,417.35,405,409.2,109500,405.15
2015-01-23,414.9,417,390.1,398.05,259100,394.11
2015-01-26,398.05,398.05,398.05,398.05,0,394.11
2015-01-27,399,412.8,392.5,407.3,185800,403.27
2015-01-28,401.3,421.1,401.3,408.9,307700,404.85
2015-01-29,409.8,415.6,405.25,409.3,135200,405.25
2015-01-30,412.7,415,401.1,403.05,127300,399.06
2015-02-02,402.9,407,397.65,401.75,81200,397.77
2015-02-03,404.85,409.5,400.15,402.3,74200,398.32
2015-02-04,404.35,407.95,394.05,396.9,75900,392.97
2015-02-05,397.9,403.6,384.1,390.05,107600,386.19
2015-02-06,388.8,389.55,375.35,382.2,106600,378.41
2015-02-09,380,400,372.95,391.25,118800,387.37
2015-02-10,389.95,404.5,385.35,391.8,115700,387.92
2015-02-11,406.5,423.25,406,416.25,482300,412.13
2015-02-12,419.8,422.45,411.1,416,145400,411.88
2015-02-13,415.05,417,403.25,408.8,81900,404.75
2015-02-16,409,419.9,407.1,410.35,129100,406.29
2015-02-17,410.35,410.35,410.35,410.35,0,406.29
2015-02-18,413.95,413.95,404,406.1,90800,402.08
2015-02-19,410.15,414.5,401.25,407.25,99400,403.22
2015-02-20,407.8,419,404,409.7,139100,405.64
2015-02-23,410.2,431.4,410,417.75,355500,413.61
