"Date","CASTROLIND.NS.Open","CASTROLIND.NS.High","CASTROLIND.NS.Low","CASTROLIND.NS.Close","CASTROLIND.NS.Volume","CASTROLIND.NS.Adjusted"
2015-01-01,502,507.7,498.1,499.9,99500,471.0648
2015-01-02,499.95,505,499.25,501.1,330500,472.1956
2015-01-05,509,509,501,502.35,392300,473.3735
2015-01-06,500,526,498.1,514.8,881400,485.1054
2015-01-07,518.9,525.8,518.85,521.25,710100,491.1833
2015-01-08,527.5,529.95,520,523.1,650400,492.9266
2015-01-09,525.2,527,508.15,509.6,440300,480.2053
2015-01-12,511.45,513.65,501.95,504.25,169400,475.1639
2015-01-13,505.1,518.7,502.55,510.5,1328500,481.0534
2015-01-14,510.2,513.85,504.15,505.4,273800,476.2476
2015-01-15,505,507.95,494,496.2,283700,467.5783
2015-01-16,497.55,511,496.25,507.5,428500,478.2265
2015-01-19,510,514.25,506.05,507.05,184100,477.8024
2015-01-20,505.1,508.25,498.8,499.5,211000,470.6879
2015-01-21,501,507.05,499,499.9,165800,471.0648
2015-01-22,498,504,496.5,498.05,254700,469.3215
2015-01-23,504,504,489.65,490.45,250200,462.1599
2015-01-26,490.45,490.45,490.45,490.45,0,462.1599
2015-01-27,493.5,496.5,486,489.25,482300,461.0292
2015-01-28,491,492.45,480.1,482.05,442700,454.2444
2015-01-29,486,489,478,480.45,392000,452.7368
2015-01-30,485,485.8,472,474.25,236500,446.8944
2015-02-02,476.45,481.9,469,470.5,188400,443.3607
2015-02-03,474.5,477.8,467.15,474.9,274900,447.5069
2015-02-04,477.85,477.85,468.15,469.75,167600,442.6539
2015-02-05,473.5,475.95,463.5,464.55,159700,437.7539
2015-02-06,465,483.9,462.65,481.95,304900,454.1502
2015-02-09,482.4,482.4,472.95,478.15,137200,450.5694
2015-02-10,477,484.6,474,477.15,411800,449.6271
2015-02-11,476.5,497.25,476.5,491.85,295400,463.4792
2015-02-12,494.8,501.85,493,496.45,304600,467.8139
2015-02-13,497.9,499.45,492,496.65,111700,468.0023
2015-02-16,498,498,482.15,483.35,144900,455.4695
2015-02-17,483.35,483.35,483.35,483.35,0,455.4695
2015-02-18,484.25,488,480.6,481.8,140900,454.0089
2015-02-19,482.05,485.5,477,479.1,94100,451.4646
2015-02-20,481.9,482.5,474.15,475.7,89300,448.2608
2015-02-23,477,484,475,476.7,121400,449.2031
2015-02-24,478.5,479,472.1,475.35,106700,447.9309
2015-02-25,477.4,478,469.1,469.9,127500,442.7953
2015-02-26,469.2,471,463,465,196300,438.1779
2015-02-27,465.15,465.45,460,462.35,206700,435.6808
2015-03-02,469,481.8,467.6,476.95,188400,449.4386
2015-03-03,481,485.5,480,484.8,188400,456.8358
2015-03-04,489,509,486,499.65,745300,470.8293
2015-03-05,500,518.35,497.4,500.15,620600,471.3004
2015-03-06,500.15,500.15,500.15,500.15,0,471.3004
2015-03-09,500.15,505,490.15,494.85,183500,466.3061
2015-03-10,495,496.4,482.7,485,85400,457.0243
2015-03-11,484.15,490,481.55,486.9,174600,458.8147
2015-03-12,485.95,487.95,481.75,483.3,187500,455.4223
2015-03-13,483,494,471.15,474.35,224800,446.9886
2015-03-16,477,477.05,470,470.8,123200,443.6434
2015-03-17,475,490.85,474,488.65,275600,460.4638
2015-03-18,490,495.5,482,485.2,494600,457.2128
2015-03-19,485.25,492.2,472.2,476.3,290800,448.8261
2015-03-20,478.45,485.9,471,480.55,148400,452.831
2015-03-23,482,482,473.25,477.3,100300,449.7684
2015-03-24,475.4,481.5,470.35,472.5,115600,445.2453
2015-03-25,473.8,474.6,469.5,471.6,55800,444.3972
2015-03-26,470.6,470.6,462,462.9,105800,436.1991
2015-03-27,462.15,467.35,459.35,464.05,184200,437.2827
2015-03-30,465.95,473,462.1,464.6,157500,437.801
2015-03-31,468.45,481.95,463.35,473.65,653800,446.329
2015-04-01,476,476.25,465.1,467.3,185800,440.3453
2015-04-02,467.3,467.3,467.3,467.3,0,440.3453
2015-04-03,467.3,467.3,467.3,467.3,0,440.3453
2015-04-06,470.8,473.85,465.2,469,128600,441.9472
2015-04-07,471,471,462.2,464.9,112200,438.0837
2015-04-08,467,473.9,464,470.35,189400,443.2193
2015-04-09,472.45,472.9,466.5,469.9,124500,442.7953
2015-04-10,470,477.1,467.3,469.25,177600,442.1828
2015-04-13,471.85,473.5,467.1,469.5,171200,442.4184
2015-04-14,469.5,469.5,469.5,469.5,0,442.4184
2015-04-15,471.5,476,467.4,468.55,213100,441.5232
2015-04-16,470,486.75,470,478.35,354300,450.7579
2015-04-17,480.4,489,474,476.25,443800,448.779
2015-04-20,477.5,479.45,469.75,472.5,166800,445.2453
2015-04-21,470,472.5,465.05,470.9,85300,443.7376
2015-04-22,471.5,474.8,466,468.05,242400,441.052
2015-04-23,470,472.95,466.1,468,108100,441.0049
2015-04-24,469,470.4,459.7,460.7,62300,434.126
2015-04-27,463.75,464.4,450.6,453.9,67300,427.7182
2015-04-28,453.25,467.95,452,458.15,156500,431.7231
2015-04-29,458,458.85,448,449.8,113800,423.8547
2015-04-30,448,449.75,439,443.05,161700,417.494
2015-05-01,443.05,443.05,443.05,443.05,0,417.494
2015-05-04,444.75,455.85,444.7,453.9,61600,427.7182
2015-05-05,454.95,477.4,453.45,472.75,167600,449.4416
2015-05-06,471,472.9,451.65,453.25,238900,434.5801
2015-05-07,453.5,457.4,439.7,444.4,120300,426.0946
2015-05-08,449.5,454,447.5,451.35,114800,432.7583
2015-05-11,452.5,461.85,452.5,459.35,58700,440.4288
2015-05-12,461.7,481.75,460.25,479,277900,459.2694
2015-05-13,483,489.65,470.35,478.3,248200,458.5982
2015-05-14,478,491.8,473.05,482.05,717100,462.1938
2015-05-15,483.95,483.95,460.6,463.7,219100,444.5996
2015-05-18,463.7,467.85,461.3,465.65,60100,446.4693
2015-05-19,465.8,470,458.9,459.65,75400,440.7164
2015-05-20,460.75,463.7,457,458.05,44800,439.1823
2015-05-21,458.5,462.85,456.05,457.9,54300,439.0385
2015-05-22,459.95,462.8,452,453.05,76800,434.3883
2015-05-25,455,459.9,452,454.4,56800,435.6827
2015-05-26,456,458.8,451.35,456.15,51500,437.3606
2015-05-27,453.65,470,453.3,468.75,141200,449.4416
2015-05-28,471.9,475,467.25,471.45,146000,452.0304
2015-05-29,473.05,491.5,473.05,481.95,435900,462.0979
2015-06-01,481,481.95,470.6,472.15,140000,452.7016
2015-06-02,471.5,474.25,456.4,460.25,125500,441.2917
2015-06-03,460.9,460.9,442,445.9,191600,427.5328
2015-06-04,448.85,450.85,436,440.4,128300,422.2594
2015-06-05,439.9,443.5,437.5,439.15,94100,421.0609
2015-06-08,439.15,441.95,427,428.7,123300,411.0413
2015-06-09,428.5,439.5,425.45,435.65,102600,417.705
2015-06-10,435.2,444.75,435,438.15,118200,420.1021
2015-06-11,440.8,441.9,425.75,427.3,149000,409.699
2015-06-12,427.05,432,423.1,426.85,117300,409.2675
2015-06-15,426.75,434,425.85,432.1,129400,414.3013
2015-06-16,431.85,432.1,427.1,431,310400,413.2466
2015-06-17,434.8,444,431.05,440.8,128800,422.6429
2015-06-18,440.55,453.95,440.55,450.75,162700,432.1831
2015-06-19,453.35,453.8,442.35,444.8,133500,426.4781
2015-06-22,445,451.65,445,449.25,114200,430.7448
2015-06-23,449.25,457.5,449,449.65,259900,431.1284
2015-06-24,450.85,450.85,437.1,442.4,506300,424.177
2015-06-25,441,446.25,439.45,442.35,569600,424.1291
2015-06-26,442.85,442.85,432.5,433.9,129300,416.0271
2015-06-29,429.4,429.4,415.35,428,98500,410.3702
2015-06-30,428.85,436.85,423.85,433.65,232900,415.7874
2015-07-01,436.75,437.3,430,435,228500,417.0818
2015-07-02,435.95,440,430.1,432.2,215000,414.3972
2015-07-03,432,439,432,434.5,107500,416.6024
2015-07-06,434.8,444.8,427.15,441.9,298400,423.6976
2015-07-07,443.3,463.3,443.3,457.2,440100,438.3674
2015-07-08,456.9,467.4,451.45,459.7,407000,440.7644
2015-07-09,461.85,463.85,451.3,452.65,171600,434.0048
2015-07-10,455.7,456.9,447.75,455.65,136100,436.8812
2015-07-13,458.85,466,456.05,463.15,240000,444.0723
2015-07-14,467.85,473.4,464.55,468.1,316400,448.8184
2015-07-15,467.4,476.95,467.4,471.85,188200,452.4139
2015-07-16,474.9,489.9,474.7,481.35,699000,461.5226
2015-07-17,485.4,488,480,481.3,205100,461.4747
2015-07-20,483.75,494.9,479.25,486.8,393200,466.7481
2015-07-21,487.9,499,485.05,487.3,422500,467.2275
2015-07-22,489,500,486,496.4,531700,475.9527
2015-07-23,498.4,507.5,495.7,498.1,662000,477.5827
2015-07-24,500.85,504,489.5,490.95,303000,470.7272
2015-07-27,489.95,495.5,477.35,486.05,213500,466.029
2015-07-28,487.8,495.05,487,490.45,243900,470.2478
2015-07-29,494.9,507.5,490.55,505.25,1073600,484.4381
2015-07-30,509.95,513.8,497.75,501.5,644800,480.8426
2015-07-31,505.85,508.25,490,491.15,331900,470.9189
2015-08-03,493,500,491,497.15,309100,476.6718
2015-08-04,496.25,503,492,494.2,421300,473.8433
2015-08-05,496.1,501.6,494,495.65,263700,475.2336
2015-08-06,495,497.3,485.75,490.1,171700,473.7353
2015-08-07,494.55,499.85,490.05,493.9,281500,477.4084
2015-08-10,493.9,508.65,489.25,493.6,760600,477.1185
2015-08-11,497.65,499.95,487.2,490.9,236900,474.5086
2015-08-12,490,491.8,474.55,475.85,346000,459.9612
2015-08-13,479.35,484,471.2,479.65,284500,463.6343
2015-08-14,482,489.5,480,487.45,236400,471.1738
2015-08-17,490.85,493.8,484,490.6,142800,474.2186
2015-08-18,491.15,493.8,475.5,477.7,211900,461.7494
2015-08-19,478.7,483,473.05,479.65,102000,463.6343
2015-08-20,482.5,489.85,471.7,472.9,254000,457.1096
2015-08-21,471.2,476,464.95,474.75,274600,458.8979
2015-08-24,464.4,468,430,437.75,381800,423.1333
2015-08-25,440.5,459,435,455.55,529000,440.339
2015-08-26,451,455.9,441.4,443.2,191800,428.4014
2015-08-27,449.8,452.8,442.25,446.1,518400,431.2045
2015-08-28,449,450,439,442.2,271400,427.4347
2015-08-31,447.4,447.4,429.15,430.3,284600,415.9321
2015-09-01,430,430,415,417.05,279400,403.1245
2015-09-02,422.5,425.55,415.6,418,256900,404.0428
2015-09-03,420.75,430.8,418.55,428.75,219000,414.4338
2015-09-04,432.9,433.1,420.05,425.55,227700,411.3407
2015-09-07,428,429.4,419.7,422.85,148500,408.7308
2015-09-08,422.85,429,418.8,425.9,198300,411.679
2015-09-09,428,442,427.15,437.9,286300,423.2783
2015-09-10,437.5,437.5,425.9,435.05,189400,420.5235
2015-09-11,439.4,439.4,433.8,436.85,101400,422.2634
2015-09-14,437.4,440,435,437.2,59100,422.6017
2015-09-15,439.85,439.85,433.2,435.95,187600,421.3934
2015-09-16,437,438.45,430.3,432.35,177900,417.9136
2015-09-17,432.35,432.35,432.35,432.35,0,417.9136
