"Date","CEATLTD.NS.Open","CEATLTD.NS.High","CEATLTD.NS.Low","CEATLTD.NS.Close","CEATLTD.NS.Volume","CEATLTD.NS.Adjusted"
2015-01-01,860,875,856.25,872.2,343600,853.89
2015-01-02,877,890,871.95,880.1,410500,861.62
2015-01-05,879.9,891.85,866.5,878.5,411400,860.06
2015-01-06,875,875,840,847.65,284400,829.85
2015-01-07,850,859,840.05,851.4,240700,833.52
2015-01-08,860,872,855,867.85,225000,849.63
2015-01-09,876,880.95,858,862.3,188700,844.2
2015-01-12,863.8,872,850.1,862.1,156600,844
2015-01-13,865.2,877.8,860,868.1,224100,849.87
2015-01-14,864.5,869.8,845.45,850.1,166100,832.25
2015-01-15,853.1,860.4,840.1,844.45,145300,826.72
2015-01-16,844.05,844.05,826,834.7,294300,817.17
2015-01-19,834.1,845,821.5,826,221900,808.66
2015-01-20,828,840,824.7,827.55,217400,810.17
2015-01-21,829.9,835.8,811.2,815.6,148900,798.48
2015-01-22,820,825,808,811.45,190600,794.41
2015-01-23,818,819.45,790.1,795,217500,778.31
2015-01-26,795,795,795,795,0,778.31
2015-01-27,801.25,826.5,795,813.75,367900,796.66
2015-01-28,805.15,825.6,805.15,810.35,168200,793.34
2015-01-29,812.8,820,805,808.7,118000,791.72
2015-01-30,815.2,844,815.2,819.8,485600,802.59
2015-02-02,818,834,817.4,824.9,122200,807.58
2015-02-03,828.5,833.5,813.45,820.25,141700,803.03
2015-02-04,824.95,826.05,804,808.1,111600,791.13
2015-02-05,811.4,832,796.1,804.5,284100,787.61
2015-02-06,815,838,740,750.65,857800,734.89
2015-02-09,741.8,743.1,718,734.6,251200,719.18
2015-02-10,733,754,716,721.65,307600,706.5
2015-02-11,725.45,732,696.2,715.15,304600,700.13
2015-02-12,719.9,731.25,712.1,723.1,361000,707.92
2015-02-13,726.1,729.1,715.35,718.65,314800,703.56
2015-02-16,722.9,844.3,714,816.7,2725800,799.55
2015-02-17,816.7,816.7,816.7,816.7,0,799.55
2015-02-18,815.8,824.4,785.25,790.6,617100,774
2015-02-19,795.3,824.8,795.1,808,605000,791.04
2015-02-20,809.1,809.95,790.65,794.3,149000,777.62
2015-02-23,795.7,802.7,767,769.7,317000,753.54
2015-02-24,770.9,771,745.55,755.05,321000,739.2
2015-02-25,757.9,764.5,736.75,741.75,201100,726.18
2015-02-26,743.5,777,726.1,737.8,470500,722.31
2015-02-27,741.5,761.2,740,754.45,194900,738.61
2015-03-02,751.85,784.4,746,771.85,390200,755.64
2015-03-03,774.75,783.8,771.2,776.85,192300,760.54
2015-03-04,781.5,784,756.5,760.05,177800,744.09
2015-03-05,755,801.5,734.25,779.15,655800,762.79
2015-03-06,779.15,779.15,779.15,779.15,0,762.79
2015-03-09,774.9,800,757.3,777.95,280800,761.62
2015-03-10,779.9,820,775.2,806.05,603700,789.13
2015-03-11,808.5,841,795.15,803.95,691100,787.07
2015-03-12,809,812,783.15,789.05,173100,772.48
2015-03-13,792,792.25,775.1,780.65,190600,764.26
2015-03-16,779.9,780,769.35,773.2,139000,756.97
2015-03-17,776,789,763.3,771.85,240300,755.64
2015-03-18,777.35,791,765,780.1,157100,763.72
2015-03-19,784,795.8,772.55,775,130400,758.73
2015-03-20,776.95,776.95,754.85,762.25,223500,746.25
2015-03-23,769.8,778,751,763.15,133600,747.13
2015-03-24,763.85,788.8,748,766.6,127200,750.5
2015-03-25,767,775.7,760,763.9,94900,747.86
2015-03-26,764.7,768,752.4,755.75,79200,739.88
2015-03-27,755,764,750.1,752.8,118500,736.99
2015-03-30,757.5,779,756,768.8,169300,752.66
2015-03-31,776,822.5,773.7,804.45,496600,787.56
2015-04-01,805.25,830.8,785.75,826.7,501400,809.34
2015-04-02,826.7,826.7,826.7,826.7,0,809.34
2015-04-03,826.7,826.7,826.7,826.7,0,809.34
2015-04-06,826,857,826,832.95,351000,815.46
2015-04-07,837,845.55,810.6,824.9,171700,807.58
2015-04-08,833.1,861,830,834.7,333800,817.17
2015-04-09,839.95,842.2,823,829.7,261900,812.28
2015-04-10,830,886.9,821.55,876.3,677300,857.9
2015-04-13,874.95,947.75,873,931.45,1355700,911.89
2015-04-14,931.45,931.45,931.45,931.45,0,911.89
2015-04-15,934,941.45,896.05,903.55,335500,884.58
2015-04-16,904.95,905.4,884,886.55,205100,867.94
2015-04-17,888,951.55,875.8,906.5,969700,887.47
2015-04-20,912.8,929,895.05,901.8,349000,882.87
2015-04-21,901,901,826,829.8,642800,812.38
2015-04-22,830,831.95,791.05,799,423000,782.22
2015-04-23,805.5,844,803.25,816.65,417700,799.5
2015-04-24,817.95,818,777,780,154100,763.62
2015-04-27,782,785.9,730.1,733.8,265500,718.39
2015-04-28,732,753,721.8,737.05,237400,721.58
2015-04-29,737,767.4,733.1,745.3,321000,729.65
2015-04-30,744.5,772,738,761.65,283900,745.66
2015-05-01,761.65,761.65,761.65,761.65,0,745.66
2015-05-04,760,775,750,766.6,177700,750.5
2015-05-05,769,783.55,765,769.3,170400,753.15
2015-05-06,765.4,767.45,738.1,741.3,127800,725.74
2015-05-07,751,752.05,718.1,725.7,155100,710.46
2015-05-08,731.25,748.8,726.85,732.3,213800,716.92
2015-05-11,736.05,750,730.8,733.5,168200,718.1
2015-05-12,735.7,735.7,711,717.25,134600,702.19
2015-05-13,723,732,705.1,718.85,165800,703.76
2015-05-14,710,744.9,710,735.5,230500,720.06
2015-05-15,741,751,734.65,737.1,132000,721.62
2015-05-18,740.8,810.7,740.5,793.65,1056900,776.99
2015-05-19,796,819.75,787.05,799.4,620600,782.62
2015-05-20,804,812.9,795.15,801.2,267500,784.38
2015-05-21,804.7,804.7,776,788.15,225600,771.6
2015-05-22,792.5,807,761.8,767.3,463900,751.19
2015-05-25,798,810,778.2,782.35,744700,765.92
2015-05-26,781.2,782,760.1,762.35,179300,746.34
2015-05-27,758,770.3,746.45,759.1,189400,743.16
2015-05-28,765,769.95,750,754.6,129500,738.76
2015-05-29,760.95,793.9,758,776.45,617300,760.15
2015-06-01,778,801.95,768.2,786.15,421800,769.64
2015-06-02,788,792.7,745,751.5,206400,735.72
2015-06-03,750,750,716,730.75,211900,715.41
2015-06-04,730.4,734.4,683,701.4,640700,686.67
2015-06-05,690,696,673,681,647200,666.7
2015-06-08,682.4,686.95,652.6,657.7,302500,643.89
2015-06-09,653.6,666,595.2,613.8,655900,600.91
2015-06-10,611.7,634.8,609.05,628.5,753500,615.3
2015-06-11,634,645,619.15,634.3,664500,620.98
2015-06-12,638.9,640,617.25,624.35,375200,611.24
2015-06-15,619.8,628.9,610.75,622.55,282900,609.48
2015-06-16,626.9,639.5,615.25,634.8,450000,621.47
2015-06-17,641,662,631.05,652.95,565400,639.24
2015-06-18,656.9,667.85,653.1,659.5,298700,645.65
2015-06-19,664.9,671.8,656.6,658.3,233900,644.48
2015-06-22,661.95,675,660.05,672.9,309500,658.77
2015-06-23,674.85,688,671.4,675.1,276000,660.93
2015-06-24,676.9,681.4,655.7,663.45,196300,649.52
2015-06-25,668.5,680,655.45,676.25,220400,662.05
2015-06-26,678,678,660,669.85,199500,655.79
2015-06-29,660,662,631.6,637.1,333800,623.72
2015-06-30,635,671.4,630.1,662.2,471000,648.3
2015-07-01,657.3,719.65,651,707.95,1693300,693.09
2015-07-02,712.8,733.2,701.7,724.05,1302300,708.85
2015-07-03,720,729.9,704.8,708.65,534600,693.77
2015-07-06,700,704,690,698.25,972800,683.59
2015-07-07,707.7,723.4,696,700.65,964500,685.94
2015-07-08,697.5,706.8,682.3,689.65,689400,675.17
2015-07-09,700,700.8,689.15,692.55,736000,678.01
2015-07-10,699,706,684.9,690.2,585800,675.71
2015-07-13,695.7,711.8,692.5,705.2,727800,690.39
2015-07-14,711.1,727.85,707.35,716.95,1051100,701.9
2015-07-15,718.5,722.35,712.25,716.5,351100,701.46
2015-07-16,719.8,738,719,728.95,1027400,713.65
2015-07-17,734,749.8,733.7,744.85,604300,729.21
2015-07-20,749,773.75,745.15,769.9,606000,753.74
2015-07-21,771,787.85,741.05,755.35,685800,739.49
2015-07-22,759.65,782,756.15,778.75,798400,762.4
2015-07-23,835,838.95,800.1,805.65,2288700,788.73
2015-07-24,804,805.55,779.85,782.8,515100,766.36
2015-07-27,782,806.9,771.2,790.9,675000,774.29
2015-07-28,793.65,831.9,792.05,819.25,1330800,802.05
2015-07-29,821.9,901,820,880.55,2626700,862.06
2015-07-30,880,903,868.3,883.75,1679700,865.19
2015-07-31,885,917.95,885,915.25,1385600,896.03
2015-08-03,907.95,935,904.85,927.35,670300,917.91
2015-08-04,934.3,1006,930,1000.5,1984500,990.31
2015-08-05,1008.4,1046.2,984.35,998.55,1922200,988.38
2015-08-06,981.7,989.9,965.9,972.45,1067500,962.55
2015-08-07,975.7,1027.5,974.05,1021.2,1397100,1010.8
2015-08-10,1026.5,1042.75,1011,1018.65,877700,1008.28
2015-08-11,1006.9,1018.9,957.9,986.6,1149700,976.56
2015-08-12,985,985,956.4,968.65,886000,958.79
2015-08-13,981,1015,975.35,1003.7,1017100,993.48
2015-08-14,1014.3,1064.45,1012.05,1056.15,1288400,1045.4
2015-08-17,1063.05,1092,1057.1,1069.2,1107800,1058.31
2015-08-18,1075,1121.45,1066.3,1110.9,1051300,1099.59
2015-08-19,1114,1135,1103,1123.25,1037200,1111.81
2015-08-20,1125.85,1134,1096.7,1123.2,726300,1111.76
2015-08-21,1089.5,1185,1085,1169.65,1302800,1157.74
2015-08-24,1120,1160,994.25,1021.45,1420800,1011.05
2015-08-25,1061.9,1086.6,932.7,1038.65,1246300,1028.08
2015-08-26,1045,1091.8,998.2,1070.6,1225100,1059.7
2015-08-27,1090,1120.35,1085.5,1112.2,965400,1100.88
2015-08-28,1125.65,1138,1085,1100.7,628900,1089.49
2015-08-31,1082.4,1124.9,1054.2,1097.5,703900,1086.33
2015-09-01,1080,1100.35,1056.15,1075.45,657400,1064.5
