"Date","CENTURYTEX.NS.Open","CENTURYTEX.NS.High","CENTURYTEX.NS.Low","CENTURYTEX.NS.Close","CENTURYTEX.NS.Volume","CENTURYTEX.NS.Adjusted"
2015-01-01,524.25,528.45,518.4,524.4,354200,512.02
2015-01-02,526,540,525.5,533.35,550200,520.75
2015-01-05,530.6,541.2,528.95,535.85,408700,523.2
2015-01-06,530,533.55,511,514.5,516300,502.35
2015-01-07,512,519,498.2,512.85,638600,500.74
2015-01-08,520,536.05,516,533.25,489000,520.66
2015-01-09,536.95,538.4,523.2,527.8,628500,515.34
2015-01-12,526.8,549.8,521.55,543.35,471600,530.52
2015-01-13,545.05,559,541.15,549.25,1031100,536.28
2015-01-14,550.9,557,540,546.15,534800,533.25
2015-01-15,558.9,564.9,548.1,556.2,796500,543.06
2015-01-16,557.35,575.2,548.35,572.2,941900,558.69
2015-01-19,574,574.9,559,561.05,661900,547.8
2015-01-20,561.1,579.9,560.65,575.85,1281500,562.25
2015-01-21,579.4,579.4,559.1,564.25,679600,550.92
2015-01-22,564.5,569.45,555.6,564.75,480200,551.41
2015-01-23,569,571.9,557.15,564.25,678300,550.92
2015-01-26,564.25,564.25,564.25,564.25,0,550.92
2015-01-27,566.9,574.95,561.6,568.7,781200,555.27
2015-01-28,564,573.75,550.25,556.85,776600,543.7
2015-01-29,556.15,574.2,554.75,570.55,1009800,557.08
2015-01-30,573.55,586.6,567.45,574.25,926600,560.69
2015-02-02,573,589.6,570.1,577,832700,563.37
2015-02-03,582,583.4,551.6,557.95,869300,544.77
2015-02-04,560.3,560.8,527.2,531.55,2188300,519
2015-02-05,528,539.6,522,525,624800,512.6
2015-02-06,525.95,530.85,504.55,505.9,640800,493.95
2015-02-09,501.05,505,488.15,494.9,723300,483.21
2015-02-10,493.9,503.45,474.55,485.5,896300,474.03
2015-02-11,487,501.45,484,499.9,609800,488.09
2015-02-12,502,517.3,499.65,514.6,785500,502.45
2015-02-13,517.15,524.4,512,520.1,459400,507.82
2015-02-16,522.05,540,520,528.2,743900,515.73
2015-02-17,528.2,528.2,528.2,528.2,0,515.73
2015-02-18,530,538.95,520.8,535.6,498700,522.95
2015-02-19,536.45,542.5,518,527.4,522300,514.94
2015-02-20,529,532.5,520.55,523.8,501100,511.43
2015-02-23,525,528.3,506,509,678600,496.98
2015-02-24,508.9,512.85,487.3,491.1,713400,479.5
2015-02-25,491.55,499.5,479.5,481.9,693600,470.52
2015-02-26,483.45,507.4,480.05,497.65,1489900,485.9
2015-02-27,501.3,510.9,496.2,508.45,904900,496.44
2015-03-02,534.45,570.8,526.8,568.1,1672100,554.68
2015-03-03,566.55,567.95,548.6,556.4,698600,543.26
2015-03-04,560,580.15,542.3,547,1240200,534.08
2015-03-05,547.5,564.7,541.45,559.95,677000,546.73
2015-03-06,559.95,559.95,559.95,559.95,0,546.73
2015-03-09,556,557,528,530.05,919500,517.53
2015-03-10,532,559,529.3,552.2,1109100,539.16
2015-03-11,554.3,578.15,550,573.25,2220500,559.71
2015-03-12,575,594.85,574.2,589.85,2113700,575.92
2015-03-13,595.5,602.9,567.8,573.25,1588500,559.71
2015-03-16,576,603,571.1,598.75,1896000,584.61
2015-03-17,601.5,602.95,572.05,577.1,1929900,563.47
2015-03-18,575.8,586.25,571.1,576.95,939600,563.32
2015-03-19,581.1,593.6,556.2,563.55,1020700,550.24
2015-03-20,560,568.1,544.05,549.05,1265400,536.08
2015-03-23,555,578.6,555,564.45,2314800,551.12
2015-03-24,564,568.8,549.05,558.35,1053500,545.16
2015-03-25,565.05,575,565,567.8,945600,554.39
2015-03-26,566,582,559.2,578,1636500,564.35
2015-03-27,585,612.5,561,608.4,2612500,594.03
2015-03-30,624,641.5,614.2,638.9,2357100,623.81
2015-03-31,645.45,649.9,629.1,637.15,1656100,622.1
2015-04-01,633.6,682.4,631,675.35,3619400,659.4
2015-04-02,675.35,675.35,675.35,675.35,0,659.4
2015-04-03,675.35,675.35,675.35,675.35,0,659.4
2015-04-06,677.65,694.8,665.7,688.1,1909500,671.85
2015-04-07,689.5,731.9,680.2,725.65,3122600,708.51
2015-04-08,730.1,733,702,706.6,1299700,689.91
2015-04-09,710,712.5,691.15,697.5,1030800,681.03
2015-04-10,696.1,773.95,696.1,763.85,6512600,745.81
2015-04-13,772.15,793.4,763.2,785.65,3319800,767.1
2015-04-14,785.65,785.65,785.65,785.65,0,767.1
2015-04-15,780.6,784,742,749.55,1624600,731.85
2015-04-16,751.9,769,720.7,763.2,2812400,745.18
2015-04-17,763,770.9,692.4,708.6,2423600,691.87
2015-04-20,713,714.85,675.3,684,2137200,667.85
2015-04-21,683.05,729.1,682.7,714.8,3131200,697.92
2015-04-22,731,774.9,725.5,737.55,7518900,720.13
2015-04-23,738.9,748.9,726.25,734.15,1963100,716.81
2015-04-24,735.95,741.9,684,688.65,2132500,672.39
2015-04-27,688,696.8,636.2,647.05,1489000,631.77
2015-04-28,645,677.4,632.65,668.4,1745600,652.62
2015-04-29,674,716.45,670.65,709.25,2321700,692.5
2015-04-30,714,739.5,702.2,730.85,2459000,713.59
2015-05-01,730.85,730.85,730.85,730.85,0,713.59
2015-05-04,730,754.4,705.35,746.5,3040200,728.87
2015-05-05,745,745,698.05,708.3,4795100,691.57
2015-05-06,701.95,702.9,630.55,637.95,4562200,622.88
2015-05-07,628.4,660,604,615.75,3819700,601.21
2015-05-08,632,649,620.3,637.1,2374600,622.05
2015-05-11,650,658.5,639.45,653.25,1631100,637.82
2015-05-12,649,649,613.05,618.3,1442400,603.7
2015-05-13,623.4,634.9,615,625.15,1350100,610.39
2015-05-14,629.4,639.6,616,628.2,1218100,613.36
2015-05-15,631.8,641.2,625.05,628.05,955800,613.22
2015-05-18,629.4,634.3,618.2,625.65,884100,610.87
2015-05-19,620.2,639.65,620.1,633.3,1383400,618.34
2015-05-20,637.5,677.8,635.15,671.9,3761400,656.03
2015-05-21,675,686.95,660.75,668.3,1918900,652.52
2015-05-22,668.25,676.55,660.25,672.95,1222100,657.06
2015-05-25,676.45,677.5,647.8,651.1,1154100,635.72
2015-05-26,653,674.8,651.55,673.2,1405400,657.3
2015-05-27,665.95,672.9,655.2,668.2,891600,652.42
2015-05-28,670,674.45,656.25,663.5,1330300,647.83
2015-05-29,663.85,679,663.85,673.1,887100,657.2
2015-06-01,671.5,677.85,651.3,656.5,775400,641
2015-06-02,656,667.05,630,633.7,1116900,618.73
2015-06-03,638,638,573.5,604.25,1831500,589.98
2015-06-04,610,621,597,617.15,1233300,602.58
2015-06-05,618.6,619.5,607.7,610.6,804300,596.18
2015-06-08,613.55,615,592.15,597.15,816800,583.05
2015-06-09,599.85,604.15,589.15,594.1,854800,580.07
2015-06-10,593.9,617.75,592,613.05,1135700,598.57
2015-06-11,617.85,628,577.1,584.3,1613700,570.5
2015-06-12,584,609.85,580.5,602.75,1142400,588.52
2015-06-15,606,628,600.55,614.55,1202800,600.04
2015-06-16,613,666,610,661.6,2994600,645.98
2015-06-17,666.1,672,648,652.3,2376300,636.9
2015-06-18,648,667,648,661.35,1343900,645.73
2015-06-19,663,673,658.55,668.65,1053900,652.86
2015-06-22,668.1,686.5,662.05,677.8,1321900,661.79
2015-06-23,675.65,685,669.45,672.9,1015000,657.01
2015-06-24,673,679,650.1,655.45,865700,639.97
2015-06-25,656.1,685.7,651.1,680.95,2647500,664.87
2015-06-26,675.1,709.4,674.55,696.45,2542400,680
2015-06-29,680,691.8,661,688.55,1301900,672.29
2015-06-30,689.65,708.8,689,705.2,1492500,688.55
2015-07-01,714,719,707.2,711.4,1396900,694.6
2015-07-02,713,718,701.5,704.85,930800,688.2
2015-07-03,703,715.5,690.5,711.25,1070200,694.45
2015-07-06,703,729,700,726.1,1595700,708.95
2015-07-07,728.7,731.65,715.2,720.7,1129700,703.68
2015-07-08,715.95,721,692.35,699.25,1122700,682.74
2015-07-09,700.1,716.6,687,709.9,1398400,693.14
2015-07-10,715,722.5,709.2,713.6,794400,696.75
2015-07-13,715.5,724.55,705.1,721.7,863000,704.66
2015-07-14,723.6,729.6,715,718.6,695600,701.63
2015-07-15,715.9,722.05,709,713.5,708900,702.02
2015-07-16,713.25,730,712.1,725.15,777200,713.49
2015-07-17,729.95,740,720.15,726.5,1256100,714.81
2015-07-20,724,732,714,729.7,699800,717.96
2015-07-21,732.15,737.95,707.2,710.75,926900,699.32
2015-07-22,712,748.6,703.15,741.4,1344100,729.47
2015-07-23,743.95,744.9,718,727.4,941300,715.7
2015-07-24,725,738.85,716.2,719.4,1014300,707.83
2015-07-27,714,717.95,684,693.05,2493500,681.9
2015-07-28,688.25,697.75,651.25,655.95,1630900,645.4
2015-07-29,654,683.8,644,680.8,1559500,669.85
2015-07-30,685,704.9,676.15,700.65,1744300,689.38
2015-07-31,702.5,711,694,704.35,829000,693.02
2015-08-03,703.95,712,696.6,705.45,677200,694.1
2015-08-04,706.95,708.15,690.1,695.1,744700,683.92
2015-08-05,700,722.15,697.7,718.1,1139000,706.55
2015-08-06,719,727,711.5,716.1,797400,704.58
2015-08-07,716.95,727.35,714.15,717.45,689900,705.91
2015-08-10,715,725.5,702,708.9,528000,697.5
2015-08-11,708.95,709.9,675.6,679.2,991600,668.27
2015-08-12,676.05,688.8,663,668.65,937600,657.89
2015-08-13,674.7,685.9,652.85,661.35,662200,650.71
2015-08-14,667.9,692.95,665.1,689.95,759700,678.85
2015-08-17,692.95,693.95,673,676,481800,665.13
2015-08-18,676.95,713.6,676.95,709,1062800,697.6
2015-08-19,704.05,719,704.05,708.6,854100,697.2
2015-08-20,706.05,713.55,678.9,681.4,798000,670.44
2015-08-21,673.05,673.05,641.15,664.1,1262200,653.42
2015-08-24,638.9,638.9,537.85,553.7,1925600,544.79
2015-08-25,570,573.9,506.4,542.25,2698300,533.53
2015-08-26,542,562,522.1,552.05,1267200,543.17
2015-08-27,561,580.4,556.15,569.85,1735100,560.68
2015-08-28,579,586.8,547.05,556.4,1214200,547.45
2015-08-31,554,564.7,545,547.65,745900,538.84
2015-09-01,541.5,549.6,511.4,518.55,1243300,510.21
2015-09-02,525,537.3,514.1,526.95,1605000,518.47
2015-09-03,531.4,545.65,530.5,537,1003800,528.36
2015-09-04,533,535.5,495,503.75,1905500,495.65
2015-09-07,510,515.9,495,498.65,1671600,490.63
2015-09-08,502,518.9,486.9,512.15,1460600,503.91
2015-09-09,525,533,518.5,524.2,1179200,515.77
2015-09-10,508,510.75,493.65,505.05,1717700,496.93
2015-09-11,509,523,505.25,510.1,1720800,501.89
2015-09-14,518,531,511.5,528.6,1291400,520.1
2015-09-15,526.95,529.8,508.5,512.7,932400,504.45
2015-09-16,518.9,528,516,520.45,1198100,512.08
2015-09-17,520.45,520.45,520.45,520.45,0,512.08
2015-09-18,525,544.8,524.05,530,1183900,521.47
2015-09-21,525.05,544.9,518.5,542.95,1061800,534.22
2015-09-22,542.1,549,517.2,521.1,1093800,512.72
2015-09-23,514,530,509,525.05,1139100,516.6
2015-09-24,524,532.75,519.1,521.7,1052100,513.31
2015-09-25,521.7,521.7,521.7,521.7,0,513.31
2015-09-28,525.8,530.45,500,504.55,822600,496.43
2015-09-29,492.05,514.8,489,508.3,1206700,500.12
2015-09-30,512.1,521.85,510,517.6,1043300,509.27
2015-10-01,522.4,531,515.2,518.05,884400,509.72
2015-10-02,518.05,518.05,518.05,518.05,0,509.72
2015-10-05,523.3,534.8,522.1,529.2,796600,520.69
2015-10-06,532.95,535.4,524,530.65,616000,522.11
2015-10-07,525.5,544,525.5,534.75,992400,526.15
2015-10-08,536,538.8,505.65,517.1,1100000,508.78
2015-10-09,521.8,528.25,515,520,1093100,511.64
2015-10-12,523.6,533.75,521.85,529.9,815600,521.38
2015-10-13,529.4,539.85,527.5,536.55,790200,527.92
2015-10-14,537.3,560.4,534.95,553.1,1519900,544.2
2015-10-15,557.4,561,547.35,554.4,859500,545.48
2015-10-16,557,564.3,553.1,558.6,1045800,549.61
2015-10-19,563.4,563.4,553,561.2,796200,552.17
2015-10-20,560,569.5,555.1,561.8,818900,552.76
2015-10-21,564.65,572.4,547.4,553.25,1177300,544.35
2015-10-22,553.25,553.25,553.25,553.25,0,544.35
2015-10-23,558,558.9,539.3,543.2,832500,534.46
2015-10-26,545.95,549.2,529,531.75,794100,523.2
2015-10-27,524.5,549.5,522.6,544.9,964300,536.14
2015-10-28,544.9,550.6,537,543.15,609000,534.41
