"Date","CESC.NS.Open","CESC.NS.High","CESC.NS.Low","CESC.NS.Close","CESC.NS.Volume","CESC.NS.Adjusted"
2015-01-01,670.85,670.85,660.1,663.2,125400,632.1
2015-01-02,667.8,686.5,666.15,675,369600,643.34
2015-01-05,681,688.7,674.6,679.45,211900,647.58
2015-01-06,674.8,680.1,658.75,671,539400,639.53
2015-01-07,668.3,676.9,652.9,662.75,199300,631.67
2015-01-08,677.5,694.7,668.85,692.1,356300,659.64
2015-01-09,693.1,704.15,682.6,688.1,379000,655.83
2015-01-12,688.8,727,675,723.15,511300,689.23
2015-01-13,728,732.5,706.2,711.5,334800,678.13
2015-01-14,715.85,751,712,730.45,1017000,696.19
2015-01-15,736.1,743,722.15,730.35,576000,696.1
2015-01-16,727,739.5,725.3,728.05,238000,693.91
2015-01-19,733.55,740.5,724,726.2,151300,692.14
2015-01-20,725,734.55,723,724.85,169700,690.86
2015-01-21,732,732,708.35,721.7,216400,687.85
2015-01-22,729.9,729.9,710.6,717.65,177700,683.99
2015-01-23,727.85,739.95,711.05,714.1,606200,680.61
2015-01-26,714.1,714.1,714.1,714.1,0,680.61
2015-01-27,719.9,723.65,704,709.2,442000,675.94
2015-01-28,713.7,720,703.1,712.3,273800,678.89
2015-01-29,710,732.9,710,727.6,483200,693.48
2015-01-30,737.9,737.95,714.5,731.3,280300,697
2015-02-02,729,751.7,726,733.55,469200,699.15
2015-02-03,737,737,710,712.3,241600,678.89
2015-02-04,714.75,722.3,695.25,702.75,155600,669.79
2015-02-05,704,704,663.2,672.25,254000,640.72
2015-02-06,670,689.45,658.2,683.45,351500,651.4
2015-02-09,674,678.9,651.05,660.15,435500,629.19
2015-02-10,647.05,680,647.05,675.65,295400,643.96
2015-02-11,678,720,676.95,716.8,286000,683.18
2015-02-12,719.1,725,683,687.1,529700,654.88
2015-02-13,694.6,709.35,679.05,696.25,326500,663.6
2015-02-16,697,705.6,605.1,610.85,3179500,582.2
2015-02-17,610.85,610.85,610.85,610.85,0,582.2
2015-02-18,612.05,626,587.1,607.4,2511000,578.91
2015-02-19,615.4,626.5,605.8,620.05,971400,590.97
2015-02-20,624.8,626,610,613.3,688400,584.54
2015-02-23,616.4,617.55,596.5,601.15,547900,572.96
2015-02-24,603,604.05,584.2,586.7,550700,559.18
2015-02-25,586.95,592.9,570.25,572.6,626400,545.75
2015-02-26,576,593.45,566,588.85,815600,561.23
2015-02-27,593.7,609.75,588.9,600.6,679900,572.43
2015-03-02,596,599.6,581,585.3,437000,557.85
2015-03-03,590.1,611.3,584.7,606.55,712400,578.1
2015-03-04,611.9,613.2,588,591.7,666100,563.95
2015-03-05,591.7,601.7,585,597.9,602000,569.86
2015-03-06,597.9,597.9,597.9,597.9,0,569.86
2015-03-09,596,596.2,580,586,395700,558.52
2015-03-10,585.95,602.5,577,594.15,328600,566.28
2015-03-11,611,624.65,590,592.75,1352100,564.95
2015-03-12,597.6,606,591.95,599.25,361800,571.15
2015-03-13,602.2,610,585.1,589.05,581600,561.42
2015-03-16,593.9,597.9,585,588.7,407600,561.09
2015-03-17,593,604.7,592.2,599.95,445100,571.81
2015-03-18,602.5,606.1,595.5,599.5,354800,571.38
2015-03-19,602,605.2,592,594.9,440400,567
2015-03-20,596.9,602,587.95,591.55,387100,563.81
2015-03-23,593,607,593,601.2,433400,573
2015-03-24,603.05,611,600.05,604.3,403700,575.96
2015-03-25,607,608.25,589.55,592,354500,564.24
2015-03-26,582,589.95,571.05,573.8,663500,546.89
2015-03-27,576,582.75,566.4,575.25,240700,548.27
2015-03-30,576,600.45,576,598.05,317100,570
2015-03-31,598,611.8,596,603.85,515700,575.53
2015-04-01,604.95,613.4,595.4,609.75,294300,581.15
2015-04-02,609.75,609.75,609.75,609.75,0,581.15
2015-04-03,609.75,609.75,609.75,609.75,0,581.15
2015-04-06,610,617.95,605.55,611.15,457400,582.49
2015-04-07,610.35,616,603.6,612.3,522800,583.58
2015-04-08,618,622.45,607,616.75,351500,587.82
2015-04-09,617.25,617.95,600.25,602.85,318400,574.58
2015-04-10,605.5,606.2,596.3,599.1,390700,571
2015-04-13,601.9,610,599.3,605.15,529800,576.77
2015-04-14,605.15,605.15,605.15,605.15,0,576.77
2015-04-15,610,610,598,600.35,573700,572.19
2015-04-16,600,602.9,582,588.05,535000,560.47
2015-04-17,580.15,587,570.7,572.45,429300,545.6
2015-04-20,572.1,572.1,540,543.8,509600,518.3
2015-04-21,544,561.6,538,553.55,647900,527.59
2015-04-22,559.5,564.85,541,552.6,435800,526.68
2015-04-23,554.95,562,530.55,533.5,569400,508.48
2015-04-24,534.7,552.35,525,540.7,431500,515.34
2015-04-27,546,549.45,531.3,541.9,246000,516.49
2015-04-28,545,550.7,537.95,543.45,268300,517.96
2015-04-29,546,554,541,543.2,388900,517.72
2015-04-30,542,550,535.2,547.9,670100,522.2
2015-05-01,547.9,547.9,547.9,547.9,0,522.2
