"Date","CIPLA.NS.Open","CIPLA.NS.High","CIPLA.NS.Low","CIPLA.NS.Close","CIPLA.NS.Volume","CIPLA.NS.Adjusted"
2015-01-01,626.5,634.79999,626.5,628.40002,596700,624.4839
2015-01-02,633,637.54999,629.34998,630.15002,688900,626.22299
2015-01-05,626,638,626,633,1282800,629.0552
2015-01-06,631,632,610.5,614.34998,1615400,610.52141
2015-01-07,614.34998,617.79999,604.5,611.95001,813900,608.1364
2015-01-08,615,621.5,612,618.20001,1273000,614.34745
2015-01-09,624,641.5,621,632.34998,2151600,628.40923
2015-01-12,630.90002,637,625.95001,630.75,1094100,626.81923
2015-01-13,631,645.29999,628.20001,636.40002,1261400,632.43404
2015-01-14,638.79999,641.84998,629.04999,631.40002,1033600,627.4652
2015-01-15,638.90002,640,632.59998,638.04999,1229100,634.07372
2015-01-16,641.70001,650,639,647.34998,1245700,643.31575
2015-01-19,652,661.54999,649,657.79999,1536400,653.70064
2015-01-20,661.95001,666.45001,657.34998,661.79999,1537600,657.67571
2015-01-21,663,663.84998,641,643.45001,1541800,639.44009
2015-01-22,643.5,657.20001,641.34998,654.79999,1642200,650.71934
2015-01-23,659.90002,686.5,654.59998,677.65002,2255900,673.42697
2015-01-26,677.65002,677.65002,677.65002,677.65002,0,673.42697
2015-01-27,687,710,683,707.04999,2067800,702.64372
2015-01-28,706.90002,707,692.54999,703.54999,1379600,699.16553
2015-01-29,699.95001,711.90002,686.5,697.45001,2245900,693.10357
2015-01-30,699,702.79999,691.20001,695.75,1061900,691.41415
2015-02-02,698,706.5,691.25,695.5,878700,691.16571
2015-02-03,695.15002,699.75,672.04999,677.40002,772700,673.17853
2015-02-04,680.40002,688,666.59998,678,1326100,673.77477
2015-02-05,676.54999,676.54999,657.25,662.40002,913000,658.27201
2015-02-06,672,682.70001,645.65002,655.04999,1572300,650.96778
2015-02-09,650,656,626.25,629.65002,1213100,625.72611
2015-02-10,630,642.79999,623.45001,640.15002,1834800,636.16067
2015-02-11,640.15002,640.79999,631.04999,636.45001,1671800,632.48372
2015-02-12,641,665.54999,633.04999,660.65002,4022000,656.53292
2015-02-13,661,701.84998,659,667.25,6373100,663.09176
2015-02-16,670.29999,678.90002,668,671.54999,1056600,667.36495
2015-02-17,671.54999,671.54999,671.54999,671.54999,0,667.36495
2015-02-18,672.70001,684,667.54999,677.65002,975300,673.42697
2015-02-19,683,692,672.09998,682.45001,1803100,678.19705
2015-02-20,686.20001,690,673.54999,675.95001,1323900,671.73756
2015-02-23,678,684.34998,666,669.15002,1030300,664.97995
2015-02-24,673,679.59998,670,677.29999,745500,673.07912
2015-02-25,679.54999,685.20001,671.45001,676.34998,865000,672.13503
2015-02-26,680.5,682.45001,656.15002,659.45001,1754600,655.34038
2015-02-27,662.40002,677,655.40002,669.84998,1632800,665.67553
2015-03-02,683.54999,725,681.34998,716.95001,2226800,712.48205
2015-03-03,720,738.70001,715.09998,731.90002,2346000,727.33889
2015-03-04,736,747.5,722,727.04999,1975700,722.51908
2015-03-05,730,746.40002,725,739.5,1863500,734.89151
2015-03-06,739.5,739.5,739.5,739.5,0,734.89151
2015-03-09,739.5,742.5,730.04999,734.20001,886800,729.62455
2015-03-10,740,752.84998,725,729.45001,2224000,724.90415
2015-03-11,734,737.45001,712.40002,717.70001,1656500,713.22737
2015-03-12,719.15002,728,711,720.20001,1970500,715.71179
2015-03-13,725,727.65002,701.09998,703.84998,1031900,699.46365
2015-03-16,706.15002,707.79999,683.59998,693.65002,2758200,689.32726
2015-03-17,698.40002,716,696.65002,710.54999,1832500,706.12191
2015-03-18,714,720.79999,708.04999,711.95001,1470000,707.51321
2015-03-19,716,726.79999,705.59998,710.34998,1697300,705.92314
2015-03-20,713.84998,718.40002,693.75,699.79999,1874400,695.4389
2015-03-23,703.5,712.29999,694,701.29999,825700,696.92955
2015-03-24,700.75,713.95001,698.5,710.25,976800,705.82379
2015-03-25,714.40002,718.45001,706.29999,711.45001,1175000,707.01632
2015-03-26,710.5,717.25,697.09998,700.95001,2634900,696.58176
2015-03-27,707,709,687.20001,694,2072800,689.67506
2015-03-30,695.09998,710.95001,695.09998,702.20001,1612700,697.82397
2015-03-31,705,717.70001,700.25,712.45001,2267300,708.01009
2015-04-01,714,716.5,703.84998,709.59998,1693700,705.17782
2015-04-02,709.59998,709.59998,709.59998,709.59998,0,705.17782
2015-04-03,709.59998,709.59998,709.59998,709.59998,0,705.17782
2015-04-06,714,739.09998,711.54999,735.65002,2457900,731.06552
2015-04-07,740,744.70001,722.40002,728.20001,1652700,723.66194
2015-04-08,732,746.09998,724.59998,736.70001,2259100,732.10897
2015-04-09,741.70001,741.84998,715.29999,719.45001,1409600,714.96647
2015-04-10,710,715.95001,694,701.15002,2038200,696.78052
2015-04-13,702,714.59998,691,712.40002,1497500,707.96042
2015-04-14,712.40002,712.40002,712.40002,712.40002,0,707.96042
2015-04-15,713.45001,717,690.09998,692.90002,1604600,688.58194
2015-04-16,695.40002,695.40002,673,678.84998,1787500,674.61945
2015-04-17,679,689,672.09998,680.40002,2231800,676.15984
2015-04-20,679.79999,683.90002,658.54999,660,1915600,655.88694
2015-04-21,660,665.25,645,652.59998,2144100,648.53304
2015-04-22,655,668,645,656.70001,1969400,652.60752
2015-04-23,660,668.79999,657,663.95001,3600200,659.81234
2015-04-24,664.45001,664.45001,635,637.65002,1623200,633.67625
2015-04-27,638.79999,639.75,621.25,628.45001,1502700,624.53357
2015-04-28,625,635,618.75,631.65002,1434000,627.71364
2015-04-29,632.65002,640,625.59998,629.25,1272700,625.32857
2015-04-30,626.5,642.40002,620,636,2844100,632.03651
2015-05-01,636,636,636,636,0,632.03651
2015-05-04,642,681.09998,640,673.70001,3045900,669.50158
2015-05-05,674.59998,675.65002,657.15002,662.29999,2220100,658.1726
2015-05-06,662,662,631.09998,636.25,3640400,632.28495
2015-05-07,636,642.5,620.40002,627.79999,1896300,623.8876
2015-05-08,633,660.95001,632.95001,654.70001,2770300,650.61998
2015-05-11,667.45001,672.95001,662.45001,666.09998,2078200,661.9489
2015-05-12,665.25,674.90002,654.25,664.09998,2714200,659.96137
2015-05-13,665,679,660.45001,676.59998,1858400,672.38347
2015-05-14,679.34998,695.95001,678,686,2412100,681.72491
2015-05-15,684.84998,686.70001,672.65002,683.34998,1187300,679.0914
2015-05-18,683.29999,690,678.04999,685.54999,864800,681.27771
2015-05-19,683.5,693.90002,678.90002,682.70001,848000,678.44549
2015-05-20,683.90002,690.70001,681.09998,688.54999,884900,684.25901
2015-05-21,688.45001,688.45001,669.40002,674.34998,1596000,670.14749
2015-05-22,676,680.5,667.90002,673.90002,1181600,669.70034
2015-05-25,676.40002,677.5,657.20001,660.20001,1333300,656.08571
2015-05-26,662,665.5,652.09998,659.04999,989600,654.94285
2015-05-27,657.79999,669.65002,653,661.09998,1529200,656.98006
2015-05-28,665,666,639.79999,644,2667900,639.98665
2015-05-29,646.84998,660,641.20001,650.45001,3757000,646.39647
2015-06-01,645.5,672.75,645.5,662.09998,2655500,657.97383
2015-06-02,666,667.79999,639.34998,641.29999,1725100,637.30347
2015-06-03,642.20001,643.54999,631.09998,635.15002,1140700,631.19183
2015-06-04,638.70001,643.90002,625.29999,630.45001,965300,626.52111
2015-06-05,629.90002,636.90002,620,622.65002,1161200,618.76973
2015-06-08,619.90002,621.70001,609,614.70001,1535500,610.86926
2015-06-09,608,610,587.70001,591.95001,1880100,588.26104
2015-06-10,590,600,585.79999,592.75,1518800,589.05604
2015-06-11,595,599,571.25,574.34998,2025600,570.77068
2015-06-12,574.09998,586,571.79999,581.65002,1768000,578.02524
2015-06-15,581.70001,592.59998,571.59998,585.70001,1358400,582.04999
2015-06-16,583,592,575.70001,590.34998,1586600,586.67097
2015-06-17,592,617.70001,591.09998,612.90002,3226800,609.08049
2015-06-18,618.40002,622.59998,602.09998,607.04999,2134400,603.26691
2015-06-19,607,614.70001,599,606.65002,2017900,602.86944
2015-06-22,612,617.5,607,613.5,1609400,609.67673
2015-06-23,618.5,631.5,612.5,630.34998,1700300,626.4217
2015-06-24,632,634.20001,616.34998,621.75,1350700,617.87531
2015-06-25,618,620,600,610.75,1916100,606.94386
2015-06-26,612,621.75,612,619.29999,2088500,615.44057
2015-06-29,610,613.90002,600.09998,610.95001,1359500,607.14263
2015-06-30,607.20001,618,606.54999,615.40002,2352900,611.56491
2015-07-01,619,637.20001,616.75,634.90002,1789400,630.94339
2015-07-02,634.90002,636.84998,625.09998,626.34998,1018200,622.44662
2015-07-03,626.25,638.95001,626,631.54999,1062800,627.61423
2015-07-06,627,655.95001,623.34998,653.70001,2193800,649.62622
2015-07-07,654.90002,658.65002,644.09998,646.5,1151500,642.47107
2015-07-08,643,655.75,631.70001,646.20001,1553200,642.17296
2015-07-09,647,654.90002,637.34998,641.15002,1165600,637.15444
2015-07-10,643.29999,650.5,634,648,1329500,643.96173
2015-07-13,653,664.90002,651.95001,661.25,1334300,657.12915
2015-07-14,663.75,671.65002,660.25,665.95001,966200,661.79988
2015-07-15,667,673,663.09998,670.59998,790500,666.42086
2015-07-16,672.15002,682,665.54999,679.79999,1342700,675.56354
2015-07-17,680.04999,687.70001,678.54999,685.20001,1180800,680.92991
2015-07-20,685.54999,691.45001,680,683.09998,756300,678.84296
2015-07-21,683,688.75,660.09998,662.5,1019800,658.37136
2015-07-22,664,680,663.5,674.59998,1412600,670.39593
2015-07-23,675,676.90002,663.25,673.20001,759000,669.00469
2015-07-24,675,685.79999,671.75,678.09998,1177900,673.87412
2015-07-27,676.75,688.75,673,675.34998,807900,671.14126
2015-07-28,676.95001,680,665.09998,671.90002,832200,667.71281
2015-07-29,674.90002,683.75,667,679.54999,1183100,675.3151
2015-07-30,685.09998,714.70001,685.09998,711.04999,2842700,706.61879
2015-07-31,719.90002,724,706,709.04999,2031600,704.63126
2015-08-03,713.79999,716.95001,705,712.29999,916600,707.861
2015-08-04,717.95001,717.95001,703.09998,709.65002,1237200,705.22755
2015-08-05,710.95001,721.90002,709,718.59998,1274900,714.12173
2015-08-06,720.25,731.09998,718.04999,723.40002,1374400,718.89186
2015-08-07,724.70001,728.84998,713.5,715.15002,980200,710.69328
2015-08-10,717.40002,723.5,710.75,715.25,914500,710.79263
2015-08-11,719,729,713.95001,719.20001,1636700,716.72213
2015-08-12,718.45001,724.29999,696.75,707.65002,2149700,705.21194
2015-08-13,711.79999,730,710.5,725.5,2079600,723.00042
2015-08-14,735,741.75,730.25,739.59998,3238500,737.05181
2015-08-17,744.95001,745,701,703.15002,7582100,700.72744
2015-08-18,709,709.40002,680.79999,683.79999,5972100,681.44407
2015-08-19,687,703.40002,686.90002,696.09998,2593600,693.70168
2015-08-20,697.5,708,688.40002,691.59998,2267300,689.21719
2015-08-21,680,700.95001,671.09998,697.40002,2011800,694.99725
2015-08-24,675,681.90002,626,635.84998,4568500,633.65926
2015-08-25,649,654,605.70001,645.40002,4891900,643.17641
2015-08-26,648,649,633.5,637.45001,2031600,635.25379
2015-08-27,652,667.79999,640,660.95001,3929800,658.67282
2015-08-28,675,679.70001,655,659.84998,2111500,657.57658
2015-08-31,659.79999,685,655.09998,682.15002,2172000,679.79979
2015-09-01,682,688.40002,657,663.15002,2567300,660.86526
2015-09-02,665,669.75,644.09998,648.29999,2734300,646.06638
2015-09-03,659,663.75,651.79999,655.65002,3366000,653.3911
2015-09-04,676.25,679.79999,646.5,649.54999,4428000,647.31208
2015-09-07,656,662,647.25,649.54999,1844800,647.31208
2015-09-08,652,654.09998,623.5,650,2197800,647.76054
2015-09-09,662.84998,668,650.09998,656.45001,1561300,654.18833
2015-09-10,649,657.5,640.70001,653.70001,1254900,651.4478
2015-09-11,660,662.75,648.90002,653.15002,1179900,650.89971
2015-09-14,654.75,663,650.5,660.70001,796100,658.42368
2015-09-15,665.95001,667,653.5,658.29999,921600,656.03193
2015-09-16,660.20001,665.70001,657,661.59998,1038800,659.32055
2015-09-17,661.59998,661.59998,661.59998,661.59998,0,659.32055
2015-09-18,667,669,647.04999,652,2152600,649.75365
2015-09-21,648,652,639.59998,649.25,1001500,647.01312
2015-09-22,653,653.29999,642.09998,644.15002,1673400,641.93072
2015-09-23,638.79999,644,633.5,642.15002,1098600,639.93761
2015-09-24,640,650.79999,639,643.09998,2130500,640.88429
2015-09-25,643.09998,643.09998,643.09998,643.09998,0,640.88429
2015-09-28,648,653.84998,639.04999,641.90002,2002700,639.68847
2015-09-29,636.79999,644.79999,628.5,636.5,1385200,634.30705
2015-09-30,638,639.95001,631.20001,636.04999,3135100,633.85859
2015-10-01,642.90002,649,631.45001,633.54999,2945100,631.3672
2015-10-02,633.54999,633.54999,633.54999,633.54999,0,631.3672
2015-10-05,639.65002,642,633.65002,640.09998,2469300,637.89462
2015-10-06,643.90002,666.45001,641.34998,664,2513500,661.7123
2015-10-07,668.90002,683.59998,660.59998,680.79999,2160100,678.45441
2015-10-08,688,689.5,672.04999,680.25,2304300,677.90632
2015-10-09,684.40002,691.90002,679.25,689.54999,1867000,687.17426
2015-10-12,692,692.79999,675,676.34998,980300,674.01973
2015-10-13,676.25,681,673.5,679.04999,1215200,676.71044
2015-10-14,673,680.20001,660,679.20001,1219100,676.85995
2015-10-15,683.75,683.95001,669.40002,670.95001,1232300,668.63837
2015-10-16,674.40002,680.5,669,679.45001,1925200,677.10908
2015-10-19,679.5,689.70001,677,688.45001,2154900,686.07808
2015-10-20,689.65002,689.65002,658.59998,673.59998,5642900,671.2792
2015-10-21,673.59998,681.90002,672,678,2005300,675.66407
2015-10-22,678,678,678,678,0,675.66407
2015-10-23,682.09998,686,679.29999,682.20001,1705200,679.84961
2015-10-26,683.40002,684,673.40002,681.25,1217200,678.90287
2015-10-27,676,688,672.25,684.70001,1610200,682.341
2015-10-28,682.25,702.25,675.79999,696.04999,1537300,693.65187
2015-10-29,699,704.90002,689.5,691.54999,2975800,689.16737
2015-10-30,699,703.90002,688.04999,690.45001,1885300,688.07119
2015-11-02,688.95001,688.95001,674.40002,680.25,766800,677.90632
2015-11-03,686.04999,686.04999,671.09998,675.40002,1048200,673.07305
2015-11-04,680,680.95001,668.09998,670.70001,1321400,668.38923
2015-11-05,675,675.40002,655.20001,658.04999,1833700,655.78279
2015-11-06,655,672.70001,651,658.15002,1715800,655.88248
