"Date","COALINDIA.NS.Open","COALINDIA.NS.High","COALINDIA.NS.Low","COALINDIA.NS.Close","COALINDIA.NS.Volume","COALINDIA.NS.Adjusted"
2015-01-01,383,383.45,378.55,380.05,540200,309.67
2015-01-02,380.5,386.6,379.95,381.75,969500,311.05
2015-01-05,381,386,377,380.25,1857000,309.83
2015-01-06,374,382.1,373.7,379.95,4644300,309.58
2015-01-07,380,384.45,372.55,374.7,2628200,305.31
2015-01-08,384.7,385,377.3,379.45,1779000,309.18
2015-01-09,382,383,372.9,375.05,1442100,305.59
2015-01-12,374.9,374.9,356,357.85,3794300,291.58
2015-01-13,358.5,362.4,358.05,361.2,1654900,294.31
2015-01-14,363.9,364.9,360.3,363.2,1186100,295.94
2015-01-15,368,371.75,362.1,368.45,2278000,300.21
2015-01-16,367.25,380.6,364.4,379.05,2086300,308.85
2015-01-19,379,383.9,374.1,379.2,1720400,308.97
2015-01-20,384.65,384.65,378.9,382.3,1371700,311.5
2015-01-21,382.6,393.5,381.05,391.85,2579900,319.28
2015-01-22,394.6,397.6,391.05,396.4,1632700,322.99
2015-01-23,398,400,390.6,394.7,1892700,321.6
2015-01-26,394.7,394.7,394.7,394.7,0,321.6
2015-01-27,391.9,394.7,379,382.65,2619600,311.78
2015-01-28,382.4,388.7,380.5,383.8,2589100,312.72
2015-01-29,365,379.7,364.2,374.95,11218800,305.51
2015-01-30,362,364.2,360.05,360.85,14790300,294.02
2015-02-02,354.25,357,350.15,355.1,25950700,289.34
2015-02-03,355.05,359.95,353.6,356.65,7690600,290.6
2015-02-04,357.2,368.8,357.1,366.05,15177600,298.26
2015-02-05,366.4,374.95,366.25,369.9,9382700,301.4
2015-02-06,369,370.25,359.1,364,3576800,296.59
2015-02-09,360.95,362.4,358,360.65,2498400,293.86
2015-02-10,358.05,369,358.05,368.15,5296100,299.97
2015-02-11,369,376.9,369,372.1,27184800,303.19
2015-02-12,372.35,374.7,365,368.75,4759800,300.46
2015-02-13,363.3,379.9,363,377.85,16984200,307.87
2015-02-16,377.65,383.85,375.1,377.05,4307800,307.22
2015-02-17,377.05,377.05,377.05,377.05,0,307.22
2015-02-18,377.6,384.7,377.1,380.35,5508200,309.91
2015-02-19,380.45,390,375.85,383.95,6011800,312.84
2015-02-20,381.6,385,377.3,382.75,5970200,311.87
2015-02-23,384.85,386.8,382.2,384.2,4701700,313.05
2015-02-24,387,390.25,382.8,384.2,4510100,313.05
2015-02-25,387.8,389.8,383.85,386.6,3296000,315
2015-02-26,385.55,386.95,378.5,384.35,10641800,313.17
2015-02-27,386.4,398,384.95,395.25,24773100,322.05
2015-03-02,394.8,398.2,386.1,394.75,8425800,321.64
2015-03-03,373.5,382,373,379.65,5328300,326.46
2015-03-04,382,382,370,371.55,4497700,319.49
2015-03-05,372,375.2,362,363.95,4971900,312.96
2015-03-06,363.95,363.95,363.95,363.95,0,312.96
2015-03-09,361.9,369.15,356.1,357.3,4555400,307.24
2015-03-10,359,371.8,358.15,370.7,4533600,318.76
2015-03-11,369,370.7,366,369.3,3136400,317.56
2015-03-12,369.85,372.25,363,364.7,2979000,313.6
2015-03-13,366.95,369.5,363.5,365.1,2770400,313.95
2015-03-16,367,367,361.05,364.4,2446800,313.35
2015-03-17,368,368.4,359.65,361.8,2003800,311.11
2015-03-18,362.2,365.75,361.05,364.55,1296800,313.47
2015-03-19,366.5,369.5,363,365.35,2412400,314.16
2015-03-20,365.95,371,363.6,368.25,2118900,316.66
2015-03-23,368,370.35,363.1,369,2544000,317.3
2015-03-24,367.55,373,366.55,370.05,1960100,318.2
2015-03-25,371.4,371.4,360.1,361.8,1851500,311.11
2015-03-26,358.85,360,350,352.3,3834900,302.94
2015-03-27,353.15,354.45,346.4,348,2344000,299.24
2015-03-30,350.95,359.95,346.65,359.3,2451000,308.96
2015-03-31,360,365.95,359.55,362.9,3477200,312.06
2015-04-01,362.9,364.25,358,363,1428900,312.14
2015-04-02,363,363,363,363,0,312.14
2015-04-03,363,363,363,363,0,312.14
2015-04-06,364.05,364.6,358.7,360.75,1248800,310.21
2015-04-07,360.75,362.4,356.4,359.6,1859700,309.22
2015-04-08,365.25,382.7,365.1,380.35,6874500,327.06
2015-04-09,383.35,389.4,378.9,386.95,3309200,332.74
2015-04-10,383.95,390.2,383.9,389,3579500,334.5
2015-04-13,389.4,395.7,383.8,392.35,2909400,337.38
2015-04-14,392.35,392.35,392.35,392.35,0,337.38
2015-04-15,391.7,391.7,384,385.95,4149600,331.88
2015-04-16,385.95,386.05,381.6,383.65,2034400,329.9
2015-04-17,382.05,385.15,379.05,380.4,2106400,327.1
2015-04-20,381.85,382.75,370.55,372.05,3400300,319.92
2015-04-21,372.05,378.7,372.05,374.4,1820100,321.94
2015-04-22,374.25,380.9,373.45,379.2,2165100,326.07
2015-04-23,382,385.9,380.9,384.25,2812600,330.41
2015-04-24,384,384.85,374.15,376.25,2896400,323.54
2015-04-27,377.3,380,370.7,377.65,2202500,324.74
2015-04-28,377,378,370.8,372.4,3455000,320.22
2015-04-29,371,375.05,369.65,370.95,2453900,318.98
2015-04-30,368.2,370.4,359.2,362.75,4879200,311.93
2015-05-01,362.75,362.75,362.75,362.75,0,311.93
2015-05-04,366,371.4,363.1,369.8,1970100,317.99
2015-05-05,368.9,368.9,361.5,364.4,2200900,313.35
2015-05-06,362.15,364,352.15,353.1,3280400,303.63
2015-05-07,353.8,362.1,352.5,360.8,2921200,310.25
2015-05-08,362.3,365.95,358.4,363.7,2285600,312.74
2015-05-11,365,374.9,365,371.95,3000300,319.84
2015-05-12,373.95,376.6,367,369.2,4880000,317.47
2015-05-13,370.2,372.65,365,368.95,2227200,317.26
2015-05-14,368.95,371.5,363.6,370.2,2518400,318.33
