"Date","COLPAL.NS.Open","COLPAL.NS.High","COLPAL.NS.Low","COLPAL.NS.Close","COLPAL.NS.Volume","COLPAL.NS.Adjusted"
2015-01-01,1786,1814.4,1786,1805.85,76000,874.448
2015-01-02,1808.1,1847.8,1808.1,1843.9,293000,892.873
2015-01-05,1845.8,1860,1823.2,1828.15,152500,885.247
2015-01-06,1835,1860,1810,1840.15,469100,891.057
2015-01-07,1846.5,1875.95,1821.5,1874.35,361300,907.618
2015-01-08,1898.8,1935.95,1880,1924.9,617600,932.096
2015-01-09,1926.95,1948.5,1906,1920.2,524900,929.82
2015-01-12,1927.95,1944.4,1915.25,1926.85,200200,933.04
2015-01-13,1931.5,1950,1929.9,1939.7,696600,939.263
2015-01-14,1946,1963.8,1921,1938.7,234800,938.778
2015-01-15,1947,1958,1925,1947.4,430500,942.991
2015-01-16,1957.5,1976.4,1946.05,1959.1,343100,948.657
2015-01-19,1972,1976.9,1940,1945.75,321400,942.192
2015-01-20,1958,1958,1916,1926,420400,932.629
2015-01-21,1941.8,1941.8,1872.6,1893.1,534000,916.697
2015-01-22,1909.95,1938,1902.45,1922.8,679600,931.079
2015-01-23,1937.5,1942.1,1880,1912.85,840900,926.261
2015-01-26,1912.85,1912.85,1912.85,1912.85,0,926.261
2015-01-27,1912.85,1943,1900,1926.45,1077600,932.847
2015-01-28,1927,1930,1910.1,1922.4,520600,930.885
2015-01-29,1910.1,1917.75,1882.25,1888.9,261600,914.664
2015-01-30,1895,1917,1865.5,1875.55,142700,908.199
2015-02-02,1880,1909,1830,1839.05,162000,890.525
2015-02-03,1854.9,1874,1839.05,1846.95,287000,894.35
2015-02-04,1859.5,1859.5,1812.2,1821.75,178600,882.148
2015-02-05,1837,1876,1801,1857.7,262000,899.556
2015-02-06,1874.9,1894.4,1860.2,1872.05,677000,906.504
2015-02-09,1875,1890,1830,1835.55,272800,888.83
2015-02-10,1835,1865.85,1811.3,1832.9,247100,887.547
2015-02-11,1837.95,1854.95,1834.85,1850.8,223700,896.215
2015-02-12,1869.9,1874,1855,1862.85,341600,902.049
2015-02-13,1860.1,1922.45,1857.3,1910.5,415500,925.123
2015-02-16,1923.4,1945,1899.5,1918.05,336100,928.779
2015-02-17,1918.05,1918.05,1918.05,1918.05,0,928.779
2015-02-18,1907,1939.2,1907,1925.55,173500,932.411
2015-02-19,1926.15,1937.9,1886.45,1904.55,144600,922.242
2015-02-20,1905,1930.6,1887,1920.8,134300,930.111
2015-02-23,1926.05,1979.15,1926.05,1973.35,618900,955.557
2015-02-24,1983,1995,1960,1973.15,261800,955.46
