"Date","CONCOR.NS.Open","CONCOR.NS.High","CONCOR.NS.Low","CONCOR.NS.Close","CONCOR.NS.Volume","CONCOR.NS.Adjusted"
2015-01-01,1346.6499,1375.05,1345,1357.8999,37500,1038.9072
2015-01-02,1364.95,1390,1350,1357.5999,70100,1038.6776
2015-01-05,1361.05,1393.9999,1360,1378,86900,1054.2854
2015-01-06,1377.8999,1404.95,1340.0999,1349.2,121200,1032.251
2015-01-07,1345,1372,1340,1355.45,15300,1037.0327
2015-01-08,1363.9999,1375,1341.0001,1347.85,38200,1031.2181
2015-01-09,1350,1373.9999,1350,1365.75,43800,1044.9131
2015-01-12,1356.0001,1370,1344.2,1352.3,80000,1034.6227
2015-01-13,1352.15,1365,1351.0001,1357.45,14200,1038.5629
2015-01-14,1378,1399.9001,1361.0001,1367.85,48600,1046.5198
2015-01-15,1368.15,1390,1368.15,1381.3,34000,1056.8102
2015-01-16,1387.95,1390,1367,1370.65,150200,1048.662
2015-01-19,1389.8,1404.8,1375,1381.05,54400,1056.6189
2015-01-20,1405.05,1405.05,1375,1388.1,33600,1062.0127
2015-01-21,1393,1425,1384.5,1395.15,80500,1067.4066
2015-01-22,1400,1448.95,1397.05,1442.15,137300,1103.3655
2015-01-23,1448.95,1450,1415,1424.4501,38900,1089.8236
2015-01-26,1424.4501,1424.4501,1424.4501,1424.4501,0,1089.8236
2015-01-27,1428.9999,1449.5,1416.05,1426.3499,35100,1091.2772
2015-01-28,1427.05,1440,1421.9501,1430.5,30300,1094.4523
2015-01-29,1439.95,1442,1380,1390.95,43700,1064.1932
2015-01-30,1396.0001,1426.55,1380.05,1398.5001,641200,1069.9697
2015-02-02,1400,1413.95,1389.2999,1397.45,171200,1069.1662
2015-02-03,1402,1409.95,1371.75,1395.0999,120700,1067.3683
2015-02-04,1398.0499,1405,1382.3,1390.9,12600,1064.1549
2015-02-05,1390,1402.95,1361.05,1369.4501,148500,1047.744
2015-02-06,1367.95,1388.9999,1343,1361.55,439200,1041.6998
2015-02-09,1365.5499,1365.5499,1320.05,1348.0499,15800,1031.3711
2015-02-10,1345,1423,1341.1,1402.7499,59000,1073.2212
2015-02-11,1398.0499,1420,1381.0001,1411.1501,53200,1079.648
2015-02-12,1453,1470,1425,1438.4,113800,1100.4964
2015-02-13,1444.95,1465,1402.2501,1412.5,398800,1080.6808
2015-02-16,1417.05,1437.7,1403,1410.6,112600,1079.2271
2015-02-17,1410.6,1410.6,1410.6,1410.6,0,1079.2271
2015-02-18,1413.9999,1420,1388,1413.6501,65400,1081.5607
2015-02-19,1415.75,1500,1410.05,1450.5499,185100,1109.7922
2015-02-20,1455,1629.8,1454.95,1576.25,764100,1205.9632
2015-02-23,1583.9999,1650,1561.0001,1603.5001,401200,1226.8118
2015-02-24,1600,1608.8,1500,1577.05,234800,1214.1472
2015-02-25,1572,1623.7,1555.95,1574.95,165900,1212.5304
2015-02-26,1580,1616.9,1502,1517.85,470500,1168.57
2015-02-27,1518,1575,1508.0499,1554.7,157100,1196.9402
2015-03-02,1541.0001,1549.95,1521.2,1540.95,60100,1186.3543
2015-03-03,1516.0001,1553.9999,1516.0001,1523.4,53500,1172.8428
2015-03-04,1530,1542.35,1475.2499,1485.9,94200,1143.9721
2015-03-05,1491.0001,1498.5001,1446.0001,1482.15,38200,1141.085
2015-03-06,1482.15,1482.15,1482.15,1482.15,0,1141.085
2015-03-09,1500,1652.65,1500,1603.9,1083100,1234.8186
2015-03-10,1613.9,1735,1611.0001,1676.9,744600,1291.0202
2015-03-11,1678,1725,1642.2,1664.7501,1064400,1281.6661
2015-03-12,1670,1670,1632.7,1636.1501,573000,1259.6474
2015-03-13,1637,1687.5999,1635.7001,1663.7,896800,1280.8577
2015-03-16,1658,1683.9,1648,1666.55,1467700,1283.0519
2015-03-17,1669.95,1700,1652,1674.2,1031700,1288.9415
2015-03-18,1679.95,1773.9999,1663,1676.3,425900,1290.5583
2015-03-19,1689.95,1691.75,1605.9,1612.1001,444300,1241.1317
2015-03-20,1614.9001,1634.7501,1552.2501,1611.9501,596500,1241.0162
2015-03-23,1603.6501,1604.95,1560.2,1567.05,182400,1206.4483
2015-03-24,1567,1584.7501,1535,1562.05,265500,1202.5989
2015-03-25,1570,1605.65,1538.1,1593.15,271900,1226.5423
2015-03-26,1593.9999,1622,1526.6499,1559.4,203200,1200.5587
2015-03-27,1575,1585.6,1550,1557.95,95200,1199.4423
2015-03-30,1550,1563.95,1522,1548.8499,222300,1192.4364
2015-03-31,1555.9,1600,1540,1583.9,269900,1219.4209
2015-04-01,1582.35,1627.3,1561.0001,1582.85,227800,1218.6125
2015-04-02,1582.85,1582.85,1582.85,1582.85,0,1218.6125
2015-04-03,1582.85,1582.85,1582.85,1582.85,0,1218.6125
2015-04-06,1570.3,1635,1570.3,1610.2,99100,1239.6689
2015-04-07,1609.95,1650,1609.95,1641.6499,111800,1263.8817
2015-04-08,1649.95,1690,1622.2,1676.1501,121000,1290.4428
2015-04-09,1679.95,1715,1679.95,1694.4501,136300,1304.5317
2015-04-10,1688.7,1705,1655.3,1669.4501,145300,1285.2846
2015-04-13,1672.05,1708,1666.0001,1673.8,99100,1288.6336
2015-04-14,1673.8,1673.8,1673.8,1673.8,0,1288.6336
2015-04-15,1688,1732,1671.75,1680.2,149800,1293.5608
2015-04-16,1680.2499,1719.5,1645.05,1668.9,410700,1284.8611
2015-04-17,1683.9999,1695,1660.0999,1680.8501,95200,1294.0613
2015-04-20,1685.05,1693.9999,1590,1610.6,232400,1239.9768
2015-04-21,1613.9999,1654.7,1608.9999,1637.8999,132900,1260.9946
2015-04-22,1644.95,1648.15,1601.1,1614.9001,256700,1243.2874
2015-04-23,1623,1659.95,1592.05,1606.85,243600,1237.0897
2015-04-24,1615,1624.85,1520,1556.2,985300,1198.095
2015-04-27,1573.9999,1640,1573.9999,1605.5,325500,1236.0504
2015-04-28,1598,1674.4501,1598,1654.85,240800,1274.0442
2015-04-29,1653.9999,1669.95,1612.7499,1642.1001,160900,1264.2282
2015-04-30,1643.8499,1660,1611.0001,1640.75,137100,1263.1888
2015-05-01,1640.75,1640.75,1640.75,1640.75,0,1263.1888
2015-05-04,1635.05,1735,1620.75,1715.5,142400,1320.7378
2015-05-05,1708,1868.9999,1708,1773.1,318100,1365.0831
2015-05-06,1765,1773.9999,1715.7001,1728.9,192900,1331.0542
2015-05-07,1728,1732,1681.05,1690.15,125500,1301.2212
2015-05-08,1719.9001,1745.8501,1682,1690.45,210200,1301.4521
2015-05-11,1691.1,1714.5,1691.1,1705.3,62800,1312.8849
2015-05-12,1714.9001,1714.9001,1682.2501,1699.65,147400,1308.535
2015-05-13,1751.1501,1824.95,1751.1501,1788.1,1333700,1376.6314
2015-05-14,1788.1,1858.9999,1761.0001,1785.15,730100,1374.3602
2015-05-15,1783.25,1785.8501,1756.0001,1766.75,361300,1360.1944
2015-05-18,1780,1790.05,1741.0001,1749.1,244700,1346.6059
2015-05-19,1748.9,1762.4001,1736.1501,1747.55,139200,1345.4126
2015-05-20,1771.1,1819.1499,1758.0499,1764.1,346700,1358.1542
2015-05-21,1764.1,1785.0999,1737,1740.3999,263800,1339.9078
2015-05-22,1744.95,1771.9,1730,1740.35,346000,1339.8694
2015-05-25,1725.5499,1750.65,1725.5499,1734.9001,567600,1335.6736
2015-05-26,1758.9999,1815,1743,1750,1008300,1347.2988
2015-05-27,1750,1775.15,1722,1736.6499,553300,1337.0208
2015-05-28,1733.25,1744.1,1648.5001,1688.15,595100,1299.6814
2015-05-29,1727,1868.9999,1667.7499,1826.0001,8059700,1405.8101
2015-06-01,1780.5,1947.7,1716.85,1774.9001,1050700,1366.469
2015-06-02,1780,1810,1715,1729.85,253500,1331.7856
2015-06-03,1721.1,1739.65,1706.0001,1711.0001,104300,1317.2733
2015-06-04,1716.0001,1798.9999,1712.15,1746.55,164700,1344.6427
2015-06-05,1731.0001,1741.4999,1712.5,1729.85,151600,1331.7856
2015-06-08,1721.05,1731.7,1691.3,1704.95,67500,1312.6154
2015-06-09,1696.4,1735,1670,1700.3999,94000,1309.1124
2015-06-10,1713.9,1715,1682.2501,1699.9001,232900,1308.7276
2015-06-11,1710.05,1719.8,1660,1682.8999,168700,1295.6394
2015-06-12,1684.5,1783.9999,1660.5,1745.15,117900,1343.5648
2015-06-15,1751.0001,1756.1,1720.5499,1730.6,63500,1332.363
2015-06-16,1730.05,1737.4001,1673.95,1687.8,153100,1299.4119
2015-06-17,1705.35,1718.9999,1665.5,1672.7,230200,1287.7867
2015-06-18,1680,1692,1660.05,1674.2,61500,1288.9415
2015-06-19,1680,1698.9999,1650,1663.9999,116200,1281.0886
2015-06-22,1668.0499,1728.9999,1653.25,1716.1501,218600,1321.2382
2015-06-23,1730,1735.7001,1670,1675.45,89900,1289.9038
2015-06-24,1686.0001,1686.0001,1653,1668.75,136100,1284.7456
2015-06-25,1668.9999,1697.45,1668.9999,1690.05,155300,1301.1442
2015-06-26,1687,1705.6,1666.1501,1671.7,28900,1287.0168
2015-06-29,1626.05,1683,1625.2,1678.15,112500,1291.9826
2015-06-30,1688.9999,1696.0001,1670,1677.95,183100,1291.8285
2015-07-01,1678,1747.5,1677.8999,1718.7,191900,1323.2013
2015-07-02,1728.9999,1777.7,1725,1742.55,135700,1341.5632
2015-07-03,1746.0001,1770,1731.05,1741.6499,64300,1340.8702
2015-07-06,1727.95,1768.5001,1719.95,1758.95,73900,1354.1893
2015-07-07,1758.9999,1818.2001,1758,1794.05,218800,1381.2122
2015-07-08,1760.05,1794.6001,1760.05,1780.8501,295300,1371.0498
2015-07-09,1792,1816.6499,1766.6,1800.3,200400,1386.024
2015-07-10,1800,1800,1675.05,1718.45,100100,1323.0089
2015-07-13,1726.9,1740,1711.25,1724.35,34800,1327.5512
2015-07-14,1727,1812,1727,1761.1501,102200,1355.883
2015-07-15,1780,1804.9001,1765.5,1776.0001,63300,1367.3158
2015-07-16,1779.95,1893.9999,1778.8,1877.7499,638000,1445.6515
2015-07-17,1897,1897,1834.95,1844.7501,61500,1420.2454
2015-07-20,1856.05,1890,1850.2,1857.85,37900,1430.3309
2015-07-21,1878,1878,1780,1782.65,80500,1372.4355
2015-07-22,1784.05,1814.4501,1722,1743.7,130000,1342.4485
2015-07-23,1677,1710,1640,1654.7,441700,1273.9287
2015-07-24,1655,1692.7,1621.7,1628.15,270100,1253.4883
2015-07-27,1648.9999,1648.9999,1584.8,1593,242600,1226.4269
2015-07-28,1593.0499,1602.8999,1565,1572.95,168200,1210.9906
2015-07-29,1578.95,1650,1573.1,1619.7501,209300,1247.0213
2015-07-30,1646.0001,1668.9999,1626.0001,1640.8501,206600,1263.2659
2015-07-31,1654.5,1669.9001,1625,1641.7999,113100,1263.9972
2015-08-03,1645,1676.0001,1628.5001,1658.0499,110800,1276.5078
2015-08-04,1658.0499,1687,1621.0001,1665.3999,133900,1282.1665
2015-08-05,1657.8999,1674.9001,1612,1622.45,209500,1249.0999
2015-08-06,1630,1665,1625,1655.3,200300,1274.3907
2015-08-07,1655.5,1657.5,1615.05,1621.1501,95400,1248.0991
2015-08-10,1622.2501,1647.3,1615.05,1636.1501,82400,1259.6474
2015-08-11,1640,1693.9999,1640,1671.7,151600,1287.0168
2015-08-12,1671.0001,1671.9501,1602.7,1610.9,159500,1240.2077
2015-08-13,1615,1660,1615,1631.55,163000,1256.1059
2015-08-14,1590,1625,1536.75,1618.4,253100,1245.9819
2015-08-17,1625,1647,1598,1640.6,70300,1263.0733
2015-08-18,1654.95,1657,1620,1632.05,75600,1256.4909
2015-08-19,1639.9001,1646.45,1620,1626.1,77400,1251.91
2015-08-20,1625,1626.9,1578.7,1594.95,254400,1227.9281
2015-08-21,1570.05,1600,1551.4999,1560.35,861400,1201.2901
2015-08-24,1544.8,1544.8,1475.0999,1499.7501,457400,1154.6351
2015-08-25,1520,1520,1445,1451.05,987600,1117.1416
2015-08-26,1453.15,1470,1391.0001,1449.65,324900,1116.0638
2015-08-27,1458,1509.9001,1458,1491.75,813700,1153.8486
2015-08-28,1523.9999,1529.9001,1423.0499,1431.9,465100,1107.5554
2015-08-31,1442.8999,1484.5,1407.8999,1425.05,3184200,1102.2571
2015-09-01,1430,1480,1426.0001,1463.4,176600,1131.9202
2015-09-02,1488,1488.9999,1436.3,1461.4,386400,1130.3733
2015-09-03,1430,1430,1390.2,1396.3,681500,1080.0193
2015-09-04,1408.9999,1408.9999,1345.0999,1357.3,1311400,1049.8533
2015-09-07,1360.15,1377.8999,1287.05,1299.05,623900,1004.7977
2015-09-08,1303.1,1330,1256,1323.55,224800,1023.7481
2015-09-09,1334.95,1410,1334.95,1403.9,251500,1085.8978
2015-09-10,1390.5,1505,1365.2499,1483.1,621500,1147.1579
2015-09-11,1500,1557.85,1433,1484.9001,416300,1148.5502
2015-09-14,1504.85,1530,1487,1512.15,117000,1169.6277
2015-09-15,1511.55,1525,1460,1463,65600,1131.6109
2015-09-16,1474.5,1487,1373.55,1380.9,447200,1068.1076
2015-09-17,1380.9,1380.9,1380.9,1380.9,0,1068.1076
2015-09-18,1410,1430,1391.0001,1409.1499,385300,1089.9585
2015-09-21,1414.8,1420,1375,1379.2,89700,1066.7927
2015-09-22,1403.9999,1417,1381.0001,1396.55,129100,1080.2127
2015-09-23,1379.2,1410.5499,1356.55,1403.75,115300,1085.7818
2015-09-24,1401.9501,1401.9501,1341.0001,1357.2,295000,1049.776
2015-09-25,1357.2,1357.2,1357.2,1357.2,0,1049.776
2015-09-28,1340.3,1344.95,1311.0001,1321.7999,401900,1022.3945
2015-09-29,1317.55,1398.9999,1311.0001,1387.05,398100,1072.8646
2015-09-30,1405,1514.7,1401.0001,1485.05,509700,1148.6663
2015-10-01,1490.5499,1514.7,1452.7,1505.65,157500,1164.6001
2015-10-02,1505.65,1505.65,1505.65,1505.65,0,1164.6001
2015-10-05,1514.95,1576.9,1467.95,1543.45,403800,1193.8379
2015-10-06,1562.7,1574.95,1497.1001,1506.6499,173600,1165.3735
2015-10-07,1506.6499,1544.95,1505,1523,83900,1178.0201
2015-10-08,1523,1545.0999,1510,1540,48000,1191.1693
2015-10-09,1542,1545.0999,1525.05,1539.2,59400,1190.5505
2015-10-12,1550,1572.7499,1525.5499,1539.7,54500,1190.9373
2015-10-13,1535,1549.95,1472.5999,1491.9501,137500,1154.0033
2015-10-14,1500,1518.25,1487,1497.7,81800,1158.4509
2015-10-15,1498,1513.45,1476.0001,1489.35,89400,1151.9922
2015-10-16,1500.05,1508.6,1438.2001,1446.05,107100,1118.5002
2015-10-19,1467.35,1491.0001,1435,1488.25,67300,1151.1414
2015-10-20,1490,1498.9,1452.8,1476.45,97000,1142.0143
2015-10-21,1484.95,1488,1462,1470.3999,107400,1137.3346
2015-10-22,1470.3999,1470.3999,1470.3999,1470.3999,0,1137.3346
2015-10-23,1480,1485,1331.0001,1355.05,807500,1048.113
2015-10-26,1366.0001,1370,1335,1346.3,802300,1041.345
2015-10-27,1350,1350.05,1305.9,1325.45,976400,1025.2178
2015-10-28,1343.5001,1355.8,1330.05,1349.85,248200,1044.0908
2015-10-29,1357.8999,1357.8999,1310,1320.8501,387400,1021.6598
2015-10-30,1340,1340,1311.0001,1325.15,276000,1024.9857
2015-11-02,1338.95,1347,1316.0001,1326.6499,210500,1026.1459
2015-11-03,1345,1349.95,1321.6,1345.8,57600,1040.9582
2015-11-04,1348.9999,1360,1337,1349.05,149400,1043.472
2015-11-05,1357.7,1399.9001,1350,1374.2,233100,1062.9252
2015-11-06,1395,1423.9999,1390,1404.1,244900,1086.0525
2015-11-09,1370.15,1426.0001,1370.15,1405.7001,92000,1087.2901
2015-11-10,1415,1433,1380.05,1396.9501,89900,1080.5221
2015-11-11,1396.9501,1396.9501,1396.9501,1396.9501,0,1080.5221
2015-11-12,1396.9501,1396.9501,1396.9501,1396.9501,0,1080.5221
2015-11-13,1403.0499,1419.2999,1386.1,1404.7501,62200,1086.5553
2015-11-16,1393.9999,1411.7999,1366.85,1377.8,127300,1065.7098
2015-11-17,1393,1409.95,1376.0001,1381.75,140600,1068.7651
2015-11-18,1381.0001,1398.9999,1360.2,1366.25,43400,1056.776
2015-11-19,1370.3,1385,1323.9999,1346.3,212000,1041.345
2015-11-20,1349.95,1370,1342.3,1360.8501,248500,1052.5992
2015-11-23,1363,1383.9999,1363,1371.9501,245000,1061.185
2015-11-24,1370,1435,1365.0999,1420.75,146900,1098.931
2015-11-25,1420.75,1420.75,1420.75,1420.75,0,1098.931
2015-11-26,1433,1443.7,1413.75,1420.9,80400,1099.047
2015-11-27,1423.0499,1434.2999,1386.05,1407.8,84000,1088.9144
2015-11-30,1419.95,1435,1375.7001,1403,334500,1085.2017
2015-12-01,1416.05,1428.9999,1393.5001,1420.2499,76400,1098.5442
2015-12-02,1428,1452,1413,1433.6501,266300,1108.9091
2015-12-03,1431.0001,1468.9999,1431.0001,1446.1501,159200,1118.5776
2015-12-04,1437.5,1458,1405,1413,91900,1092.9365
2015-12-07,1428.8499,1442.95,1414.85,1426.3,113400,1103.2239
2015-12-08,1418.9999,1449.4,1416.0001,1424.35,222300,1101.7156
2015-12-09,1420,1422.35,1325.3,1340.45,172400,1036.8201
2015-12-10,1348,1380,1325.05,1351.05,58200,1045.019
2015-12-11,1351.05,1357,1312.05,1323.55,99700,1023.7481
2015-12-14,1317.8,1338.8,1306.0001,1313.3501,134400,1015.8586
2015-12-15,1323.45,1333.9999,1306.6499,1312.3,61200,1015.0464
2015-12-16,1321.05,1324.4,1293.95,1299.8,121600,1005.3778
2015-12-17,1300,1305.45,1266.4,1285.45,395400,994.2783
2015-12-18,1298,1317.1001,1285,1300.8,739900,1006.1513
2015-12-21,1283.15,1320,1283.15,1299.1,98400,1004.8364
2015-12-22,1299.1,1318.9999,1299.1,1307,84100,1010.9469
2015-12-23,1311.1501,1317.35,1300,1305.6,48400,1009.864
2015-12-24,1310,1320,1302.5,1306.9,71700,1010.8696
2015-12-25,1306.9,1306.9,1306.9,1306.9,0,1010.8696
2015-12-28,1307,1327.8999,1302,1309.8,131500,1013.1127
