"Date","CUMMINSIND.NS.Open","CUMMINSIND.NS.High","CUMMINSIND.NS.Low","CUMMINSIND.NS.Close","CUMMINSIND.NS.Volume","CUMMINSIND.NS.Adjusted"
2015-01-01,868,881,865,871.7,27900,845.7965
2015-01-02,876.8,934,874.85,919.25,305600,891.9335
2015-01-05,935,960.65,935,937.9,226700,910.0293
2015-01-06,935,935,902.5,909.3,91700,882.2792
2015-01-07,910.3,919,886,900.05,73100,873.304
2015-01-08,905,918.85,887.05,893.2,94700,866.6576
2015-01-09,893,903,875,876.95,129800,850.8905
2015-01-12,880,898,868,870.65,172300,844.7777
2015-01-13,870.8,892.65,870.8,878.35,222000,852.2489
2015-01-14,877.5,894.75,875.2,879.1,74000,852.9766
2015-01-15,882,894.9,882,887.8,143600,861.4181
2015-01-16,888.8,911.05,882.65,888.35,291700,861.9517
2015-01-19,890,912,890,893,172200,866.4635
2015-01-20,893,902.6,881.5,885.05,238200,858.7498
2015-01-21,882.15,897.2,882.15,892.4,78000,865.8814
2015-01-22,889.05,904,882.05,884.55,142800,858.2646
2015-01-23,888,897.5,880,883,147600,856.7607
2015-01-26,883,883,883,883,0,856.7607
2015-01-27,883.5,912,882.15,897.1,391500,870.4417
2015-01-28,900,910,893,907.45,283800,880.4842
2015-01-29,914.7,914.7,890,892,131900,865.4933
2015-01-30,895,909.5,890,891.7,177800,865.2022
2015-02-02,894.4,895,880.5,881.5,241500,855.3053
2015-02-03,887,919.75,871.65,903.3,477400,876.4575
2015-02-04,903.35,924,902.75,914.2,229600,887.0336
2015-02-05,916,917,898,902.75,108000,875.9238
2015-02-06,901.05,915.05,895,899.6,176800,872.8674
2015-02-09,898.95,898.95,890,890.3,159200,863.8438
2015-02-10,898.7,909.85,885.1,897.5,118700,870.8298
2015-02-11,900.95,906.2,891,899.35,72100,872.6248
2015-02-12,902.65,910,894.1,902.35,314900,875.5357
2015-02-13,906,918.5,901,909.75,1023100,882.7158
