"Date","DABUR.NS.Open","DABUR.NS.High","DABUR.NS.Low","DABUR.NS.Close","DABUR.NS.Volume","DABUR.NS.Adjusted"
2015-01-01,233.3,235.60001,231.64999,232.39999,196800,228.98338
2015-01-02,233.95,235.89999,231.8,234.7,529000,231.24957
2015-01-05,235.95,236.95,231.10001,231.45,446500,228.04735
2015-01-06,230,230.89999,222.5,224.35001,1014600,221.05174
2015-01-07,225.95,234,224.35001,227.75,994200,224.40175
2015-01-08,229.10001,232,228.05,230,481200,226.61867
2015-01-09,231.14999,232,227.60001,229.45,491400,226.07675
2015-01-12,229.8,235.75,228.64999,234.75,788500,231.29884
2015-01-13,235.95,240,234.35001,235.75,767900,232.28414
2015-01-14,236,255,236,251.05,3159700,247.35921
2015-01-15,255,257.89999,245.25,249.89999,2159200,246.22611
2015-01-16,252.55,253.35001,247.7,251.39999,1310500,247.70406
2015-01-19,252.05,262.29999,251.7,257.79999,1523400,254.00996
2015-01-20,257.64999,257.95001,248.39999,254.14999,1163700,250.41363
2015-01-21,256.70001,256.70001,249.05,250.2,1098500,246.5217
2015-01-22,252.89999,254,248.55,250.2,1351300,246.5217
2015-01-23,251.55,253.14999,246.35001,249.60001,1352800,245.93053
2015-01-26,249.60001,249.60001,249.60001,249.60001,0,245.93053
2015-01-27,250.5,251.35001,247.8,248.75,1761600,245.09302
2015-01-28,247.3,253.25,247.3,251.75,972100,248.04892
2015-01-29,251.25,259.89999,250.3,258.39999,2990100,254.60115
2015-01-30,259.45001,262.5,251,256.25,2151200,252.48276
2015-02-02,257.10001,263.60001,255.7,261.64999,1392100,257.80337
2015-02-03,263,267.60001,261.85001,265.85001,2296800,261.94163
2015-02-04,267,270,262.10001,267.64999,1171200,263.71516
2015-02-05,267.95001,271,264.79999,267.89999,1907500,263.96148
2015-02-06,267,275,266.14999,273.45001,1281900,269.42991
2015-02-09,270.04999,273,259,261.04999,1508900,257.21218
2015-02-10,260.10001,273.25,258.25,270.5,1260900,266.52326
2015-02-11,271.70001,276.89999,267.10001,272,1796300,268.00121
2015-02-12,271.79999,273.54999,263.39999,267.14999,1152500,263.22251
2015-02-13,268.85001,273.35001,265.29999,272.25,866100,268.24754
2015-02-16,270.25,272.5,264.60001,266.85001,907000,262.92693
2015-02-17,266.85001,266.85001,266.85001,266.85001,0,262.92693
2015-02-18,266,269.89999,264.85001,268.79999,690500,264.84824
2015-02-19,265,268.25,265,266.95001,860800,263.02547
2015-02-20,267.89999,267.89999,264.20001,265.45001,559500,261.54752
2015-02-23,266.04999,267.20001,262.20001,265.70001,752300,261.79384
2015-02-24,266.79999,270.20001,264.5,268.14999,853800,264.20781
2015-02-25,270,271.5,263.35001,264.35001,1097400,260.46368
2015-02-26,264.79999,266.89999,259.95001,263.45001,1681300,259.57692
2015-02-27,261.89999,266,260.10001,265.14999,1535000,261.25191
2015-03-02,264.39999,265.20001,260.10001,262.60001,1233800,258.73941
2015-03-03,263.54999,267.89999,262.04999,264.04999,680200,260.16808
2015-03-04,265.35001,269.39999,262.25,264.14999,1965900,260.26661
2015-03-05,263.54999,271.75,263.25,266.70001,2185700,262.77914
2015-03-06,266.70001,266.70001,266.70001,266.70001,0,262.77914
2015-03-09,266,276.95001,266,274.35001,2571100,270.31667
2015-03-10,277.39999,278.5,264.89999,265.79999,1742200,261.89235
2015-03-11,265.79999,271,260,267.5,2494800,263.56737
2015-03-12,269.45001,273.39999,268.64999,271.20001,1102900,267.21299
2015-03-13,270,276.14999,270,272.45001,1111300,268.44461
2015-03-16,273,274.45001,269.60001,271.25,518900,267.26224
2015-03-17,272,284,272,283.29999,2206700,279.13507
2015-03-18,285.89999,287,280.60001,284.10001,2059200,279.92333
2015-03-19,286.89999,287,273.20001,275.39999,1142400,271.35122
2015-03-20,275.35001,275.35001,264.70001,266,1261400,262.08942
2015-03-23,266.29999,272.39999,266.29999,269.10001,516000,265.14385
2015-03-24,269.10001,271.95001,265.25,266.5,792800,262.58207
2015-03-25,266,269.39999,266,268.20001,727000,264.25709
2015-03-26,267,268.5,261.35001,262.75,980000,258.8872
2015-03-27,276,276,262.85001,264.79999,535600,260.90705
2015-03-30,267.79999,270.70001,265.29999,266.04999,763700,262.13867
2015-03-31,266.89999,269.45001,264.45001,265.54999,664000,261.64602
2015-04-01,266.5,268.5,264.64999,266.54999,642100,262.63132
2015-04-02,266.54999,266.54999,266.54999,266.54999,0,262.63132
2015-04-03,266.54999,266.54999,266.54999,266.54999,0,262.63132
2015-04-06,267,273.89999,267,272.95001,966600,268.93726
2015-04-07,274.10001,275.60001,271.10001,274.29999,799400,270.26739
2015-04-08,275.64999,286.5,274.79999,284.35001,1270500,280.16966
2015-04-09,285,285.75,278.10001,279.89999,768500,275.78506
2015-04-10,280,283.5,277.10001,280.29999,759700,276.17918
2015-04-13,283,286.95001,280.89999,283.60001,789700,279.43068
2015-04-14,283.60001,283.60001,283.60001,283.60001,0,279.43068
2015-04-15,286,286,274.25,275.35001,1225600,271.30197
2015-04-16,275,278.20001,272.04999,276.14999,964300,272.0902
2015-04-17,275.39999,276.89999,270.5,272.95001,721900,268.93726
2015-04-20,273.54999,274,266.04999,268.89999,999900,264.94678
2015-04-21,269.04999,271.54999,266.5,268.54999,837400,264.60192
2015-04-22,271,274,260.14999,265.25,989600,261.35045
2015-04-23,265.75,272.25,264.95001,271.04999,973600,267.06517
2015-04-24,272.10001,275.20001,267.89999,270.10001,1047300,266.12915
