"Date","DALMIABHA.NS.Open","DALMIABHA.NS.High","DALMIABHA.NS.Low","DALMIABHA.NS.Close","DALMIABHA.NS.Volume","DALMIABHA.NS.Adjusted"
2015-01-01,454.95,455.1,435.05,448.7,6400,446.56
2015-01-02,450.1,450.1,432.1,434.55,33600,432.48
2015-01-05,433.05,444.95,432,434.9,17400,432.83
2015-01-06,443.9,443.9,415,417.8,53600,415.81
2015-01-07,424,424,411,412.75,25100,410.78
2015-01-08,427.5,427.5,411,413.9,30600,411.93
2015-01-09,417,423.9,355.5,414.05,18900,412.08
2015-01-12,426,462.7,401.85,456.75,483500,454.57
2015-01-13,453.3,481.75,449.7,463.95,85000,461.74
2015-01-14,464.9,480,463.7,467.1,33800,464.87
2015-01-15,483.95,484.9,458.95,468.2,25100,465.97
2015-01-16,466.45,473.7,462,471.75,21500,469.5
2015-01-19,475.95,479.65,458.7,464.5,8400,462.29
2015-01-20,467,479,464,473.35,12400,471.09
2015-01-21,466.25,474,465,466.5,7800,464.28
2015-01-22,466.3,474.75,456.3,463.8,12600,461.59
2015-01-23,464.35,484,464.35,469.6,14100,467.36
2015-01-26,469.6,469.6,469.6,469.6,0,467.36
2015-01-27,464.9,477,464.9,474.1,8500,471.84
2015-01-28,473,493,473,486.05,28600,483.73
2015-01-29,489.9,515,489.9,502.05,63500,499.66
2015-01-30,502,509.9,478,480.05,25500,477.76
2015-02-02,478.6,491.05,478.6,481.95,21100,479.65
2015-02-03,481,501,475.6,500,39500,497.62
2015-02-04,491,502.5,485.5,488.85,7900,486.52
2015-02-05,486.1,494.4,455.6,470.45,13400,468.21
2015-02-06,465,469.85,446.6,453.35,14600,451.19
2015-02-09,449,453,427.25,431.1,13100,429.04
2015-02-10,444.05,457,439.9,444.35,7100,442.23
2015-02-11,447,465,447,460.65,3000,458.45
2015-02-12,456,466.7,452,458.4,9800,456.21
2015-02-13,462,491.55,452.1,468.7,15000,466.47
2015-02-16,475,482.95,465.55,474.1,19600,471.84
2015-02-17,474.1,474.1,474.1,474.1,0,471.84
2015-02-18,469,487.9,465.05,467.4,8700,465.17
2015-02-19,473,476,455.1,463.6,6800,461.39
2015-02-20,472.7,472.9,461.5,466.75,8200,464.53
2015-02-23,474.9,474.9,449,458.75,14500,456.56
2015-02-24,455.25,469.8,455.25,467.1,16600,464.87
2015-02-25,460.1,501.4,459,479.5,148400,477.21
2015-02-26,483.9,489,470,471.65,13900,469.4
2015-02-27,479.05,488,472.05,476.55,27100,474.28
2015-03-02,470.2,489,470.2,479.7,51700,477.41
2015-03-03,482.5,489.7,474.05,482.4,22800,480.1
2015-03-04,482.95,485,468,470.7,59700,468.46
2015-03-05,471.1,475,460.1,471.9,12000,469.65
2015-03-06,471.9,471.9,471.9,471.9,0,469.65
2015-03-09,465.05,466,453.55,457.2,28900,455.02
2015-03-10,456,465,451,462.65,7600,460.44
2015-03-11,455.1,459.8,442,451.85,11000,449.7
2015-03-12,454.3,461.45,445.3,451.6,4700,449.45
2015-03-13,450,468.95,430,435,8900,432.93
2015-03-16,448.95,448.95,431,438.25,5500,436.16
2015-03-17,441.9,450.35,440,444.25,5800,442.13
2015-03-18,436,450,436,440.2,1600,438.1
2015-03-19,442,447,426,429.75,8500,427.7
2015-03-20,430,434.9,423.5,430.1,6500,428.05
2015-03-23,421.5,437.9,415.1,430.3,4600,428.25
2015-03-24,426,440,415,431,8400,428.95
2015-03-25,425,434.95,414,417.75,6200,415.76
2015-03-26,425.85,425.9,412.1,414.6,7100,412.62
2015-03-27,425,425,412,416.1,11200,414.12
2015-03-30,410.1,428.9,398.15,415.55,8000,413.57
2015-03-31,423,434.95,420,424.65,10000,422.63
2015-04-01,428.15,439.9,422.5,432.65,9700,430.59
2015-04-02,432.65,432.65,432.65,432.65,0,430.59
2015-04-03,432.65,432.65,432.65,432.65,0,430.59
2015-04-06,433.9,444,427.1,434.65,10600,432.58
2015-04-07,438.8,438.8,429,431.65,6200,429.59
2015-04-08,465,465,441.5,453.35,29400,451.19
2015-04-09,458.4,458.7,450,452.6,11100,450.44
2015-04-10,457.5,483.8,450.6,471.4,74800,469.15
2015-04-13,470.1,478.1,459,463.7,15300,461.49
2015-04-14,463.7,463.7,463.7,463.7,0,461.49
2015-04-15,477.4,477.9,467.5,470.6,155200,468.36
2015-04-16,466,475.4,456.1,459.95,21600,457.76
2015-04-17,459.95,465.9,442.6,446.45,8400,444.32
2015-04-20,455,469.9,417.45,461.8,55900,459.6
2015-04-21,457,473,450.25,471.15,25200,468.9
2015-04-22,465,475,456,468.5,6100,466.27
2015-04-23,468.5,475,467.05,471.5,130700,469.25
2015-04-24,469,469,450.55,456.7,3200,454.52
2015-04-27,451.55,451.55,423.05,428.9,13200,426.86
2015-04-28,447.55,455,427.05,450.05,6400,447.9
2015-04-29,445,453.5,430.55,437.7,55200,435.61
2015-04-30,437.55,448,431,439.9,3700,437.8
2015-05-01,439.9,439.9,439.9,439.9,0,437.8
2015-05-04,447.4,460,447,454.85,159400,452.68
2015-05-05,452.5,460,452.5,456.45,22000,454.27
2015-05-06,450.1,464,433,436.45,6400,434.37
2015-05-07,431.05,441.25,418,422.6,10000,420.59
2015-05-08,444.95,450,430,443.85,8800,441.73
2015-05-11,438,455,435.1,451.95,15600,449.8
2015-05-12,450.95,451.4,428.2,430.2,6400,428.15
2015-05-13,446.95,477.85,436.35,473.2,42000,470.94
2015-05-14,488,498,470.1,491.55,171300,489.21
2015-05-15,499.7,514,489,504.35,52000,501.95
2015-05-18,504.25,516,496.45,511.9,20400,509.46
2015-05-19,511.95,520,505.5,515.25,20100,512.79
2015-05-20,512.95,529.5,512.95,527.3,20100,524.79
2015-05-21,529,540,528.95,535.5,32500,532.95
2015-05-22,539.95,554,539,551.2,28400,548.57
2015-05-25,551.15,575,551.15,560.9,21300,558.23
2015-05-26,568.35,587.4,552.05,583.05,32400,580.27
2015-05-27,578.35,624.4,565,610.25,74200,607.34
2015-05-28,614.95,621.95,575,581.35,24600,578.58
2015-05-29,585,620,584.95,606.9,269200,604.01
2015-06-01,609.9,646,608.85,633.3,856300,630.28
2015-06-02,644.7,650,596.65,602.25,246800,599.38
2015-06-03,606.7,613.15,573,578.75,38800,575.99
2015-06-04,588.95,588.95,565,578.15,13600,575.39
2015-06-05,573.65,579.7,560.1,571,23600,568.28
2015-06-08,570,574.65,535.55,541,20000,538.42
2015-06-09,547,600,539.4,577.7,92200,574.95
2015-06-10,583,610.55,582.95,600.05,169300,597.19
2015-06-11,610.35,624,582.1,587.25,54300,584.45
2015-06-12,583,604.75,580.1,586.45,14500,583.65
2015-06-15,572.55,593.2,572.55,580.05,12800,577.28
2015-06-16,584.05,590.05,575,587.55,6900,584.75
2015-06-17,587.65,604.9,584.1,600.5,16200,597.64
2015-06-18,604.9,608,598,601.75,11600,598.88
2015-06-19,609.35,617.05,595,600.7,10400,597.84
2015-06-22,606.75,624,605.55,617.4,41100,614.46
2015-06-23,624,624,606,613.25,39500,610.33
2015-06-24,613.05,620.2,601,619.3,29100,616.35
2015-06-25,611.4,614,578.05,583.8,41500,581.02
2015-06-26,588.7,611.7,580,582.55,89600,579.77
2015-06-29,574.7,596,562,590.3,19000,587.49
2015-06-30,592.75,600,582.5,587.15,12700,584.35
2015-07-01,598,611,590,601.3,26100,598.43
2015-07-02,604.05,606.15,584,588.85,15800,586.04
2015-07-03,589.9,602.8,586.9,591.2,22600,588.38
2015-07-06,596.35,599.45,575,582.65,56400,579.87
2015-07-07,594.25,595.05,585.9,592.3,22100,589.48
2015-07-08,590.75,599,576,583.85,14800,581.07
2015-07-09,580.2,592.95,580.15,590.15,14200,587.34
2015-07-10,590.75,598.5,580,581.65,4700,578.88
2015-07-13,593.2,595,582.5,588.7,11400,585.89
2015-07-14,599.95,615,585,601.25,48000,598.38
2015-07-15,608.85,614,598.25,608.35,104800,605.45
2015-07-16,613.95,627.7,606.05,614.75,67100,611.82
2015-07-17,617.55,617.55,603,605.65,24900,602.76
2015-07-20,612.65,612.7,595.1,598.1,11200,595.25
2015-07-21,599.75,608,589.3,595.15,31600,592.31
2015-07-22,602.5,602.5,582.55,589.85,5600,587.04
2015-07-23,592.5,610,592.5,594.25,18600,591.42
2015-07-24,595.15,623.05,588,616.5,30400,613.56
2015-07-27,610,629,610,620.85,23800,617.89
2015-07-28,631.9,647.5,623,639,67000,635.95
2015-07-29,671.9,725.05,669.8,711.45,370200,708.06
2015-07-30,716.95,725,701,709.65,50800,706.27
2015-07-31,709,722.3,690,711.95,90300,708.56
2015-08-03,710,732.9,709.05,716.25,28400,712.84
2015-08-04,721,723.9,702,707.5,14300,704.13
2015-08-05,712,727,710,715.5,15800,712.09
2015-08-06,717.35,717.35,695.55,704.35,48200,700.99
2015-08-07,706.9,718,705,710.15,13800,706.76
2015-08-10,701.55,714.7,700,703.65,15400,700.3
2015-08-11,695.8,709,687.4,691.15,29200,687.86
2015-08-12,699,700,652.5,669.8,15200,666.61
2015-08-13,673.95,733,645.35,652.55,19600,649.44
2015-08-14,659,675.15,641.85,651.25,83800,648.15
2015-08-17,681,681,650.05,665.4,19800,662.23
2015-08-18,668.95,691.5,660,665.55,53700,662.38
2015-08-19,665.05,681,660,671.05,37700,667.85
2015-08-20,665.5,691,662.95,680.05,84700,676.81
2015-08-21,674.95,675,650,669.9,13500,666.71
2015-08-24,601.6,663.25,589,620.3,30000,617.34
2015-08-25,631.35,651.45,604.95,629.7,28700,626.7
2015-08-26,628.95,640.85,625.95,630,15700,627
2015-08-27,645.45,653.45,635,641.5,126000,638.44
2015-08-28,648.25,697.7,648.25,676.95,29000,673.72
2015-08-31,679.85,705,635,689.3,50500,686.01
2015-09-01,694,695,671.55,683.95,64000,680.69
2015-09-02,685,690,652.2,661,10100,657.85
2015-09-03,668,683.45,666.5,678.1,14000,674.87
2015-09-04,677.85,680,630,632.25,37400,629.24
2015-09-07,650,656.6,630,639.4,29200,636.35
2015-09-08,645,653.1,628,644.65,9900,641.58
2015-09-09,659.75,663.6,640,649.75,7200,646.65
2015-09-10,630.5,663.45,630.5,657.1,12300,653.97
2015-09-11,654.25,665,643.7,648.35,4800,645.26
2015-09-14,649.9,667.1,649.9,660.25,9900,657.1
2015-09-15,662.35,679,655.2,664,7700,660.83
2015-09-16,665.05,683.05,660.1,663,6200,659.84
2015-09-17,663,663,663,663,0,659.84
2015-09-18,665.95,674.85,656.55,660.25,4800,657.1
2015-09-21,654.3,672.8,650,664.2,5800,661.03
2015-09-22,660.15,683,650,655.3,8200,653.65
2015-09-23,668,668,648.9,654.95,13000,653.3
2015-09-24,642.7,664.25,642.65,646.75,24400,645.12
2015-09-25,646.75,646.75,646.75,646.75,0,645.12
2015-09-28,649,660,640.5,647.25,14200,645.62
2015-09-29,646.05,656,639.95,648.9,12300,647.27
2015-09-30,645.05,659.95,642.1,649.9,7500,648.27
2015-10-01,654.95,662.65,642.5,649.65,26900,648.02
2015-10-02,649.65,649.65,649.65,649.65,0,648.02
2015-10-05,652,676,652,657,28200,655.35
2015-10-06,660,694,659.9,688.7,42500,686.97
2015-10-07,692,699.95,682.45,685.4,11300,683.68
2015-10-08,685,700,681.45,691.45,7100,689.71
2015-10-09,709.85,709.9,682,683.35,3700,681.63
2015-10-12,695.05,704.75,674.1,680.85,13400,679.14
2015-10-13,694.95,700,680.5,695.4,13000,693.65
2015-10-14,696,700,688.35,690.85,10800,689.11
2015-10-15,695.05,700,691.1,692.1,8000,690.36
2015-10-16,691.15,700,690.05,697.8,10500,696.05
2015-10-19,695,708,690.05,701.1,149200,699.34
2015-10-20,700.15,721,700,715.4,98100,713.6
2015-10-21,719.9,724,710.25,715,6600,713.2
2015-10-22,715,715,715,715,0,713.2
