"Date","DCBBANK.NS.Open","DCBBANK.NS.High","DCBBANK.NS.Low","DCBBANK.NS.Close","DCBBANK.NS.Volume","DCBBANK.NS.Adjusted"
2015-01-01,121.4,125,121.1,124,1442400,124
2015-01-02,124.9,125.8,124,124.3,1539500,124.3
2015-01-05,124.45,124.75,121.3,122.35,1011400,122.35
2015-01-06,121.6,121.6,118.1,118.6,1288100,118.6
2015-01-07,118.05,119.5,114.15,118.15,1174500,118.15
2015-01-08,119.4,123.4,119.15,121,1203900,121
2015-01-09,122.05,123.2,120,121.1,1068900,121.1
2015-01-12,121.2,124.8,121,123.6,1704400,123.6
2015-01-13,124.7,127,119.15,123,6129900,123
2015-01-14,123,124.45,116.4,117.45,2285800,117.45
2015-01-15,122,122.5,118.55,119.1,2258400,119.1
2015-01-16,120.7,122,118.3,118.8,1910300,118.8
2015-01-19,119.4,120.45,118.1,118.45,1053900,118.45
2015-01-20,119,119.9,117.8,118.15,975000,118.15
2015-01-21,118.15,119.4,116.25,117.15,901600,117.15
2015-01-22,117.8,118,115.05,115.4,840500,115.4
2015-01-23,116.5,117.8,113.85,115.45,1433900,115.45
2015-01-26,115.45,115.45,115.45,115.45,0,115.45
2015-01-27,118,124.5,117.65,123.55,3929300,123.55
2015-01-28,123,124.15,119.4,119.9,2338100,119.9
2015-01-29,119.1,122.9,118.5,120.55,1267000,120.55
2015-01-30,121.05,121.5,117,118.1,1101200,118.1
2015-02-02,117.7,122,116.95,121.3,1017900,121.3
2015-02-03,123,123.7,119.2,119.9,1349200,119.9
2015-02-04,120.2,120.5,117.7,118.45,615000,118.45
2015-02-05,118.45,118.6,116.45,117.1,689500,117.1
2015-02-06,116.9,116.9,113.15,113.75,725800,113.75
2015-02-09,112.3,112.5,108.1,109.05,1002600,109.05
2015-02-10,108,113.35,105.2,108.75,1968700,108.75
2015-02-11,109.15,115,109.15,114,1442200,114
2015-02-12,114.7,115.8,113.45,115.05,825000,115.05
2015-02-13,115.25,116.2,114.35,115.05,749200,115.05
2015-02-16,115.05,116.2,112.55,113.15,905400,113.15
2015-02-17,113.15,113.15,113.15,113.15,0,113.15
2015-02-18,114.2,114.9,112.7,113.3,1042300,113.3
2015-02-19,114.35,114.35,111.15,112.4,634600,112.4
2015-02-20,112.2,114.55,111.7,112.5,611100,112.5
2015-02-23,112.95,115.1,112,112.4,606800,112.4
2015-02-24,112.4,112.8,108.45,109.25,820800,109.25
2015-02-25,109.5,110.95,108.05,108.4,519600,108.4
2015-02-26,108.4,108.5,105,105.7,907900,105.7
2015-02-27,106.25,109.25,106.25,108.85,723600,108.85
2015-03-02,115.5,116.4,112.5,112.95,1358700,112.95
2015-03-03,113,116,112.6,114.15,1053100,114.15
2015-03-04,117.1,118,110.15,110.8,1751800,110.8
2015-03-05,110.8,113.2,109.45,112.5,746000,112.5
2015-03-06,112.5,112.5,112.5,112.5,0,112.5
2015-03-09,109.8,110.7,108.5,109.3,572400,109.3
2015-03-10,109.3,110.7,107.7,108.95,558800,108.95
2015-03-11,108.9,109.3,107.5,108.15,714300,108.15
2015-03-12,108.5,111.1,108.5,110.55,933400,110.55
2015-03-13,111.4,111.9,109.15,109.8,821700,109.8
2015-03-16,109.7,109.7,105.7,106.25,830800,106.25
2015-03-17,108.2,109.4,107,109,892300,109
2015-03-18,109.8,112.95,109.3,111.65,1224900,111.65
2015-03-19,113,113.6,109.65,110.05,905800,110.05
2015-03-20,110.05,110.6,107.15,108.85,913000,108.85
2015-03-23,108.55,109,105.85,106.7,674700,106.7
2015-03-24,106.2,107,104.15,106.15,593600,106.15
2015-03-25,108.15,109,104,104.9,1022800,104.9
2015-03-26,103.55,104.15,101.4,101.95,846300,101.95
2015-03-27,103.35,108.3,102.2,107.4,1294400,107.4
2015-03-30,108.8,115,108.2,113.85,1398100,113.85
2015-03-31,114.85,114.85,110.05,110.95,872500,110.95
2015-04-01,110.95,114.95,110.15,114.45,935800,114.45
2015-04-02,114.45,114.45,114.45,114.45,0,114.45
2015-04-03,114.45,114.45,114.45,114.45,0,114.45
2015-04-06,115,116.7,112.5,113.6,789400,113.6
2015-04-07,113.7,116,112,113.75,904700,113.75
2015-04-08,114.75,116.5,113.9,116.05,1105600,116.05
2015-04-09,116.5,116.9,114.1,115.1,1134800,115.1
2015-04-10,114.7,115.7,114.15,114.6,689300,114.6
2015-04-13,115.3,115.7,114.05,114.95,2322900,114.95
2015-04-14,114.95,114.95,114.95,114.95,0,114.95
2015-04-15,122,126,118.6,119.65,11673800,119.65
2015-04-16,120,121.95,119.55,120.1,2325100,120.1
2015-04-17,120.5,121,117.2,118.55,1536100,118.55
2015-04-20,118.8,121.9,114.2,117.25,2210000,117.25
2015-04-21,117.2,121.4,116.65,120.45,2364500,120.45
2015-04-22,120.5,121.4,114.3,120.7,1672000,120.7
2015-04-23,121,122,118.5,119.6,909000,119.6
2015-04-24,119.7,119.95,117,117.5,725900,117.5
