"Date","DHFL.NS.Open","DHFL.NS.High","DHFL.NS.Low","DHFL.NS.Close","DHFL.NS.Volume","DHFL.NS.Adjusted"
2015-01-01,393.65,415.7,393.4,412.95,2179600,194.259
2015-01-02,412.95,428,402.1,418.1,6562500,196.682
2015-01-05,419.2,442,415,435.95,5787700,205.079
2015-01-06,431.8,432.9,403.4,405.55,4019600,190.778
2015-01-07,409,418,403,415.25,2742100,195.341
2015-01-08,420.5,426.4,418.3,420.55,2143500,197.834
2015-01-09,424.4,432.9,421,426.55,2524400,200.657
2015-01-12,427.5,443.65,421.45,437.3,3790700,205.714
2015-01-13,439.9,445.85,426.1,432.85,3861700,203.621
2015-01-14,433.55,455.2,433.55,447.95,4968600,210.724
2015-01-15,458.9,486.7,452,476.45,6311800,224.131
2015-01-16,476.35,492.45,473.4,487.6,7355900,229.376
2015-01-19,491,502,487.7,493.5,5642600,232.151
2015-01-20,494.9,499.5,478.25,480.4,2104500,225.989
2015-01-21,483,488.25,472,482.05,3008900,226.765
2015-01-22,486.9,488.75,479.3,484.05,1831800,227.706
2015-01-23,487.5,498,482,483.65,1630800,227.518
2015-01-26,483.65,483.65,483.65,483.65,0,227.518
2015-01-27,486.4,490,481,486.3,1672200,228.764
2015-01-28,481.35,494.9,470.55,472.8,2408000,222.414
2015-01-29,474,490.45,472.85,477.6,2013200,224.672
2015-01-30,481.7,484.65,468.5,470.75,1625200,221.449
2015-02-02,474.9,489,471.5,481,2035000,226.271
2015-02-03,483,511.7,483,507.8,5986600,238.878
2015-02-04,513.9,518,496.6,498.45,1763600,234.48
2015-02-05,499,506.3,493.15,496.95,1112300,233.774
2015-02-06,499.2,501.2,472.6,475.3,1109400,223.59
2015-02-09,470,480.2,462.25,466.3,936700,219.356
2015-02-10,463,490.9,463,488.6,1466900,229.846
2015-02-11,492.9,498.1,488,495.1,1140400,232.904
2015-02-12,497,498.7,490.35,492.7,497300,231.775
2015-02-13,495,508,488,505,1534500,237.561
2015-02-16,507.3,518.8,499.25,504.65,1518500,237.397
2015-02-17,504.65,504.65,504.65,504.65,0,237.397
2015-02-18,506,510.5,494,497.6,1011200,234.08
2015-02-19,501,503,482.1,488.6,912500,229.846
2015-02-20,488.6,498.4,488.3,493.55,1158000,232.175
2015-02-23,497.3,503,493.5,495.7,830100,233.186
2015-02-24,499.9,505.95,498.1,503.35,1559600,236.785
2015-02-25,500.95,503.95,486,490,2553000,230.505
2015-02-26,493.95,501.05,489,498.85,1354400,234.668
2015-02-27,500,512,495.65,509.8,1962700,239.819
2015-03-02,500,519,494,516.65,1681800,243.042
2015-03-03,518.4,524.95,510,523.4,1134100,246.217
2015-03-04,528,569.2,527.1,554.75,4643400,260.965
2015-03-05,555.4,564.4,539,560.6,1701300,263.716
2015-03-06,560.6,560.6,560.6,560.6,0,263.716
2015-03-09,559.2,563,532,536.15,1027800,252.215
2015-03-10,538.6,547.9,515.2,518.45,945500,243.888
2015-03-11,517.4,517.4,495.05,497.8,1734100,234.174
2015-03-12,502.25,502.25,492.2,495.75,1289400,233.21
2015-03-13,500.9,502.9,480,481.9,1141100,226.695
2015-03-16,483.8,487.7,475.9,482.4,751300,226.93
2015-03-17,487,497.8,480,482.7,1284300,227.071
2015-03-18,484.75,487.45,475.1,476.25,862800,224.037
2015-03-19,481.5,489.9,478.15,479.3,1036100,225.471
2015-03-20,481.5,484.8,469,475.4,1248000,223.637
2015-03-23,477,481.3,471.1,475.1,599200,223.496
2015-03-24,475,483.75,474,478.1,371100,224.907
2015-03-25,480,481.95,466,469.15,616000,220.697
2015-03-26,468,469.15,459.05,465.25,403600,218.862
2015-03-27,465.55,473.95,446,459.55,890500,216.181
2015-03-30,467,475,459.3,464.25,934300,218.392
2015-03-31,469.9,472,461.85,467.65,738500,219.991
2015-04-01,468.9,474.9,461.6,467.85,897100,220.085
2015-04-02,467.85,467.85,467.85,467.85,0,220.085
2015-04-03,467.85,467.85,467.85,467.85,0,220.085
2015-04-06,474,477.6,465.65,467.15,1098500,219.756
2015-04-07,472,473,459,461.95,1836500,217.31
2015-04-08,468.4,469,452.55,453.7,1868600,213.429
2015-04-09,457.05,478.2,446.05,472.55,5075600,222.296
2015-04-10,476.5,481.1,465,468.45,2015500,220.367
2015-04-13,470.75,478.8,468.1,474.2,1093900,223.072
2015-04-14,474.2,474.2,474.2,474.2,0,223.072
2015-04-15,476,487.45,472.25,476.85,2334200,224.319
2015-04-16,478.2,482,460,467.5,1644600,219.921
2015-04-17,466.9,467.05,451.25,452.75,861700,212.982
2015-04-20,454,456.75,440.1,442.05,910600,207.948
2015-04-21,441.95,450.9,430.25,434.85,981100,204.561
2015-04-22,437.7,444.7,433.3,442.05,792400,207.948
2015-04-23,443.5,462.95,443.5,457.25,1231000,215.099
2015-04-24,461.15,464.6,446,447.75,970500,210.63
2015-04-27,449,449.8,422,430.2,1363500,202.374
2015-04-28,425.1,461,425.1,457.85,1703500,215.381
2015-04-29,465.95,469.8,452,462.5,2318800,217.568
2015-04-30,460,460,445,446.45,1269100,210.018
2015-05-01,446.45,446.45,446.45,446.45,0,210.018
2015-05-04,448.4,452.7,446.5,450.3,420500,211.829
2015-05-05,451.85,452.5,444.4,446.75,1262500,210.159
2015-05-06,453.9,459.2,430.15,436.6,1950400,205.385
2015-05-07,434.5,434.5,418,419.05,1741900,197.129
2015-05-08,426.95,440.75,425,427.35,1463400,201.033
2015-05-11,431,436,427.45,430.15,693800,202.35
2015-05-12,433,437.35,428.45,430.95,1352800,202.727
2015-05-13,438,438,425.1,430.7,1985800,202.609
2015-05-14,433,433,427.1,430.2,974900,202.374
2015-05-15,432,438,429.25,430.55,516200,202.539
2015-05-18,432.1,433.7,427,430.85,545000,202.68
2015-05-19,431.9,437.3,427,428.55,746200,201.598
2015-05-20,430.45,433.9,427,428.05,489900,201.363
2015-05-21,431,431,424.8,429.65,386800,202.115
2015-05-22,430.9,437,420,429.8,14070500,202.186
2015-05-25,431.35,431.45,425.5,426.65,983600,200.704
2015-05-26,428,433.9,426,428.35,694400,201.504
2015-05-27,424.2,430.7,423.2,428.85,544400,201.739
2015-05-28,429.1,444,428.05,437.5,2012100,205.808
2015-05-29,439.6,447.95,433,441.65,2746900,207.76
2015-06-01,442.7,450,440.05,443.3,1166100,208.536
2015-06-02,445.4,445.9,417,418.9,1459100,197.058
2015-06-03,419.7,419.7,361,406.5,3011300,191.225
2015-06-04,405.5,409.5,393.4,406.2,1170800,191.084
2015-06-05,403,417.8,400,408.15,973900,192.001
2015-06-08,413,413,393.15,394.9,588700,185.768
2015-06-09,391.8,395,383.5,392.35,674100,184.569
2015-06-10,392.1,401.2,390.3,394.4,882900,185.533
2015-06-11,397.8,402.15,382.75,388.2,582800,182.616
2015-06-12,382.1,390.9,382.1,386.9,424400,182.005
2015-06-15,389.6,394.7,384,388.9,380000,182.946
2015-06-16,387.1,396.7,384.85,394.55,1955600,185.604
2015-06-17,403,420.85,402,414.7,1954800,195.082
2015-06-18,417.85,431,417,425.1,1818200,199.975
2015-06-19,427.7,434.7,421.3,426.75,1315000,200.751
2015-06-22,429.7,439.9,427.5,436.55,1187500,205.361
2015-06-23,437.9,441.15,430.5,432.4,852300,203.409
2015-06-24,433,436.8,422.25,425.85,703500,200.328
2015-06-25,427,439.5,425.25,436.65,2641000,205.408
2015-06-26,437.9,449,431.25,436.3,1992700,205.243
2015-06-29,415.55,424,408.2,418.8,2099600,197.011
2015-06-30,421,424.15,414.95,420.95,1024200,198.023
2015-07-01,421.55,430.9,421.5,427.95,907000,201.316
2015-07-02,430.5,439.9,421.25,423.15,1860900,199.057
2015-07-03,425,431.5,416.55,419.65,1629000,197.411
2015-07-06,409.45,420.45,408.05,416.5,1544700,195.929
2015-07-07,418.1,434.9,418.1,429.45,2246800,202.021
2015-07-08,424.1,430.2,415.2,421.4,1588200,198.234
2015-07-09,424,438,420.5,435.3,1493500,204.773
2015-07-10,436.4,442.95,436.4,438.25,1171500,206.161
2015-07-13,439.5,456.9,433.5,454.9,1753100,213.993
2015-07-14,460,462.7,455,456.05,1403100,214.534
2015-07-15,456.1,459.45,444,447.8,862300,212.517
2015-07-16,450,457.55,450,453.2,1238400,215.08
2015-07-17,453.8,457.7,450,452.4,1005300,214.7
2015-07-20,454,463.9,450.05,460,1498900,218.307
2015-07-21,462,469.9,449.1,453.55,1470200,215.246
2015-07-22,452.55,475,452.55,473,2424600,224.477
2015-07-23,478.5,493,468.35,482.35,11104900,228.914
2015-07-24,487.6,504.5,486.05,498.3,4756300,236.484
2015-07-27,497.7,500.1,486,490.4,3499300,232.734
2015-07-28,490,491.9,467.55,475.2,4305800,225.521
2015-07-29,475.15,486.4,475.05,482.3,3156800,228.89
