"Date","DISHTV.NS.Open","DISHTV.NS.High","DISHTV.NS.Low","DISHTV.NS.Close","DISHTV.NS.Volume","DISHTV.NS.Adjusted"
2015-01-01,67.5,68.75,66.1,67.7,1145200,67.7
2015-01-02,67.6,68.25,67.05,67.45,1084200,67.45
2015-01-05,67.45,68.3,66.3,66.55,1813300,66.55
2015-01-06,66.5,68.5,65.1,65.65,5331700,65.65
2015-01-07,66,67.65,64.7,66.65,2158400,66.65
2015-01-08,67.4,70.15,67.1,68.6,10319400,68.6
2015-01-09,70.4,71.3,66.25,67.55,9298600,67.55
2015-01-12,67.45,69,66.45,68.65,2736300,68.65
2015-01-13,68.65,68.9,66.15,67.4,1601300,67.4
2015-01-14,67.4,68.45,66.4,68.05,8979500,68.05
2015-01-15,68.6,70,67.8,68.65,2572600,68.65
2015-01-16,68.5,69.7,67.8,68.65,2967100,68.65
2015-01-19,68.2,69.2,68.1,68.5,2320300,68.5
2015-01-20,69.1,71.9,69.1,69.75,11903700,69.75
2015-01-21,70.35,71.8,68.5,71.15,6713100,71.15
2015-01-22,71.45,75.1,70.9,74.45,18056000,74.45
2015-01-23,76,81.25,75.9,79.4,17521100,79.4
2015-01-26,79.4,79.4,79.4,79.4,0,79.4
2015-01-27,79.9,82,77.9,78.95,6169200,78.95
2015-01-28,78.4,81,78.15,79.8,4111500,79.8
2015-01-29,79.75,81.4,79.1,80.85,5472800,80.85
2015-01-30,81.05,81.2,78.4,79.35,2885700,79.35
2015-02-02,79,81,78.4,80.45,4221000,80.45
2015-02-03,81.5,83.75,81,82.05,6414400,82.05
2015-02-04,82.5,82.5,79.6,80.3,3363200,80.3
2015-02-05,80.4,82,76.25,77.85,2949200,77.85
2015-02-06,78,80,74.5,78.15,9234100,78.15
2015-02-09,77.5,78.15,75.7,76.95,4433700,76.95
2015-02-10,76,79.9,75.8,78.4,2992500,78.4
2015-02-11,78.6,79.9,77.9,79.35,2039000,79.35
2015-02-12,79.95,80.35,78.45,79.55,1516600,79.55
2015-02-13,79.9,82.4,79.3,81.95,5453900,81.95
2015-02-16,81.9,82.35,80.5,81.15,2057000,81.15
2015-02-17,81.15,81.15,81.15,81.15,0,81.15
2015-02-18,80.95,81.15,78.55,79.75,1973000,79.75
2015-02-19,80.15,80.55,78.6,79.45,1594700,79.45
2015-02-20,79.4,80.25,77.25,77.85,3281100,77.85
2015-02-23,78,78.55,76.4,76.85,1907400,76.85
2015-02-24,77,80.25,76.65,79.75,5852200,79.75
2015-02-25,80.1,81.1,79.2,80.55,4304500,80.55
2015-02-26,80.75,81.9,77.85,78.65,7364900,78.65
2015-02-27,79.1,83.45,79,82.85,5243500,82.85
2015-03-02,85,86,83.65,85.8,5177700,85.8
2015-03-03,85.8,88.4,85.1,87.35,5480400,87.35
2015-03-04,87.85,87.85,82.9,83.5,2724500,83.5
2015-03-05,83.5,84.1,81.4,82.55,3001600,82.55
2015-03-06,82.55,82.55,82.55,82.55,0,82.55
2015-03-09,82,83.75,80.8,82.35,1641400,82.35
2015-03-10,83.4,85.35,82.25,83.1,2648100,83.1
2015-03-11,83.2,84.75,82.4,84.05,2748300,84.05
2015-03-12,84.75,86,84.5,84.9,2281800,84.9
2015-03-13,85.7,86.25,83.5,84.1,4341500,84.1
2015-03-16,83.9,84.1,81.7,82.25,1285200,82.25
2015-03-17,82.3,83.25,80.4,81.05,7076000,81.05
2015-03-18,81.3,82.3,80.5,80.85,2948200,80.85
2015-03-19,81.6,82.2,78.4,79.35,4057000,79.35
2015-03-20,79.5,79.65,76.6,77.35,2428700,77.35
2015-03-23,77,78.55,76.65,77.9,1674800,77.9
2015-03-24,78,78.65,76.95,78,1929000,78
2015-03-25,77.65,78.75,77.55,78.25,2546900,78.25
2015-03-26,78.25,80,77.8,78.75,4172000,78.75
2015-03-27,79.1,81.5,77.85,80.4,2282000,80.4
2015-03-30,80.9,82,80.85,81.6,1340600,81.6
2015-03-31,82.5,82.5,80.6,81.95,2004800,81.95
2015-04-01,82.2,84.85,81.35,84.15,5845800,84.15
2015-04-02,84.15,84.15,84.15,84.15,0,84.15
2015-04-03,84.15,84.15,84.15,84.15,0,84.15
2015-04-06,84.85,86.5,82.8,86,5373200,86
2015-04-07,85.85,89,85.35,87.9,4883800,87.9
2015-04-08,87.9,89,85.4,86,2675500,86
