"Date","DIVISLAB.NS.Open","DIVISLAB.NS.High","DIVISLAB.NS.Low","DIVISLAB.NS.Close","DIVISLAB.NS.Volume","DIVISLAB.NS.Adjusted"
2015-01-01,1734.8,1753,1724.5,1745.45,186900,846.4784
2015-01-02,1754,1769.5,1746,1752.9,204100,850.0914
2015-01-05,1752.75,1765.65,1732.5,1742.35,121500,844.9751
2015-01-06,1730,1730,1667,1674.15,682800,811.9006
2015-01-07,1676.2,1699.15,1635,1649.65,415900,800.019
2015-01-08,1660,1679.9,1650,1653.05,124800,801.6679
2015-01-09,1660,1718.85,1660,1702.25,152100,825.5281
2015-01-12,1713,1725.75,1681,1706.3,194800,827.4922
2015-01-13,1705,1729.9,1705,1723.9,112500,836.0275
2015-01-14,1720,1740,1697.05,1705.3,256100,827.0072
2015-01-15,1710.65,1728.25,1690.05,1695.6,188700,822.303
2015-01-16,1702,1719.4,1701,1712.15,233200,830.3292
2015-01-19,1721,1728,1705.4,1712.15,188100,830.3292
2015-01-20,1724.95,1724.95,1690.4,1694.55,196700,821.7939
2015-01-21,1704,1705.05,1672.8,1679.25,225200,814.3739
2015-01-22,1681,1688.1,1646.45,1656,491200,803.0985
2015-01-23,1661,1684.9,1661,1678.45,284400,813.9859
2015-01-26,1678.45,1678.45,1678.45,1678.45,0,813.9859
2015-01-27,1678.7,1700,1665.55,1688.5,550300,818.8598
2015-01-28,1694.85,1744,1685.15,1739.15,565200,843.4232
2015-01-29,1752.5,1780,1732.9,1768.3,519300,857.5599
2015-01-30,1774,1790,1710.3,1742.35,555500,844.9751
2015-02-02,1720,1738,1658,1689.8,1081200,819.4903
2015-02-03,1690,1703.3,1654.2,1659.9,226600,804.9899
2015-02-04,1660.9,1686,1625.15,1636.05,258700,793.4235
2015-02-05,1634.9,1635,1610,1622,390600,786.6098
2015-02-06,1624,1627,1590,1604.45,267000,778.0987
2015-02-09,1580.35,1625.2,1572,1618.4,181200,784.8639
2015-02-10,1624.4,1652.65,1604.8,1631.45,338900,791.1927
2015-02-11,1635,1660,1622.45,1638.55,119400,794.636
2015-02-12,1642,1652.1,1630.3,1644.3,125900,797.4245
2015-02-13,1650,1674.8,1645,1653,382900,801.6436
2015-02-16,1671,1671,1626,1640.75,182500,795.7028
2015-02-17,1640.75,1640.75,1640.75,1640.75,0,795.7028
2015-02-18,1638,1670,1624.6,1664.7,182900,807.3177
2015-02-19,1675,1683,1657,1666.6,218100,808.2391
2015-02-20,1672,1699,1662.65,1692.05,165900,820.5815
2015-02-23,1696,1698.9,1676.9,1685.2,593000,817.2594
2015-02-24,1690,1699,1677.9,1687.3,189200,818.2779
2015-02-25,1687.3,1762,1664.3,1745.75,890900,846.6239
2015-02-26,1748.5,1749,1701,1720.65,517300,834.4514
2015-02-27,1719.85,1739.1,1695.5,1699.2,303400,824.0489
2015-03-02,1745,1777.1,1715.6,1764.35,324500,855.6442
2015-03-03,1768.7,1795.25,1751.35,1773,754500,859.8392
2015-03-04,1779.7,1792.75,1723.5,1739.45,270100,843.5687
2015-03-05,1745,1810,1738,1772.65,1166700,859.6695
2015-03-06,1772.65,1772.65,1772.65,1772.65,0,859.6695
2015-03-09,1774,1803,1738.05,1762.05,643700,854.5289
2015-03-10,1770,1795.95,1747.3,1763,352000,854.9896
2015-03-11,1770,1798.8,1753.2,1773.5,501900,860.0817
2015-03-12,1778,1805.95,1770.05,1799.45,151100,872.6664
2015-03-13,1820,1829,1767.3,1773.4,275800,860.0332
2015-03-16,1791,1795,1745.55,1780,143200,863.2339
