"Date","DLF.NS.Open","DLF.NS.High","DLF.NS.Low","DLF.NS.Close","DLF.NS.Volume","DLF.NS.Adjusted"
2015-01-01,137,138.15,136,137.4,3057000,133.02
2015-01-02,138.4,140.75,137.1,139.2,4759000,134.77
2015-01-05,136.8,137.5,134.8,135.8,5929500,131.48
2015-01-06,134,135.5,132.25,133.65,6414900,129.39
2015-01-07,133.45,137.5,131.6,134.6,7368500,130.31
2015-01-08,136.8,143.65,135.3,142.75,9062200,138.2
2015-01-09,143.5,144.25,133,137.85,8109500,133.46
2015-01-12,137.6,138.45,135.5,136.5,5247600,132.15
2015-01-13,137.1,137.45,132.3,133.25,7351100,129.01
2015-01-14,132.65,134.95,132.4,133.35,5751100,129.1
2015-01-15,137.9,149.5,136.55,147.8,17725500,143.09
2015-01-16,146.6,151.35,143.05,146.25,13096500,141.59
2015-01-19,146.9,148.6,143.2,145.35,5451300,140.72
2015-01-20,146.2,147.9,143.2,145.65,4747000,141.01
2015-01-21,146,146.9,141.85,143.7,4821600,139.12
2015-01-22,144.4,149.8,143.2,148.6,9019200,143.87
2015-01-23,150.9,157.9,148.85,156.7,14722400,151.71
2015-01-26,156.7,156.7,156.7,156.7,0,151.71
2015-01-27,157.6,159.2,153.8,157.9,8855500,152.87
2015-01-28,155.65,164.1,154.2,163.05,11878400,157.86
2015-01-29,161.2,168.75,161.2,166.65,12112000,161.34
2015-01-30,168.4,175,165.85,169.9,11569700,164.49
2015-02-02,171,174.35,168.1,172.95,7545900,167.44
2015-02-03,173.55,174.4,166.9,170.1,7479300,164.68
2015-02-04,170.7,179.2,165.2,173.35,12756900,167.83
2015-02-05,172.45,174.35,168.2,169.4,6889500,164.01
2015-02-06,168.5,171.75,160,163.45,10514300,158.24
2015-02-09,156.05,163.3,154.25,157.1,8809500,152.1
2015-02-10,151.2,161.15,148,157.55,12490600,152.53
2015-02-11,157.2,160.75,156.15,158.4,7961400,153.36
2015-02-12,159.3,160.95,155.6,158.75,5932700,153.69
2015-02-13,159.6,164.45,153.6,155.2,7459300,150.26
2015-02-16,156.85,158.1,154.4,155.5,7631900,150.55
2015-02-17,155.5,155.5,155.5,155.5,0,150.55
2015-02-18,157,157.35,148.25,149.95,7260300,145.17
2015-02-19,151.9,152.7,146.6,150.25,8145200,145.46
2015-02-20,151.15,154.4,150.3,151.35,6299200,146.53
2015-02-23,151.95,152.05,145.2,146.55,6255000,141.88
2015-02-24,148.15,148.45,145.05,146.65,5363200,141.98
2015-02-25,147.1,150.9,146.55,147.45,6740600,142.75
2015-02-26,147.45,151.65,146.65,150.5,6970500,145.71
2015-02-27,148.25,157.15,147.05,155.95,12535800,150.98
2015-03-02,156.95,160.2,153.4,154.55,6623400,149.63
2015-03-03,155.8,156.9,150.3,151.3,5781500,146.48
2015-03-04,156.25,157.9,151.7,154.1,8764600,149.19
2015-03-05,154.45,155.85,151.55,154.15,5560500,149.24
2015-03-06,154.15,154.15,154.15,154.15,0,149.24
2015-03-09,154,156.45,148.65,151,6088500,146.19
2015-03-10,151.2,151.6,143.7,144.9,8941700,140.29
2015-03-11,145,146.4,139.1,145.05,9714200,140.43
2015-03-12,146.5,149.95,145.05,149.45,5863900,144.69
2015-03-13,152,162.7,145.2,157.4,24833100,152.39
2015-03-16,160.8,165.3,158.7,164.3,15502200,159.07
2015-03-17,165.35,167.4,162.8,165,9395900,159.75
2015-03-18,164,165.95,163,164.5,5060400,159.26
2015-03-19,165.25,167.15,163,163.95,4412100,158.73
2015-03-20,164,164.8,158.55,159.9,5534600,154.81
2015-03-23,160.15,161.35,156,159.35,4464700,154.28
2015-03-24,158,162.25,157.8,160.1,5077900,155
2015-03-25,160.35,165.5,159,165.05,7036900,159.79
2015-03-26,161.55,163.95,157.35,159.3,10373400,154.23
2015-03-27,158.35,158.9,151.2,154.95,6078600,150.02
2015-03-30,155.8,160.05,153.2,159.5,4581100,154.42
2015-03-31,160,160.6,156.15,158.25,4058400,153.21
2015-04-01,157,160.9,156.2,159.7,3098200,154.61
2015-04-02,159.7,159.7,159.7,159.7,0,154.61
2015-04-03,159.7,159.7,159.7,159.7,0,154.61
2015-04-06,159.65,169.25,156.45,167.45,7646500,162.12
2015-04-07,168,168.5,160.95,161.95,7451200,156.79
2015-04-08,163,165.5,157.65,160.9,10558400,155.78
2015-04-09,162.95,163.15,157.2,159.3,5155100,154.23
2015-04-10,159.75,162,157.6,158.4,4803500,153.36
2015-04-13,159.6,161.15,155.85,156.8,4584300,151.81
2015-04-14,156.8,156.8,156.8,156.8,0,151.81
2015-04-15,157.4,158,152.3,153.35,4768600,148.47
