"Date","DRREDDY.NS.Open","DRREDDY.NS.High","DRREDDY.NS.Low","DRREDDY.NS.Close","DRREDDY.NS.Volume","DRREDDY.NS.Adjusted"
2015-01-01,3230,3235,3204,3210.5,75600,3157.7707
2015-01-02,3220,3242.6499,3215,3221.3999,86000,3168.4916
2015-01-05,3221.3999,3221.3999,3141,3148.3999,293700,3096.6906
2015-01-06,3130,3130,3055,3065.55,391300,3015.2015
2015-01-07,3075.1001,3078.05,3010,3039.2,319400,2989.2841
2015-01-08,3060,3094.05,3041,3066.3,278800,3015.9391
2015-01-09,3095,3170,3091.2,3163.8,593600,3111.8378
2015-01-12,3153,3214,3126.6499,3207.25,334200,3154.5741
2015-01-13,3210,3238,3190,3223.3501,490600,3170.4098
2015-01-14,3205,3223.2,3191,3208.25,331300,3155.5577
2015-01-15,3226.6001,3253.95,3203.95,3240.55,443600,3187.3273
2015-01-16,3242,3295,3231.25,3285.8,422000,3231.8341
2015-01-19,3280,3330,3269.7,3323.8999,248600,3269.3082
2015-01-20,3342,3342,3292.3501,3306.2,297700,3251.8989
2015-01-21,3277.5,3348.8999,3252,3335.8501,431100,3281.0621
2015-01-22,3330.1001,3365,3330.1001,3361.25,245700,3306.0448
2015-01-23,3389.75,3389.75,3335,3349.6001,441400,3294.5863
2015-01-26,3349.6001,3349.6001,3349.6001,3349.6001,0,3294.5863
2015-01-27,3324.8501,3324.8501,3195.3501,3212.3999,412300,3159.6394
2015-01-28,3220,3245,3172.1001,3239.05,249700,3185.8519
2015-01-29,3234,3380,3210.3501,3363.3,1401600,3308.0612
2015-01-30,3370,3372.8501,3201,3233.25,632700,3180.1471
2015-02-02,3179.75,3184,3135.1001,3139.1001,386200,3087.5435
2015-02-03,3102,3119,3074.8999,3087.1499,522500,3036.4466
2015-02-04,3105,3126.25,3085,3096.8999,214800,3046.0364
2015-02-05,3088,3095,3061.2,3072.05,422100,3021.5947
2015-02-06,3075,3117,3030,3044.3,244400,2994.3005
2015-02-09,3033,3112.95,3007,3099.1001,352100,3048.2005
2015-02-10,3111.05,3145.5,3075,3130.5,338900,3079.0847
2015-02-11,3140.3,3180.8999,3123.95,3152.3999,232800,3100.6249
2015-02-12,3195,3343.1499,3192.3501,3331.2,457200,3276.4883
2015-02-13,3360,3369,3321,3343.95,211000,3289.0289
2015-02-16,3352,3402.8,3338.1499,3351.25,149900,3296.2091
2015-02-17,3351.25,3351.25,3351.25,3351.25,0,3296.2091
2015-02-18,3317,3376,3312.1001,3354.25,209600,3299.1598
2015-02-19,3347.05,3396.75,3312.7,3382.8999,171600,3327.3392
2015-02-20,3398,3424.95,3371,3403.8999,151400,3347.9942
2015-02-23,3402.2,3424,3362.6001,3389.8,415900,3334.126
2015-02-24,3375,3410,3340.3999,3359.75,216400,3304.5695
2015-02-25,3375,3385.05,3265,3279.3501,405500,3225.4901
2015-02-26,3253,3283,3227,3252.2,497000,3198.7858
2015-02-27,3249,3299,3201,3278.05,433800,3224.2114
2015-03-02,3363,3419.8999,3332.1001,3386.6499,272200,3331.0276
2015-03-03,3409,3482.8,3363.1499,3407.8999,399900,3351.9286
2015-03-04,3407.8999,3468,3370.6001,3390.45,290700,3334.7652
2015-03-05,3388.1001,3449.8999,3388.1001,3441.5,280800,3384.9768
2015-03-06,3441.5,3441.5,3441.5,3441.5,0,3384.9768
2015-03-09,3451.8999,3517,3451.8999,3467.55,234100,3410.599
2015-03-10,3480,3480,3410.75,3437.3,222000,3380.8458
2015-03-11,3458.8501,3531.95,3368.05,3468,309700,3411.0416
2015-03-12,3470,3505,3415.2,3432.8,368200,3376.4197
2015-03-13,3459,3464.1001,3358.5,3376.55,194100,3321.0936
2015-03-16,3390,3398.6001,3300.1499,3313,217800,3258.5873
2015-03-17,3360,3452.75,3351,3437.45,354400,3380.9933
2015-03-18,3444.8999,3453.95,3400,3427.05,170400,3370.7642
2015-03-19,3470,3480,3411.05,3424.7,277900,3368.4527
2015-03-20,3438.2,3465,3371.5,3426.6001,307900,3370.3216
2015-03-23,3430,3469.8501,3428.5,3458.6499,189600,3401.845
2015-03-24,3499,3525,3463,3511.45,522400,3453.7779
2015-03-25,3525,3575,3504,3510.6001,393900,3452.942
2015-03-26,3470,3492.05,3351.5,3445.7,537300,3389.1078
2015-03-27,3434.8999,3434.8999,3360.2,3415.3999,243900,3359.3054
2015-03-30,3457.8,3457.8,3373,3425.3,281900,3369.0429
2015-03-31,3454,3515,3454,3488.75,280000,3431.4508
2015-04-01,3541,3566.8,3501.7,3533.6499,282700,3475.6132
2015-04-02,3533.6499,3533.6499,3533.6499,3533.6499,0,3475.6132
2015-04-03,3533.6499,3533.6499,3533.6499,3533.6499,0,3475.6132
2015-04-06,3530,3694.5,3529,3677.8501,436700,3617.4451
2015-04-07,3668,3704.95,3645.2,3684.8501,232900,3624.3301
2015-04-08,3675,3775.3,3662.1499,3755.45,443900,3693.7704
2015-04-09,3755.05,3764,3679,3740.25,309800,3678.8201
2015-04-10,3746,3807.8,3706.3501,3797.3999,215400,3735.0314
2015-04-13,3780,3807.7,3731.5,3795.3501,263400,3733.0153
2015-04-14,3795.3501,3795.3501,3795.3501,3795.3501,0,3733.0153
2015-04-15,3780,3800,3731.6499,3753.6001,293600,3691.951
2015-04-16,3730,3741.25,3663.2,3680.3,233500,3619.8548
2015-04-17,3665.3999,3700,3620,3647.1499,258400,3587.2491
2015-04-20,3650,3715.95,3540.2,3567,302900,3508.4156
2015-04-21,3575.8999,3614,3452,3462,387200,3405.1401
2015-04-22,3490.05,3585,3488,3570.3,339600,3511.6614
2015-04-23,3579.2,3595,3509,3528.8,171600,3470.843
2015-04-24,3510.5,3570.8999,3470.3501,3484.1499,186200,3426.9262
2015-04-27,3505,3514.8501,3355.1001,3385.6001,544600,3329.995
2015-04-28,3387,3430.8,3340.8501,3412.25,276700,3356.2072
2015-04-29,3413,3457.25,3350,3382.45,233700,3326.8966
2015-04-30,3380,3380,3276.5,3310.25,801500,3255.8825
2015-05-01,3310.25,3310.25,3310.25,3310.25,0,3255.8825
2015-05-04,3330,3405,3316,3395.05,252800,3339.2897
2015-05-05,3390,3420,3351.05,3402.6499,314800,3346.7648
2015-05-06,3390,3408.8,3283.05,3353.3999,407900,3298.3237
2015-05-07,3311.2,3346,3250.05,3282.8999,419900,3228.9816
2015-05-08,3349,3389.75,3303,3350.45,268400,3295.4222
2015-05-11,3380,3409.75,3338.75,3359.7,243300,3304.5202
2015-05-12,3391,3496.7,3362.8501,3468.8999,1270900,3411.9267
2015-05-13,3496.95,3530,3455,3494.1499,390500,3436.762
2015-05-14,3495.5,3539.8999,3470,3519.3999,216800,3461.5973
2015-05-15,3517,3517,3470,3496.45,195400,3439.0243
2015-05-18,3500,3634,3495,3622.45,346800,3562.9548
2015-05-19,3615,3692.6499,3580,3636,386900,3576.2823
2015-05-20,3636,3682,3596,3608.75,244800,3549.4799
2015-05-21,3623,3649.55,3590,3619.2,229800,3559.7582
2015-05-22,3620.1001,3660,3595,3642.6499,205400,3582.823
2015-05-25,3630,3663.8,3576.3501,3585.45,200200,3526.5625
2015-05-26,3587,3605,3538,3547.25,290400,3488.99
2015-05-27,3495.3,3598.5,3495,3586.6499,239900,3527.7428
