"Date","EICHERMOT.NS.Open","EICHERMOT.NS.High","EICHERMOT.NS.Low","EICHERMOT.NS.Close","EICHERMOT.NS.Volume","EICHERMOT.NS.Adjusted"
2015-01-01,15011,15360.7,15011,15262.3,29100,15083.74
2015-01-02,15450,15450,15013,15082,39900,14905.55
2015-01-05,15020,15246,15020,15150.5,35300,14973.25
2015-01-06,15000,15015,14640,14755.9,48100,14583.27
2015-01-07,14760,14999.7,14715.7,14959.9,31800,14784.88
2015-01-08,14963,15100,14811,14873.7,29400,14699.69
2015-01-09,14925.5,14980,14550,14738.7,38700,14566.27
2015-01-12,14652,15145,14600.2,14857.7,65700,14683.88
2015-01-13,14900,14947.2,14690,14799.2,14400,14626.06
2015-01-14,14765,14946,14720.1,14833.5,15700,14659.96
2015-01-15,14990,15269,14845,15127.2,46100,14950.22
2015-01-16,15120,15385,15011,15349.7,32900,15170.12
2015-01-19,15380,15590.9,15360,15474.6,38200,15293.56
2015-01-20,15476,15581.8,15402,15490.7,36700,15309.47
2015-01-21,15511,15550,15240,15372.3,26000,15192.45
2015-01-22,15301,15411.2,15241.3,15315,14000,15135.82
2015-01-23,15372,15420.1,15113,15146,104000,14968.8
2015-01-26,15146,15146,15146,15146,0,14968.8
2015-01-27,15190,16133,15094.2,16089.2,134000,15900.97
2015-01-28,16167,16491.8,16000,16340.2,85000,16149.03
2015-01-29,16454,16650.2,16301,16478.8,61500,16286.01
2015-01-30,16501,16640,16020,16275.9,37400,16085.48
2015-02-02,16397,16895,16377.8,16561.8,50800,16368.04
2015-02-03,16495,16713.9,16255,16323.6,31000,16132.62
2015-02-04,16375,16399.9,15792.4,15919.5,27200,15733.25
2015-02-05,15920,16082.7,15760.5,15837.5,29100,15652.21
2015-02-06,15898,15980,15502,15587.8,21500,15405.43
2015-02-09,15580,15580,15067.6,15115.5,26500,14938.66
2015-02-10,15150,15530,14755,15133.2,52800,14956.15
2015-02-11,15330,16200,15222,16141.3,39800,15952.46
2015-02-12,16261,16618.8,16073.8,16417.9,42600,16225.82
2015-02-13,16587,16872,15402,16267.4,74100,16077.08
2015-02-16,16621,16788,15975.2,16051.1,71000,15863.31
2015-02-17,16051.1,16051.1,16051.1,16051.1,0,15863.31
2015-02-18,16400,17047.7,16300,16947.3,92900,16749.03
2015-02-19,17149,17200,16500,16640.4,49200,16445.72
2015-02-20,16685,16685,16301.3,16362.1,30500,16170.67
2015-02-23,16389,16417.8,15925,15981.9,33200,15794.92
2015-02-24,16000,16050,15699,15842.2,39200,15656.86
2015-02-25,15928,16020,15520,15596.4,43800,15413.93
2015-02-26,15600,15662.9,15051.1,15205.3,55700,15027.41
2015-02-27,15294,15850,15294,15806.4,91100,15621.48
2015-03-02,16550,16700,16174,16426.1,100400,16233.93
2015-03-03,16349.5,16349.5,15686.2,15908,117700,15721.89
2015-03-04,15400,16260,15300,16048,245600,15860.25
2015-03-05,16100,16188,15860,16001.1,43900,15813.9
2015-03-06,16001.1,16001.1,16001.1,16001.1,0,15813.9
2015-03-09,15875,15930.6,15650,15699.8,51600,15516.12
2015-03-10,15700,16047.4,15699.8,15947.8,81400,15761.22
2015-03-11,16020,16199,15900,16053.8,51300,15915.88
2015-03-12,16140,16377.3,16060,16303.8,48500,16163.73
2015-03-13,16364.8,16381.9,15790.4,15912.8,43100,15776.09
2015-03-16,15920,15949.9,15633,15820.3,16500,15684.39
2015-03-17,15899,16060,15810,15942.8,31300,15855.95
2015-03-18,15950,16216,15885.4,16044.2,25600,15956.8
2015-03-19,16140,16327,16030.1,16111.6,57900,16023.83
2015-03-20,16110,16178.6,15920.7,16017.5,33800,15930.24
2015-03-23,16089.8,16129,15751.2,15866,18800,15779.57
2015-03-24,15895,15905,15447.2,15501.1,33300,15416.65
2015-03-25,15540,15699,15350,15572.8,45100,15487.96
2015-03-26,15500,15745.3,15296.2,15538.2,141400,15453.55
2015-03-27,15590,15600,15111,15490.8,39800,15406.41
2015-03-30,15599,16095,15574,16018.9,38300,15931.63
2015-03-31,16150,16175,15821.7,15908.2,38600,15821.54
2015-04-01,15929,16197,15830,16019.5,45800,15932.23
2015-04-02,16019.5,16019.5,16019.5,16019.5,0,15932.23
2015-04-03,16019.5,16019.5,16019.5,16019.5,0,15932.23
2015-04-06,16094.3,16094.3,15520.2,15782.5,65300,15696.52
2015-04-07,15799.8,16050,15715,15983.3,32600,15896.23
2015-04-08,16020,16590,15976.3,16524.8,76600,16434.78
2015-04-09,16700,16700,16272,16302.5,53800,16213.69
2015-04-10,16335,16433,16106.3,16230.2,38600,16141.78
2015-04-13,16200,16231,16001,16070.7,43600,15983.15
2015-04-14,16070.7,16070.7,16070.7,16070.7,0,15983.15
2015-04-15,16099.9,16120,15810,15872.7,44400,15786.23
2015-04-16,16240,16240,15734,15837.2,108100,15750.92
2015-04-17,15850,15875,15200,15311.1,57500,15227.69
2015-04-20,15310,15310,14630,14762,90200,14681.58
2015-04-21,14900,14948.7,14136,14310.3,90400,14232.34
2015-04-22,14400,14470,14060.3,14366.2,110900,14287.94
2015-04-23,14510,14846,14451,14747,47500,14666.66
2015-04-24,14742,14859,14490.4,14720.5,122600,14640.31
2015-04-27,14555,15070,13900.1,14771,98200,14690.53
2015-04-28,14750,15255,14670.6,15175,48700,15092.33
2015-04-29,15210,15434.8,15112.5,15238.1,38400,15155.09
2015-04-30,15202,15347,15100,15191.6,63500,15108.84
2015-05-01,15191.6,15191.6,15191.6,15191.6,0,15108.84
2015-05-04,15441.6,15500,15300.8,15334.6,26000,15251.06
2015-05-05,15333,15721.7,15211,15555.5,32300,15470.76
2015-05-06,15520,15698.8,15000,15080.3,46500,14998.15
2015-05-07,15075,15114,14495,14807,75000,14726.34
2015-05-08,14930,15890,14700,15781.2,136800,15695.23
2015-05-11,15970,16965,15938,16871.6,245200,16779.69
2015-05-12,16950,17300,16600,17158.6,130400,17065.12
2015-05-13,17455,18330.1,17416,18089.6,341700,17991.05
2015-05-14,18000,18478,17701,18176.2,178400,18077.18
2015-05-15,18177,18794.8,18177,18722,150600,18620.01
2015-05-18,18724.3,19155,18295,18597.8,162600,18496.48
2015-05-19,18615,18859.7,18076,18251.5,104500,18152.07
2015-05-20,18229,18617,18103.9,18528.5,105000,18427.56
2015-05-21,18500,18530,18306,18413.3,43100,18312.99
2015-05-22,18400,18730,18382.8,18696.8,69900,18594.95
2015-05-25,18600,19545,18500.1,19173.4,177700,19068.95
2015-05-26,19100,19385,18816.3,18909.3,198600,18806.29
2015-05-27,18869.6,18869.6,18051.1,18363.1,193400,18263.06
2015-05-28,18380,18600,17795,17986.2,191500,17888.21
2015-05-29,18050,19299.9,17809,18896.4,1286000,18793.46
2015-06-01,18499,18925.8,18369.5,18777.9,109600,18675.6
2015-06-02,18867.6,18958,17980,18145.2,109700,18046.35
2015-06-03,18140,18445,17951,18191.2,89700,18092.1
2015-06-04,17500,17750,16960.8,17311.8,331400,17217.49
2015-06-05,17199,17477,17062.1,17391.7,76100,17296.95
2015-06-08,17485,17560,17207.7,17282.5,69000,17188.35
2015-06-09,17300,17300,16649.8,17108.8,104900,17015.6
2015-06-10,17198,17687.3,17127,17592.7,86100,17496.86
2015-06-11,17671,17750,17120,17244.3,59500,17150.36
2015-06-12,17249.8,17477.1,17100,17404.1,45500,17309.29
2015-06-15,17735,18123.4,17628.1,18027.4,71800,17929.19
2015-06-16,18079,18525.2,18028,18451.8,101200,18351.28
2015-06-17,18546.2,19499.9,18546.2,19288.9,171700,19183.82
2015-06-18,19336.2,19688,19300,19495.7,106600,19389.49
2015-06-19,19550.2,20049.9,19180.1,19445.2,387400,19339.27
2015-06-22,19375,19658,19250.6,19404.8,1e+05,19299.09
2015-06-23,19400,19469.9,19180,19276.8,57700,19171.79
2015-06-24,19250,19460.9,19042.3,19123.5,98400,19019.32
2015-06-25,19165,19585,19165,19483.7,183500,19377.56
2015-06-26,19495,19678,19300,19561.7,40800,19455.13
2015-06-29,19201.6,19399,19027.6,19298.2,42500,19193.07
2015-06-30,19279.8,19699.9,19250.1,19586.7,57700,19480
2015-07-01,19742,20450,19691,20352.3,121900,20241.43
2015-07-02,20400,21340,20400,21257.7,160100,21141.89
2015-07-03,21394,21555.1,20195,20275.6,198600,20165.14
2015-07-06,20100,20545,19900.2,20334.3,95100,20223.52
2015-07-07,20473,20548.9,20200,20362.6,57000,20251.67
2015-07-08,20200.1,20612.6,20125.1,20482.6,71900,20371.02
2015-07-09,20549.9,20711.6,20490.1,20641.2,53500,20528.75
2015-07-10,20725,20800,20590,20765.1,44700,20651.98
2015-07-13,20802,21210,20802,21160.2,53000,21044.92
2015-07-14,21194.9,21194.9,20700,20773.9,59500,20660.73
2015-07-15,20774.9,20819.9,20605,20718.3,40500,20605.43
2015-07-16,20750,21156,20720,21078.8,41400,20963.97
2015-07-17,21230,21230,20932.2,21100.7,27000,20985.75
2015-07-20,21190,21317.9,21000,21248.1,35400,21132.35
2015-07-21,21251,21620,21250,21348.3,62000,21232
2015-07-22,21385,21435,20735,21109.7,113000,20994.7
2015-07-23,21063,21063,20361.2,20538.2,67700,20426.31
2015-07-24,20410,20597.9,20050,20113.8,81300,20004.23
2015-07-27,19901.2,19960,19264.2,19347.9,116300,19242.5
2015-07-28,19445,19635,19132.5,19499.4,84900,19393.17
2015-07-29,19600,19723.8,19151.2,19246.2,84200,19141.35
2015-07-30,19394,19551,18907.9,19027.9,87700,18924.24
2015-07-31,19165,19250.1,18695,19071.2,103300,18967.3
2015-08-03,19500,19500,19036.2,19083.1,63200,18979.14
2015-08-04,19108,20300,18955.1,20178.1,137500,20068.17
2015-08-05,20480,20719,20061,20566.6,118800,20454.56
2015-08-06,20560,20673,20375.2,20572.3,44900,20460.23
2015-08-07,20590,20769,20429.2,20631.6,35900,20519.2
2015-08-10,20600,20759.9,20200,20364.6,36600,20253.66
2015-08-11,20389,20519.9,19810,20163.2,46200,20053.36
2015-08-12,20080.1,20130,19733,19849.2,37500,19741.07
2015-08-13,19870.5,20268,19810.2,19902.7,43900,19794.27
2015-08-14,20048,20679.8,19955.1,20600.6,55100,20488.37
