"Date","ENGINERSIN.NS.Open","ENGINERSIN.NS.High","ENGINERSIN.NS.Low","ENGINERSIN.NS.Close","ENGINERSIN.NS.Volume","ENGINERSIN.NS.Adjusted"
2015-01-01,231.95,232.64999,226.10001,228.95,645000,103.10098
2015-01-02,229.95,234.5,228.2,231.5,961100,104.2493
2015-01-05,231.05,238.2,231,236.05,1559100,106.29826
2015-01-06,234.7,234.7,221.05,222.85001,1884500,100.35402
2015-01-07,222.10001,224.39999,219.5,220.60001,1098200,99.3408
2015-01-08,223,226.7,221.39999,224.39999,1868900,101.05201
2015-01-09,227.5,227.85001,222.89999,224.55,760900,101.11957
2015-01-12,225,227.8,222.60001,225.89999,510300,101.7275
2015-01-13,225,232,224.05,225.95,1118100,101.75001
2015-01-14,226.7,229,222.14999,223.05,582500,100.44408
2015-01-15,224.14999,228.5,224.14999,226.05,614400,101.79505
2015-01-16,225.05,228.10001,225,225.45,727400,101.52485
2015-01-19,226,228,223.14999,226.35001,769700,101.93015
2015-01-20,228.60001,228.60001,225.10001,226.5,827500,101.99769
2015-01-21,226.75,233.95,226.05,227.05,3570300,102.24537
2015-01-22,227.55,230.60001,225.2,226.60001,985000,102.04273
2015-01-23,229,229.05,222.14999,224.10001,810900,100.91692
2015-01-26,224.10001,224.10001,224.10001,224.10001,0,100.91692
2015-01-27,225.89999,226.55,222.7,223.60001,801900,100.69176
2015-01-28,224,227,221.7,222.8,1114600,100.3315
2015-01-29,222,225.8,218.60001,219.64999,1898900,98.91299
2015-01-30,220.89999,224.8,215,216.5,1397800,97.49448
2015-02-02,209.5,221,208.5,218.45,2079100,98.37261
2015-02-03,218.35001,220.3,215,216.05,922100,97.29184
2015-02-04,218,226.8,214.39999,223.55,2936500,100.66925
2015-02-05,225.64999,225.7,216,217.05,1521400,97.74216
2015-02-06,217,218.25,212,212.8,784800,95.8283
2015-02-09,211,213.2,207,208.85001,697100,94.04953
2015-02-10,207.10001,214.64999,207,209.2,711900,94.20714
2015-02-11,211.05,213.89999,208.3,210.75,970600,94.90514
2015-02-12,211.39999,216.75,211.05,212.95,1047900,95.89584
2015-02-13,214.60001,218.8,211,212.10001,1893400,95.51307
2015-02-16,213.5,215.60001,211,211.7,651500,95.33294
2015-02-17,211.7,211.7,211.7,211.7,0,95.33294
2015-02-18,212.10001,214.7,211.7,213.60001,481000,96.18855
2015-02-19,214,218.64999,212,215,1263700,96.819
2015-02-20,216.05,216.14999,212.7,213.3,964800,96.05346
2015-02-23,215,215.3,208.55,209.2,1230800,94.20714
2015-02-24,210.39999,212.39999,208.95,209.75,668400,94.45481
2015-02-25,210.89999,212.39999,208.55,209.2,729000,94.20714
2015-02-26,210.5,210.64999,200.5,202.8,2025200,91.32509
2015-02-27,203.75,208,203.5,207,1129400,93.21643
2015-03-02,208.10001,218.55,205.55,217.75,2984200,98.05738
2015-03-03,217.95,224.7,216.60001,222.55,2908500,100.21892
2015-03-04,224.64999,224.64999,211.60001,213.14999,1833900,95.9859
