"Date","ESCORTS.NS.Open","ESCORTS.NS.High","ESCORTS.NS.Low","ESCORTS.NS.Close","ESCORTS.NS.Volume","ESCORTS.NS.Adjusted"
2015-01-01,127.7,131.9,127.7,129.95,784300,128.58
2015-01-02,129.75,132.2,127.2,128.25,1003300,126.9
2015-01-05,128.4,129.75,127.1,127.9,547500,126.55
2015-01-06,126.6,126.9,121.1,121.7,548000,120.41
2015-01-07,120.25,124.5,120.15,120.75,635100,119.47
2015-01-08,122.1,128.9,122.1,126.1,1227700,124.77
2015-01-09,127.4,128.45,125.5,126.2,911900,124.87
2015-01-12,127.1,128.15,124.8,125.35,636800,124.03
2015-01-13,125.25,128.75,125.15,126.55,702400,125.21
2015-01-14,126.1,127,123.55,124,401100,122.69
2015-01-15,124.4,127.4,124.4,125.45,514000,124.12
2015-01-16,125.25,130.9,125,130.25,1347900,128.87
2015-01-19,131.4,133.8,130,132.6,1288500,131.2
2015-01-20,133.3,136.15,131.1,133.3,1164800,131.89
2015-01-21,133,135.4,131.25,133.2,771800,131.79
2015-01-22,133,133.9,129.05,129.8,822400,128.43
2015-01-23,130.95,131.35,126.6,127.15,531900,125.81
2015-01-26,127.15,127.15,127.15,127.15,0,125.81
2015-01-27,127,139.05,127,137.95,2294300,136.49
2015-01-28,137,138.75,132.1,134.1,1247800,132.68
2015-01-29,133.75,135,131.6,132.95,536400,131.55
2015-01-30,133.6,134.15,128.2,129.15,641400,127.79
2015-02-02,128.05,130.8,126.1,127.7,973200,126.35
2015-02-03,128,129.65,125.1,125.95,373000,124.62
2015-02-04,126.35,129.1,124.6,126.65,551400,125.31
2015-02-05,126.75,130.45,125.2,126.25,667500,124.92
2015-02-06,126.2,127.2,121.6,122.1,582800,120.81
2015-02-09,120.8,121.5,112.7,114.1,1557900,112.89
2015-02-10,113.3,117.7,111.05,111.75,1021800,110.57
2015-02-11,112.2,118.65,112.2,116.5,1902400,115.27
2015-02-12,119.05,127.95,118.2,126.7,2374200,125.36
2015-02-13,127.5,131.4,123.3,124.35,1070300,123.04
2015-02-16,125,127,122.6,123.35,505500,122.05
2015-02-17,123.35,123.35,123.35,123.35,0,122.05
2015-02-18,124.9,124.9,119.8,123,549600,121.7
2015-02-19,123.8,126.8,121.3,125.8,905200,124.47
2015-02-20,126.05,137.5,124.5,132.65,2843300,131.25
2015-02-23,133.3,135.15,130,130.85,1367800,129.47
2015-02-24,130.75,135.55,130,132.55,1121700,131.15
2015-02-25,133.05,137.8,132.5,135.85,1542900,134.42
2015-02-26,134.85,135.6,130.1,131.3,783100,129.91
2015-02-27,132.4,136.45,131.55,134.2,983200,132.78
2015-03-02,135.4,137.45,132.05,136.05,1442500,134.61
2015-03-03,135.1,143.35,133.55,139.5,2537100,138.03
