"Date","EXIDEIND.NS.Open","EXIDEIND.NS.High","EXIDEIND.NS.Low","EXIDEIND.NS.Close","EXIDEIND.NS.Volume","EXIDEIND.NS.Adjusted"
2015-01-01,178.05,189.2,176.3,188.4,5125100,182.32
2015-01-02,189.3,189.9,183.45,184.55,3549400,178.59
2015-01-05,184,189.4,183.15,185.5,2741500,179.51
2015-01-06,184.3,191.6,181,185.15,4513200,179.17
2015-01-07,185,188.85,181.6,183.65,2111100,177.72
2015-01-08,185,188,183.15,185.6,2388500,179.61
2015-01-09,186.9,192.7,186.25,189.5,4701300,183.38
2015-01-12,190,190.9,187.1,188.7,2076500,182.61
2015-01-13,188.05,191.5,183.95,185.2,1853100,179.22
2015-01-14,185.4,187.9,183.35,185.4,2106700,179.41
2015-01-15,186.9,188.8,185.5,186.85,2149800,180.82
2015-01-16,187.3,188.7,184.65,185.2,2117600,179.22
2015-01-19,183.7,187.8,183.5,184.05,1159200,178.11
2015-01-20,183.25,186.4,179.15,179.9,1680500,174.09
2015-01-21,179,188.1,178.85,185.5,4856400,179.51
2015-01-22,186,193.9,185.25,192.05,6811300,185.85
2015-01-23,194,202.25,193.85,201.75,6030600,195.24
2015-01-26,201.75,201.75,201.75,201.75,0,195.24
2015-01-27,202.3,202.45,197.5,198.75,1811300,192.33
2015-01-28,197,205.2,195.8,198.05,3505400,191.66
2015-01-29,198.05,198.4,192.65,193.8,3813800,187.54
2015-01-30,194.8,195.55,184.6,186.05,4436700,180.04
2015-02-02,188,198,185,195.05,4142500,188.75
2015-02-03,196,203,195,197.55,3883700,191.17
2015-02-04,198.1,199.3,192.2,193,1793800,186.77
2015-02-05,193,196.35,190.5,191.65,1609700,185.46
2015-02-06,191.7,191.7,183.25,184.5,2810300,178.54
2015-02-09,183,184.35,176.35,177,1299900,171.29
2015-02-10,176,181.35,173,174.2,2872400,168.58
2015-02-11,174.95,179.5,174.55,177.6,1837200,171.87
2015-02-12,178.4,180.15,177.05,177.95,1809800,172.21
2015-02-13,178.6,179.7,174.6,176.35,2755200,170.66
2015-02-16,176.95,183.9,175.9,180.25,2010800,174.43
2015-02-17,180.25,180.25,180.25,180.25,0,174.43
2015-02-18,180.95,183.4,180.2,182.35,1107600,176.46
2015-02-19,183.4,185.3,181.3,184.25,1346900,178.3
2015-02-20,184.35,185.95,182.25,183.8,1609900,177.87
2015-02-23,185,186.8,180.3,182.2,2054000,176.32
2015-02-24,183.2,183.25,180.8,182.5,1248500,176.61
2015-02-25,183.35,183.55,176.55,178.15,1630100,172.4
2015-02-26,178.45,180.7,175.2,176.05,2840400,170.37
2015-02-27,174.45,181.9,174.45,180.4,1106100,174.58
2015-03-02,181,182.9,176.65,181.65,2209800,175.79
2015-03-03,182.6,184.15,180.45,181.05,1730100,175.21
2015-03-04,182,182.7,175.1,176.35,1298000,170.66
2015-03-05,178,181.8,177,180.85,1753900,175.01
2015-03-06,180.85,180.85,180.85,180.85,0,175.01
2015-03-09,179.9,181.9,177,177.9,1175900,172.16
2015-03-10,178,183.3,178,182,1613300,176.12
2015-03-11,182.55,185.8,182.05,183.6,1801900,177.67
2015-03-12,187.5,193.55,187,192.45,3560300,186.24
2015-03-13,199.85,199.95,186.5,188.15,7135200,182.08
2015-03-16,188.15,192.65,185.75,186.85,2018200,180.82
2015-03-17,187.75,191.3,185.75,186.85,3550900,180.82
2015-03-18,187.2,187.95,182.7,183.75,1567200,177.82
2015-03-19,184.8,187.4,182.4,183.15,1172900,177.24
2015-03-20,182,183.15,178.65,180.9,2314400,175.06
2015-03-23,181.15,182.2,178,179.85,762200,174.04
2015-03-24,179,184.9,179,184.1,1170200,178.16
2015-03-25,184.8,187.45,181.5,183.05,2820500,177.14
2015-03-26,182.9,186,179.4,180.2,2350500,174.38
2015-03-27,181.7,182,174.6,178.4,1365900,172.64
2015-03-30,179.9,183.15,179.05,180.1,1640100,174.29
2015-03-31,180.5,182.5,177.05,177.75,1544400,172.01
2015-04-01,178,178.85,176,178.15,1154600,172.4
2015-04-02,178.15,178.15,178.15,178.15,0,172.4
2015-04-03,178.15,178.15,178.15,178.15,0,172.4
2015-04-06,178.7,179,176.3,177.8,1342500,172.06
2015-04-07,178.05,185.2,177.2,183.4,4166500,177.48
2015-04-08,185.1,187.8,183.45,184.2,2988000,178.25
2015-04-09,184.7,189.95,182.7,188.95,3144400,182.85
2015-04-10,190,191.85,187.75,188.85,2169200,182.75
2015-04-13,189.45,192.9,188.65,190.25,2111500,184.11
2015-04-14,190.25,190.25,190.25,190.25,0,184.11
2015-04-15,190.25,193.15,187.15,188.95,2451900,182.85
2015-04-16,188.85,191.3,187.45,188.6,2205200,182.51
2015-04-17,189.6,190.95,186.5,188.45,2300800,182.37
2015-04-20,188.45,188.5,178.75,180.85,1841500,175.01
2015-04-21,181,183.15,177.25,179.35,1924800,173.56
2015-04-22,180,182.4,176.2,179.25,1317100,173.46
2015-04-23,180.65,182.15,176.6,177.45,1600900,171.72
2015-04-24,177.65,177.95,174.4,175,1720500,169.35
2015-04-27,175.1,175.65,167.55,170.95,991200,165.43
2015-04-28,170.9,176.85,168.6,176.1,2416100,170.42
2015-04-29,176.95,181.8,175.25,181.25,2489900,175.4
