"Date","FEDERALBNK.NS.Open","FEDERALBNK.NS.High","FEDERALBNK.NS.Low","FEDERALBNK.NS.Close","FEDERALBNK.NS.Volume","FEDERALBNK.NS.Adjusted"
2015-01-01,151.5,151.89999,149.60001,150.10001,3335500,71.97792
2015-01-02,150.10001,151.8,148.39999,149,4671900,71.45043
2015-01-05,149.85001,150.10001,147.35001,147.8,4015900,70.87499
2015-01-06,146.3,148.85001,145.10001,145.7,5133600,69.86797
2015-01-07,146,148.14999,144.75,146.14999,4635100,70.08376
2015-01-08,148.5,149.5,147.14999,148.5,10707900,71.21067
2015-01-09,149.75,150.45,148.05,149.25,7128900,71.57032
2015-01-12,149.10001,150.8,148.05,149.85001,5754800,71.85804
2015-01-13,150.14999,150.8,146.55,148.35001,5226200,71.13874
2015-01-14,148.5,150,146.5,148.14999,5299700,71.04283
2015-01-15,153,153.8,143.25,144.64999,18783400,69.36446
2015-01-16,145.85001,146.05,143.05,144.75,8802200,69.41242
2015-01-19,145.2,147.39999,144.85001,146.95,9952000,70.46739
2015-01-20,148,148.14999,144.5,144.85001,10663700,69.46037
2015-01-21,145.89999,146.39999,142.60001,144.39999,12292600,69.24458
2015-01-22,145.10001,145.89999,143.2,143.85001,7370600,68.98084
2015-01-23,145.8,145.89999,143.3,143.89999,6686900,69.00481
2015-01-26,143.89999,143.89999,143.89999,143.89999,0,69.00481
2015-01-27,144,145.8,144,145.2,6674600,69.62821
2015-01-28,145,147.55,144.85001,145.10001,9174300,69.58026
2015-01-29,144.89999,146.45,143.3,144.25,10361600,69.17265
2015-01-30,145,145.3,140.95,141.85001,6540600,68.02177
2015-02-02,141.89999,145.5,139.5,144.8,4263900,69.4364
2015-02-03,145.8,146.10001,142.89999,143.10001,5252100,68.62119
2015-02-04,143.5,143.85001,139.85001,140.10001,4880300,67.18259
2015-02-05,139.89999,139.95,133.10001,137.05,10884800,65.72001
2015-02-06,137.8,140.8,136.85001,139.64999,7816600,66.9668
2015-02-09,138,142.39999,138,140.7,6057000,67.47031
2015-02-10,139.89999,142.8,134.25,137.7,5472600,66.03171
2015-02-11,138.35001,140.55,136,139.75,3683800,67.01475
2015-02-12,139.95,141.2,138.10001,140.7,3205200,67.47031
2015-02-13,141.14999,141.5,138.7,139.95,3616100,67.11066
2015-02-16,140,141,138.5,139,4675100,66.6551
2015-02-17,139,139,139,139,0,66.6551
2015-02-18,139,139.95,136.2,136.7,5510600,65.55217
2015-02-19,137.2,138.5,135.05,136.7,3906800,65.55217
2015-02-20,137,140.5,136.14999,138.85001,3867000,66.58317
2015-02-23,142,145.35001,142,142.85001,8335500,68.50131
2015-02-24,143.5,143.89999,141,141.85001,4809200,68.02177
2015-02-25,142.39999,143.10001,139.39999,140.39999,3880000,67.32645
2015-02-26,140.60001,140.8,138.2,138.95,8719100,66.63112
2015-02-27,138.14999,142.7,138.14999,142.2,3911500,68.18961
