"Date","GAIL.NS.Open","GAIL.NS.High","GAIL.NS.Low","GAIL.NS.Close","GAIL.NS.Volume","GAIL.NS.Adjusted"
2015-01-01,442.999,445.148,440.999,442.599,1215900,310.138
2015-01-02,443.699,448.199,442.648,444.599,850100,311.54
2015-01-05,443.35,450.85,440.399,445.999,1047800,312.521
2015-01-06,443.899,443.899,427.999,431.899,4158100,302.641
2015-01-07,427.999,432.699,417.499,420.899,2423300,294.933
2015-01-08,424.199,435.999,421.699,430.748,1798500,301.834
2015-01-09,433.399,442.299,423.999,435.299,3655600,305.023
2015-01-12,434.999,435.448,426.399,430.25,1446100,301.485
2015-01-13,429.25,434.85,425.499,428.148,1727000,300.012
2015-01-14,425.899,432.999,416.148,426.499,3237200,298.857
2015-01-15,426.499,431.599,420.599,427.799,2879300,299.768
2015-01-16,420.899,427.999,419.499,424.948,1723400,297.77
2015-01-19,421.199,446.299,421.199,440.55,2703400,308.702
2015-01-20,443.999,443.999,428.999,431.35,2604700,302.256
2015-01-21,431.399,436.799,429.099,433.799,1626000,303.972
2015-01-22,433.25,438.299,429.399,431.05,3783700,302.045
2015-01-23,433.899,433.899,420.35,422.948,2474400,296.369
2015-01-26,422.948,422.948,422.948,422.948,0,296.369
2015-01-27,423.399,427.499,416.199,419.148,3143600,293.706
2015-01-28,421.999,422.299,412.599,418.799,1771700,293.461
2015-01-29,417.999,426.399,415.099,423.099,3389200,296.474
2015-01-30,423.85,424.999,419.999,422.999,1480500,296.404
2015-02-02,423.199,433.599,423.199,429.999,2000500,301.309
2015-02-03,431.999,438.399,430.85,434.099,2364400,304.182
2015-02-04,438.299,442.948,426.85,431.699,2149200,302.5
2015-02-05,432.799,432.899,421.499,423.899,1514400,297.035
2015-02-06,423.148,424.648,407.999,419.499,2262700,293.952
2015-02-09,390.999,407.55,390.999,400.099,2711700,280.358
2015-02-10,398.099,412.399,396.399,409.999,1958500,287.295
2015-02-11,409.999,413.999,405.999,409.748,1540200,287.119
2015-02-12,410.25,428.799,407.05,422.648,1700400,296.158
2015-02-13,422.999,423.25,400.499,404.199,3478300,283.231
2015-02-16,405.999,410.648,402.148,405.999,1394300,284.492
2015-02-17,405.999,405.999,405.999,405.999,0,284.492
2015-02-18,406.699,414.499,405.699,411.999,1349500,288.696
2015-02-19,410.599,413.899,405.199,408.699,1049600,286.384
2015-02-20,408.999,413.499,406.999,408.999,827700,286.594
2015-02-23,408.948,409.999,394.199,400.199,1728800,280.428
2015-02-24,400.199,404.999,394.199,403.999,2087900,283.091
2015-02-25,405.399,407.399,399.499,405.748,1204200,284.316
2015-02-26,406.099,413.199,400.599,410.948,3841900,287.96
2015-02-27,411.999,412.85,404.399,406.699,2090000,284.982
2015-03-02,412.999,414.999,402.999,408.899,2099000,289.37
2015-03-03,409.999,410.899,404.648,408.948,839900,289.405
2015-03-04,410.999,412.85,403.25,405.05,1851000,286.646
2015-03-05,404.999,408.099,397.599,402.899,2294500,285.124
2015-03-06,402.899,402.899,402.899,402.899,0,285.124
2015-03-09,401.85,401.85,384.399,385.85,1453000,273.059
2015-03-10,384.999,385.499,376.55,383.55,1463800,271.431
2015-03-11,383.499,393.499,376.199,389.25,1450100,275.465
2015-03-12,389.199,395.799,388.999,393.85,2116000,278.72
2015-03-13,395.999,395.999,385.748,387.25,935100,274.049
2015-03-16,386.05,386.948,376.499,381.55,1959600,270.016
2015-03-17,379.999,382.799,376.35,379.55,1381500,268.6
2015-03-18,378.648,384.799,378.648,381.748,3673500,270.156
