"Date","GLENMARK.NS.Open","GLENMARK.NS.High","GLENMARK.NS.Low","GLENMARK.NS.Close","GLENMARK.NS.Volume","GLENMARK.NS.Adjusted"
2015-01-01,783.25,789,774.2,775.5,542900,772.1406
2015-01-02,777.3,779.05,765.1,767.85,664800,764.5237
2015-01-05,773.5,774.5,748.05,751.4,635300,748.145
2015-01-06,751,751,714.1,721.75,801600,718.6235
2015-01-07,725,731,702.6,719.65,537700,716.5326
2015-01-08,725.35,742.9,725.35,740.8,655400,737.5909
2015-01-09,741.2,752.4,725.3,735.4,545600,732.2144
2015-01-12,740,741.55,723.55,727.05,500400,723.9005
2015-01-13,723.4,738.7,720.15,728.8,1507400,725.6429
2015-01-14,726,729.05,716,718.9,486500,715.7858
2015-01-15,717.05,725.25,714,714.9,488100,711.8032
2015-01-16,714,727.4,714,722.2,345200,719.0715
2015-01-19,726,740.5,726,738.05,395100,734.8528
2015-01-20,739,743.65,731,733.15,315400,729.9741
2015-01-21,733,739,729,737.35,398300,734.1559
2015-01-22,737.5,753.9,736.35,744.4,893100,741.1754
2015-01-23,752,754.9,720.2,724.25,872800,721.1126
2015-01-26,724.25,724.25,724.25,724.25,0,721.1126
2015-01-27,731.4,736.45,724.25,734.9,773400,731.7165
2015-01-28,735.95,739.8,724.1,728.3,297800,725.1451
2015-01-29,729.8,732.7,715,719.05,512200,715.9351
2015-01-30,724.9,731.85,715.8,719.15,614300,716.0347
2015-02-02,723.8,725.5,715.3,716.35,261900,713.2468
2015-02-03,720,721.1,704.1,706.4,269300,703.34
2015-02-04,709.9,734.9,707.2,730.05,606100,726.8875
2015-02-05,736,752.95,734.1,742.1,1241400,738.8853
2015-02-06,746,749.8,733.2,740.2,543000,736.9935
2015-02-09,732,746.85,724.35,732.25,442200,729.078
2015-02-10,733.5,753.9,723.65,747.2,814000,743.9632
2015-02-11,751,773,740.35,748.9,1450400,745.6559
2015-02-12,755.1,758,730.05,747.15,904100,743.9135
2015-02-13,740,777.95,733.65,766.4,2058500,763.0801
2015-02-16,771.5,783,765.4,770.5,752600,767.1623
2015-02-17,770.5,770.5,770.5,770.5,0,767.1623
2015-02-18,772,786.9,771,780.5,511100,777.119
2015-02-19,784,784,765,772.15,275900,768.8052
2015-02-20,775,799,766.3,788.45,761100,785.0345
2015-02-23,790.5,795.95,778.2,792.7,735500,789.2661
2015-02-24,796.7,810.95,790.2,808.2,1014700,804.699
2015-02-25,817.35,822.85,784.25,790.2,897300,786.777
2015-02-26,803,803.45,767,770.25,1143600,766.9134
2015-02-27,773.4,789.6,773.1,779.45,483300,776.0735
2015-03-02,792.8,798.6,783,786.85,361800,783.4414
2015-03-03,786.85,806.15,782.3,799.35,482000,795.8873
2015-03-04,805.15,814,794,799.05,805900,795.5886
2015-03-05,806.5,842.45,804.15,833,1104200,829.3915
2015-03-06,833,833,833,833,0,829.3915
2015-03-09,836,859.7,836,842.35,930300,838.701
2015-03-10,847.95,864.65,839,848.35,696600,844.675
2015-03-11,851.5,862.75,826.4,831.1,815400,827.4997
2015-03-12,836,850,825,836.3,801000,832.6772
2015-03-13,842,865,833.95,840.3,2181500,836.6599
2015-03-16,840.3,841.8,809.4,814.4,829400,810.8721
2015-03-17,815.7,831,806.15,808.45,619400,804.9479
2015-03-18,815,825.95,808.2,823.5,481100,819.9327
2015-03-19,830,860.5,823.25,851.5,1218700,847.8114
2015-03-20,860.55,879.65,825.55,831.35,1390600,827.7487
2015-03-23,812.5,825,790,793.4,1249500,789.9631
2015-03-24,793.9,816.75,790.3,809.5,673500,805.9933
2015-03-25,816.4,821.3,801.5,804.65,726300,801.1644
2015-03-26,809.8,809.8,787.1,792.4,1212500,788.9674
2015-03-27,799.5,799.5,751,771.75,1552300,768.4069
2015-03-30,783,789,770,784,667100,780.6038
2015-03-31,785,798.8,780,786.15,572300,782.7445
2015-04-01,789.95,791.9,782.05,788.3,718700,784.8852
2015-04-02,788.3,788.3,788.3,788.3,0,784.8852
2015-04-03,788.3,788.3,788.3,788.3,0,784.8852
2015-04-06,792.7,863.1,790.3,846.5,1544700,842.8331
2015-04-07,852.9,861.9,834.05,844.2,999900,840.543
2015-04-08,879.3,901.35,866.75,881.75,3076400,877.9304
2015-04-09,887.95,887.95,857.6,864.8,745200,861.0538
2015-04-10,866,881.45,852,871.35,876200,867.5754
2015-04-13,872.9,921,862.1,917.7,2000600,913.7246
2015-04-14,917.7,917.7,917.7,917.7,0,913.7246
2015-04-15,927,940.75,900.15,907,1418000,903.071
2015-04-16,911.3,919.9,861,877.75,1994600,873.9477
2015-04-17,879,881.3,852,865.15,1468300,861.4023
2015-04-20,905,921,881.35,901.2,2994900,897.2961
2015-04-21,904.4,905,872.35,886.65,1149200,882.8092
2015-04-22,891,921.55,874.05,898.05,1799000,894.1597
