"Date","GMRINFRA.NS.Open","GMRINFRA.NS.High","GMRINFRA.NS.Low","GMRINFRA.NS.Close","GMRINFRA.NS.Volume","GMRINFRA.NS.Adjusted"
2015-01-01,16.7276,17.8068,16.7276,17.6597,15232500,17.6597
2015-01-02,17.8068,17.954,17.5125,17.7087,11984500,17.7087
2015-01-05,17.5616,18.1012,17.5616,17.6106,9469500,17.6106
2015-01-06,17.5616,17.6597,16.8748,17.0219,14342000,17.0219
2015-01-07,16.9238,17.1691,16.4823,16.6295,15695100,16.6295
2015-01-08,16.6786,17.0219,16.6295,16.7767,10895100,16.7767
2015-01-09,16.8748,17.3163,16.8257,16.8748,16464700,16.8748
2015-01-12,16.9238,17.071,16.7767,16.9238,10565900,16.9238
2015-01-13,16.8748,17.071,16.2861,16.5314,17116300,16.5314
2015-01-14,16.4823,16.6295,16.0409,16.188,16081000,16.188
2015-01-15,16.6786,17.2182,16.6786,17.071,40567700,17.071
2015-01-16,16.9729,17.0219,16.6786,16.7276,15505700,16.7276
2015-01-19,16.8748,17.0219,16.5314,16.5805,12729400,16.5805
2015-01-20,16.6786,16.7767,16.4333,16.5805,12974000,16.5805
2015-01-21,16.5805,16.6295,16.3842,16.4333,10466200,16.4333
2015-01-22,16.4333,17.071,16.3842,16.6295,21651300,16.6295
2015-01-23,16.8748,16.9729,16.188,16.4823,18082800,16.4823
2015-01-26,16.4823,16.4823,16.4823,16.4823,0,16.4823
2015-01-27,16.6786,16.6786,16.2371,16.3352,18258200,16.3352
2015-01-28,16.8748,16.8748,16.3842,16.5314,13941300,16.5314
2015-01-29,16.5314,17.1201,16.3352,16.9729,28243300,16.9729
2015-01-30,17.1691,19.2294,17.0219,18.9351,55490700,18.9351
2015-02-02,19.0332,20.2596,18.7879,19.6218,29261100,19.6218
2015-02-03,19.769,19.769,18.2483,18.7879,28694300,18.7879
2015-02-04,18.7389,19.769,18.3955,19.1313,24207600,19.1313
2015-02-05,19.2294,19.3275,16.8257,17.7578,17273200,17.7578
2015-02-06,17.5125,17.9049,16.8748,17.3163,15201500,17.3163
2015-02-09,17.2672,17.4144,16.5805,16.6295,11253800,16.6295
2015-02-10,16.5805,17.1201,16.0899,16.3842,14626500,16.3842
2015-02-11,16.5314,17.8068,16.4333,17.6597,18493400,17.6597
2015-02-12,17.8559,18.5427,17.4634,18.0521,18939600,18.0521
2015-02-13,18.1012,18.5427,17.5616,18.0521,16667900,18.0521
2015-02-16,18.1502,18.5427,17.8068,17.954,20082700,17.954
2015-02-17,17.954,17.954,17.954,17.954,0,17.954
2015-02-18,17.954,18.7389,17.8559,18.2483,19080000,18.2483
2015-02-19,18.2483,18.5427,17.2672,18.1012,17002400,18.1012
2015-02-20,18.2483,18.4445,18.003,18.1502,9592000,18.1502
2015-02-23,18.3464,18.5917,17.7087,17.9049,12890500,17.9049
2015-02-24,18.003,18.1012,17.5616,17.6597,11225700,17.6597
2015-02-25,17.6597,17.8559,17.4144,17.6106,19182300,17.6106
2015-02-26,17.7578,18.0521,17.5616,17.6597,18384100,17.6597
2015-02-27,17.8559,19.3766,17.7578,19.2294,39244300,19.2294
2015-03-02,18.6408,18.7879,17.1201,17.3653,35381300,17.3653
2015-03-03,17.5125,17.6597,16.9729,17.1201,23206400,17.1201
2015-03-04,17.5125,17.6597,16.7767,16.8748,21413800,16.8748
2015-03-05,16.9238,17.4144,16.9238,17.3163,17070600,17.3163
2015-03-06,17.3163,17.3163,17.3163,17.3163,0,17.3163
2015-03-09,17.3653,17.4144,16.8748,17.0219,17184700,17.0219
2015-03-10,17.071,17.2672,16.3352,16.4823,19990700,16.4823
2015-03-11,16.75,16.75,16.4,16.55,16379900,16.55
2015-03-12,16.6,16.95,16.55,16.85,9442200,16.85
2015-03-13,17,17.1,16.3,16.4,9867200,16.4
2015-03-16,16.35,16.5,16,16.3,11703400,16.3
2015-03-17,16.45,16.55,15.95,16,22833100,16
2015-03-18,16.05,16.1,15.55,15.65,15470600,15.65
2015-03-19,15.9,15.9,14.85,15,20473000,15
2015-03-20,15,15.25,14.65,14.85,37412800,14.85
2015-03-23,14.95,15.6,14.65,15.25,17533400,15.25
2015-03-24,15.4,15.5,15.15,15.35,10653900,15.35
2015-03-25,15.5,15.7,15.2,15.3,16155900,15.3
2015-03-26,15.35,15.5,15.15,15.25,22095900,15.25
2015-03-27,15.3,15.7,15.15,15.55,15640400,15.55
2015-03-30,15.8,15.85,15.55,15.75,11404300,15.75
2015-03-31,15.8,16.95,15.65,16.6,29178700,16.6
2015-04-01,16.6,16.95,16.3,16.85,14156900,16.85
2015-04-02,16.85,16.85,16.85,16.85,0,16.85
2015-04-03,16.85,16.85,16.85,16.85,0,16.85
2015-04-06,16.95,17.05,16.4,16.9,15434400,16.9
2015-04-07,17.1,17.8,16.65,17.7,23817900,17.7
2015-04-08,17.8,18,17.25,17.35,21004600,17.35
2015-04-09,17.45,17.65,17.2,17.3,7692400,17.3
2015-04-10,17.45,18.95,17.25,18.8,35911900,18.8
2015-04-13,18.8,19.25,18.25,18.6,20173000,18.6
2015-04-14,18.6,18.6,18.6,18.6,0,18.6
2015-04-15,18.55,18.9,17.5,17.95,14188500,17.95
2015-04-16,18,18.15,17.55,17.7,9682600,17.7
2015-04-17,17.75,17.85,17.1,17.2,9178400,17.2
2015-04-20,16.35,17.05,16.2,16.5,17803600,16.5
2015-04-21,16.65,16.75,16,16.1,14871200,16.1
2015-04-22,16.2,16.35,15.6,16.1,26529300,16.1
2015-04-23,16.4,16.45,15.7,15.75,15396400,15.75
2015-04-24,15.9,15.9,15.1,15.25,18954900,15.25
2015-04-27,15.3,15.45,14.85,14.9,17352900,14.9
2015-04-28,14.95,15.25,14.7,15.05,20886800,15.05
2015-04-29,15.15,15.3,15,15.1,11262400,15.1
2015-04-30,15.1,15.15,14.65,14.75,52519700,14.75
2015-05-01,14.75,14.75,14.75,14.75,0,14.75
2015-05-04,14.85,16,14.75,15.95,26548500,15.95
2015-05-05,15.95,15.95,15.35,15.5,16571000,15.5
2015-05-06,15.4,15.5,14.75,14.8,20156900,14.8
2015-05-07,14.8,15,14.4,14.7,27959200,14.7
2015-05-08,15,15.3,14.85,15,13660900,15
2015-05-11,15.25,15.5,15.05,15.2,9855400,15.2
2015-05-12,15.45,15.5,14.9,14.95,12847800,14.95
2015-05-13,15.2,15.45,15,15.15,23549500,15.15
2015-05-14,15,15.4,14.9,15.1,18648600,15.1
2015-05-15,15.25,15.3,14.9,14.95,7095800,14.95
2015-05-18,15.05,15.35,15.05,15.1,7843700,15.1
2015-05-19,15.2,15.3,14.9,15,11197700,15
2015-05-20,15,15.2,14.85,14.9,8744700,14.9
2015-05-21,15,15.05,14.45,14.55,16876500,14.55
2015-05-22,14.65,14.7,14.2,14.3,10204700,14.3
2015-05-25,14.3,14.7,14.1,14.5,11695900,14.5
2015-05-26,14.45,14.85,14.4,14.5,9943400,14.5
2015-05-27,14.4,14.55,14.3,14.3,10342100,14.3
2015-05-28,14.4,14.7,14.05,14.45,18408900,14.45
2015-05-29,14.55,14.75,14.05,14.15,18053800,14.15
2015-06-01,14.15,14.35,14.05,14.25,10331900,14.25
2015-06-02,14.25,14.25,13.55,13.6,12593300,13.6
2015-06-03,13.75,14,10.9,12.95,50737600,12.95
2015-06-04,13.15,13.3,12.3,13.05,17218800,13.05
2015-06-05,13,13.2,12.7,13.05,8938700,13.05
2015-06-08,13,13.1,12.45,12.9,9200800,12.9
2015-06-09,12.9,13,12.45,12.9,8094300,12.9
2015-06-10,12.85,13.25,12.8,13,7196700,13
2015-06-11,13.05,13.35,12.4,12.5,14103400,12.5
2015-06-12,12.65,12.8,11.95,12.55,13996200,12.55
2015-06-15,12.6,12.9,12.4,12.8,8590000,12.8
2015-06-16,12.9,13.05,12.65,12.95,8814100,12.95
2015-06-17,12.95,13.05,12.7,12.85,8322600,12.85
2015-06-18,12.8,13,12.8,12.95,6333800,12.95
2015-06-19,13,13.45,12.95,13.3,5657200,13.3
2015-06-22,13.35,14.7,13.35,14.5,18104700,14.5
2015-06-23,14.55,14.75,14,14.25,11170800,14.25
2015-06-24,14.5,14.7,13.9,14,16559000,14
2015-06-25,13.95,15.5,13.75,15.25,36346100,15.25
2015-06-26,15.25,15.4,14.3,14.55,23416900,14.55
2015-06-29,13.85,14.1,13.55,14,11048400,14
2015-06-30,14,14.2,13.65,14,11563700,14
2015-07-01,14,14.8,14,14.7,15199800,14.7
2015-07-02,14.7,14.85,14.45,14.6,9772000,14.6
2015-07-03,14.5,14.65,14.25,14.35,8524900,14.35
2015-07-06,14.05,14.6,13.8,14.5,10691800,14.5
2015-07-07,14.5,14.7,14.3,14.5,6362300,14.5
2015-07-08,14.35,14.35,13.85,14.2,10386800,14.2
2015-07-09,14.3,14.35,14.05,14.25,4563500,14.25
2015-07-10,14.5,14.5,14.05,14.2,6087900,14.2
2015-07-13,14.25,14.8,14.15,14.75,5824700,14.75
2015-07-14,14.95,15.25,14.8,14.85,11562500,14.85
2015-07-15,14.85,15.05,14.65,14.9,4345100,14.9
2015-07-16,14.9,15.1,14.85,15.05,5895300,15.05
2015-07-17,15.1,15.35,14.8,15.1,10807800,15.1
2015-07-20,15.15,15.25,14.85,15,3450400,15
2015-07-21,14.75,14.95,14.15,14.3,7442200,14.3
2015-07-22,14.4,14.6,14.15,14.45,13324000,14.45
2015-07-23,14.4,15.5,14.3,15.2,15031600,15.2
2015-07-24,15.3,15.35,14.55,14.6,4622700,14.6
2015-07-27,14.55,15.1,13.85,14,10774900,14
2015-07-28,14.05,14.25,13.65,13.75,8204600,13.75
2015-07-29,13.85,14.1,13.25,13.4,11052800,13.4
2015-07-30,13.45,14.7,13.4,14.3,24618100,14.3
2015-07-31,14.35,14.4,13.8,14,8616000,14
2015-08-03,14,14.65,14,14.25,10106300,14.25
2015-08-04,14.3,14.35,13.9,14,5378600,14
2015-08-05,14.05,14.55,14,14.1,11159100,14.1
2015-08-06,14.2,14.3,13.9,14.05,6455700,14.05
2015-08-07,14,14.15,13.9,13.95,4497000,13.95
2015-08-10,13.9,14.15,13.7,13.75,4397300,13.75
2015-08-11,13.85,14,13.4,13.55,6497300,13.55
2015-08-12,13.5,13.6,13.2,13.3,9726500,13.3
2015-08-13,13.4,13.5,12.6,12.9,13672800,12.9
2015-08-14,13.2,13.5,13,13.2,9411200,13.2
2015-08-17,13.3,13.4,12.8,12.9,5029700,12.9
2015-08-18,12.9,13.15,12.9,12.95,4265600,12.95
2015-08-19,12.95,13.1,12.75,12.95,4880400,12.95
2015-08-20,12.9,12.95,12.6,12.65,7634400,12.65
2015-08-21,12.5,12.6,12.15,12.55,9773200,12.55
2015-08-24,12,12.15,10.1,10.8,31318200,10.8
2015-08-25,11.1,11.7,9.8,11.3,37064800,11.3
2015-08-26,11.3,12.15,10.95,11.95,27396100,11.95
2015-08-27,12.4,12.4,11.6,12.25,24155200,12.25
2015-08-28,12.4,12.55,11.55,11.65,12232700,11.65
2015-08-31,11.75,12.05,11.35,11.65,6813500,11.65
2015-09-01,11.55,11.65,11.05,11.3,6475000,11.3
2015-09-02,11.45,11.55,11,11.2,6633300,11.2
2015-09-03,11.2,11.5,11.1,11.2,14027100,11.2
2015-09-04,11.2,11.5,9.8,11.15,23888200,11.15
2015-09-07,11.35,11.35,10.55,11,10355600,11
2015-09-08,11,11.6,10.8,11.45,9246000,11.45
2015-09-09,11.75,12.25,11.6,12.1,6846100,12.1
2015-09-10,11.9,12.1,11.55,12.05,6537800,12.05
2015-09-11,12.1,12.25,11.9,12.1,9485800,12.1
2015-09-14,12.1,12.7,12.05,12.45,15149600,12.45
2015-09-15,12.5,12.55,12.25,12.3,6513100,12.3
2015-09-16,12.4,12.6,12.25,12.25,2406500,12.25
2015-09-17,12.25,12.25,12.25,12.25,0,12.25
2015-09-18,12.6,12.9,12.3,12.5,9275000,12.5
2015-09-21,12.5,13.2,12.25,13.05,6268600,13.05
2015-09-22,13.25,13.3,12.6,12.75,6513600,12.75
2015-09-23,12.6,13.85,12.45,13.45,13660500,13.45
2015-09-24,13,13.5,12.95,13.1,21056400,13.1
2015-09-25,13.1,13.1,13.1,13.1,0,13.1
2015-09-28,13.2,13.6,13.05,13.15,9701700,13.15
2015-09-29,13,13.65,12.8,13.3,11323700,13.3
2015-09-30,13.3,13.65,13.3,13.55,10120100,13.55
2015-10-01,13.55,13.8,13.15,13.2,7464800,13.2
2015-10-02,13.2,13.2,13.2,13.2,0,13.2
2015-10-05,13.3,13.7,13.25,13.65,9139300,13.65
2015-10-06,13.75,13.95,13.45,13.55,6883400,13.55
2015-10-07,13.6,14.3,13.4,14,17230900,14
2015-10-08,14.1,14.5,13.75,13.95,11988300,13.95
2015-10-09,14.2,14.2,13.6,13.7,10385600,13.7
2015-10-12,14.15,14.15,13.55,13.75,15700700,13.75
2015-10-13,13.75,13.85,13.5,13.55,10938700,13.55
2015-10-14,13.6,13.95,13.5,13.55,9962200,13.55
2015-10-15,13.75,14,13.7,13.75,8054700,13.75
2015-10-16,13.8,13.95,13.7,13.8,7255500,13.8
2015-10-19,13.85,13.95,13.7,13.8,7087000,13.8
2015-10-20,13.85,14.75,13.8,14,29061600,14
2015-10-21,14.1,14.2,13.2,13.55,13672100,13.55
2015-10-22,13.55,13.55,13.55,13.55,0,13.55
2015-10-23,13.7,13.85,13.2,13.3,12832900,13.3
2015-10-26,13.5,13.6,13.1,13.2,7466500,13.2
2015-10-27,13.1,13.75,13,13.55,29249900,13.55
2015-10-28,13.4,13.6,13.1,13.25,30418000,13.25
2015-10-29,13.3,13.55,13.1,13.2,39857400,13.2
2015-10-30,13.3,13.6,12.95,13.1,11311200,13.1
2015-11-02,13.05,13.2,12.7,12.75,7960700,12.75
2015-11-03,12.85,13,12.65,12.7,5779900,12.7
2015-11-04,12.8,12.9,12.55,12.6,3528900,12.6
2015-11-05,12.5,12.65,12,12.05,10774000,12.05
2015-11-06,12,12.2,11.65,11.8,18422300,11.8
2015-11-09,11.45,12,11.2,11.95,5577700,11.95
2015-11-10,11.95,12.05,11.6,11.65,4712100,11.65
2015-11-11,11.65,11.65,11.65,11.65,0,11.65
2015-11-12,11.65,11.65,11.65,11.65,0,11.65
2015-11-13,11.85,12.1,11.7,11.9,4101500,11.9
2015-11-16,12.3,13.6,12.2,13.4,32418200,13.4
2015-11-17,13.4,13.95,13.2,13.3,20913400,13.3
2015-11-18,13.5,14.85,13.35,14.25,62778400,14.25
2015-11-19,15,15.05,14.25,14.4,28199600,14.4
2015-11-20,14.5,14.75,13.95,14.1,21572700,14.1
2015-11-23,14.25,14.3,14,14.15,9155000,14.15
2015-11-24,14.25,15,14.1,14.85,46540900,14.85
2015-11-25,14.85,14.85,14.85,14.85,0,14.85
2015-11-26,14.95,16.05,14.8,15.75,67158600,15.75
2015-11-27,15.65,16.65,15.45,15.8,71856600,15.8
2015-11-30,15.9,16.85,15.8,16.65,48096800,16.65
2015-12-01,16.75,17.1,16.25,16.45,26328700,16.45
2015-12-02,16.65,17.85,16.55,17.65,56534600,17.65
2015-12-03,17.8,18.55,17.55,18.1,57976500,18.1
2015-12-04,18.25,18.35,14.85,15.45,117053600,15.45
2015-12-07,16.2,16.75,15.6,16.2,75740300,16.2
2015-12-08,16.2,16.45,15.05,15.35,52081100,15.35
2015-12-09,15.15,15.4,14.65,14.95,41645200,14.95
2015-12-10,15.2,15.95,14.75,15.8,44746100,15.8
2015-12-11,15.9,16.05,14.85,15.15,34643600,15.15
2015-12-14,15.2,15.75,14.85,15.15,37348000,15.15
2015-12-15,15.25,15.3,14.8,15,21726900,15
2015-12-16,15.25,15.4,14.85,15,26358400,15
2015-12-17,15.25,15.6,15.05,15.5,19859200,15.5
2015-12-18,15.4,15.5,15.1,15.2,19086800,15.2
2015-12-21,15.25,15.45,15.15,15.3,12961700,15.3
2015-12-22,15.4,16.3,15.4,15.55,41841900,15.55
2015-12-23,15.75,16,15.5,15.55,17971500,15.55
2015-12-24,15.7,16.2,15.55,16.05,28010200,16.05
2015-12-25,16.05,16.05,16.05,16.05,0,16.05
2015-12-28,16.15,16.4,15.95,16.1,25350300,16.1
2015-12-29,16.4,16.5,16,16.15,26505600,16.15
2015-12-30,16.25,16.3,15.9,16,19257400,16
2015-12-31,16.05,16.6,15.85,16.4,30771500,16.4
2016-01-01,16.35,16.6,16.05,16.45,19879900,16.45
2016-01-04,16.35,16.75,15.75,15.95,31009500,15.95
2016-01-05,16.05,16.15,15.85,15.95,14091800,15.95
2016-01-06,16,16.3,15.85,15.9,12906400,15.9
2016-01-07,15.7,15.7,14.65,14.85,17377200,14.85
2016-01-08,15,15.35,14.85,15.25,11264800,15.25
2016-01-11,15,15.3,14.7,15.1,11023000,15.1
2016-01-12,15.2,15.3,14.7,14.85,10902200,14.85
2016-01-13,15.15,15.15,13.7,14.25,24233900,14.25
2016-01-14,13.85,14.15,13.6,13.9,11476500,13.9
2016-01-15,13.9,14.15,13.2,13.3,13910900,13.3
2016-01-18,13.35,13.45,12.55,12.65,19846300,12.65
2016-01-19,12.75,13.3,12.5,13,18987100,13
2016-01-20,12.9,12.9,12.2,12.4,16064700,12.4
2016-01-21,12.65,12.9,12.45,12.6,14118800,12.6
2016-01-22,12.9,13.2,12.8,13,17642000,13
2016-01-25,13.15,13.4,12.6,12.7,14069200,12.7
2016-01-26,12.7,12.7,12.7,12.7,0,12.7
2016-01-27,12.95,13.05,12.7,12.9,12243000,12.9
2016-01-28,13.05,13.05,12.4,12.6,19558800,12.6
2016-01-29,12.7,13.05,12.45,13,22600500,13
2016-02-01,13.1,13.15,12.85,12.95,8282900,12.95
2016-02-02,12.85,13.5,12.55,12.7,24406700,12.7
2016-02-03,12.45,12.45,11.95,12.05,13772600,12.05
2016-02-04,12.3,12.35,11.75,11.95,9344900,11.95
2016-02-05,12.1,12.45,11.9,12.3,8941700,12.3
2016-02-08,12.55,12.85,12.4,12.5,10849000,12.5
2016-02-09,12.3,12.45,12.15,12.3,9262900,12.3
2016-02-10,12.3,12.35,11.95,12,9406500,12
2016-02-11,12.3,12.5,9.75,10.5,37325300,10.5
2016-02-12,10.5,11.15,9.95,11,35734100,11
2016-02-15,11.3,11.7,11.25,11.45,11265600,11.45
2016-02-16,11.6,11.65,10.85,10.95,9653300,10.95
2016-02-17,11.05,11.2,10.3,11.1,20450700,11.1
2016-02-18,11.3,11.45,10.85,11.1,7124700,11.1
2016-02-19,10.9,11.45,10.9,11.2,12890200,11.2
2016-02-22,11.3,11.35,11.05,11.1,7009600,11.1
2016-02-23,11.2,11.4,11.05,11.25,13471900,11.25
2016-02-24,11.2,12.9,11.05,11.7,45680100,11.7
2016-02-25,11.85,11.9,11,11.2,40145100,11.2
2016-02-26,11.4,11.4,11.05,11.15,16656900,11.15
2016-02-29,11.1,11.3,10.3,10.9,27849900,10.9
2016-03-01,11.05,11.55,10.95,11.4,22352600,11.4
2016-03-02,11.55,11.75,11.45,11.55,26968400,11.55
2016-03-03,11.7,11.7,11.45,11.6,16741000,11.6
2016-03-04,11.75,12.15,11.55,11.85,21905300,11.85
2016-03-07,11.85,11.85,11.85,11.85,0,11.85
2016-03-08,11.9,12.1,11.75,12,22801800,12
2016-03-09,11.95,12.25,11.8,12.15,9946400,12.15
2016-03-10,12.2,12.25,11.7,11.85,9223000,11.85
2016-03-11,11.8,12.05,11.75,11.85,6997800,11.85
2016-03-14,11.85,12,11.45,11.55,7137200,11.55
2016-03-15,11.6,11.7,11.35,11.6,9467100,11.6
2016-03-16,11.8,11.95,11.5,11.65,13006900,11.65
2016-03-17,11.75,11.85,11.45,11.55,13461700,11.55
2016-03-18,11.65,11.75,11.45,11.55,12944100,11.55
2016-03-21,11.75,11.9,11.7,11.8,9081500,11.8
2016-03-22,11.8,12.05,11.7,12,6354100,12
2016-03-23,12.05,12.05,11.7,11.75,8502200,11.75
2016-03-24,11.75,11.75,11.75,11.75,0,11.75
2016-03-25,11.75,11.75,11.75,11.75,0,11.75
2016-03-28,12.05,12.15,11.3,11.4,9242500,11.4
2016-03-29,11.4,11.55,11.2,11.3,8968000,11.3
2016-03-30,11.55,11.6,11.3,11.5,10771500,11.5
2016-03-31,11.55,11.8,11.45,11.6,47420500,11.6
2016-04-01,11.6,12.1,11.5,12,15734300,12
2016-04-04,12,12.15,11.85,11.95,8266900,11.95
2016-04-05,11.85,11.9,11.35,11.4,10544000,11.4
2016-04-06,11.5,11.55,11.3,11.45,7966800,11.45
2016-04-07,11.6,11.65,11.3,11.35,5598700,11.35
2016-04-08,11.35,11.45,11.25,11.4,4048800,11.4
2016-04-11,11.3,11.65,11.3,11.6,4863600,11.6
2016-04-12,11.55,11.75,11.5,11.55,7910200,11.55
2016-04-13,11.65,12,11.6,11.85,11219400,11.85
2016-04-14,11.85,11.85,11.85,11.85,0,11.85
2016-04-15,11.85,11.85,11.85,11.85,0,11.85
2016-04-18,11.85,11.95,11.7,11.85,10104100,11.85
2016-04-19,11.85,11.85,11.85,11.85,0,11.85
2016-04-20,11.95,12.6,11.9,12.45,21220400,12.45
2016-04-21,12.6,12.7,12.2,12.25,8663000,12.25
2016-04-22,12.05,12.3,12.05,12.15,5868900,12.15
2016-04-25,12.35,12.4,12.15,12.2,6476600,12.2
2016-04-26,12.2,12.4,12.1,12.35,7256900,12.35
2016-04-27,12.2,12.5,12.2,12.45,6597900,12.45
2016-04-28,12.45,12.45,11.9,12,15948000,12
2016-04-29,12.15,12.7,12,12.6,18545200,12.6
2016-05-02,12.7,12.95,12.35,12.7,14304400,12.7
2016-05-03,12.8,12.8,12.25,12.3,13956800,12.3
2016-05-04,12.25,12.35,11.8,11.9,8515800,11.9
