"Date","GODREJCP.NS.Open","GODREJCP.NS.High","GODREJCP.NS.Low","GODREJCP.NS.Close","GODREJCP.NS.Volume","GODREJCP.NS.Adjusted"
2015-01-01,970,994.9,964,965.9,33700,956.07
2015-01-02,965.9,990,965,970.1,26800,960.23
2015-01-05,975,981,961.9,970.45,41300,960.58
2015-01-06,975,975,949.25,952,82300,942.31
2015-01-07,952.1,965,950.1,960.15,65100,950.38
2015-01-08,965,1006.7,962.35,990.15,226700,980.08
2015-01-09,998,1049,992.5,1023.55,269000,1013.14
2015-01-12,1029,1067.7,1025,1058.85,150300,1048.08
2015-01-13,1058,1086.45,1053.6,1081.15,94200,1070.15
2015-01-14,1094,1094,1076.1,1085.45,141200,1074.41
2015-01-15,1092.05,1095.55,1062,1069.3,220800,1058.42
2015-01-16,1073,1141.2,1073,1125.4,250600,1113.95
2015-01-19,1134.65,1135,1066.4,1094.05,51200,1082.92
2015-01-20,1109,1109,1055.1,1081.95,138500,1070.94
2015-01-21,1080,1103,1070,1095.35,135600,1084.21
2015-01-22,1092,1096,1061.1,1090.35,79100,1079.26
2015-01-23,1087,1110,1075.15,1100.2,149400,1089.01
2015-01-26,1100.2,1100.2,1100.2,1100.2,0,1089.01
2015-01-27,1104,1105,1067,1078.3,153500,1067.33
2015-01-28,1082,1124.95,1081.95,1113,163000,1101.68
2015-01-29,1110,1110,1080.1,1090.05,117800,1078.96
2015-01-30,1094,1094,1050.1,1061.2,147300,1050.4
2015-02-02,1060.5,1078.75,1045.75,1071.4,132200,1060.5
2015-02-03,1074.25,1093.6,1071.55,1083.7,67700,1072.67
2015-02-04,1083.7,1086.5,1022.25,1025.55,143200,1015.12
2015-02-05,1025,1088.45,1024.95,1078.45,620600,1067.48
2015-02-06,1083.8,1136.6,1075,1122.55,238300,1111.13
2015-02-09,1115,1115,1076.6,1095.15,106800,1084.01
2015-02-10,1099,1141.7,1042,1062.4,264900,1051.59
2015-02-11,1082.5,1123.95,1066.3,1114.65,258900,1103.31
2015-02-12,1130,1150,1116,1146.4,121100,1135.76
2015-02-13,1146.2,1203.9,1120.8,1177.85,146000,1166.91
2015-02-16,1181,1187.55,1160,1170.75,80200,1159.88
2015-02-17,1170.75,1170.75,1170.75,1170.75,0,1159.88
2015-02-18,1175,1190.75,1165.5,1176.45,106500,1165.53
2015-02-19,1180,1184,1131.5,1149.65,141800,1138.98
2015-02-20,1154,1154,1101.1,1104.2,96100,1093.95
2015-02-23,1131,1131,1092,1094.35,140800,1084.19
2015-02-24,1094,1125,1093.2,1120.55,79400,1110.15
2015-02-25,1136,1142.8,1105.5,1126.9,94200,1116.44
2015-02-26,1136.8,1142.45,1103.6,1129,220200,1118.52
2015-02-27,1129,1156.85,1123.05,1146.5,297100,1135.86
2015-03-02,1140,1148,1105,1126.2,321400,1115.74
2015-03-03,1130,1171,1120,1144.2,126900,1133.58
2015-03-04,1165,1219,1165,1206,155900,1194.8
2015-03-05,1205,1227.2,1177.55,1204.95,257900,1193.76
2015-03-06,1204.95,1204.95,1204.95,1204.95,0,1193.76
2015-03-09,1209,1209,1172.5,1184.55,78000,1173.55
2015-03-10,1193.9,1218,1184.7,1200.45,147700,1189.3
2015-03-11,1217.4,1217.4,1133.4,1146.7,136600,1136.05
2015-03-12,1148.45,1169,1138,1162.35,118600,1151.56
2015-03-13,1162,1162,1106.6,1124.35,97400,1113.91
2015-03-16,1125,1129.2,1068.8,1077.25,162300,1067.25
2015-03-17,1090,1116.5,1085.15,1112.5,105600,1102.17
2015-03-18,1109.95,1143.1,1101.95,1133.3,286800,1122.78
2015-03-19,1142,1153,1105.2,1129.15,194400,1118.67
2015-03-20,1128.55,1128.55,1079.95,1096.05,225900,1085.87
2015-03-23,1125,1125,1084.15,1092.65,67800,1082.51
2015-03-24,1110,1131.4,1090.1,1112.25,290900,1101.92
2015-03-25,1110,1110.4,1085,1098.2,488700,1088
2015-03-26,1090.1,1104.45,1060.55,1073.75,259100,1063.78
2015-03-27,1085,1086,1050,1056.9,240000,1047.09
2015-03-30,1060.2,1073.6,1030,1044.3,245300,1034.6
2015-03-31,1040,1069.9,1025.05,1040.95,343000,1031.29
2015-04-01,1049,1089,1040.95,1078.95,125500,1068.93
2015-04-02,1078.95,1078.95,1078.95,1078.95,0,1068.93
2015-04-03,1078.95,1078.95,1078.95,1078.95,0,1068.93
2015-04-06,1065.2,1125.15,1063.35,1117.95,245500,1107.57
