"Date","GODREJIND.NS.Open","GODREJIND.NS.High","GODREJIND.NS.Low","GODREJIND.NS.Close","GODREJIND.NS.Volume","GODREJIND.NS.Adjusted"
2015-01-01,293.76501,295.164,291.31699,291.91599,110500,288.83515
2015-01-02,292.01599,298.26099,292.01599,295.314,291700,292.1973
2015-01-05,295,299.5,292.10001,294.79999,160800,291.92207
2015-01-06,290,294.04999,272.95001,278.70001,292000,275.97926
2015-01-07,278,280.95001,273,277.20001,192700,274.49391
2015-01-08,279.35001,284.95001,279.35001,284.04999,155600,281.27701
2015-01-09,285.25,287.95001,280.10001,284.60001,241400,281.82166
2015-01-12,284.70001,289.79999,283,288.45001,141500,285.63408
2015-01-13,288.5,297.70001,287.10001,293.10001,301000,290.23868
2015-01-14,292.04999,296.89999,292.04999,294.85001,150700,291.9716
2015-01-15,298,309.79999,294.20001,306.14999,911700,303.16127
2015-01-16,304.95001,316.45001,304,314.85001,768800,311.77635
2015-01-19,316.45001,317.5,308.29999,309.39999,201400,306.37954
2015-01-20,310.45001,315,309.39999,310.95001,243800,307.91443
2015-01-21,313.35001,314.79999,306.20001,308.70001,236200,305.68639
2015-01-22,308.75,313.79999,307.10001,309.10001,209100,306.08248
2015-01-23,311.20001,317.64999,304.04999,314.54999,378800,311.47926
2015-01-26,314.54999,314.54999,314.54999,314.54999,0,311.47926
2015-01-27,316.79999,322.45001,313.5,316.54999,736800,313.45974
2015-01-28,315,319,309.70001,312.10001,314600,309.0532
2015-01-29,310.54999,318,309.25,315.04999,359600,311.97438
2015-01-30,316.20001,318.89999,308.75,310.75,363600,307.71637
2015-02-02,312.95001,313.79999,306.64999,312.35001,253300,309.30076
2015-02-03,311.10001,323.60001,311.10001,321.39999,576900,318.26239
2015-02-04,324.79999,326,305.14999,307.39999,813800,304.39907
2015-02-05,307.04999,313,302.20001,305.35001,353200,302.36909
2015-02-06,305.60001,308.29999,300,303.89999,413000,300.93323
2015-02-09,300.25,307.5,285.14999,292.14999,352400,289.29794
2015-02-10,291,311.89999,289.10001,308.10001,1097500,305.09225
2015-02-11,309,315.39999,304.25,309.64999,1207300,306.6271
2015-02-12,312.64999,320,311.10001,314.85001,933700,311.77635
2015-02-13,315.39999,331.35001,314.5,328.04999,943000,324.84747
2015-02-16,330.79999,331.89999,322,323.60001,419600,320.44093
2015-02-17,323.60001,323.60001,323.60001,323.60001,0,320.44093
2015-02-18,321.85001,334.14999,321.85001,330.75,727600,327.52112
2015-02-19,330,334.64999,326.79999,331.60001,535600,328.36283
2015-02-20,331.95001,337.14999,327.45001,330.85001,308000,327.62015
2015-02-23,331.14999,332.5,327,329.25,379900,326.03577
2015-02-24,330,336.5,327.5,331.64999,570000,328.41233
2015-02-25,333.25,337,328.39999,334.04999,452700,330.7889
2015-02-26,334.04999,340,320.39999,328.20001,914900,324.99603
2015-02-27,330.54999,333.29999,329.20001,331.20001,158600,327.96674
2015-03-02,332.60001,342.45001,330,340.29999,336900,336.97788
2015-03-03,340.29999,343.89999,335.85001,339.35001,382500,336.03717
2015-03-04,341,344.95001,331.20001,335.45001,289600,332.17525
2015-03-05,337,338,332.04999,335.04999,143500,331.77913
2015-03-06,335.04999,335.04999,335.04999,335.04999,0,331.77913
2015-03-09,330,334.10001,328.89999,330.75,126800,327.52112
2015-03-10,331.45001,332.45001,327.25,329.29999,139100,326.08527
2015-03-11,329.39999,331.85001,327.04999,330.5,147400,327.27356
2015-03-12,330.20001,342,330.20001,339.25,244500,335.93814
2015-03-13,340.25,341,334.39999,335.54999,355400,332.27425
2015-03-16,337,337.14999,331,333.04999,164500,329.79866
2015-03-17,333,348,332.75,345,545600,341.63201
2015-03-18,347.54999,350.89999,343.14999,345,479300,341.63201
2015-03-19,347,349.29999,338.20001,340.5,193900,337.17594
2015-03-20,340.5,341.5,332.79999,336.45001,312200,333.16549
2015-03-23,336.45001,337.95001,328,333.5,275100,330.24428
2015-03-24,333.5,334.89999,330.10001,333.20001,423800,329.94722
2015-03-25,334.75,337,328.5,334.14999,419100,330.88793
2015-03-26,333.45001,338.79999,328.60001,334.60001,250800,331.33354
2015-03-27,333,349,329,345.5,277400,342.12713
2015-03-30,348.70001,350.60001,343.5,345.14999,159700,341.78054
2015-03-31,346.95001,350,344.04999,345.85001,216700,342.47372
2015-04-01,346.70001,360,344.04999,359.20001,310100,355.6934
2015-04-02,359.20001,359.20001,359.20001,359.20001,0,355.6934
2015-04-03,359.20001,359.20001,359.20001,359.20001,0,355.6934
2015-04-06,359.14999,364,351.29999,360.79999,336900,357.27775
2015-04-07,360.79999,364,352.5,361.70001,157900,358.16899
2015-04-08,364,379,355.29999,372.60001,413000,368.96258
2015-04-09,372.60001,374.35001,363,369,365600,365.39772
2015-04-10,369,384.54999,365.70001,382.25,517100,378.51837
2015-04-13,382,385,374.39999,381.60001,261500,377.87472
2015-04-14,381.60001,381.60001,381.60001,381.60001,0,377.87472
2015-04-15,380,384.45001,367.39999,370,166300,366.38795
2015-04-16,370,378,367.45001,374.60001,231100,370.94305
2015-04-17,374.60001,376.79999,368.20001,370.75,355000,367.13063
2015-04-20,370,370,348.70001,350.75,151300,347.32588
2015-04-21,350.89999,375,350.5,368.64999,292300,365.05113
2015-04-22,368.64999,377.39999,362.5,371.25,319000,367.62575
2015-04-23,371.79999,373.5,362.04999,367.75,186400,364.15992
2015-04-24,369.5,372,357.10001,360.64999,183300,357.12923
2015-04-27,360.54999,360.75,337.54999,341.20001,235900,337.86912
2015-04-28,340,354.75,335.70001,351.45001,258500,348.01906
2015-04-29,349,352.60001,335.39999,339,298400,335.69058
2015-04-30,339,370.79999,331.04999,361.14999,933600,357.62434
2015-05-01,361.14999,361.14999,361.14999,361.14999,0,357.62434
2015-05-04,364.5,380,359,376.39999,286800,372.72547
2015-05-05,377.10001,380,364.75,369.10001,321200,365.49675
2015-05-06,367.20001,375,352.54999,366.45001,327600,362.87262
2015-05-07,364,368,352.25,355.75,309800,352.27707
2015-05-08,357.75,362.85001,338.14999,340.29999,295100,336.97788
2015-05-11,343,357.75,343,355.04999,292700,351.58389
2015-05-12,356,367.60001,337.60001,340.5,456400,337.17594
2015-05-13,344,354,340.5,347.95001,282200,344.55322
2015-05-14,348.10001,366.79999,345,364.10001,341800,360.54556
2015-05-15,365.10001,371.25,355.39999,359.29999,618100,355.7924
2015-05-18,360,368,356.54999,363.64999,209000,360.09994
2015-05-19,363.64999,366.5,359.35001,360.39999,128100,356.88167
2015-05-20,362.29999,369.89999,359.75,362.64999,237500,359.1097
2015-05-21,363,369.79999,361.39999,362.79999,323100,359.25823
2015-05-22,361.29999,366,357,359.5,152500,355.99046
2015-05-25,359,365.39999,356.39999,363.39999,154500,359.85238
2015-05-26,365.20001,365.20001,359.95001,363.89999,145300,360.3475
2015-05-27,362.20001,366.5,358.5,363.20001,225200,359.65435
2015-05-28,374.20001,409.70001,369.79999,377.5,6425100,373.81474
2015-05-29,377.85001,382.35001,374.79999,379.04999,927600,375.34959
2015-06-01,379.14999,385.29999,371.14999,374.39999,477300,370.74499
2015-06-02,374.95001,377.14999,348.45001,350.75,482100,347.32588
2015-06-03,350.95001,352.54999,334.45001,342.5,336200,339.15642
2015-06-04,343.64999,346,326,332.89999,405500,329.65013
2015-06-05,331,342.89999,330.5,337.89999,314500,334.60132
2015-06-08,339.89999,340,318.75,332.04999,676300,328.80842
2015-06-09,328.04999,337,323.14999,332.54999,355900,329.30354
2015-06-10,332.04999,343.54999,332.04999,335.85001,411500,332.57134
2015-06-11,337.20001,341,327,329.29999,328200,326.08527
2015-06-12,329,332.70001,324.5,331.45001,275500,328.2143
2015-06-15,334.39999,336.95001,329.70001,331,168100,327.76868
2015-06-16,331,334.79999,327,332.29999,221500,329.05598
2015-06-17,334.25,338.5,331.85001,335.39999,192200,332.12572
2015-06-18,335.64999,339.89999,332.89999,335.5,159200,332.22475
2015-06-19,337.10001,347.5,335.70001,344.25,344000,340.88933
2015-06-22,347,350,343.39999,346.95001,281100,343.56299
2015-06-23,346.95001,351.79999,343.64999,347.29999,215600,343.90955
2015-06-24,345.10001,358,340.35001,343.85001,422500,340.49324
