"Date","GRANULES.NS.Open","GRANULES.NS.High","GRANULES.NS.Low","GRANULES.NS.Close","GRANULES.NS.Volume","GRANULES.NS.Adjusted"
2015-01-01,826.7,847.7,826,831.85,1408600,81.979
2015-01-02,835.05,848.7,822.2,828.65,1162200,81.664
2015-01-05,835,839.7,817.15,820.6,988700,80.871
2015-01-06,817.25,817.25,785,790.65,982500,77.919
2015-01-07,791,800,775.1,780.95,808500,76.963
2015-01-08,788.8,799.05,782.15,790.55,683800,77.909
2015-01-09,802.75,829.65,800,812.7,1924900,80.092
2015-01-12,816,855,806,843.15,1968900,83.093
2015-01-13,855,874,832,836.55,2507700,82.443
2015-01-14,834,855,821,830.3,968600,81.827
2015-01-15,836,851,832.15,835.45,451700,82.334
2015-01-16,840,851,821,826.9,876100,81.492
2015-01-19,830.5,841.95,820.05,825.25,466700,81.329
2015-01-20,828,848,827.95,835.75,1002300,82.364
2015-01-21,838,850,832,843.45,960800,83.123
2015-01-22,840,856,838.5,842.65,808100,83.044
2015-01-23,849.9,849.9,820,826.1,739400,81.413
2015-01-26,826.1,826.1,826.1,826.1,0,81.413
2015-01-27,835.9,835.9,816.15,820.4,653100,80.851
2015-01-28,827,870,804.55,847.45,5128600,83.517
2015-01-29,853.8,853.8,825.1,829.95,1094500,81.792
2015-01-30,832.25,832.95,805.6,808.8,839100,79.708
2015-02-02,812,825.65,809.1,818.65,476200,80.679
2015-02-03,834.9,844.7,820,826.1,914200,81.413
2015-02-04,829,838.9,814.5,825.15,604900,81.319
2015-02-05,825.45,837.8,813.25,818,674300,80.614
2015-02-06,818,823,796.95,799.8,603200,78.821
2015-02-09,803,803,776.1,785.9,388800,77.451
2015-02-10,782.25,808,771,778.1,555500,76.682
2015-02-11,781,793.95,778,783.6,577100,77.224
2015-02-12,786,793.7,781,788.25,360800,77.683
2015-02-13,794.6,800,783,785.05,535400,77.367
2015-02-16,787,795.9,780,782.55,420200,77.121
2015-02-17,782.55,782.55,782.55,782.55,0,77.121
2015-02-18,787.5,818,785,808.6,891600,79.688
2015-02-19,814.9,824.7,802.5,812.85,639100,80.107
2015-02-20,815,816,791,793.45,574100,78.195
2015-02-23,796.1,809,785,786.2,550400,77.481
2015-02-24,788.45,794.6,782.3,784.7,348200,77.333
2015-02-25,788,789.8,775,776.15,418900,76.49
2015-02-26,777.95,778.95,752.8,758.35,565000,74.736
2015-02-27,761,777,757.8,761.05,543100,75.002
2015-03-02,768.1,774.45,763,768.1,316200,75.697
2015-03-03,769.1,789,767,775.85,475800,76.461
2015-03-04,791,841.9,777,807.9,4848700,79.619
2015-03-05,815,834,803.85,814.3,1666800,80.25
2015-03-06,814.3,814.3,814.3,814.3,0,80.25
2015-03-09,812.4,829.8,803.05,810.15,1000400,79.841
2015-03-10,815,840.35,812.05,820.1,1779000,80.821
2015-03-11,826,834.3,812.2,814.25,802500,80.245
2015-03-12,81.7,84.625,81.3,84.125,2291900,8.291
2015-03-13,85,92.65,85,87.85,12577200,8.658
2015-03-16,88.77,91.97,88.6,91.02,3626100,8.97
2015-03-17,95.5,101.665,94.52,95.215,15883600,9.384
2015-03-18,95.99,97.7,95.15,96.4,4707800,9.5
2015-03-19,97.3,98,91.235,92.03,2436200,9.07
2015-03-20,92.475,93.8,84.995,85.64,2618700,8.44
2015-03-23,87,94.9,85.3,88.75,1788100,87.464
2015-03-24,89.4,89.75,86,86.4,688300,85.148
2015-03-25,85.5,89.5,83.1,86.95,1377800,85.69
2015-03-26,86.5,86.5,82,83,809800,81.797
2015-03-27,84,85.25,81.5,83.45,897900,82.241
2015-03-30,84.3,86.25,83.5,84.3,979700,83.078
2015-03-31,85,87.3,83.55,85.15,1056300,83.916
2015-04-01,85.25,94.4,83.6,92.85,3491300,91.504
2015-04-02,92.85,92.85,92.85,92.85,0,91.504
2015-04-03,92.85,92.85,92.85,92.85,0,91.504
2015-04-06,94.85,98.4,91.15,92.15,3434600,90.814
2015-04-07,93,94.6,90.4,91.25,1638600,89.928
2015-04-08,91.9,94.55,90.1,90.5,1740600,89.188
2015-04-09,91.1,92.85,88.2,90.55,1260100,89.238
2015-04-10,90.6,94.5,89.1,93.1,2152100,91.751
2015-04-13,93.55,96.85,92.05,95.1,2430800,93.722
2015-04-14,95.1,95.1,95.1,95.1,0,93.722
2015-04-15,101,104.4,97.5,98.3,7162000,96.875
2015-04-16,98.85,100.3,96.1,96.95,2443300,95.545
2015-04-17,97,102.7,96,100.3,3406300,98.846
2015-04-20,101,101.1,92.7,94.2,2903900,92.835
2015-04-21,95,98.5,93.7,94.4,1812500,93.032
2015-04-22,95,96,91.8,92.95,1516200,91.603
2015-04-23,93.85,95.8,90.85,91.65,1557400,90.322
2015-04-24,92.6,92.65,88.2,90.3,1372000,88.991
2015-04-27,90.85,91.5,82.5,84.8,1952300,83.571
2015-04-28,82.9,82.9,75,79.1,2856400,77.954
2015-04-29,80.4,83.8,79.1,81.4,1591300,80.22
2015-04-30,81.85,82.85,80.05,82.15,903300,80.959
2015-05-01,82.15,82.15,82.15,82.15,0,80.959
2015-05-04,83,84.5,83,83.8,940200,82.585
2015-05-05,84,90.45,83.9,88.7,3259300,87.414
2015-05-06,88.8,90.4,86.1,86.7,2138000,85.443
2015-05-07,86.5,88.1,83.7,85.55,1548100,84.31
2015-05-08,86.9,88.25,86.5,87.45,726300,86.183
2015-05-11,88,89.5,87.3,88.85,1058100,87.562
2015-05-12,89.25,89.6,85.1,85.95,827700,84.704
2015-05-13,86.3,86.9,84.5,85.1,998700,83.867
2015-05-14,85,86.3,83.8,84.85,759000,83.62
2015-05-15,85.35,86.9,84.55,84.8,745200,83.571
