"Date","GRASIM.NS.Open","GRASIM.NS.High","GRASIM.NS.Low","GRASIM.NS.Close","GRASIM.NS.Volume","GRASIM.NS.Adjusted"
2015-01-01,3394,3407.9,3370,3402.5,205600,646.71
2015-01-02,3405.1,3506,3399,3495.7,224600,664.42
2015-01-05,3500,3547.6,3477,3508.85,495000,666.92
2015-01-06,3487,3489,3341.9,3375.05,626700,641.49
2015-01-07,3400,3434,3370,3417.5,650700,649.56
2015-01-08,3430,3462,3398.3,3424.95,205200,650.98
2015-01-09,3430,3463.7,3395,3404.55,254300,647.1
2015-01-12,3409.5,3448,3393,3435.55,142400,652.99
2015-01-13,3467,3590,3447,3546.35,471600,674.05
2015-01-14,3545,3599.9,3540.4,3566.8,267900,677.94
2015-01-15,3600,3693,3570.05,3668.15,537800,697.2
2015-01-16,3668.15,3697.4,3615.1,3636.5,393100,691.19
2015-01-19,3652.6,3715,3642.8,3652.5,364100,694.23
2015-01-20,3686.95,3707,3666,3691.55,340500,701.65
2015-01-21,3701.55,3810,3654,3783.25,584800,719.08
2015-01-22,3820,3824.8,3760.3,3809.4,371600,724.05
2015-01-23,3840,3841.65,3757.1,3793.05,463700,720.94
2015-01-26,3793.05,3793.05,3793.05,3793.05,0,720.94
2015-01-27,3798.7,3864,3775,3850,647400,731.77
2015-01-28,3830.15,3913,3830.15,3894.7,606900,740.26
2015-01-29,3894,3950,3851.65,3931.9,414800,747.33
2015-01-30,3930,3975,3861.3,3884.05,561100,738.24
2015-02-02,3828.1,3878.4,3800,3808.3,306800,723.84
2015-02-03,3821.9,3902,3800,3887.95,873100,738.98
2015-02-04,3891.95,3937.4,3875.25,3897.15,453400,740.73
2015-02-05,3880.2,3925.35,3850,3887.5,897600,738.89
2015-02-06,3840.2,3918,3782.35,3805,466800,723.21
2015-02-09,3795,3800.9,3686.15,3708.5,204700,704.87
2015-02-10,3689,3829.15,3651.9,3813.3,370900,724.79
2015-02-11,3813.3,3887.7,3795.15,3844.15,590000,730.65
2015-02-12,3907,3931.5,3807.6,3827.25,563400,727.44
2015-02-13,3840,3893.9,3840,3859.95,302700,733.66
2015-02-16,3862.05,3899.8,3836,3855.25,200500,732.76
2015-02-17,3855.25,3855.25,3855.25,3855.25,0,732.76
2015-02-18,3856,3885,3810,3867.4,440300,735.07
2015-02-19,3868,3900,3761.1,3786.15,618900,719.63
2015-02-20,3787.9,3815.15,3751,3760.7,212300,714.79
2015-02-23,3771,3799.35,3652.35,3695.7,341600,702.44
2015-02-24,3689,3707.5,3654,3681.8,229900,699.8
2015-02-25,3691.05,3720,3650,3668.3,214800,697.23
2015-02-26,3675.05,3713.8,3580.65,3597.9,610200,683.85
2015-02-27,3632.8,3773,3594.6,3745.25,608700,711.86
2015-03-02,3800,4007.55,3785.05,3987.3,779800,757.86
2015-03-03,3980,4024.85,3920,3997.8,581200,759.86
2015-03-04,3996,4007.9,3861.75,3882.8,359200,738
2015-03-05,3886,3910,3757.65,3784.7,447100,719.35
2015-03-06,3784.7,3784.7,3784.7,3784.7,0,719.35
2015-03-09,3775,3808,3700,3710.45,321400,705.24
2015-03-10,3710,3748.4,3675,3698.85,305900,703.04
2015-03-11,3697,3721,3640.2,3701,192800,703.45
2015-03-12,3720,3779,3712.65,3741.15,234300,711.08
2015-03-13,3746.25,3787,3616,3669.5,646800,697.46
2015-03-16,3690,3719.75,3653,3692.35,141700,701.8
2015-03-17,3705.15,3727,3669.55,3705.25,239700,704.25
2015-03-18,3712,3712,3652,3669.3,238800,697.42
2015-03-19,3678,3728.8,3595,3612,265000,686.53
2015-03-20,3612,3640,3550,3615.45,270000,687.18
2015-03-23,3644.95,3685,3579.8,3629.75,241600,689.9
2015-03-24,3610.15,3660,3580,3593.4,291500,682.99
2015-03-25,3595,3636.85,3551.05,3570.4,463800,678.62
2015-03-26,3560,3601,3528.65,3549.15,897300,674.58
2015-03-27,3542.2,3599,3540,3568.95,278500,678.35
2015-03-30,3575.05,3667.95,3555,3631.1,404300,690.16
2015-03-31,3632,3654.95,3593.3,3622.35,426100,688.5
2015-04-01,3640,3725.7,3590,3694.05,205500,702.12
2015-04-02,3694.05,3694.05,3694.05,3694.05,0,702.12
2015-04-03,3694.05,3694.05,3694.05,3694.05,0,702.12
2015-04-06,3701,3730,3677.2,3698.1,147200,702.89
2015-04-07,3701.3,3785,3674.45,3766.3,333100,715.86
2015-04-08,3755,3810,3755,3800.25,221200,722.31
2015-04-09,3810,3823.3,3760.95,3768.4,164800,716.26
2015-04-10,3770,3803.95,3752,3792.7,132800,720.87
2015-04-13,3791.05,3800,3747.05,3780.5,142600,718.56
2015-04-14,3780.5,3780.5,3780.5,3780.5,0,718.56
2015-04-15,3785,3826.9,3781.15,3804.6,213500,723.14
2015-04-16,3801,3825.25,3691.15,3730,491000,708.96
2015-04-17,3730,3746,3630,3647.2,357100,693.22
2015-04-20,3635,3687.9,3581.15,3612,339100,686.53
2015-04-21,3610,3669,3566,3634.1,377500,690.73
2015-04-22,3634.1,3710,3625,3670,281100,697.55
2015-04-23,3679.9,3705,3596,3639.3,222400,691.72
2015-04-24,3641.3,3694.6,3600.15,3663.05,127300,696.23
2015-04-27,3660.1,3668,3585.65,3613.7,388900,686.85
2015-04-28,3606,3643.9,3556.1,3623.7,387000,688.75
2015-04-29,3603.15,3690,3535.05,3599.45,342300,684.14
2015-04-30,3595.05,3620,3567.2,3589.3,802200,682.21
2015-05-01,3589.3,3589.3,3589.3,3589.3,0,682.21
2015-05-04,3581,3649,3545.05,3625,640000,689
2015-05-05,3604.5,3625,3555.05,3580.5,349100,680.54
2015-05-06,3575,3591.2,3462,3478,545400,661.06
2015-05-07,3462,3527.8,3443,3510.55,198700,667.25
2015-05-08,3527.8,3527.8,3475,3493.15,325500,663.94
2015-05-11,3510,3569,3494.4,3556.75,122200,676.03
2015-05-12,3559,3575,3472,3488.15,501300,662.99
2015-05-13,3505,3555,3465,3514.2,161400,667.94
2015-05-14,3502,3554,3456.2,3530.25,117800,670.99
2015-05-15,3520.25,3580.7,3520.25,3550.25,168500,674.79
2015-05-18,3547.1,3574.9,3535.65,3551.65,273400,675.06
2015-05-19,3560,3611,3532,3590.5,381100,682.44
2015-05-20,3593.7,3634.7,3579.95,3595.4,203700,683.37
2015-05-21,3614.9,3688.45,3577.2,3675.5,367900,698.6
2015-05-22,3682,3698,3625,3640.45,151000,691.94
2015-05-25,3635,3672,3552.4,3567.65,114900,678.1
2015-05-26,3575,3603.6,3550,3572.2,150300,678.96
2015-05-27,3560,3620,3551,3578.7,388900,680.2
2015-05-28,3582.4,3588.2,3502.1,3511.85,692100,667.49
2015-05-29,3520,3662.4,3520,3640.65,439600,691.97
2015-06-01,3640.65,3680,3606,3613.45,144200,686.8
2015-06-02,3610,3616.3,3490,3502.35,245800,665.69
2015-06-03,3487,3494.45,3393,3406.7,264400,647.51
2015-06-04,3421.3,3459.5,3395.05,3448.9,247200,655.53
2015-06-05,3424.05,3468,3400,3408.95,309300,647.94
2015-06-08,3413.8,3438.85,3374,3406.4,132000,647.45
2015-06-09,3400,3464.8,3399.8,3443.3,169200,654.46
2015-06-10,3440,3473,3432.05,3450.1,200200,655.76
2015-06-11,3451.15,3461,3350,3364.85,356300,639.55
2015-06-12,3361.1,3375,3320.2,3355.3,213700,637.74
2015-06-15,3355,3375.95,3325,3350.2,288300,636.77
2015-06-16,3340,3389.05,3325,3370.65,221600,640.66
2015-06-17,3372.9,3410,3346.5,3366.3,231500,639.83
2015-06-18,3373.95,3388,3351,3366.55,267700,639.88
2015-06-19,3374.15,3405,3365,3384.2,222400,643.23
2015-06-22,3387.7,3418.8,3372,3398.65,324100,645.98
2015-06-23,3410,3446,3394.65,3433.8,243200,652.66
2015-06-24,3434,3480,3377.4,3400.3,543200,646.29
2015-06-25,3400,3425,3385,3405.85,522500,647.35
2015-06-26,3407,3439,3390.1,3397.15,288000,645.69
2015-06-29,3384.95,3385.95,3301,3372.25,331600,640.96
2015-06-30,3372.25,3455,3351.25,3442.45,139600,654.3
2015-07-01,3443.05,3530,3428.15,3516.5,218900,668.38
2015-07-02,3548.9,3548.9,3459,3470.1,174700,659.56
2015-07-03,3457.3,3520,3457.3,3506.75,191300,666.52
2015-07-06,3472,3573.95,3469,3560.75,265500,676.79
2015-07-07,3562,3607.6,3562,3573.35,221000,679.18
2015-07-08,3560,3572.35,3495,3509.75,261200,667.09
2015-07-09,3516,3559.75,3506.2,3516.65,122400,668.41
2015-07-10,3523,3603.6,3520,3596.5,269300,683.58
2015-07-13,3618.9,3654,3576.6,3632.1,246800,690.35
2015-07-14,3635,3645,3603.05,3625.3,134800,689.06
2015-07-15,3629.7,3698.7,3625,3686.5,282700,700.69
