"Date","HAVELLS.NS.Open","HAVELLS.NS.High","HAVELLS.NS.Low","HAVELLS.NS.Close","HAVELLS.NS.Volume","HAVELLS.NS.Adjusted"
2015-01-01,275.75,277.4,273.55,276.3,1042000,271.1201
2015-01-02,276.3,277.9,273.5,275.1,1471100,269.9426
2015-01-05,275.9,280.75,274.55,277.8,2167400,272.592
2015-01-06,277.4,277.4,260.3,262.65,2786500,257.726
2015-01-07,263,268.45,256.1,266.25,2122200,261.2585
2015-01-08,267.3,274.5,267.3,273.8,1570700,268.667
2015-01-09,275.7,275.7,269.2,273.1,1733300,267.9801
2015-01-12,274.9,274.9,268.1,270.85,1060000,265.7723
2015-01-13,271,273.3,268.5,270.35,1623900,265.2817
2015-01-14,269,270.9,258.95,263.65,2123100,258.7073
2015-01-15,265,268.8,263.1,266.25,2913600,261.2585
2015-01-16,266,274.15,265,271.65,1758900,266.5573
2015-01-19,273.1,277.9,269.45,271.6,1211700,266.5082
2015-01-20,272.3,274.3,270,271.3,769600,266.2138
2015-01-21,272.2,273.6,268.25,272.1,1133400,266.9989
2015-01-22,273,281.5,272,280.2,2371500,274.947
2015-01-23,284,284.9,275,280.2,2536700,274.947
2015-01-26,280.2,280.2,280.2,280.2,0,274.947
2015-01-27,281.5,283,273,276.3,1147400,271.1201
2015-01-28,277,278.9,264,268.45,2231800,263.4173
2015-01-29,264,266.8,259.25,263.1,4001600,258.1676
2015-01-30,265,265.5,257.35,258.45,1672100,253.6048
2015-02-02,258.5,259.4,249.5,250.25,3067600,245.5585
2015-02-03,251.2,251.6,242.2,247.65,4337100,243.0072
2015-02-04,248.9,254.4,243,250.65,3557300,245.951
2015-02-05,251.9,255.9,246.2,249,2565600,244.3319
2015-02-06,249.4,250.7,243,244.4,2025700,239.8181
2015-02-09,244.4,251.9,240.05,246.85,1814900,242.2222
2015-02-10,246.4,252.8,244.5,249.85,1711400,245.166
2015-02-11,251.1,261.65,250.7,260.5,1697000,255.6163
2015-02-12,261.9,266.35,258,261.85,3366800,256.941
2015-02-13,263,271,263,269.7,1477600,264.6439
2015-02-16,271.25,272.3,264.5,267.15,860800,262.1416
2015-02-17,267.15,267.15,267.15,267.15,0,262.1416
2015-02-18,268,270,264.65,268.85,627800,263.8098
2015-02-19,270,273.8,268,272.7,1138500,267.5876
2015-02-20,273.1,276.9,269.7,271.45,1182000,266.361
2015-02-23,271.75,272.9,265.65,268.7,986000,263.6626
2015-02-24,268.7,275,267.2,274.45,1506400,269.3048
2015-02-25,276.6,278.65,265.55,268.2,2216600,263.172
2015-02-26,267.95,268.65,262.85,263.8,1549500,258.8544
2015-02-27,265.45,274.7,265.45,273.9,1105700,268.7651
2015-03-02,272.5,280.25,270.05,278.55,1334700,273.3279
2015-03-03,279.75,288.5,276.2,283,2032600,277.6945
2015-03-04,285.9,289.95,271.9,278.25,1938400,273.0336
