"Date","HCLTECH.NS.Open","HCLTECH.NS.High","HCLTECH.NS.Low","HCLTECH.NS.Close","HCLTECH.NS.Volume","HCLTECH.NS.Adjusted"
2015-01-01,1599,1611.65,1585.6,1606.8,668200,750.8763
2015-01-02,1602.05,1618.95,1600.05,1605.25,466600,750.1519
2015-01-05,1615,1615,1568.7,1578.25,1006300,737.5345
2015-01-06,1574,1574.4,1522.65,1536.1,1735200,717.8373
2015-01-07,1539.5,1548,1492.7,1499.6,1770200,700.7805
2015-01-08,1517,1540,1495,1534.3,1953000,716.9962
2015-01-09,1536.65,1583.65,1522.9,1545.55,3082200,722.2535
2015-01-12,1555.1,1579,1540.7,1575.55,1330800,736.2728
2015-01-13,1575.55,1594.95,1563.35,1583.6,1458000,740.0346
2015-01-14,1595.9,1598.8,1550.3,1578.8,2066600,737.7916
2015-01-15,1594.95,1618.45,1552.45,1593.25,1829400,744.5442
2015-01-16,1594,1644.1,1575.55,1639,1592600,765.9237
2015-01-19,1650,1730,1639.8,1644.65,1667900,768.564
2015-01-20,1662.5,1679.25,1649.7,1672.15,1549600,781.4151
2015-01-21,1661.2,1692,1641,1687.25,3770500,788.4715
2015-01-22,1688,1693.05,1657,1665.7,1884500,778.4009
2015-01-23,1663.1,1668.9,1631.3,1646.65,2341500,769.4986
2015-01-26,1646.65,1646.65,1646.65,1646.65,0,769.4986
2015-01-27,1648.9,1648.9,1607.55,1616.35,2230800,755.3391
2015-01-28,1610,1665.75,1610,1659.4,2086600,775.4569
2015-01-29,1658,1662.7,1608.9,1648.95,2375700,770.5734
2015-01-30,1810,1820,1753.15,1791.75,10707600,837.3055
2015-02-02,1800,1900,1798.05,1891,5044800,883.6862
2015-02-03,1910,1915,1871,1900.25,4221100,888.0089
2015-02-04,1900,1910,1885.55,1900.35,2469900,895.5964
2015-02-05,1900,1980.85,1886.95,1972.65,4247400,929.67
2015-02-06,1970,1997,1945.3,1954.7,2011900,921.2105
2015-02-09,1941,2009.5,1931.3,1994.3,2335200,939.8732
2015-02-10,1985,1987.85,1925,1933.35,2893200,911.1487
2015-02-11,1939.7,1967,1921.2,1955.7,1071200,921.6818
2015-02-12,1950,1990,1949,1984.4,2182600,935.2075
2015-02-13,1990,2004,1976.8,1992.95,1643000,939.2369
2015-02-16,1995.05,2008,1980.6,1984.85,1512400,935.4196
2015-02-17,1984.85,1984.85,1984.85,1984.85,0,935.4196
2015-02-18,1991.55,2040,1987.55,2033.16,3163900,958.1871
2015-02-19,2030,2054.7,2020,2048.1399,2068400,965.2468
2015-02-20,2050,2055,1996.1,2000.76,1334200,942.9177
2015-02-23,2000,2027.7,1958.45,1971,1333100,928.8924
2015-02-24,1971,1998.8,1955.65,1976.05,1821500,931.2724
2015-02-25,1989.5,1993.6,1971.8,1983.2,1138100,934.642
2015-02-26,1983,2008,1964.95,1975.45,2078300,930.9895
2015-02-27,1989,2025.66,1975.45,2022,2404400,952.9276
2015-03-02,2040.9,2040.9,2000.34,2024.84,2049100,954.2661
2015-03-03,2031,2044.9,1985.05,2031.2,2153300,957.2634
2015-03-04,2037,2051.7,2020,2036,1715100,959.5256
2015-03-05,2036,2074.8999,2035.9399,2065,1724300,973.1927
2015-03-06,2065,2065,2065,2065,0,973.1927
2015-03-09,2056.76,2074.8999,2011,2065.7,3277800,973.5225
2015-03-10,2055,2069,2028,2044.16,2712700,963.3712
2015-03-11,2060,2116.8999,2035.5601,2059.0601,5037100,970.3933
2015-03-12,2065,2079.3,2042.24,2052.7,2440200,967.3959
2015-03-13,1029.4,1029.5,990.525,1006.3,3184400,474.2488
2015-03-16,1010,1033,1007,1028.5,3968900,484.7112
2015-03-17,1033.4,1034.45,1016.5,1019.55,5003700,480.4933
2015-03-18,1020,1026.38,997.525,1003.28,9463900,472.8256
2015-03-19,990,1006.4,972,979.65,5081600,923.3784
2015-03-20,979.95,985,965.75,979.9,3135500,923.6141
2015-03-23,980.55,987.6,961.75,968.4,1948500,912.7746
2015-03-24,969,979,960.35,970.35,2649300,914.6126
2015-03-25,972,1017.8,969.1,1007.15,3759200,949.2988
2015-03-26,1006,1010,978.1,987.4,3524000,930.6833
2015-03-27,983.4,1003,954.9,962.85,2140100,907.5434
2015-03-30,966,986.2,956.5,980.45,1637500,924.1325
2015-03-31,980,984.05,967,980.4,1863300,924.0853
2015-04-01,947,963,935,940.85,4140500,886.8071
2015-04-02,940.85,940.85,940.85,940.85,0,886.8071
2015-04-03,940.85,940.85,940.85,940.85,0,886.8071
2015-04-06,933,939,912.15,932.05,3864300,878.5126
2015-04-07,939.8,956,927.45,934.55,2174000,880.869
2015-04-08,944.95,969,940,958.85,1793600,903.7731
2015-04-09,969,969,941,964.15,1337000,908.7687
2015-04-10,959.3,977.7,956,967.25,1418700,911.6907
2015-04-13,967.9,978.5,955,976.05,1549500,919.9852
2015-04-14,976.05,976.05,976.05,976.05,0,919.9852
2015-04-15,978,978,938.75,944.5,1549200,890.2474
2015-04-16,949,957.9,933.5,954.25,1028600,899.4374
2015-04-17,948,950.7,934.45,940.1,1569100,886.1001
2015-04-20,945,947.7,912.55,924.3,1611500,871.2077
2015-04-21,840.8,920,835.1,890.65,7298100,839.4906
2015-04-22,884.5,891.9,863.1,877.3,3967300,826.9074
2015-04-23,882.8,907,882.25,895,3195600,843.5907
2015-04-24,891,912.8,887.4,896.95,3203200,849.2241
2015-04-27,896.05,905.95,874,883.2,1894600,836.2058
2015-04-28,878.65,883.75,854.35,870.5,2901800,824.1815
2015-04-29,870.5,893.2,858.45,887.2,2038000,839.9929
2015-04-30,882.1,888,862.5,880.55,3669200,833.6967
2015-05-01,880.55,880.55,880.55,880.55,0,833.6967
2015-05-04,880.55,926.75,865.8,919.8,1676200,870.8583
2015-05-05,923,929,905.15,911.95,1729700,863.426
2015-05-06,907.05,925.8,880.2,891.15,2297600,843.7328
2015-05-07,896.1,924.95,880.1,920.75,1819900,871.7578
2015-05-08,927.45,948.75,915.95,925.5,1789600,876.255
2015-05-11,934.5,949.5,923.4,941.9,1796100,891.7824
2015-05-12,942,943.45,910.5,915.65,1232300,866.9291
2015-05-13,916,944,916,937.3,1387400,887.4271
2015-05-14,938.8,942,918,925.3,1126200,876.0656
2015-05-15,925,934.8,907.5,913.9,1702800,865.2723
2015-05-18,917.5,933.5,901.9,930.55,1507000,881.0363
2015-05-19,930,936.75,920,934.15,1294400,884.4448
2015-05-20,941,963.75,939.25,960.1,1536700,909.014
2015-05-21,963.95,973.95,960,970.25,1046300,918.6239
2015-05-22,963.25,988,957.45,984.15,1497800,931.7843
2015-05-25,985,1010,973.25,999.15,1645600,945.9862
2015-05-26,999.75,1007,985.5,993.5,1231000,940.6368
2015-05-27,990,1004.95,984.3,991.5,1472700,938.7432
2015-05-28,986.1,996.65,958.5,980.1,1668600,927.9498
2015-05-29,976,1044.95,962,1010.75,5679300,956.9689
2015-06-01,992.8,998.5,969.25,973.3,1152200,921.5116
2015-06-02,977,986.9,946.7,952.7,1165700,902.0077
2015-06-03,955.25,966,932.45,952.3,1809900,901.629
2015-06-04,942.1,948.8,934.3,940.65,1553700,890.5989
2015-06-05,941,948.9,925.5,929,1500300,879.5688
2015-06-08,919,928,912.95,918.95,1489400,870.0535
2015-06-09,915.05,925,901.25,911.4,1221200,862.9053
2015-06-10,915,946,909.75,942.55,2586100,892.3978
2015-06-11,940.05,944.95,910.5,914.8,1820600,866.1243
2015-06-12,913.9,913.9,882.75,896.35,1846500,848.656
2015-06-15,899,922.85,891,908.05,858600,859.7335
2015-06-16,909.7,911.65,898.4,906.3,889100,858.0766
2015-06-17,910.15,918.6,899.6,906.3,1250800,858.0766
2015-06-18,915.4,920.55,904.2,913.75,1318700,865.1302
2015-06-19,915.05,937.5,913.75,918.2,1781800,869.3434
2015-06-22,919.2,935.5,912,931.55,825500,881.9831
2015-06-23,939.7,949.35,925.25,927.45,1100100,878.1013
2015-06-24,929,943.9,928.5,938.1,1308600,888.1846
2015-06-25,930,933.05,913.8,926.1,1551200,876.8231
2015-06-26,927,960,927,957.25,1585100,906.3156
2015-06-29,932,949.45,919.4,928.4,1168300,879.0007
2015-06-30,927.55,929.55,911,919.75,1987400,870.811
2015-07-01,917.25,949,917.1,944.05,1074000,893.818
2015-07-02,945.2,959.95,940.5,954.5,988500,903.7119
2015-07-03,947,969,940,964.9,862800,913.5586
2015-07-06,945.1,975.5,943.5,969.95,812000,918.3399
2015-07-07,965,967.8,933,936.3,1272300,886.4803
2015-07-08,925,947,925,933,1174800,883.3559
2015-07-09,939,939,912.25,917.45,1149800,868.6334
2015-07-10,930,930,917.05,925.65,1180200,876.3971
2015-07-13,934.9,963,934.6,960.85,1207700,909.724
2015-07-14,963,968,948,954.95,1212000,904.138
2015-07-15,951.95,957.45,943,948.15,1195900,897.6998
2015-07-16,958.8,963.6,945.05,956.55,885000,905.6529
2015-07-17,963,973,952.55,955.4,1036900,904.5641
2015-07-20,956.7,959.8,943,946.65,706500,896.2797
2015-07-21,948.4,990,947.9,974.8,1981500,922.9318
2015-07-22,974.8,985.95,967.3,983.05,700600,930.7428
2015-07-23,984,994.95,965.6,970.05,797600,918.4345
2015-07-24,980.7,980.7,950.55,952.65,1183800,901.9604
2015-07-27,951.85,958.25,923.25,937.1,1675700,887.2378
2015-07-28,937.7,948.95,920.15,923.35,1196000,874.2194
2015-07-29,934,954,925.3,951.35,1453300,900.7295
2015-07-30,959.9,973,953.05,957.9,1546700,906.9311
2015-07-31,956,1006,956,998.25,1966800,945.134
2015-08-03,952.45,963.45,934.3,938.85,3535800,888.8946
2015-08-04,942.6,950,930,932.9,1904700,883.2613
2015-08-05,938.9,945,931.2,937.4,1179300,887.5218
2015-08-06,946.2,950,941.65,946,934800,895.6642
2015-08-07,946,947.25,935.5,939.35,909000,894.0937
2015-08-10,939.25,950,930.1,936.45,1108300,891.3334
2015-08-11,941.2,946,937,940.4,859100,895.0931
2015-08-12,941.8,973.6,940.7,970.8,2109800,924.0285
2015-08-13,977.8,988.9,956.1,965.55,1578400,919.0314
2015-08-14,967.1,983.9,961.85,973.7,789200,926.7888
2015-08-17,976.4,980.2,962,968.45,840600,921.7917
2015-08-18,973.95,985.95,965,969.6,1611500,922.8863
2015-08-19,975.05,997.7,971.5,988.15,1645700,940.5426
2015-08-20,992.45,992.45,956.5,961.25,1259300,914.9386
2015-08-21,957,977.5,940,964.9,1797600,918.4128
2015-08-24,944,948.8,919.05,927.9,2108400,883.1954
2015-08-25,930,933.7,889.9,914.05,2735000,870.0126
2015-08-26,912.1,934.9,884,910,2404300,866.1577
2015-08-27,908.1,927.95,905.4,913.1,2027800,869.1084
2015-08-28,924.6,954.9,924.5,952.2,1540800,906.3246
2015-08-31,958.2,980,958.2,971.05,2721200,924.2664
2015-09-01,967,976.5,926,952,1423700,906.1342
2015-09-02,950,968.95,944.1,948.9,2045000,903.1836
2015-09-03,962,966.75,950.5,961,1125900,914.7006
2015-09-04,958.25,964.35,936,940.3,1332800,894.9979
2015-09-07,940,944.95,915,920.85,670200,876.485
2015-09-08,918,944.05,918,936.35,1188300,891.2382
2015-09-09,943,956,938,943.2,1053200,897.7582
2015-09-10,933,936,909,915.9,2059400,871.7735
2015-09-11,921,924.95,906.45,920.2,1101300,875.8663
2015-09-14,921.2,931,917.2,928.55,769800,883.814
2015-09-15,930,931.6,921,928.8,1225800,884.052
2015-09-16,938,947.65,930.15,938.9,900500,893.6654
2015-09-17,938.9,938.9,938.9,938.9,0,893.6654
2015-09-18,954,955.9,937.6,950.55,1423900,904.7541
2015-09-21,942.05,969.25,941.7,944,986200,898.5197
2015-09-22,947,965.5,931,935,1607200,889.9533
2015-09-23,935,935,912.75,927.1,1138200,882.4339
2015-09-24,928,958.5,927.6,954.95,1531300,908.9421
2015-09-25,954.95,954.95,954.95,954.95,0,908.9421
2015-09-28,956,964.45,945,950.5,778700,904.7065
2015-09-29,940,960.5,940,953.7,1409200,907.7524
2015-09-30,962,989.7,953.85,982.15,1758100,934.8317
2015-10-01,890,914.8,834.85,857.05,13383200,815.7588
2015-10-02,857.05,857.05,857.05,857.05,0,815.7588
2015-10-05,845.7,870.8,838.05,859.9,6691800,818.4715
2015-10-06,863,868,848.7,853.6,2954700,812.475
2015-10-07,845,848.75,811.1,817.2,6876300,777.8287
2015-10-08,828.8,837.4,812.5,828.65,8490900,788.7271
2015-10-09,835.5,850.8,833.5,849.2,4734100,808.287
2015-10-12,859,860.95,829.65,855.1,2417900,813.9027
2015-10-13,852,853,826.35,829.9,2918600,789.9168
2015-10-14,829,838.95,825,833.55,1351000,793.391
2015-10-15,835,838.9,828,835,1822300,794.7711
2015-10-16,836.05,845.75,835,841.15,1135000,800.6248
2015-10-19,830,861,818.7,857.75,5025900,816.4251
2015-10-20,859,868.5,848.45,864.3,2835200,822.6595
2015-10-21,866.8,868.95,852.1,863.05,1297300,826.2496
2015-10-22,863.05,863.05,863.05,863.05,0,826.2496
2015-10-23,867,869.9,848,852.95,1532400,821.3386
2015-10-26,859.35,868.65,857.1,863.55,2078700,831.5458
2015-10-27,863,874,854.6,867.65,1540700,835.4939
2015-10-28,867,880,854,877.55,1675600,845.0269
2015-10-29,877.7,885.2,873.25,875.9,2121700,843.4381
2015-10-30,876,877,867.55,871.7,1327800,839.3938
2015-11-02,875,880.9,870.1,876.3,1010000,843.8232
2015-11-03,876.25,881.9,874.25,876.1,1057800,843.6306
2015-11-04,879,884.4,875,881.6,841800,848.9268
2015-11-05,881.6,883.8,874.05,877.5,1185200,844.9788
2015-11-06,877.5,889.5,874.6,885.45,1326900,852.6342
2015-11-09,878.9,885,870.1,882.5,1521900,849.7935
2015-11-10,876.25,879.85,847.2,851.3,839100,819.7498
2015-11-11,851.3,851.3,851.3,851.3,0,819.7498
2015-11-12,851.3,851.3,851.3,851.3,0,819.7498
2015-11-13,825,856.8,823.2,843.4,1475300,812.1426
2015-11-16,828.1,842.4,825,838.6,1438000,807.5204
2015-11-17,844.5,859.9,835.75,856.75,1702800,824.9978
2015-11-18,853.95,853.95,835.25,845.65,1523400,814.3092
2015-11-19,850,876.85,846.05,873.95,1764100,841.5604
2015-11-20,872,874.4,855.5,866.55,1693400,834.4346
2015-11-23,862,867.95,858.6,863.75,589600,831.7384
2015-11-24,862.1,872.5,856.6,866.2,1124300,834.0976
2015-11-25,866.2,866.2,866.2,866.2,0,834.0976
2015-11-26,861.2,869,856.85,862.9,1040800,830.9199
2015-11-27,864,875,863.2,872.55,790400,840.2122
2015-11-30,872.15,881.75,862.65,870.95,2582500,838.6715
2015-12-01,870.95,885.7,869.05,877.7,1273500,845.1714
2015-12-02,882,882,856,859.65,1287600,827.7904
2015-12-03,856,856,849.25,851.15,1918300,819.6054
2015-12-04,849.25,850,831.15,836,1889100,805.0168
2015-12-07,840.2,852.85,834,842.3,1311000,811.0833
2015-12-08,841.65,867.9,841.65,858.05,1588100,826.2496
2015-12-09,857,857,839.7,844.25,1302200,812.9611
2015-12-10,844,850,837,845.7,918900,814.3573
2015-12-11,849.9,849.9,836.25,840.6,531100,809.4463
2015-12-14,843,852.65,826,840.85,768200,809.6871
2015-12-15,849.7,849.7,840.9,845.2,804600,813.8759
2015-12-16,849.3,859.8,842.7,847.05,815300,815.6573
2015-12-17,851.45,864.3,847.25,860.45,969800,828.5607
2015-12-18,860,865,844.9,846.15,1419100,814.7907
2015-12-21,845,857.95,843.15,855.45,458800,823.746
2015-12-22,855,855.45,845.85,849.25,718400,817.7758
2015-12-23,850,865.45,849.5,863.8,673200,831.7865
2015-12-24,860.7,866,855.55,860.3,370700,828.4162
2015-12-25,860.3,860.3,860.3,860.3,0,828.4162
2015-12-28,858.5,874,853.85,867.7,901800,835.542
2015-12-29,864.95,866,846.55,854.5,1142700,822.8312
2015-12-30,854.85,858.5,838,840.5,876000,809.35
2015-12-31,837,860,836.95,855.1,873800,823.4089
2016-01-01,855.1,855.1,843.5,845.85,485100,814.5017
