"Date","HDFC.NS.Open","HDFC.NS.High","HDFC.NS.Low","HDFC.NS.Close","HDFC.NS.Volume","HDFC.NS.Adjusted"
2015-01-01,1130,1131.15,1120.1,1124,401500,1094.3059
2015-01-02,1127.3,1176.95,1125.35,1171.9,2019800,1140.9405
2015-01-05,1168.8,1175,1150.4,1156.4,2219400,1125.85
2015-01-06,1148.6,1148.6,1096.1,1101.95,2531700,1072.8384
2015-01-07,1097.5,1114.15,1095,1099.25,2406800,1070.2098
2015-01-08,1114,1128.5,1110,1123.35,1675700,1093.6731
2015-01-09,1127,1135.95,1103.4,1113.3,1125700,1083.8887
2015-01-12,1114.35,1135,1098.4,1128.55,1483900,1098.7358
2015-01-13,1134.4,1137.3,1113.6,1122.2,1460400,1092.5534
2015-01-14,1128.7,1136.85,1112.6,1120.3,1407100,1090.7037
2015-01-15,1145.05,1210.9,1144.7,1202.55,3691600,1170.7808
2015-01-16,1207.5,1209,1191,1194.55,3113100,1162.9922
2015-01-19,1198,1204.65,1178.15,1181.7,964300,1150.4816
2015-01-20,1185.1,1257.75,1181.05,1251.55,4307900,1218.4863
2015-01-21,1259,1297.4,1252.25,1287.2,4571200,1253.1944
2015-01-22,1287,1294.85,1272,1279.65,2899200,1245.844
2015-01-23,1288.7,1340.95,1280.2,1290.1,4046400,1256.0178
2015-01-26,1290.1,1290.1,1290.1,1290.1,0,1256.0178
2015-01-27,1303.9,1320,1288.55,1315.85,4368000,1281.0876
2015-01-28,1323.95,1361.85,1300.7,1344.6,5446600,1309.0781
2015-01-29,1338.15,1343.9,1295.4,1315.55,5914700,1280.7956
2015-01-30,1328.4,1333,1257.75,1262.5,3825900,1229.147
2015-02-02,1262.5,1284.5,1243.6,1269.3,3229000,1235.7674
2015-02-03,1262.5,1272,1225.9,1230.15,2595400,1197.6517
2015-02-04,1231.05,1252,1221.1,1232.45,3263200,1199.8908
2015-02-05,1236.9,1292,1208.15,1246.45,3349900,1213.521
2015-02-06,1245,1289.8,1244.3,1280.55,2615100,1246.7202
2015-02-09,1267,1279.25,1245.55,1271.95,1258900,1238.3473
2015-02-10,1254.1,1293,1232.3,1246.15,2521000,1213.229
2015-02-11,1248.9,1267.7,1242.25,1245.8,1857300,1212.8882
2015-02-12,1254.95,1260,1240.4,1253.25,2251900,1220.1414
2015-02-13,1253.9,1275,1243.65,1268.65,2844600,1235.1346
2015-02-16,1282.5,1300,1267,1288,2215600,1253.9733
2015-02-17,1288,1288,1288,1288,0,1253.9733
2015-02-18,1295,1335,1291.75,1328.6,3780000,1293.5007
2015-02-19,1330,1357.35,1323.55,1353.45,3724600,1317.6942
2015-02-20,1350,1353.45,1325,1333.15,1991100,1297.9306
2015-02-23,1333.15,1338.7,1306.8,1311.25,2775400,1276.6091
2015-02-24,1311.9,1321.95,1296.75,1310.4,2512500,1275.7816
