"Date","HDFCBANK.NS.Open","HDFCBANK.NS.High","HDFCBANK.NS.Low","HDFCBANK.NS.Close","HDFCBANK.NS.Volume","HDFCBANK.NS.Adjusted"
2015-01-01,951,954.4,945.05,952.05,886200,937.25
2015-01-02,950.4,969.3,950.4,965.3,1475000,950.3
2015-01-05,970,970.55,955.1,957.15,1199000,942.28
2015-01-06,954,956.55,937.55,942.25,2054900,927.61
2015-01-07,939.7,951.35,936.25,945,1436500,930.31
2015-01-08,954.25,968.95,948.2,964.85,2381400,949.86
2015-01-09,972.9,980,966.6,975.65,2246200,960.49
2015-01-12,969.4,974.4,964.5,967.05,1031600,952.02
2015-01-13,968.95,971.95,955.7,963.35,1457000,948.38
2015-01-14,960.05,974.65,959.7,963.9,921300,948.92
2015-01-15,990,998.2,970.75,993.15,2849600,977.72
2015-01-16,1002.2,1014.9,998.55,1001.35,1955300,985.79
2015-01-19,1013.25,1020,1002.95,1004.55,1059800,988.94
2015-01-20,1010,1027,1002,1020.95,2126400,1005.08
2015-01-21,1027.4,1032.95,1018.35,1019.95,1685100,1004.1
2015-01-22,1025,1032.5,1018.55,1021.25,1617600,1005.38
2015-01-23,1030,1048,1024.4,1042.8,2496900,1026.59
2015-01-26,1042.8,1042.8,1042.8,1042.8,0,1026.59
2015-01-27,1043,1077.75,1040.9,1074.05,2490600,1057.36
2015-01-28,1070,1093.2,1055,1058.35,2841200,1041.9
2015-01-29,1075,1100.6,1061,1095,5141900,1077.98
2015-01-30,1094.55,1094.55,1064.25,1077.35,2642600,1060.61
2015-02-02,1068.5,1093,1052.35,1081.6,1427500,1064.79
2015-02-03,1078.5,1082.2,1055.3,1064.1,2550100,1047.56
2015-02-04,1063,1080.8,1057.25,1067.7,1549300,1051.11
2015-02-05,1075,1092.8,1070.35,1076.5,2014700,1059.77
2015-02-06,1077,1078.95,1050.05,1053.5,1725700,1037.13
2015-02-09,1047,1051.75,1034.5,1040.1,1307900,1023.94
2015-02-10,1030,1062.3,1030,1054.45,2318900,1038.06
2015-02-11,1058,1064.8,1053,1058.4,1040300,1041.95
2015-02-12,1065.1,1081.9,1052.7,1076,1381400,1059.28
2015-02-13,1081.2,1082,1063.6,1065.8,1928600,1049.24
2015-02-16,1075.8,1085,1062.5,1067.55,1847100,1050.96
2015-02-17,1067.55,1067.55,1067.55,1067.55,0,1050.96
2015-02-18,1067.55,1082.95,1057.05,1074.8,1345400,1058.1
2015-02-19,1074,1084.9,1063.8,1079.8,1126700,1063.02
2015-02-20,1083,1089.9,1068.5,1073.05,1551500,1056.37
2015-02-23,1077.1,1081.55,1062,1067.5,1395300,1050.91
2015-02-24,1070.3,1071,1057.1,1067.65,1461500,1051.06
2015-02-25,1070,1074.8,1050,1052.45,1162100,1036.09
2015-02-26,1053.65,1056,1035.1,1038.15,3106700,1022.02
2015-02-27,1045.45,1058.55,1045.45,1054,2565400,1037.62
2015-03-02,1080.35,1099,1068,1082.55,3596300,1065.73
2015-03-03,1086.45,1092,1077.05,1083.35,1507300,1066.51
2015-03-04,1105,1109.3,1060,1065.3,3069400,1048.74
2015-03-05,1065,1090,1062.5,1085.1,2425600,1068.24
2015-03-06,1085.1,1085.1,1085.1,1085.1,0,1068.24
2015-03-09,1077.05,1081.8,1056,1059,1438900,1042.54
2015-03-10,1062,1062.25,1045,1052.55,1283700,1036.19
2015-03-11,1050.9,1061.9,1050,1056.45,1366300,1040.03
2015-03-12,1060.1,1063.9,1051.1,1054.6,1882700,1038.21
2015-03-13,1060,1064,1034.6,1042.65,1356600,1026.45
2015-03-16,1045,1057.9,1042.5,1051.55,1337100,1035.21
2015-03-17,1060,1065.9,1042.85,1058.05,1342300,1041.61
2015-03-18,1060.15,1071.9,1053.2,1063.55,1287000,1047.02
2015-03-19,1071,1073.8,1048.7,1052.2,1343300,1035.85
2015-03-20,1051,1059.5,1045.95,1055.9,1620800,1039.49
2015-03-23,1055.95,1059.4,1046,1047.75,1361600,1031.47
2015-03-24,1043.3,1057,1035.45,1037.95,2243300,1021.82
2015-03-25,1040.05,1046.7,1031.1,1034.25,2652200,1018.18
2015-03-26,1026.9,1032.2,1002.1,1006.95,8950100,991.3
2015-03-27,1014.95,1023.55,1008.1,1014.65,2710200,998.88
2015-03-30,1020,1039,1012.8,1036.9,1738700,1020.79
2015-03-31,1039.9,1039.9,1014.85,1022.7,1490500,1006.81
2015-04-01,1026.1,1036.85,1013,1033.25,961000,1017.19
2015-04-02,1033.25,1033.25,1033.25,1033.25,0,1017.19
2015-04-03,1033.25,1033.25,1033.25,1033.25,0,1017.19
2015-04-06,1035,1036.85,1019.8,1031.95,1787700,1015.91
2015-04-07,1033.25,1038.2,1023.65,1032.75,1549200,1016.7
2015-04-08,1040.05,1042.45,1030.05,1035.55,1026500,1019.46
2015-04-09,1038.25,1059,1030,1056.1,1750600,1039.69
2015-04-10,1053,1053,1034.85,1042.65,1529800,1026.45
2015-04-13,1040,1046.3,1034.8,1038.8,1140800,1022.66
2015-04-14,1038.8,1038.8,1038.8,1038.8,0,1022.66
2015-04-15,1040,1048.7,1025.2,1031.65,1223400,1015.62
2015-04-16,1028,1033.55,1018,1029.65,1402500,1013.65
2015-04-17,1025.1,1027.85,1016.05,1018.25,1012200,1002.43
2015-04-20,1020,1025,1002.6,1005.1,1297200,989.48
2015-04-21,1005,1014.4,995.6,1003,1627600,987.41
2015-04-22,1006.5,1021,993.5,1013.1,1691400,997.36
2015-04-23,1020.05,1024.2,1006.1,1013.5,2406900,997.75
2015-04-24,1018.9,1019,1000.35,1006.45,1801300,990.81
2015-04-27,1006.95,1012.5,996,1005.45,1842600,989.82
2015-04-28,999.55,1011.45,990.1,1004.55,1985500,988.94
2015-04-29,1004,1009.5,988,993.15,1965800,977.72
2015-04-30,991,995,979.05,988.8,3785900,973.43
2015-05-01,988.8,988.8,988.8,988.8,0,973.43
2015-05-04,994.05,1009.5,992,1000.95,785300,985.39
2015-05-05,999.05,1003.9,985.85,987.65,1284500,972.3
2015-05-06,987.5,987.5,965.5,970.6,2751900,955.52
2015-05-07,968,970,944.2,951.3,2934100,936.52
2015-05-08,961.5,987.8,955.4,982,2892900,966.74
2015-05-11,986.05,992.75,974.05,990.3,1682800,974.91
2015-05-12,990,990,967,971.95,2776800,956.85
2015-05-13,975.85,993.4,971.6,990.25,1947900,974.86
2015-05-14,989,994.85,974,991.05,1113700,975.65
2015-05-15,994.9,997.55,984.2,990.1,2038400,974.71
2015-05-18,996,1012,992,1009.85,1428300,994.16
2015-05-19,1006.35,1018,998.1,1007.55,1196500,991.89
2015-05-20,1009.65,1026.8,1009.55,1024.05,1002200,1008.14
2015-05-21,1024,1030,1015.1,1024.7,983500,1008.78
2015-05-22,1024.7,1029,1018.35,1024.3,1172300,1008.38
2015-05-25,1028.4,1031,1017.6,1023.55,1092200,1007.64
2015-05-26,1024.45,1030.2,1018.05,1027.4,1226500,1011.43
2015-05-27,1023.8,1040,1021.4,1038.15,804600,1022.02
2015-05-28,1039.05,1043.7,1022.2,1029.4,2390200,1013.4
2015-05-29,1029.95,1054,1027.15,1050.55,1264600,1034.22
2015-06-01,1048.95,1056,1031,1036.2,960300,1020.1
2015-06-02,1038.4,1040.3,1004.9,1008.8,1181500,993.12
2015-06-03,1009,1017,998,1005.55,1456200,989.92
2015-06-04,1008.85,1017.85,995,1014.95,1389300,999.18
2015-06-05,1010.25,1018.5,1002.5,1011.75,1688400,996.03
2015-06-08,1004.25,1012.25,995.55,1003.45,952900,987.86
2015-06-09,1005,1006,997.1,1001.85,1510000,986.28
2015-06-10,998,1019,997,1015.6,1996500,999.82
2015-06-11,1017.6,1018.55,994.7,1000.2,2273500,984.66
2015-06-12,1001,1010.85,990.15,1009.15,1632000,993.47
2015-06-15,1002,1013.75,1000,1005.2,1499900,989.58
2015-06-16,1000,1010.45,997.05,1008.4,1502600,992.73
2015-06-17,1009,1013.5,999.5,1004.7,2421500,989.09
2015-06-18,1005.9,1023.8,1002.25,1019.6,2107900,1003.75
2015-06-19,1024.8,1034.95,1013.15,1030.5,935500,1014.49
2015-06-22,1032.1,1056.9,1028.5,1047.15,1362400,1030.88
2015-06-23,1052,1061.2,1042.5,1052.1,1413700,1035.75
2015-06-24,1054,1057.8,1042.7,1045.8,1566800,1029.55
2015-06-25,1048.25,1070.85,1042.65,1065,4143300,1048.45
2015-06-26,1067,1070.95,1051.5,1062.85,1411800,1046.33
2015-06-29,1044.9,1061.75,1030.5,1056.65,1621900,1040.23
2015-06-30,1052.25,1072,1048,1067.15,1822500,1050.57
2015-07-01,1061.35,1077,1060.05,1072.35,1242700,1055.69
2015-07-02,1065,1067.7,1055.65,1058.2,1120800,1049.59
2015-07-03,1054.05,1076.15,1054.05,1074.25,1009800,1065.5
2015-07-06,1064.05,1085,1060.25,1083.5,816900,1074.68
2015-07-07,1078.5,1091.5,1078.5,1086.85,1035300,1078
2015-07-08,1079.1,1080.6,1066,1068.85,1350100,1060.15
2015-07-09,1062.7,1076.9,1060.1,1074.05,699400,1065.31
2015-07-10,1069.8,1095,1068.5,1090.75,1225000,1081.87
2015-07-13,1085,1105.9,1085,1096.15,1769000,1087.23
2015-07-14,1095.5,1101.9,1086,1091.85,1418500,1082.96
2015-07-15,1093,1101.45,1090.8,1096.7,962300,1087.77
2015-07-16,1098.8,1119,1098.1,1114.7,1827600,1105.63
2015-07-17,1119.4,1121.75,1105.6,1110.55,877700,1101.51
2015-07-20,1115.95,1119,1107,1115.25,1137800,1106.17
2015-07-21,1116.55,1128,1093.1,1098.05,2757000,1089.11
2015-07-22,1096.4,1117.05,1088.65,1114.4,1821600,1105.33
2015-07-23,1112.9,1116.7,1100.1,1107.9,1270700,1098.88
2015-07-24,1103.15,1115,1100.5,1107.85,1190200,1098.83
2015-07-27,1103.9,1104.5,1070,1095.85,832100,1086.93
2015-07-28,1094,1113.9,1092.45,1108.5,1586400,1099.48
2015-07-29,1105.1,1117.9,1105.05,1108.35,985700,1099.33
2015-07-30,1107,1117,1101.1,1110.55,2365500,1101.51
2015-07-31,1115.6,1121,1103,1111.65,1412300,1102.6
2015-08-03,1112.75,1117.5,1093.45,1095.4,1086400,1086.48
2015-08-04,1098.1,1102,1081.95,1086.45,1347700,1077.61
2015-08-05,1092.15,1097.7,1085.2,1092.2,1030600,1083.31
2015-08-06,1091.9,1101.35,1085.45,1095.95,935900,1087.03
2015-08-07,1093.95,1097.5,1088.6,1092.65,806700,1083.75
2015-08-10,1095,1105.95,1088,1094.65,988500,1085.74
2015-08-11,1095.05,1098.85,1084.25,1094.7,681900,1085.79
2015-08-12,1088.4,1094.9,1067.7,1070.45,1501400,1061.74
